GoalProbability,WeightedExpectedGoals,WeightedCount
0,0,2605551.508
0.02,0,59806.442
0.05,0,11762.034
0.01,0,152366.944
0.06,0,8635.357
0.03,0,30924.324
0.07,0,6168.864
0.08,0,4524.092
0.04,0,17814.507
0.1,0,2307.205
0.12,0,1250.203
0.13,0,905.091
0.09,0,3106.023
0.15,0,624.695
0.11,0,1943.793
0.17,0,713.702
0.16,0,496.525
0.14,0,696.218
0.2,0,307.525
0.21,0,244.669
0.19,0,323.612
0.18,0,374.196
0.23,0,125.086
0.22,0,229.051
0.24,0,109.527
0.46,0,0.001
0.25,0,104.503
0.14,0.01,71.6
0.26,0,102.392
0.28,0,88.481
0.27,0,85.185
0.29,0,83.758
0.27,0.01,9.211
0.22,0.01,14.451
0.29,0.01,10.014
0.25,0.01,10.739
0.23,0.01,21.219
0.24,0.01,9.004
0.2,0.01,32.144
0.21,0.01,22.839
0.26,0.01,6.731
0.17,0.01,29.731
0.16,0.01,36.92
0.18,0.01,33.154
0.41,0,57.94
0.4,0,55.991
0.45,0,10.766
0.3,0,95.052
0.33,0,61.668
0.43,0,151.745
0.32,0,54.502
0.37,0,126.354
0.31,0,551.06
0.34,0,69.657
0.35,0,81.512
0.38,0,47.24
0.36,0,127.418
0.44,0,66.902
0.39,0,47.834
0.42,0,94.952
0.44,0.01,4.908
0.43,0.01,10.477
0.45,0.01,9.554
0.1,0.01,155.699
0.12,0.01,73.468
0.03,0.01,573.143
0.04,0.01,291.717
0.05,0.01,258.678
0.06,0.01,297.699
0.09,0.01,111.524
0.11,0.01,65.454
0.07,0.01,150.858
0.41,0.01,6.814
0.38,0.01,4.57
0.42,0.01,3.993
0.4,0.01,7.253
0.35,0.01,3.908
0.39,0.01,0.963
0.32,0.01,6.849
0.37,0.01,7.662
0.08,0.01,143.33
0.36,0.01,7.002
0.15,0.01,61.135
0.13,0.01,98.549
0.3,0.01,5.775
0.33,0.01,4.429
0.34,0.01,5.635
0.31,0.01,11.528
0.28,0.01,3.744
0.19,0.01,9.531
0.02,0.01,22.929
0.13,0.02,17.107
0.12,0.02,13.259
0.1,0.02,21.083
0.11,0.02,30.815
0.17,0.02,4.725
0.23,0.03,5.203
0.3,0.05,5.557
0.19,0.03,6.199
0.09,0.02,15.122
0.14,0.02,10.05
0.16,0.02,4.454
0.15,0.02,13.146
0.28,0.05,6.554
0.34,0.08,7.929
0.22,0.06,8.888
0.12,0.03,8.171
0.19,0.04,8.08
0.24,0.06,9.032
0.19,0.05,8.892
0.14,0.03,8.44
0.17,0.05,9.022
0.17,0.04,8.214
0.15,0.03,6.271
0.18,0.03,6.722
0.22,0.05,7.074
0.24,0.04,6.482
0.2,0.03,4.749
0.23,0.02,3.656
0.25,0.02,3.461
0.3,0.03,3.712
0.32,0.04,4.293
0.27,0.03,4.011
0.34,0.02,2.29
0.29,0.02,2.742
