x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
20,66,Pass,0,48,52,0.45,2,0,0.001
20,66,Pass,0,46,55,0.699,2,0,0.002
20,66,Pass,0,44,53,0.812,2,0,0.004
20,66,Pass,0,42,55,0.754,2,0,0.009
20,66,Pass,0,40,52,0.656,1,0,0.015
20,66,Pass,0,38,52,0.603,1,0,0.016
20,66,Pass,0,36,47,0.531,1,0,0.015
20,66,Pass,0,34,42,0.4,1,0,0.012
20,66,Pass,0,32,37,0.287,1,0,0.008
20,66,Pass,0,30,32,0.285,1,0,0.003
20,66,Pass,0,28,28,0.366,1,0,0.001
20,66,Pass,0,26,17,0.409,0,0,0
20,66,Pass,0,24,11,0.337,0,0,0
20,66,Pass,2,48,68,0.646,2,0,0.002
20,66,Pass,2,46,67,0.978,2,0,0.003
20,66,Pass,2,44,66,1.145,2,0,0.006
20,66,Pass,2,42,65,1.128,2,0,0.013
20,66,Pass,2,40,66,1.095,2,0.001,0.019
20,66,Pass,2,38,62,1.107,1,0.001,0.02
20,66,Pass,2,36,57,1.016,1,0.001,0.019
20,66,Pass,2,34,53,0.752,1,0,0.017
20,66,Pass,2,32,45,0.461,1,0,0.015
20,66,Pass,2,30,35,0.313,1,0,0.009
20,66,Pass,2,28,31,0.305,1,0,0.003
20,66,Pass,2,26,26,0.314,0,0,0.001
20,66,Pass,2,24,17,0.253,0,0,0
20,66,Pass,4,48,73,0.836,2,0,0.003
20,66,Pass,4,46,74,1.173,2,0,0.004
20,66,Pass,4,44,74,1.349,2,0,0.008
20,66,Pass,4,42,75,1.385,2,0.001,0.016
20,66,Pass,4,40,74,1.456,2,0.001,0.023
20,66,Pass,4,38,70,1.559,2,0.001,0.025
20,66,Pass,4,36,64,1.467,1,0.001,0.024
20,66,Pass,4,34,56,1.087,1,0.001,0.025
20,66,Pass,4,32,49,0.625,1,0,0.025
20,66,Pass,4,30,40,0.323,1,0,0.021
20,66,Pass,4,28,35,0.211,1,0,0.01
20,66,Pass,4,26,28,0.178,1,0,0.003
20,66,Pass,4,24,22,0.136,0,0,0.001
20,66,Pass,6,48,78,1.11,2,0,0.005
20,66,Pass,6,46,81,1.335,2,0,0.005
20,66,Pass,6,44,82,1.411,2,0,0.01
20,66,Pass,6,42,82,1.427,2,0.001,0.018
20,66,Pass,6,40,75,1.542,2,0.001,0.026
20,66,Pass,6,38,72,1.699,2,0.002,0.03
20,66,Pass,6,36,68,1.632,1,0.002,0.032
20,66,Pass,6,34,62,1.234,1,0.001,0.035
20,66,Pass,6,32,51,0.715,1,0.001,0.037
20,66,Pass,6,30,41,0.335,1,0,0.035
20,66,Pass,6,28,37,0.154,1,0,0.025
20,66,Pass,6,26,30,0.089,1,0,0.01
20,66,Pass,6,24,22,0.058,0,0,0.003
20,66,Pass,8,48,84,1.594,2,0,0.006
20,66,Pass,8,46,84,1.588,2,0,0.006
20,66,Pass,8,44,87,1.429,2,0,0.009
20,66,Pass,8,42,84,1.294,2,0.001,0.018
20,66,Pass,8,40,79,1.335,2,0.001,0.028
20,66,Pass,8,38,73,1.472,2,0.002,0.035
20,66,Pass,8,36,68,1.452,1,0.002,0.04
20,66,Pass,8,34,63,1.152,1,0.002,0.043
20,66,Pass,8,32,50,0.713,1,0.001,0.045
20,66,Pass,8,30,43,0.352,1,0,0.042
20,66,Pass,8,28,37,0.15,1,0,0.032
20,66,Pass,8,26,29,0.064,0,0,0.018
20,66,Pass,8,24,24,0.032,0,0,0.006
20,66,Pass,10,48,88,2.241,2,0,0.005
20,66,Pass,10,46,87,1.933,2,0,0.005
20,66,Pass,10,44,88,1.472,2,0,0.007
20,66,Pass,10,42,86,1.113,2,0,0.014
20,66,Pass,10,40,81,1.002,2,0.001,0.026
20,66,Pass,10,38,75,1.069,2,0.001,0.037
20,66,Pass,10,36,69,1.1,1,0.001,0.043
20,66,Pass,10,34,58,0.952,1,0.001,0.045
20,66,Pass,10,32,51,0.664,1,0.001,0.042
20,66,Pass,10,30,44,0.375,1,0,0.034
20,66,Pass,10,28,37,0.177,1,0,0.024
20,66,Pass,10,26,29,0.078,0,0,0.013
20,66,Pass,12,46,89,2.147,2,0,0.004
20,66,Pass,12,44,88,1.463,2,0,0.004
20,66,Pass,12,42,85,0.948,2,0,0.009
20,66,Pass,12,40,82,0.721,2,0,0.02
20,66,Pass,12,38,76,0.722,2,0.001,0.032
20,66,Pass,12,36,67,0.783,1,0.001,0.036
20,66,Pass,12,34,55,0.755,1,0.001,0.034
20,66,Pass,12,32,48,0.599,1,0.001,0.028
20,66,Pass,12,30,42,0.383,1,0,0.021
20,66,Pass,12,28,36,0.203,0,0,0.013
20,66,Pass,12,26,28,0.101,0,0,0.006
20,66,Pass,14,44,88,1.283,2,0,0.003
20,66,Pass,14,42,83,0.773,2,0,0.005
20,66,Pass,14,40,77,0.533,2,0,0.012
20,66,Pass,14,38,72,0.506,2,0,0.02
20,66,Pass,14,36,62,0.565,1,0,0.022
20,66,Pass,14,34,51,0.582,1,0,0.019
20,66,Pass,14,32,46,0.495,1,0,0.015
20,66,Pass,14,30,37,0.339,1,0,0.01
20,66,Pass,14,28,30,0.194,0,0,0.006
