x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
120,120,Pass,84,116,8,0.061,0,0,0
120,118,Pass,84,116,9,0.062,0,0,0
120,116,Pass,84,116,10,0.064,0,0,0
120,114,Pass,84,116,11,0.086,0,0,0
120,114,Run,84,116,1,0.001,0,0,0
120,112,Pass,84,116,13,0.131,0,0,0
120,112,Run,84,116,2,0.002,0,0,0
120,110,Pass,84,116,13,0.197,0,0,0
120,110,Run,84,116,2,0.003,0,0,0
120,108,Pass,84,116,11,0.283,0,0,0
120,108,Run,84,116,2,0.004,0,0,0
120,106,Pass,84,116,13,0.37,0,0,0
120,106,Run,84,116,2,0.003,0,0,0
120,104,Pass,84,116,14,0.418,0,0,0
120,104,Run,84,116,2,0.002,0,0,0
120,102,Pass,84,116,15,0.402,0,0,0
120,102,Run,84,116,1,0.001,0,0,0
120,100,Pass,84,116,17,0.339,0,0,0
120,100,Run,84,116,1,0.001,0,0,0
120,98,Pass,84,116,17,0.255,0,0,0
120,98,Run,84,116,1,0,0,0,0
120,96,Pass,84,116,21,0.182,0,0,0
120,94,Pass,84,116,24,0.165,0,0,0
120,92,Pass,84,116,21,0.248,0,0,0
120,90,Pass,84,116,19,0.413,0,0,0
120,88,Pass,84,116,21,0.577,0,0,0.001
120,86,Pass,84,116,20,0.654,0,0,0.001
120,84,Pass,84,116,18,0.621,0,0,0.001
120,82,Pass,84,116,16,0.502,0,0,0.001
120,80,Pass,84,116,16,0.356,0,0,0
120,78,Pass,84,116,14,0.241,0,0,0
120,76,Pass,84,116,12,0.163,0,0,0
120,74,Pass,84,116,8,0.101,0,0,0
120,72,Pass,84,116,5,0.049,0,0,0
120,70,Pass,84,116,4,0.018,0,0,0
120,68,Pass,84,116,3,0.01,0,0,0
120,66,Pass,84,116,3,0.02,0,0,0
120,64,Pass,84,116,1,0.053,0,0,0
120,62,Pass,84,116,1,0.099,0,0,0
120,60,Pass,84,116,1,0.13,0,0,0
120,58,Pass,84,116,1,0.119,0,0,0
120,56,Pass,84,116,1,0.076,0,0,0
120,54,Pass,84,116,1,0.034,0,0,0
120,52,Pass,84,116,1,0.01,0,0,0
120,50,Pass,84,116,1,0.002,0,0,0
120,48,Pass,84,116,1,0,0,0,0
118,120,Pass,84,116,10,0.214,0,0,0
118,118,Pass,84,116,11,0.206,0,0,0
118,118,Run,84,116,1,0.001,0,0,0
118,116,Pass,84,116,13,0.191,0,0,0
118,116,Run,84,116,1,0.002,0,0,0
118,114,Pass,84,116,12,0.223,0,0,0
118,114,Run,84,116,2,0.006,0,0,0
118,112,Pass,84,116,16,0.305,0,0,0
118,112,Run,84,116,2,0.014,0,0,0
118,110,Pass,84,116,18,0.416,0,0,0
118,110,Run,84,116,2,0.021,0,0,0
118,108,Pass,84,116,16,0.564,0,0,0
118,108,Run,84,116,2,0.024,0,0,0
118,106,Pass,84,116,16,0.74,0,0,0
118,106,Run,84,116,2,0.022,0,0,0
118,104,Pass,84,116,19,0.865,0,0,0
118,104,Run,84,116,2,0.015,0,0,0
118,102,Pass,84,116,18,0.871,0,0,0
118,102,Run,84,116,2,0.009,0,0,0
118,100,Pass,84,116,19,0.768,0,0,0
118,100,Run,84,116,2,0.004,0,0,0
118,98,Pass,84,116,22,0.604,0,0,0
118,98,Run,84,116,1,0.001,0,0,0
118,96,Pass,84,116,29,0.442,0,0,0
118,96,Run,84,116,1,0,0,0,0
