endX,endY,WeightedCount,WeightedExpectedGoals,GoalProbability
90,80,351.058569548101,0.022,0.003
90,78,520.596894333037,0.05,0.003
90,76,660.579645257429,0.087,0.003
92,80,280.937937692308,0.007,0.002
92,78,407.158742795767,0.022,0.002
92,76,507.734937993993,0.052,0.003
92,74,569.126247393116,0.092,0.003
92,72,600.932458512187,0.116,0.003
94,80,217.084106039289,0.002,0.001
94,78,311.097921581853,0.01,0.001
94,76,386.152654727162,0.029,0.002
94,74,434.50201864251,0.052,0.003
94,72,464.664567352176,0.061,0.003
94,70,498.825590633257,0.051,0.002
96,80,176.727610556697,0.001,0.001
96,78,253.331384977267,0.004,0.001
96,76,317.584938686442,0.012,0.001
96,74,362.224925118229,0.022,0.002
96,72,391.687071818365,0.026,0.002
96,70,422.369633599087,0.021,0.001
98,80,167.141527110533,0,0
98,78,240.192793474588,0.001,0
98,76,304.620454698163,0.004,0.001
98,74,351.260661017807,0.008,0.001
98,72,379.941882316194,0.01,0.001
98,70,401.536870148076,0.008,0.001
98,68,424.941475584901,0.006,0
100,80,174.437403244774,0,0
100,78,249.944388993275,0,0
100,76,317.415138048254,0.001,0
100,74,366.168118753019,0.002,0
100,72,392.62160176802,0.003,0
100,70,404.069301254457,0.003,0
100,68,405.855649741437,0.002,0
102,80,181.72230348533,0,0
102,78,258.476915368448,0,0
102,76,323.961724463371,0,0
102,74,367.3859357815,0,0
102,72,386.274790204378,0.001,0
102,70,388.160816957577,0.001,0
102,68,376.904672642841,0,0
104,80,181.150932916692,0,0
104,78,255.428636308652,0,0
104,76,311.330232616988,0,0
104,74,339.270744918854,0,0
104,72,343.268619514454,0,0
104,70,336.037242673069,0,0
104,68,321.231083806956,0,0
106,80,168.890322571715,0,0
106,78,236.092986476098,0,0
106,76,277.530290018843,0,0
106,74,285.706107902605,0,0
106,72,273.27061500373,0,0
106,70,259.280816546506,0,0
106,68,247.378201772465,0,0
108,80,142.883604377742,0,0
108,78,198.2173789372,0,0
108,76,225.0884706791,0,0
108,74,218.741115799523,0,0
108,72,196.720417207373,0,0
108,70,180.504579907768,0,0
108,68,173.646457148856,0,0
110,80,105.519707379546,0,0
110,78,146.023900756129,0,0
110,76,161.937948326052,0,0
110,74,150.650227519389,0,0
110,72,128.712464157914,0,0
110,70,114.623141110069,0,0
112,80,64.8654333087721,0,0
112,78,90.3994840254719,0,0
112,76,99.4773797283358,0,0
112,74,90.534158995806,0,0
112,72,75.3120400274283,0,0
114,80,31.6511149189228,0,0
114,78,44.8334513244486,0,0
114,76,49.7911010607371,0,0
114,74,45.7607729511565,0,0
100,66,401.110260086142,0.003,0
102,66,353.576172386952,0.001,0
104,66,295.069424511422,0,0
106,66,228.692667282509,0,0
108,66,165.592796190452,0,0
110,68,112.103395591589,0,0
110,66,113.039978678827,0,0
112,70,66.6317662705981,0,0
112,68,67.8513830697939,0,0
114,72,39.4091676812629,0,0
114,70,37.917668020259,0,0
114,68,43.0115489911889,0,0
116,80,11.7840380295598,0,0
116,78,17.1382827126054,0,0
116,76,19.7057481819157,0,0
116,74,19.7108263507396,0,0
116,72,20.8221913336935,0,0
116,70,26.0996010849296,0,0
118,80,3.26080421265191,0,0
118,78,4.96258844429615,0,0
118,76,6.36455383519325,0,0
118,74,8.45983740977343,0,0
54,78,1826.8485403374,0.124,0.001
54,76,2297.70085184096,0.23,0.001
54,74,2465.20616397556,0.353,0.001
54,72,2358.1066769569,0.519,0.002
54,70,2129.81480010253,0.734,0.003
54,68,1936.02565262745,1,0.005
56,80,1123.32120600124,0.072,0.001
56,78,1679.06758157603,0.159,0.001
56,76,2083.39167180441,0.243,0.001
56,74,2228.95219201843,0.302,0.001
56,72,2148.06368520993,0.371,0.002
56,70,1959.01220921377,0.47,0.002
56,68,1792.73836117247,0.609,0.004
56,66,1733.94723987875,0.777,0.005
58,80,1036.8485867031,0.131,0.001
58,78,1525.07971199507,0.288,0.001
58,76,1865.59496068626,0.417,0.001
58,74,1986.72130172495,0.455,0.002
58,72,1929.6126337146,0.43,0.002
58,70,1786.87865890145,0.392,0.002
58,68,1659.4138892132,0.385,0.003
58,66,1615.52723853217,0.419,0.003
58,64,1648.41452770373,0.432,0.003
60,80,1009.8652507605,0.25,0.002
60,78,1468.48658053031,0.597,0.002
60,76,1773.47522199894,0.905,0.003
60,74,1874.65119799935,0.971,0.003
60,72,1831.16493166863,0.81,0.003
60,70,1730.97494569276,0.562,0.003
60,68,1649.06760859456,0.37,0.002
60,66,1622.06897861449,0.281,0.002
60,64,1628.05208908656,0.24,0.002
60,62,1627.05325791556,0.203,0.002
62,80,1046.95227056869,0.415,0.003
62,78,1515.68558419841,1.056,0.004
62,76,1816.93826340056,1.665,0.004
62,74,1908.24029587678,1.803,0.004
62,72,1872.07047802835,1.474,0.004
62,70,1810.46379724576,0.961,0.004
62,68,1779.99948980121,0.541,0.003
62,66,1779.0398168705,0.318,0.002
62,64,1765.75077967364,0.221,0.002
62,62,1719.60125554777,0.181,0.001
64,80,1068.85040845524,0.528,0.004
64,78,1552.65198623456,1.381,0.005
64,76,1862.10199778182,2.209,0.005
64,74,1953.18760073877,2.404,0.006
64,72,1925.17593402399,1.976,0.005
64,70,1897.72003458453,1.306,0.004
64,68,1917.55900048583,0.744,0.003
64,66,1951.46809139446,0.422,0.002
64,64,1938.00249205877,0.269,0.001
64,62,1869.88475790294,0.204,0.001
66,80,1013.43040174949,0.469,0.004
66,78,1489.13069200318,1.24,0.005
66,76,1802.39893054058,2.009,0.005
66,74,1902.2934266401,2.219,0.006
66,72,1887.085871944,1.86,0.005
66,70,1881.31293671848,1.283,0.004
66,68,1931.16669534532,0.789,0.003
66,66,1993.89414826592,0.49,0.002
66,64,1999.93111931323,0.325,0.002
66,62,1942.62796250292,0.229,0.001
66,60,1890.47174322298,0.214,0.001
68,80,903.874080806683,0.279,0.003
68,78,1352.99400993207,0.756,0.004
68,76,1667.23525472266,1.281,0.004
68,74,1786.52396249291,1.483,0.004
68,72,1788.47653086856,1.294,0.004
68,70,1786.67351593565,0.952,0.004
68,68,1834.15759149562,0.679,0.003
68,66,1904.50220241353,0.528,0.002
68,64,1938.17843771761,0.415,0.002
68,62,1920.29247577313,0.289,0.001
70,80,799.523312507286,0.118,0.002
70,78,1222.70159521656,0.343,0.002
70,76,1541.30791009911,0.634,0.003
70,74,1685.74077490925,0.791,0.003
70,72,1705.88436260172,0.733,0.003
70,70,1697.56755684661,0.609,0.003
70,68,1722.65557347236,0.57,0.003
70,66,1780.5599543394,0.598,0.003
70,64,1832.68380233902,0.553,0.003
70,62,1860.012013899,0.395,0.002
72,80,724.815319448393,0.048,0.001
72,78,1128.34349779454,0.156,0.001
72,76,1451.24817969551,0.313,0.002
72,74,1616.13102849749,0.414,0.002
72,72,1651.32828343812,0.418,0.002
72,70,1640.76447580932,0.435,0.003
72,68,1649.06146229976,0.55,0.004
72,66,1689.05901208057,0.68,0.004
72,64,1742.67998678106,0.662,0.004
72,62,1798.6954484974,0.478,0.003
74,80,665.987657768352,0.033,0.001
74,78,1048.78672096727,0.109,0.001
74,76,1369.22213648469,0.22,0.001
74,74,1544.76507079962,0.293,0.002
74,72,1591.85171216644,0.322,0.002
74,70,1589.81837627834,0.396,0.003
74,68,1597.70758361481,0.55,0.004
74,66,1625.9348842123,0.672,0.005
74,64,1670.84947714555,0.633,0.004
76,80,610.075035597559,0.027,0.001
76,78,969.675994276752,0.088,0.001
76,76,1283.31051688895,0.178,0.001
76,74,1464.92876561679,0.245,0.002
76,72,1522.51448245404,0.288,0.002
76,70,1532.3399466879,0.364,0.003
76,68,1545.29118504394,0.482,0.004
76,66,1565.41288266742,0.552,0.004
78,78,906.522007190347,0.058,0.001
78,76,1215.90525690269,0.117,0.001
78,74,1403.67832686637,0.175,0.001
78,72,1468.72442268759,0.23,0.002
78,70,1482.82955441923,0.308,0.002
78,68,1493.4821324785,0.416,0.003
106,64,209.459310530951,0,0
108,64,156.610814657874,0,0
108,62,165.286017342674,0,0
108,60,206.528918685834,0,0
110,64,114.753251676283,0,0
110,62,127.9171953641,0,0
110,60,164.674007132257,0,0
110,58,224.5707473708,0.003,0
112,66,74.3314085535938,0,0
112,64,82.7458534966866,0,0
112,62,97.5655909362951,0,0
112,60,127.051625171195,0,0
112,58,174.357756438949,0.003,0.001
114,66,51.5433328879489,0,0
114,64,60.6936533811751,0,0
114,62,72.5571616419039,0,0
114,60,92.8305068650013,0,0
114,58,125.458769292893,0.001,0.001
114,56,170.31700662099,0.006,0.002
116,68,34.5685240946858,0,0
116,66,42.3389816953383,0,0
116,64,47.5612961636871,0,0
116,62,53.1114975965303,0,0
116,60,63.7969639341805,0,0
116,58,82.7595005673155,0,0.001
116,56,110.202341519065,0.002,0.001
118,72,13.6346383244653,0,0
118,70,22.8245918252945,0,0
118,68,32.8139429789559,0,0
118,66,38.4631844943248,0,0
118,64,38.6135898351507,0,0
118,62,37.4540314464405,0,0
118,60,40.0240898787401,0,0
118,58,48.2700377389428,0,0
118,56,62.072732349361,0,0.001
120,80,0.656984107722214,0,0
120,78,1.14289641038287,0,0
120,76,2.00641964217547,0,0
120,74,4.37196013690849,0,0
120,72,9.9598286286725,0,0
120,70,18.9718593549355,0,0
120,68,27.7572245374852,0,0
120,66,31.2594155575842,0,0
120,64,28.5093388298971,0,0
120,62,23.7308462199225,0,0
120,60,21.550349332649,0,0
120,58,23.4156477805395,0,0
120,56,28.7851482919525,0,0.001
100,54,487.580507438998,0.009,0.001
100,52,434.281816320932,0.019,0.002
102,60,401.709355344539,0.002,0
102,58,446.181044267812,0.002,0
102,56,459.10290020262,0.002,0.001
102,54,445.821305297641,0.008,0.001
102,52,439.005038050591,0.021,0.002
102,50,465.266228540359,0.036,0.003
102,48,515.905802334531,0.041,0.003
102,46,552.928770920649,0.033,0.002
104,62,278.241066385004,0,0
104,60,322.332507374027,0,0
104,58,379.042064408162,0.001,0
104,56,420.924811718993,0.002,0
104,54,449.063233700805,0.01,0.001
104,52,493.162422355336,0.029,0.002
104,50,575.297691758988,0.061,0.002
104,48,672.196010885704,0.086,0.002
104,46,724.66756163547,0.077,0.002
104,44,701.881508928826,0.044,0.002
106,62,214.790766185389,0,0
106,60,258.188473052828,0,0
106,58,324.507476128014,0.001,0
106,56,390.243396710748,0.004,0
106,54,455.172230078436,0.017,0.001
106,52,545.557289374084,0.049,0.002
106,50,678.304126712336,0.102,0.002
106,48,819.187622780036,0.148,0.002
106,46,892.90415613433,0.135,0.002
106,44,860.423784502195,0.076,0.001
106,42,765.18717015075,0.04,0.001
108,58,273.700759564247,0.002,0
108,56,350.522774629371,0.009,0.001
108,54,436.976471889806,0.029,0.001
108,52,553.699779008355,0.072,0.002
108,50,713.859486943105,0.131,0.002
108,48,884.176917612151,0.174,0.002
108,46,986.183614477789,0.152,0.002
108,44,969.740112759413,0.087,0.001
108,42,871.282814477755,0.055,0.001
110,56,298.911196217458,0.012,0.001
110,54,387.470435335075,0.038,0.002
110,52,504.155991100129,0.081,0.002
