endX,endY,WeightedCount,WeightedExpectedGoals,GoalProbability
72,80,55.704,0,0
72,78,76.705,0,0
72,76,82.301,0,0
72,74,78.853,0,0
72,72,80.432,0,0
74,80,41.294,0,0
74,78,58.58,0,0
74,76,65.058,0,0
74,74,65.406,0,0
74,72,71.256,0,0
74,70,84.241,0,0
76,80,29.706,0,0
76,78,43.693,0,0
76,76,50.054,0,0
76,74,50.988,0,0
76,72,55.899,0,0
76,70,68.051,0,0
76,68,79.29,0,0
78,80,27.437,0,0
78,78,39.718,0,0
78,76,44.219,0,0
78,74,42.304,0,0
78,72,42.901,0,0
78,70,51.016,0,0
78,68,61.041,0,0
78,66,63.195,0,0
80,80,33.841,0,0
80,78,46.537,0,0
80,76,48.763,0,0
80,74,42.812,0,0
80,72,38.852,0,0
80,70,42.357,0,0
80,68,48.232,0,0
80,66,47.956,0,0
82,80,42.695,0,0
82,78,57.949,0,0
82,76,60.026,0,0
82,74,51.6,0,0
82,72,44.027,0,0
82,70,42.824,0,0
82,68,42.694,0,0
82,66,37.18,0,0
82,64,26.605,0,0
84,80,45.705,0,0
84,78,63.911,0,0
84,76,68.977,0,0
84,74,61.535,0,0
84,72,51.865,0,0
84,70,45.865,0,0
84,68,39.695,0,0
84,66,29.557,0,0
84,64,18.252,0,0
86,80,38.631,0,0
86,78,57.238,0,0
86,76,66.263,0,0
86,74,63.096,0,0
86,72,54.084,0,0
86,70,44.893,0,0
86,68,34.72,0,0
86,66,22.862,0,0
86,64,13.092,0,0
88,80,25.22,0,0
88,78,40.48,0,0
88,76,51.408,0,0
88,74,53.5,0,0
88,72,48.142,0,0
88,70,38.93,0,0
88,68,27.676,0,0
88,66,16.671,0,0
88,64,9.896,0,0
90,80,12.755,0,0
90,78,22.805,0,0
90,76,32.757,0,0
90,74,38.595,0,0
90,72,38.017,0,0
90,70,31.32,0,0
90,68,21.12,0,0
90,66,11.848,0,0
92,80,5.171,0,0
92,78,10.708,0,0
92,76,18.101,0,0
92,74,24.955,0,0
92,72,27.62,0,0
92,70,23.895,0,0
92,68,15.819,0,0
92,66,8.363,0,0
94,80,1.9,0,0
94,78,4.653,0,0
94,76,9.295,0,0
94,74,14.745,0,0
94,72,17.925,0,0
94,70,16.191,0,0
94,68,10.704,0,0
96,80,1.265,0,0
96,78,2.883,0,0
96,76,5.57,0,0
96,74,8.729,0,0
96,72,10.527,0,0
96,70,9.39,0,0
80,64,38.822,0,0
84,62,10.475,0,0
86,62,8.932,0,0
88,62,9.478,0,0
90,64,7.54,0,0
90,62,9.396,0,0
92,64,5.316,0,0
92,62,7.27,0,0
94,66,5.413,0,0
94,64,3.152,0,0
96,68,6.072,0,0
96,66,2.938,0,0
96,64,1.539,0,0
98,80,2.746,0,0
98,78,4.919,0,0
98,76,7.172,0,0
98,74,8.658,0,0
98,72,8.439,0,0
98,70,6.365,0,0
98,68,3.611,0,0
98,66,1.587,0,0
100,78,10.998,0,0
100,76,14.447,0,0
100,74,15.157,0,0
100,72,12.584,0,0
100,70,8.022,0,0
98,34,0.027,0,0
98,32,0.023,0,0
98,30,0.036,0,0
98,28,0.039,0,0
98,26,0.03,0,0
98,24,0.016,0,0
98,22,0.006,0,0
100,36,0.117,0,0
100,34,0.076,0,0
100,32,0.155,0,0
100,30,0.243,0,0
100,28,0.266,0,0
100,26,0.203,0,0
100,24,0.108,0,0
100,22,0.04,0,0
100,20,0.01,0,0
102,38,0.643,0,0
102,36,0.206,0,0
102,34,0.332,0,0
102,32,0.729,0,0
102,30,1.144,0,0
102,28,1.252,0,0
102,26,0.956,0,0
102,24,0.508,0,0
102,22,0.188,0,0
102,20,0.049,0,0
102,18,0.066,0,0
104,40,3.384,0,0
104,38,0.899,0,0
104,36,0.469,0,0
104,34,1.079,0,0
104,32,2.397,0,0
104,30,3.763,0,0
104,28,4.118,0,0
104,26,3.142,0,0
104,24,1.671,0,0
104,22,0.62,0,0
104,20,0.167,0,0
104,18,0.102,0,0
106,40,3.583,0,0
106,38,1.049,0,0
106,36,0.912,0,0
106,34,2.458,0,0
106,32,5.496,0,0
106,30,8.627,0,0
106,28,9.441,0,0
106,26,7.203,0,0
106,24,3.832,0,0
106,22,1.421,0,0
106,20,0.373,0,0
106,18,0.13,0,0
106,16,0.441,0,0
108,40,2.799,0,0
108,38,0.964,0,0
108,36,1.334,0,0
108,34,3.916,0,0
108,32,8.784,0,0
108,30,13.789,0,0
108,28,15.09,0,0
108,26,11.513,0,0
108,24,6.124,0,0
108,22,2.271,0,0
108,20,0.587,0,0
108,18,0.145,0,0
108,16,0.301,0,0
110,40,1.587,0,0
110,38,0.688,0,0
110,36,1.413,0,0
110,34,4.356,0,0
110,32,9.788,0,0
110,30,15.365,0,0
110,28,16.815,0,0
110,26,12.829,0,0
110,24,6.824,0,0
110,22,2.531,0,0
110,20,0.654,0,0
110,18,0.137,0,0
110,16,0.203,0,0
112,40,0.648,0,0
112,38,0.385,0,0
112,36,1.073,0,0
112,34,3.377,0,0
112,32,7.604,0,0
112,30,11.936,0,0
112,28,13.063,0,0
112,26,9.966,0,0
112,24,5.301,0,0
112,22,1.966,0,0
112,20,0.508,0,0
112,18,0.111,0,0
112,16,0.21,0,0
114,40,0.191,0,0
114,38,0.166,0,0
114,36,0.574,0,0
114,34,1.829,0,0
114,32,4.118,0,0
114,30,6.465,0,0
114,28,7.075,0,0
114,26,5.398,0,0
114,24,2.871,0,0
114,22,1.065,0,0
114,20,0.275,0,0
114,18,0.087,0,0
114,16,0.291,0,0
116,40,0.04,0,0
116,38,0.055,0,0
116,36,0.214,0,0
116,34,0.691,0,0
116,32,1.555,0,0
116,30,2.441,0,0
116,28,2.671,0,0
116,26,2.038,0,0
116,24,1.084,0,0
116,22,0.402,0,0
116,20,0.104,0,0
116,18,0.069,0,0
118,38,0.012,0,0
118,36,0.056,0,0
118,34,0.182,0,0
118,32,0.409,0,0
118,30,0.643,0,0
118,28,0.703,0,0
118,26,0.537,0,0
118,24,0.285,0,0
118,22,0.106,0,0
118,20,0.027,0,0
120,36,0.01,0,0
120,34,0.033,0,0
120,32,0.075,0,0
120,30,0.118,0,0
120,28,0.129,0,0
120,26,0.098,0,0
120,24,0.052,0,0
120,22,0.019,0,0
100,80,6.544,0,0
100,68,3.832,0,0
100,66,1.492,0,0
102,80,11.394,0,0
102,78,18.776,0,0
102,76,23.942,0,0
102,74,24.169,0,0
102,72,19.21,0,0
102,70,11.681,0,0
102,68,5.308,0,0
102,66,2.023,0,0
102,64,1.748,0,0
104,80,13.917,0,0
104,78,22.614,0,0
104,76,28.301,0,0
104,74,27.956,0,0
104,72,21.775,0,0
104,70,13.031,0,0
104,68,5.849,0,0
104,66,2.267,0,0
104,64,2.205,0,0
106,80,11.868,0,0
106,78,19.056,0,0
106,76,23.439,0,0
106,74,22.704,0,0
106,72,17.374,0,0
106,70,10.264,0,0
106,68,4.586,0,0
106,66,1.851,0,0
106,64,2.034,0,0
108,80,7.065,0,0
108,78,11.219,0,0
108,76,13.577,0,0
108,74,12.9,0,0
108,72,9.698,0,0
108,70,5.66,0,0
108,68,2.554,0,0
108,66,1.196,0,0
110,80,2.936,0,0
110,78,4.614,0,0
110,76,5.498,0,0
110,74,5.125,0,0
110,72,3.783,0,0
110,70,2.206,0,0
110,68,1.124,0,0
110,66,1.011,0,0
112,80,0.852,0,0
112,78,1.325,0,0
112,76,1.556,0,0
112,74,1.424,0,0
112,72,1.042,0,0
112,70,0.662,0,0
112,68,0.659,0,0
114,80,0.172,0,0
114,78,0.266,0,0
114,76,0.308,0,0
114,74,0.277,0,0
114,72,0.214,0,0
114,70,0.243,0,0
