x,y,WeightedCount,WeightedExpectedGoals,GoalProbability
120,74,0.015,0,0
120,72,0.038,0,0
120,70,0.064,0,0
120,68,0.084,0,0
120,66,0.087,0,0
120,64,0.07,0,0
120,62,0.039,0,0
120,60,0.035,0,0
120,58,0.103,0,0
120,56,0.406,0,0
120,54,1.17,0,0
120,52,2.357,0,0
120,50,3.311,0,0
120,48,3.291,0,0
120,46,2.449,0,0
120,44,1.954,0,0
120,42,2.962,0,0
120,40,5.883,0,0
120,38,10.533,0,0
120,36,16.38,0,0
120,34,21.85,0,0
120,32,23.785,0,0
120,30,20.102,0,0
120,28,12.801,0,0
120,26,6.067,0,0
120,24,2.152,0,0
120,22,0.657,0,0
120,20,0.36,0,0
120,18,0.514,0,0
120,16,0.878,0,0
120,14,1.336,0,0
120,12,1.61,0,0
120,10,1.437,0,0
120,8,0.917,0,0
120,6,0.411,0,0
120,4,0.129,0,0
120,2,0.028,0,0
118,78,0.008,0,0
118,76,0.034,0,0
118,74,0.118,0,0
118,72,0.264,0,0
118,70,0.443,0,0
118,68,0.575,0,0
118,66,0.586,0,0
118,64,0.466,0,0
118,62,0.282,0,0
118,60,0.171,0,0
118,58,0.299,0,0
118,56,1.043,0,0
118,54,2.929,0,0
118,52,5.859,0,0
118,50,8.217,0,0
118,48,8.118,0,0
118,46,5.947,0,0
118,44,4.413,0,0
118,42,5.978,0,0
118,40,11.015,0,0
118,38,18.148,0,0
118,36,25.889,0,0
118,34,32.586,0,0
118,32,34.789,0,0
118,30,29.643,0,0
118,28,19.349,0,0
118,26,9.621,0,0
118,24,3.833,0,0
118,22,1.636,0,0
118,20,1.394,0,0
118,18,2.059,0,0
118,16,3.2,0,0
118,14,4.48,0,0
118,12,5.174,0,0
118,10,4.532,0,0
118,8,2.87,0,0
118,6,1.286,0,0
118,4,0.403,0,0
118,2,0.089,0,0
118,0,0.014,0,0
116,80,0.018,0,0
116,78,0.065,0,0
116,76,0.221,0,0
116,74,0.597,0,0
116,72,1.268,0,0
116,70,2.09,0,0
116,68,2.679,0,0
116,66,2.7,0,0
116,64,2.128,0,0
116,62,1.295,0,0
116,60,0.68,0,0
116,58,0.713,0,0
116,56,2.023,0,0
116,54,5.343,0,0
116,52,10.374,0,0
116,50,14.343,0,0
116,48,14.048,0,0
116,46,10.138,0,0
116,44,7.055,0,0
116,42,8.604,0,0
116,40,14.87,0,0
116,38,22.987,0,0
116,36,30.456,0,0
116,34,36.231,0,0
116,32,38.02,0,0
116,30,32.955,0,0
116,28,22.677,0,0
116,26,12.657,0,0
116,24,6.47,0,0
116,22,4.105,0,0
116,20,4.335,0,0
116,18,6.075,0,0
116,16,8.471,0,0
116,14,10.812,0,0
116,12,11.779,0,0
116,10,10.035,0,0
116,8,6.278,0,0
116,6,2.801,0,0
116,4,0.876,0,0
116,2,0.192,0,0
116,0,0.029,0,0
114,80,0.095,0,0
114,78,0.306,0,0
114,76,0.865,0,0
114,74,2.127,0,0
114,72,4.322,0,0
114,70,6.967,0,0
114,68,8.838,0,0
114,66,8.82,0,0
114,64,6.874,0,0
114,62,4.139,0,0
114,60,2.081,0,0
114,58,1.671,0,0
114,56,3.407,0,0
114,54,7.738,0,0
114,52,13.814,0,0
114,50,18.231,0,0
114,48,17.394,0,0
114,46,12.254,0,0
114,44,8.003,0,0
114,42,8.799,0,0
114,40,14.431,0,0
114,38,21.549,0,0
114,36,27.551,0,0
114,34,32.225,0,0
114,32,34.416,0,0
114,30,31.56,0,0
114,28,24.443,0,0
114,26,17.076,0,0
114,24,12.008,0,0
114,22,9.749,0,0
114,20,10.436,0,0
114,18,13.245,0,0
114,16,16.479,0,0
114,14,18.908,0,0
114,12,19.134,0,0
114,10,15.683,0,0
114,8,9.649,0,0
114,6,4.272,0,0
114,4,1.332,0,0
114,2,0.291,0,0
114,0,0.045,0,0
112,80,0.39,0,0
112,78,1.102,0,0
112,76,2.639,0,0
112,74,5.672,0,0
112,72,10.717,0,0
112,70,16.763,0,0
112,68,20.974,0,0
112,66,20.738,0,0
112,64,16.024,0,0
112,62,9.592,0,0
112,60,4.876,0,0
112,58,3.647,0,0
112,56,5.887,0,0
112,54,10.667,0,0
112,52,16.001,0,0
112,50,18.726,0,0
112,48,16.553,0,0
112,46,11.03,0,0
112,44,6.63,0,0
112,42,6.455,0,0
112,40,10.172,0,0
112,38,15.397,0,0
112,36,20.786,0,0
112,34,26.574,0,0
112,32,31.349,0,0
112,30,32.278,0,0
112,28,29.663,0,0
112,26,26.037,0,0
112,24,22.361,0,0
112,22,19.552,0,0
112,20,19.457,0,0
112,18,21.8,0,0
112,16,24.048,0,0
112,14,24.59,0,0
112,12,22.707,0,0
112,10,17.624,0,0
112,8,10.561,0,0
112,6,4.644,0,0
112,4,1.473,0,0
112,2,0.339,0,0
112,0,0.062,0,0
110,80,1.16,0,0
110,78,3.02,0,0
110,76,6.314,0,0
110,74,11.665,0,0
110,72,19.818,0,0
110,70,29.6,0,0
110,68,36.55,0,0
110,66,36.011,0,0
110,64,27.773,0,0
110,62,16.742,0,0
110,60,8.934,0,0
110,58,7.131,0,0
110,56,10.454,0,0
110,54,15.892,0,0
110,52,19.72,0,0
110,50,19.299,0,0
110,48,14.72,0,0
110,46,8.711,0,0
110,44,4.516,0,0
110,42,3.642,0,0
110,40,5.548,0,0
110,38,9.374,0,0
110,36,15.471,0,0
110,34,24.254,0,0
110,32,33.086,0,0
110,30,38.195,0,0
110,28,39.606,0,0
110,26,39.001,0,0
110,24,36.028,0,0
110,22,31.585,0,0
110,20,28.774,0,0
110,18,28.206,0,0
110,16,27.551,0,0
110,14,25.258,0,0
110,12,21.157,0,0
110,10,15.281,0,0
110,8,8.84,0,0
110,6,3.948,0,0
110,4,1.405,0,0
110,2,0.438,0,0
110,0,0.129,0,0
108,80,2.48,0,0
108,78,6.156,0,0
108,76,11.686,0,0
108,74,18.735,0,0
108,72,28.057,0,0
108,70,39.454,0,0
108,68,48.312,0,0
108,66,48.149,0,0
108,64,37.805,0,0
108,62,23.672,0,0
108,60,14.015,0,0
108,58,12.423,0,0
108,56,17.153,0,0
108,54,23.452,0,0
108,52,26.08,0,0
108,50,22.677,0,0
108,48,15.289,0,0
108,46,8,0,0
108,44,3.604,0,0
108,42,2.358,0,0
108,40,3.357,0,0
108,38,6.623,0,0
108,36,13.825,0,0
108,34,25.611,0,0
108,32,38.225,0,0
108,30,46.598,0,0
108,28,50.29,0,0
108,26,50.796,0,0
108,24,47.414,0,0
108,22,40.863,0,0
108,20,34.558,0,0
108,18,30.24,0,0
108,16,27.011,0,0
108,14,23.44,0,0
108,12,18.595,0,0
108,10,12.72,0,0
108,8,7.374,0,0
108,6,3.89,0,0
108,4,2.068,0,0
108,2,1.06,0,0
108,0,0.448,0,0
106,80,3.768,0,0
106,78,9.09,0,0
106,76,16.237,0,0
106,74,23.366,0,0
106,72,31.028,0,0
106,70,41.085,0,0
106,68,50.736,0,0
106,66,52.596,0,0
106,64,43.465,0,0
106,62,29.685,0,0
106,60,20.658,0,0
106,58,20.066,0,0
106,56,25.242,0,0
106,54,30.895,0,0
106,52,31.876,0,0
106,50,26.368,0,0
106,48,17.122,0,0
106,46,8.892,0,0
106,44,4.443,0,0
106,42,3.517,0,0
106,40,4.561,0,0
106,38,7.595,0,0
106,36,15.022,0,0
106,34,28.063,0,0
106,32,42.576,0,0
106,30,52.352,0,0
106,28,56.225,0,0
106,26,55.796,0,0
106,24,50.908,0,0
106,22,42.468,0,0
106,20,33.916,0,0
106,18,27.873,0,0
106,16,24.758,0,0
106,14,22.609,0,0
106,12,18.776,0,0
106,10,13.352,0,0
106,8,8.875,0,0
106,6,6.463,0,0
106,4,4.82,0,0
106,2,3.001,0,0
106,0,1.371,0,0
104,80,4.093,0,0
104,78,9.626,0,0
104,76,16.532,0,0
104,74,22.165,0,0
104,72,26.968,0,0
104,70,34.54,0,0
104,68,44.448,0,0
104,66,49.502,0,0
104,64,44.605,0,0
104,62,34.76,0,0
104,60,28.981,0,0
104,58,29.883,0,0
104,56,33.775,0,0
104,54,36.11,0,0
104,52,33.935,0,0
104,50,26.983,0,0
104,48,17.895,0,0
104,46,10.57,0,0
104,44,7.415,0,0
104,42,7.88,0,0
104,40,9.62,0,0
104,38,11.861,0,0
104,36,17.243,0,0
104,34,28.087,0,0
104,32,41.097,0,0
104,30,50.187,0,0
104,28,53.524,0,0
104,26,52.025,0,0
104,24,45.69,0,0
104,22,36.105,0,0
104,20,27.209,0,0
104,18,22.081,0,0
104,16,21.272,0,0
104,14,21.838,0,0
104,12,19.934,0,0
104,10,15.87,0,0
104,8,13,0,0
104,6,11.906,0,0
104,4,10.054,0,0
104,2,6.518,0,0
104,0,3.025,0,0
102,80,3.504,0,0
102,78,7.58,0,0
102,76,12.34,0,0
102,74,15.72,0,0
102,72,18.328,0,0
102,70,23.937,0,0
102,68,33.389,0,0
102,66,40.952,0,0
102,64,41.422,0,0
102,62,38.096,0,0
102,60,37.48,0,0
102,58,39.802,0,0
102,56,40.794,0,0
102,54,38.229,0,0
102,52,32.733,0,0
102,50,25.942,0,0
102,48,19.509,0,0
102,46,15.198,0,0
102,44,14.445,0,0
102,42,16.601,0,0
102,40,18.681,0,0
102,38,18.903,0,0
102,36,19.87,0,0
102,34,25.04,0,0
102,32,33.172,0,0
102,30,40.102,0,0
102,28,43.691,0,0
102,26,42.983,0,0
102,24,36.835,0,0
102,22,27.227,0,0
102,20,18.974,0,0
102,18,15.437,0,0
102,16,16.607,0,0
102,14,19.13,0,0
102,12,19.259,0,0
102,10,17.543,0,0
102,8,17.112,0,0
102,6,17.555,0,0
102,4,15.399,0,0
102,2,10.068,0,0
102,0,4.678,0,0
100,80,3.597,0,0
100,78,5.715,0,0
100,76,7.601,0,0
100,74,8.647,0,0
100,72,9.81,0,0
100,70,13.837,0,0
100,68,21.738,0,0
100,66,30.34,0,0
100,64,36.375,0,0
100,62,41.252,0,0
100,60,46.624,0,0
100,58,49.124,0,0
100,56,45.402,0,0
100,54,37.747,0,0
100,52,31.026,0,0
100,50,27.704,0,0
100,48,26.826,0,0
100,46,26.989,0,0
100,44,28.378,0,0
100,42,30.53,0,0
100,40,30.849,0,0
100,38,27.945,0,0
100,36,24.398,0,0
100,34,23.624,0,0
100,32,25.924,0,0
100,30,29.701,0,0
100,28,33.634,0,0
100,26,34.951,0,0
100,24,30.698,0,0
100,22,22.378,0,0
100,20,15.107,0,0
100,18,12.434,0,0
100,16,14.337,0,0
100,14,17.798,0,0
100,12,19.538,0,0
100,10,19.576,0,0
100,8,19.99,0,0
100,6,20.207,0,0
100,4,17.271,0,0
100,2,11.102,0,0
