x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
20,74,Pass,66,6,1,0,0,0,0
20,74,Pass,66,8,1,0,0,0,0
20,74,Pass,64,0,1,0,0,0,0
20,74,Pass,64,2,1,0,0,0,0
20,74,Pass,64,4,1,0,0,0,0
20,74,Pass,64,6,1,0,0,0,0
20,74,Pass,64,8,1,0,0,0,0
20,74,Pass,64,10,1,0,0,0,0
20,74,Pass,64,12,1,0,0,0,0
20,74,Pass,62,0,1,0,0,0,0
20,74,Pass,62,2,1,0,0,0,0
20,74,Pass,62,4,1,0,0,0,0
20,74,Pass,62,6,1,0,0,0,0
20,74,Pass,62,8,1,0,0,0,0
20,74,Pass,62,10,1,0,0,0,0
20,74,Pass,62,12,1,0,0,0,0
20,74,Pass,62,14,1,0,0,0,0
20,74,Pass,60,0,1,0,0,0,0
20,74,Pass,60,2,1,0,0,0,0
20,74,Pass,60,4,1,0,0,0,0
20,74,Pass,60,6,1,0,0,0,0
20,74,Pass,60,8,1,0,0,0,0
20,74,Pass,60,10,1,0,0,0,0
20,74,Pass,60,12,1,0,0,0,0
20,74,Pass,60,14,1,0,0,0,0
20,74,Pass,60,16,1,0,0,0,0
20,74,Pass,58,0,1,0,0,0,0
20,74,Pass,58,2,1,0,0,0,0
20,74,Pass,58,4,1,0,0,0,0
20,74,Pass,58,6,1,0,0,0,0
20,74,Pass,58,8,1,0,0,0,0
20,74,Pass,58,10,1,0,0,0,0
20,74,Pass,58,12,1,0,0,0,0
20,74,Pass,58,14,1,0,0,0,0
20,74,Pass,58,16,1,0,0,0,0
20,74,Pass,58,18,1,0,0,0,0
20,74,Pass,56,0,1,0,0,0,0
20,74,Pass,56,2,1,0,0,0,0
20,74,Pass,56,4,1,0,0,0,0
20,74,Pass,56,6,1,0,0,0,0
20,74,Pass,56,8,1,0,0,0,0
20,74,Pass,56,10,1,0,0,0,0
20,74,Pass,56,12,1,0,0,0,0
20,74,Pass,56,14,1,0,0,0,0
20,74,Pass,56,16,1,0,0,0,0
20,74,Pass,56,18,1,0,0,0,0
20,74,Pass,54,0,1,0,0,0,0
20,74,Pass,54,2,1,0,0,0,0
20,74,Pass,54,4,1,0,0,0,0
20,74,Pass,54,6,1,0,0,0,0
20,74,Pass,54,8,2,0,0,0,0.017
20,74,Pass,54,10,2,0,0,0,0.033
20,74,Pass,54,12,2,0,0,0,0.053
20,74,Pass,54,14,2,0,0,0,0.072
20,74,Pass,54,16,1,0,0,0,0
20,74,Pass,54,18,1,0,0,0,0
20,74,Pass,52,0,1,0,0,0,0
20,74,Pass,52,2,1,0,0,0,0
20,74,Pass,52,4,2,0,0,0,0.022
20,74,Pass,52,6,2,0.001,0,0,0.041
20,74,Pass,52,8,2,0.001,0,0,0.061
20,74,Pass,52,10,2,0.001,0,0,0.077
20,74,Pass,52,12,2,0.001,0,0,0.086
20,74,Pass,52,14,2,0.001,0,0,0.091
20,74,Pass,52,16,2,0,0,0,0.093
20,74,Pass,52,18,2,0,0,0,0.094
20,74,Pass,50,0,1,0,0,0,0
20,74,Pass,50,2,2,0,0,0,0.049
20,74,Pass,50,4,2,0.001,0,0,0.068
20,74,Pass,50,6,2,0.002,0,0,0.081
20,74,Pass,50,8,2,0.003,0,0,0.088
20,74,Pass,50,10,2,0.005,0,0,0.092
20,74,Pass,50,12,2,0.005,0,0,0.093
20,74,Pass,50,14,2,0.004,0,0,0.094
20,74,Pass,50,16,2,0.002,0,0,0.094
20,74,Pass,50,18,2,0.001,0,0,0.094
20,74,Pass,48,0,2,0,0,0,0.074
20,74,Pass,48,2,2,0.001,0,0,0.085
20,74,Pass,48,4,2,0.002,0,0,0.09
20,74,Pass,48,6,2,0.006,0,0,0.093
20,74,Pass,48,8,2,0.014,0,0,0.094
20,74,Pass,48,10,2,0.02,0,0,0.094
20,74,Pass,48,12,2,0.021,0,0,0.094
20,74,Pass,48,14,2,0.015,0,0,0.094
20,74,Pass,48,16,2,0.008,0,0,0.094
20,74,Pass,48,18,2,0.003,0,0,0.094
20,74,Pass,46,0,2,0,0,0,0.091
20,74,Pass,46,2,2,0.001,0,0,0.093
20,74,Pass,46,4,2,0.006,0,0,0.094
20,74,Pass,46,6,2,0.018,0,0,0.094
20,74,Pass,46,8,2,0.039,0,0,0.094
20,74,Pass,46,10,2,0.058,0,0,0.094
20,74,Pass,46,12,2,0.06,0,0,0.094
20,74,Pass,46,14,2,0.043,0,0,0.094
20,74,Pass,46,16,2,0.022,0,0,0.094
20,74,Pass,44,0,2,0,0,0,0.094
20,74,Pass,44,2,2,0.003,0,0,0.094
20,74,Pass,44,4,2,0.012,0,0,0.094
20,74,Pass,44,6,2,0.037,0,0,0.094
20,74,Pass,44,8,2,0.079,0,0,0.094
20,74,Pass,44,10,2,0.117,0,0,0.094
20,74,Pass,44,12,2,0.121,0,0,0.094
20,74,Pass,44,14,2,0.088,0,0,0.094
20,74,Pass,44,16,2,0.044,0,0,0.094
20,74,Pass,42,0,2,0.001,0,0,0.094
20,74,Pass,42,2,2,0.004,0,0,0.094
20,74,Pass,42,4,2,0.017,0,0,0.094
20,74,Pass,42,6,2,0.052,0,0,0.094
20,74,Pass,42,8,2,0.111,0,0,0.094
20,74,Pass,42,10,2,0.165,0,0,0.094
20,74,Pass,42,12,2,0.171,0,0.001,0.094
20,74,Pass,42,14,2,0.124,0,0,0.094
20,74,Pass,40,4,2,0.017,0,0,0.094
20,74,Pass,40,6,2,0.051,0,0,0.094
20,74,Pass,40,8,2,0.109,0,0,0.094
20,74,Pass,40,74,1,0,0,0,0
20,74,Pass,40,76,1,0,0,0,0
20,74,Pass,40,78,1,0,0,0,0
20,74,Pass,40,80,1,0,0,0,0
20,74,Pass,38,70,1,0,0,0,0
20,74,Pass,38,72,1,0,0,0,0
20,74,Pass,38,74,1,0,0,0,0
20,74,Pass,38,76,1,0,0,0,0
20,74,Pass,38,78,1,0,0,0,0
20,74,Pass,38,80,1,0,0,0,0
20,74,Pass,36,70,1,0,0,0,0
20,74,Pass,36,72,1,0,0,0,0
20,74,Pass,36,74,1,0,0,0,0
20,74,Pass,36,76,1,0,0,0,0
20,74,Pass,36,78,1,0,0,0,0
20,74,Pass,36,80,1,0,0,0,0
20,74,Pass,34,68,1,0,0,0,0
20,74,Pass,34,70,1,0,0,0,0
20,74,Pass,34,72,1,0,0,0,0
20,74,Pass,34,74,1,0,0,0,0
20,74,Pass,34,76,1,0,0,0,0
20,74,Pass,34,78,1,0.001,0,0,0
20,74,Pass,34,80,1,0.001,0,0,0
20,74,Pass,32,68,1,0,0,0,0
20,74,Pass,32,70,1,0,0,0,0
20,74,Pass,32,72,1,0,0,0,0
20,74,Pass,32,74,1,0,0,0,0
20,74,Pass,32,76,1,0.001,0,0,0
20,74,Pass,32,78,1,0.002,0,0,0
20,74,Pass,32,80,1,0.002,0,0,0
20,74,Pass,30,68,1,0,0,0,0
20,74,Pass,30,70,1,0,0,0,0
20,74,Pass,30,72,1,0,0,0,0
20,74,Pass,30,74,1,0.001,0,0,0
20,74,Pass,30,76,1,0.002,0,0,0
20,74,Pass,30,78,1,0.002,0,0,0
20,74,Pass,30,80,1,0.003,0,0,0
20,74,Pass,28,66,1,0,0,0,0
20,74,Pass,28,68,1,0,0,0,0
20,74,Pass,28,70,1,0,0,0,0
20,74,Pass,28,72,1,0,0,0,0
20,74,Pass,28,74,1,0.001,0,0,0
20,74,Pass,28,76,1,0.002,0,0,0
20,74,Pass,28,78,1,0.003,0,0,0
20,74,Pass,28,80,1,0.003,0,0,0
20,74,Pass,26,68,1,0,0,0,0
20,74,Pass,26,70,1,0,0,0,0
20,74,Pass,26,72,1,0,0,0,0
20,74,Pass,26,74,1,0.001,0,0,0
20,74,Pass,26,76,1,0.001,0,0,0
20,74,Pass,26,78,1,0.002,0,0,0
20,74,Pass,26,80,1,0.002,0,0,0
20,74,Pass,24,68,1,0,0,0,0
20,74,Pass,24,70,1,0,0,0,0
20,74,Pass,24,72,1,0,0,0,0
20,74,Pass,24,74,1,0,0,0,0
20,74,Pass,24,76,1,0.001,0,0,0
20,74,Pass,24,78,1,0.001,0,0,0
20,74,Pass,24,80,1,0.001,0,0,0
20,74,Pass,22,68,1,0,0,0,0
20,74,Pass,22,70,1,0,0,0,0
20,74,Pass,22,72,1,0,0,0,0
20,74,Pass,22,74,1,0,0,0,0
20,74,Pass,22,76,1,0,0,0,0
20,74,Pass,22,78,1,0,0,0,0
20,74,Pass,22,80,1,0,0,0,0
20,74,Pass,20,70,1,0,0,0,0
20,74,Pass,20,72,1,0,0,0,0
20,74,Pass,20,74,1,0,0,0,0
20,74,Pass,20,76,1,0,0,0,0
20,74,Pass,20,78,1,0,0,0,0
20,74,Pass,20,80,1,0,0,0,0
20,74,Pass,18,72,2,0,0,0,0
20,74,Pass,18,74,2,0,0,0,0
20,74,Pass,18,76,2,0,0,0,0
20,74,Pass,18,78,1,0,0,0,0
20,74,Pass,18,80,1,0,0,0,0
20,74,Pass,16,76,2,0,0,0,0
20,74,Pass,16,78,2,0,0,0,0
20,74,Pass,16,80,2,0,0,0,0
20,74,Pass,18,68,1,0,0,0,0
20,74,Pass,18,70,1,0,0,0,0
20,74,Pass,16,64,1,0,0,0,0
20,74,Pass,16,66,1,0,0,0,0
20,74,Pass,16,68,1,0,0,0,0
20,74,Pass,16,70,1,0,0,0,0
20,74,Pass,16,72,1,0,0,0,0
20,74,Pass,16,74,1,0,0,0,0
