endX,endY,WeightedCount,WeightedExpectedGoals,GoalProbability
54,46,37.193,0.005,0.013
54,48,40.246,0.01,0.016
54,50,35.944,0.009,0.017
54,52,25.46,0.004,0.016
54,54,14.066,0.001,0.013
54,56,6.242,0,0.01
52,42,15.8,0,0.004
52,44,21.463,0.001,0.008
52,46,28.376,0.003,0.012
52,48,33.716,0.005,0.014
52,50,33.329,0.004,0.013
52,52,26.103,0.002,0.011
52,54,15.667,0,0.008
52,56,7.335,0,0.006
52,58,3.958,0,0.002
50,42,7.402,0,0.004
50,44,11.115,0,0.008
50,46,16.665,0.001,0.01
50,48,22.557,0.001,0.01
50,50,25.136,0.001,0.008
50,52,21.692,0,0.006
50,54,13.974,0,0.005
50,56,6.869,0,0.003
50,58,3.875,0,0.001
50,60,5.698,0,0
48,40,1.71,0,0.001
48,42,2.63,0,0.004
48,44,4.706,0,0.006
48,46,8.605,0,0.006
48,48,13.69,0,0.005
48,50,17.071,0,0.004
48,52,15.79,0,0.003
48,54,10.588,0,0.002
48,56,5.285,0,0.001
48,58,2.896,0,0.001
48,60,4.081,0,0
48,62,7.79,0,0
46,38,1.607,0,0
46,40,0.829,0,0.001
46,42,1.011,0,0.002
46,44,2.445,0,0.003
46,46,5.773,0,0.002
46,48,10.565,0,0.002
46,50,14.051,0,0.001
46,52,13.29,0,0.001
46,54,8.884,0,0.001
46,56,4.288,0,0
46,58,1.966,0,0
46,60,2.136,0,0
46,62,3.874,0,0
44,38,2.981,0,0
44,40,1.078,0,0
44,42,0.84,0,0
44,44,2.345,0,0
44,46,6.234,0,0
44,48,11.905,0,0
44,50,15.964,0,0
44,52,14.97,0,0
44,54,9.81,0,0
44,56,4.534,0,0
44,58,1.641,0,0
44,60,0.949,0,0
44,62,1.369,0,0
42,38,4.513,0,0
42,40,1.552,0,0
42,42,0.953,0,0
42,44,2.546,0,0
42,46,6.859,0,0
42,48,13.141,0,0
42,50,17.56,0,0
42,52,16.367,0,0
42,54,10.643,0,0
42,56,4.838,0,0
42,58,1.577,0,0
42,60,0.488,0,0
42,62,0.367,0,0
40,38,4.84,0,0
40,40,1.643,0,0
40,42,0.874,0,0
40,44,2.137,0,0
40,46,5.728,0,0
40,48,10.957,0,0
40,50,14.629,0,0
40,52,13.617,0,0
40,54,8.837,0,0
40,56,3.998,0,0
40,58,1.27,0,0
40,60,0.301,0,0
40,62,0.095,0,0
38,38,3.625,0,0
38,40,1.217,0,0
38,42,0.572,0,0
38,44,1.271,0,0
38,46,3.378,0,0
38,48,6.466,0,0
38,50,8.637,0,0
38,52,8.037,0,0
38,54,5.214,0,0
38,56,2.355,0,0
38,58,0.742,0,0
38,60,0.163,0,0
38,62,0.031,0,0
36,40,0.63,0,0
36,42,0.265,0,0
36,44,0.53,0,0
36,46,1.396,0,0
36,48,2.672,0,0
36,50,3.566,0,0
36,52,3.318,0,0
36,54,2.152,0,0
36,56,0.973,0,0
36,58,0.307,0,0
36,60,0.067,0,0
36,62,0.01,0,0
34,40,0.228,0,0
34,42,0.087,0,0
34,44,0.154,0,0
34,46,0.402,0,0
34,48,0.77,0,0
34,50,1.027,0,0
34,52,0.956,0,0
34,54,0.62,0,0
34,56,0.28,0,0
34,58,0.088,0,0
34,60,0.019,0,0
32,42,0.02,0,0
32,44,0.029,0,0
32,46,0.081,0,0
32,48,0.155,0,0
32,50,0.206,0,0
32,52,0.192,0,0
32,54,0.125,0,0
32,56,0.056,0,0
32,58,0.018,0,0
30,46,0.011,0,0
30,48,0.022,0,0
30,50,0.029,0,0
30,52,0.027,0,0
30,54,0.017,0,0
30,56,0.008,0,0
68,36,14.135,0.057,0.371
68,38,11.699,0.021,0.235
68,40,14.805,0.008,0.072
68,42,23.878,0.004,0.016
68,44,36.341,0.002,0.005
68,46,47.118,0.001,0.003
66,34,18.793,0.122,0.422
66,36,14.142,0.07,0.417
66,38,9.592,0.022,0.322
66,40,9.431,0.006,0.123
66,42,14.912,0.002,0.023
66,44,24.812,0.001,0.005
66,46,35.607,0,0.002
66,48,41.363,0,0.001
64,32,15.168,0.066,0.385
64,34,14.672,0.076,0.424
64,36,10.968,0.043,0.424
64,38,6.952,0.013,0.35
64,40,5.693,0.002,0.158
64,42,8.247,0.001,0.03
64,44,14.348,0,0.005
64,46,22.375,0,0.002
64,48,28.359,0,0.001
64,50,28.735,0,0.001
62,30,13.129,0.01,0.16
62,32,11.319,0.021,0.282
62,34,9.459,0.023,0.362
62,36,7.126,0.013,0.359
