"","x","y","endX","endY","event","GoalProbability","WeightedExpectedGoals","WeightedCount"
"1",66,52,76,76,"Pass",0.222463656481961,0.0311109160924199,4.43188677631272
"2",52,54,54,68,"Pass",0.221623581598912,0.0293861960815783,4.20206079401526
"3",74,74,90,10,"Pass",0.918025810797827,0.0281314038537052,0.971116743379248
"4",74,22,94,10,"Pass",0.735453590496608,0.0278166181294002,1.19862680125518
"5",44,52,50,8,"Pass",0.549620110012559,0.0270621390236667,1.56039458450044
"6",64,44,62,32,"Pass",0.186581286612757,0.0269046735153432,4.5697724081278
"7",64,32,68,24,"Pass",0.179537291051423,0.0244029056536837,4.30746543472545
"8",58,58,58,72,"Pass",0.256544707710107,0.0207928532467988,2.56853777228393
"9",68,48,78,38,"Pass",0.205911557761153,0.0202358098622515,3.11440289398227
"10",62,34,50,26,"Pass",0.27759143894205,0.0197730555973625,2.25736947311276
"11",64,26,72,48,"Pass",0.261263346976436,0.0193856787648732,2.35145923403026
"12",68,44,76,50,"Pass",0.195504983539698,0.018619245855259,3.01813861985673
"13",48,50,58,56,"Pass",0.138440690517981,0.0159513732364213,3.65148270902743
"14",8,52,28,46,"Pass",0.506312980918184,0.0158610992964484,0.992771155098486
"15",46,50,40,58,"Pass",0.273996647586946,0.0158396527886274,1.83204162400376
"16",48,50,68,2,"Pass",0.209697143126697,0.015462489505063,2.3368015521284
"17",62,66,58,70,"Pass",0.221957055528211,0.0154336904132607,2.20361519252607
"18",62,22,56,38,"Pass",0.22772917477004,0.0154149720738077,2.14515658186772
"19",92,62,80,70,"Pass",0.449330457879707,0.0153655300879999,1.08371882495835
"20",50,32,58,54,"Pass",0.280135340365966,0.0151713274325204,1.71628975206723
"21",72,50,108,4,"Pass",0.277592054764597,0.0151317016675578,1.72749049711254
"22",50,48,56,76,"Pass",0.310484190198255,0.0148590577233569,1.51665467197952
"23",64,34,78,12,"Pass",0.211170736628528,0.0147721100966402,2.21688788094612
"24",82,30,90,36,"Pass",0.155751944826488,0.0144061076041736,2.93121790211601
