x,y,WeightedCount,WeightedExpectedGoals,GoalProbability
0,12,0.0356782738635798,0,0
0,14,0.122459139483395,0,0
0,16,0.315377121552773,0,0
0,18,0.586898876098114,0,0
0,20,0.773802110502352,0,0
0,22,0.713570016324688,0,0
0,24,0.489746691769392,0,0
0,26,0.35700773823302,0,0
0,28,0.576334518944435,0,0
0,30,1.25161700454609,0,0
0,32,2.10031967290467,0,0
0,34,2.49430195323758,0,0
0,36,2.07013279177897,0,0
0,38,1.19988349561689,0,0
0,40,0.481815535138129,0,0
0,42,0.150184756799132,0,0.047
0,44,0.0984349528604588,0,0.372
0,46,0.263448533779581,0,0.501
0,48,0.677979440928416,0,0.488
0,50,1.24936135034914,0.001,0.463
0,52,1.68866380158508,0.001,0.418
0,54,1.73509540027102,0.001,0.346
0,56,1.40699131914169,0,0.253
0,58,0.915077939954352,0,0.161
0,60,0.468661758979695,0,0.09
0,62,0.181968332854812,0,0.047
0,64,0.0493906351936648,0,0
0,66,0.0102843583169387,0,0
2,8,0.00777143101991051,0,0
2,10,0.0448314207542083,0,0
2,12,0.166556758389316,0,0
2,14,0.512296545970486,0,0
2,16,1.24064403142391,0,0
2,18,2.24118682263041,0,0
2,20,2.91588065907824,0,0
2,22,2.69370309923581,0,0
2,24,1.82056015050196,0,0
2,26,1.22678328321521,0,0
2,28,1.74866900341078,0,0
2,30,3.62787979856539,0,0
2,32,5.99098593553966,0,0
2,34,7.03207611206591,0,0
2,36,5.79268167258364,0,0
2,38,3.34573315743333,0,0
2,40,1.36236634843412,0,0.002
2,42,0.431129902650566,0,0.053
2,44,0.314607399343834,0,0.376
2,46,0.86438212101236,0,0.493
2,48,2.2078050160489,0.002,0.484
2,50,4.10879626737543,0.006,0.455
2,52,5.63058096877695,0.009,0.405
2,54,5.92446335110239,0.007,0.327
2,56,4.94962294610661,0.002,0.232
2,58,3.31284730564885,0,0.143
2,60,1.73327940200331,0,0.079
2,62,0.681801077776278,0,0.04
2,64,0.195128679674753,0,0.02
2,66,0.0390675473889879,0,0
4,6,0.00881722062409974,0,0
4,8,0.0490020344226271,0,0
4,10,0.194682275509919,0,0
4,12,0.633286361527893,0,0
4,14,1.66981976727195,0,0
4,16,3.63291203852722,0,0
4,18,6.17650486928574,0,0
4,20,7.80390012687221,0,0
4,22,7.1261835202506,0,0
4,24,4.77769117342911,0,0
4,26,3.08763773932417,0,0
4,28,3.97490049637859,0,0
4,30,7.78189199932666,0,0
4,32,12.447515289797,0,0
4,34,14.2936127111404,0,0
4,36,11.6188102622226,0,0
4,38,6.67542660897907,0,0
4,40,2.77427246428771,0,0.003
4,42,0.979019485417412,0,0.053
4,44,0.790043281078939,0,0.337
4,46,2.04106405952274,0.002,0.47
4,48,5.09407684735036,0.01,0.472
4,50,9.49055410476103,0.031,0.443
4,52,13.2181514222617,0.047,0.388
4,54,14.2485330368979,0.034,0.306
4,56,12.2661634480871,0.012,0.211
4,58,8.43377652862555,0.002,0.127
4,60,4.50091682015614,0,0.068
4,62,1.79119361709938,0,0.035
4,64,0.513795440259635,0,0.017
4,66,0.110374533418079,0,0.006
4,68,0.0244079603295469,0,0.036
4,70,0.00889351267254853,0,0.094
4,72,0.00587374754866115,0,0.094
6,6,0.0341038661187707,0,0
6,8,0.185154355778709,0,0
6,10,0.687668759329463,0,0
6,12,1.93618490493822,0,0
6,14,4.37839628727593,0,0
6,16,8.20980608369479,0,0
6,18,12.608325342955,0,0
6,20,15.0752377396439,0,0
6,22,13.4161869465656,0,0
6,24,8.94814393184702,0,0
6,26,5.77191066930507,0,0
6,28,7.09108813754175,0,0
6,30,12.9769723720172,0,0
6,32,19.6977369699951,0,0
6,34,21.753222869287,0,0
6,36,17.2611987907362,0,0
6,38,10.0049245763402,0,0
6,40,4.5773773599973,0,0.002
6,42,2.12368272359784,0,0.038
6,44,1.83791926804248,0,0.228
6,46,3.69967097269179,0.004,0.407
6,48,8.5038441841311,0.026,0.444
6,50,15.6293589773737,0.078,0.423
6,52,21.9803563087873,0.115,0.367
6,54,24.2567781582235,0.083,0.282
6,56,21.487500933586,0.029,0.189
6,58,15.1681475345646,0.005,0.111
6,60,8.23573827608647,0,0.059
6,62,3.31981584225332,0,0.03
6,64,0.9880456540453,0,0.017
6,66,0.250129295195601,0,0.022
6,68,0.108028629386394,0,0.07
6,70,0.0760668479773941,0,0.094
6,72,0.0502385815697684,0,0.094
6,74,0.0231323706534759,0,0.094
6,76,0.00742580842117002,0,0.094
8,4,0.013111633479062,0,0
8,6,0.0978499486034675,0,0
8,8,0.498927471267541,0,0
8,10,1.79368001663779,0,0
8,12,4.72536649267485,0,0
8,14,9.4795720153134,0,0
8,16,15.2600083759131,0,0
8,18,20.3675471137173,0,0
8,20,22.1706265078315,0,0
8,22,18.8321709596796,0,0
8,24,12.4690709645681,0,0
8,26,8.38833993623038,0,0
8,28,10.4699614808431,0,0
8,30,17.9800840403195,0,0
8,32,25.442734387942,0,0
8,34,26.5395551082446,0,0
8,36,20.6248729234052,0,0
8,38,12.9098725923206,0,0
8,40,7.84116072138522,0,0.002
8,42,5.52932726928436,0,0.016
8,44,4.81568564823964,0.001,0.095
8,46,6.30167199930446,0.006,0.261
8,48,11.3813951869962,0.033,0.363
8,50,19.4132447264408,0.096,0.372
8,52,26.9059594898762,0.14,0.328
8,54,30.0612885737432,0.101,0.249
8,56,27.2814844151918,0.036,0.163
8,58,19.6901239180278,0.006,0.093
8,60,10.8723345185976,0.001,0.049
8,62,4.45943243706432,0,0.025
8,64,1.45801148651969,0,0.022
8,66,0.611775792959896,0,0.054
8,68,0.514502000953389,0,0.088
8,70,0.45358463821479,0,0.094
8,72,0.299571356664071,0,0.094
8,74,0.13793772521014,0,0.094
8,76,0.0442799026873013,0,0.094
8,78,0.00990994127198349,0,0.094
10,4,0.0246496272946603,0,0
10,6,0.191900020285333,0,0
10,8,0.972729607939922,0,0
10,10,3.475903834605,0,0
10,12,8.91659024398623,0,0
10,14,16.802721204978,0,0
10,16,24.3028168500544,0,0
10,18,28.3825349958733,0,0
10,20,27.53347192888,0,0
10,22,21.9002500847302,0,0
10,24,14.416460010815,0,0
10,26,10.4010447025615,0,0
10,28,13.5303239812523,0,0
10,30,22.0286086450128,0,0
10,32,29.0312298061743,0,0
10,34,28.7936229875198,0,0
10,36,23.1196343268355,0,0
10,38,18.156316971941,0,0
10,40,16.3308818031094,0,0.001
10,42,15.1272947888228,0,0.004
10,44,13.0639388248839,0.001,0.027
10,46,12.3353697686761,0.006,0.102
10,48,15.3559737165836,0.025,0.205
10,50,21.3891220343596,0.063,0.258
10,52,27.2192763100493,0.087,0.247
10,54,29.7356249456743,0.062,0.193
10,56,27.2253396726558,0.022,0.125
10,58,19.9993745025381,0.004,0.071
10,60,11.2295994429692,0,0.037
10,62,4.82616128770195,0,0.023
10,64,2.07351977871583,0,0.041
10,66,1.73157489445604,0,0.08
10,68,2.02897420751788,0,0.093
10,70,1.8856543165156,0,0.094
10,72,1.24538614010677,0,0.094
10,74,0.573438439133548,0,0.094
10,76,0.184081608155481,0,0.094
10,78,0.0411978756808842,0,0.094
10,80,0.0064280622013702,0,0.094
12,4,0.0323076030658211,0,0
12,6,0.269404422789365,0,0
12,8,1.3752457417619,0,0
12,10,4.98319517729168,0,0
12,12,12.8068867026117,0,0
12,14,23.850635073153,0,0
12,16,33.2205388041974,0,0
12,18,36.3099407474009,0,0
12,20,32.726713688538,0,0
12,22,24.877742365759,0,0
12,24,16.4658683949469,0,0
12,26,12.4410199892949,0,0
12,28,16.0844691057404,0,0
12,30,24.8379051392888,0,0
12,32,31.2600156688087,0,0
12,34,30.9715267515836,0,0
12,36,28.2994817339643,0,0
12,38,29.5957916170245,0,0
12,40,33.6927999891845,0,0
12,42,34.2187373162468,0,0.001
12,44,29.557289008031,0.001,0.006
12,46,24.7601461518146,0.006,0.027
12,48,23.9885565380137,0.016,0.07
12,50,26.2010187207015,0.028,0.113
12,52,28.3523293051126,0.032,0.127
12,54,28.7083998238526,0.022,0.108
12,56,25.9028538579969,0.008,0.073
12,58,19.2715402910731,0.002,0.043
12,60,11.1106572533204,0,0.027
12,62,5.31265193088285,0,0.029
12,64,3.51950014167976,0,0.064
12,66,4.52433497697774,0.002,0.09
12,68,5.80442339635106,0.003,0.094
12,70,5.46520738324237,0.003,0.094
12,72,3.6095128721558,0.001,0.094
12,74,1.66200133499481,0,0.094
12,76,0.533525235881769,0,0.094
12,78,0.119404141243195,0,0.094
12,80,0.0186305054405655,0,0.094
14,0,0.00380493675328891,0,0
14,2,0.00431696128146042,0,0
14,4,0.0372365760904889,0,0
14,6,0.274249211324448,0,0
14,8,1.43577312040711,0,0
14,10,5.33014628930906,0,0
14,12,14.0755646551881,0,0
14,14,26.9095406493805,0,0
14,16,38.3189202851716,0,0
14,18,42.4448142485671,0,0
14,20,38.4868738999745,0,0
14,22,29.5455610518218,0,0
14,24,20.0452915463517,0,0
14,26,15.2180592726055,0,0
14,28,18.3721156334706,0,0
14,30,26.7954532254521,0,0
14,32,33.2916998794583,0,0
14,34,34.8822320155455,0,0
14,36,37.3060115755607,0,0
14,38,46.1092872748987,0,0
14,40,56.5566783857323,0,0
14,42,58.6825138904375,0,0
14,44,50.9282539290399,0.001,0.002
14,46,41.4781812284776,0.004,0.006
14,48,36.4189419243628,0.008,0.018
14,50,34.4997419585868,0.011,0.034
