x,y,WeightedCount,WeightedExpectedGoals,GoalProbability
8,44,0.007,0,0
8,46,0.007,0,0
10,38,0.009,0,0
10,40,0.025,0,0
10,42,0.048,0,0
10,44,0.066,0,0
10,46,0.062,0,0
10,48,0.041,0,0
10,50,0.019,0,0
10,52,0.006,0,0
12,36,0.014,0,0
12,38,0.055,0,0
12,40,0.154,0,0
12,42,0.306,0,0
12,44,0.419,0,0
12,46,0.401,0,0
12,48,0.268,0,0
12,50,0.125,0,0
12,52,0.038,0,0
12,54,0.008,0,0
14,32,0.008,0,0.04
14,34,0.023,0,0.022
14,36,0.072,0,0.007
14,38,0.247,0,0.002
14,40,0.683,0,0
14,42,1.344,0,0
14,44,1.85,0,0
14,46,1.782,0,0
14,48,1.204,0,0
14,50,0.571,0,0
14,52,0.19,0,0
14,54,0.045,0,0
16,28,0.01,0,0.04
16,30,0.031,0,0.04
16,32,0.067,0,0.04
16,34,0.133,0,0.031
16,36,0.285,0,0.015
16,38,0.821,0,0.004
16,40,2.143,0,0.001
16,42,4.185,0,0
16,44,5.799,0,0
16,46,5.661,0,0
16,48,3.886,0,0
16,50,1.88,0,0
16,52,0.642,0,0
16,54,0.155,0,0
16,56,0.027,0,0
18,10,0.006,0,0.005
18,12,0.019,0,0.005
18,14,0.038,0,0.005
18,16,0.053,0,0.005
18,18,0.052,0,0.005
18,20,0.036,0,0.005
18,22,0.017,0,0.005
18,26,0.013,0,0.04
18,28,0.056,0,0.04
18,30,0.175,0,0.04
18,32,0.387,0,0.039
18,34,0.639,0,0.036
18,36,1,0,0.024
18,38,2.054,0,0.009
18,40,4.832,0,0.002
18,42,9.335,0,0
18,44,13.105,0,0
18,46,13.042,0,0
18,48,9.184,0,0
18,50,4.579,0,0
18,52,1.62,0,0
18,54,0.414,0,0
18,56,0.079,0,0
20,8,0.01,0,0.005
20,10,0.041,0,0.005
20,12,0.119,0,0.005
20,14,0.241,0,0.005
20,16,0.34,0,0.005
20,18,0.334,0,0.005
20,20,0.229,0,0.005
20,22,0.109,0,0.005
20,24,0.044,0,0.011
20,26,0.058,0,0.035
20,28,0.221,0,0.04
20,30,0.688,0,0.04
20,32,1.514,0,0.04
20,34,2.379,0,0.038
20,36,3.006,0,0.032
20,38,4.262,0,0.017
20,40,8.166,0,0.004
20,42,15.227,0,0.001
20,44,21.713,0,0
20,46,22.252,0,0
20,48,16.232,0,0
20,50,8.436,0,0
20,52,3.148,0,0
20,54,0.875,0,0
20,56,0.21,0,0
20,58,0.054,0,0
20,60,0.019,0,0
20,62,0.006,0,0
22,6,0.007,0,0.005
22,8,0.044,0,0.005
22,10,0.184,0,0.005
22,12,0.534,0,0.005
22,14,1.078,0,0.005
22,16,1.524,0,0.005
22,18,1.503,0,0.005
22,20,1.036,0,0.005
22,22,0.501,0,0.005
22,24,0.192,0,0.009
22,26,0.173,0,0.033
22,28,0.621,0,0.039
22,30,1.916,0,0.04
22,32,4.179,0.001,0.039
22,34,6.429,0.001,0.039
22,36,7.344,0.002,0.036
22,38,7.731,0.001,0.025
22,40,10.926,0,0.009
22,42,18.699,0,0.002
22,44,26.991,0,0
22,46,28.689,0,0
22,48,21.851,0,0
22,50,11.947,0,0
22,52,4.817,0,0
22,54,1.616,0,0
22,56,0.605,0,0
22,58,0.276,0,0
22,60,0.119,0,0
22,62,0.039,0,0
22,64,0.009,0,0
24,6,0.023,0,0.005
24,8,0.138,0,0.005
24,10,0.573,0,0.005
24,12,1.662,0,0.005
24,14,3.375,0,0.005
24,16,4.777,0,0.005
24,18,4.735,0,0.005
24,20,3.3,0,0.005
24,22,1.629,0,0.005
24,24,0.618,0,0.007
24,26,0.418,0,0.026
24,28,1.234,0,0.038
24,30,3.765,0,0.039
24,32,8.214,0.002,0.038
24,34,12.562,0.005,0.038
24,36,13.763,0.006,0.037
24,38,12.125,0.003,0.031
24,40,12.321,0.001,0.015
24,42,17.873,0,0.004
24,44,25.684,0,0.001
24,46,28.318,0,0
24,48,22.613,0,0
24,50,13.215,0,0
24,52,6.208,0,0
24,54,3.051,0,0
24,56,1.877,0,0
24,58,1.126,0,0
24,60,0.52,0,0
24,62,0.173,0,0
24,64,0.04,0,0
24,66,0.007,0,0
26,4,0.006,0,0.005
26,6,0.05,0,0.005
26,8,0.3,0,0.005
26,10,1.245,0,0.005
26,12,3.633,0,0.005
26,14,7.387,0,0.005
26,16,10.532,0,0.005
26,18,10.584,0,0.005
26,20,7.568,0,0.004
26,22,3.917,0,0.004
26,24,1.55,0,0.005
26,26,0.816,0,0.019
26,28,1.814,0,0.034
26,30,5.409,0.001,0.036
26,32,11.836,0.004,0.036
26,34,18.166,0.009,0.035
26,36,19.671,0.01,0.034
26,38,15.9,0.006,0.031
26,40,12.304,0.002,0.021
26,42,13.802,0,0.007
26,44,18.877,0,0.001
26,46,21.401,0,0
26,48,18.033,0,0
26,50,11.891,0,0
26,52,7.69,0,0
26,54,6.165,0,0
26,56,5.116,0,0
26,58,3.368,0,0
26,60,1.592,0,0
26,62,0.53,0,0
26,64,0.123,0,0
26,66,0.02,0,0
28,4,0.009,0,0.005
28,6,0.076,0,0.005
28,8,0.454,0,0.005
28,10,1.902,0,0.005
28,12,5.557,0,0.005
28,14,11.406,0.001,0.005
28,16,16.554,0.001,0.005
28,18,17.188,0.001,0.004
28,20,13.011,0.001,0.004
28,22,7.366,0,0.003
28,24,3.264,0,0.003
28,26,1.496,0,0.01
28,28,2.173,0,0.027
28,30,6.08,0.001,0.03
28,32,13.406,0.003,0.029
28,34,20.831,0.008,0.028
28,36,22.718,0.009,0.028
28,38,17.818,0.005,0.026
28,40,11.477,0.001,0.021
28,42,9.173,0,0.009
28,44,10.8,0,0.002
28,46,12.332,0,0
28,48,11.345,0,0
28,50,9.697,0,0
28,52,10.01,0,0
28,54,11.313,0,0
28,56,10.541,0,0
28,58,7.136,0,0
28,60,3.396,0,0
28,62,1.13,0,0
28,64,0.262,0,0
28,66,0.042,0,0
28,68,0.008,0,0
28,70,0.011,0,0
28,72,0.012,0,0
28,74,0.008,0,0
30,4,0.009,0,0.005
30,6,0.08,0,0.005
30,8,0.479,0,0.005
30,10,2.034,0,0.005
30,12,6.018,0,0.005
30,14,12.637,0.001,0.005
30,16,19.112,0.001,0.004
30,18,21.279,0.001,0.004
30,20,17.918,0.001,0.003
30,22,11.668,0,0.002
30,24,5.961,0,0.002
30,26,2.666,0,0.004
30,28,2.438,0,0.016
30,30,5.933,0,0.02
30,32,13.204,0.001,0.019
30,34,20.96,0.003,0.018
30,36,23.341,0.004,0.017
30,38,18.36,0.002,0.016
30,40,10.771,0.001,0.014
30,42,6.056,0,0.009
30,44,5.08,0,0.003
30,46,5.559,0,0
30,48,6.166,0,0
30,50,8.093,0,0
30,52,12.259,0,0
30,54,16.065,0,0
30,56,15.523,0,0
30,58,10.589,0,0
30,60,5.05,0,0
30,62,1.681,0,0
30,64,0.4,0,0
30,66,0.093,0,0
30,68,0.07,0,0
30,70,0.093,0,0
30,72,0.097,0,0
30,74,0.07,0,0
30,76,0.035,0,0
30,78,0.012,0,0
32,4,0.007,0,0.005
32,6,0.059,0,0.005
32,8,0.363,0,0.005
32,10,1.548,0,0.005
32,12,4.713,0,0.004
32,14,10.421,0,0.004
32,16,17.144,0.001,0.003
32,18,21.554,0.001,0.003
32,20,21.052,0,0.002
32,22,15.905,0,0.001
32,24,9.138,0,0.001
32,26,4.148,0,0.001
32,28,2.692,0,0.006
32,30,5.348,0,0.01
32,32,11.937,0,0.01
32,34,19.391,0.001,0.009
32,36,22.161,0.001,0.008
32,38,17.866,0,0.008
32,40,10.384,0,0.007
32,42,4.811,0,0.005
32,44,2.555,0,0.003
32,46,2.371,0,0.001
32,48,3.53,0,0.001
32,50,6.757,0,0
32,52,12.111,0,0
32,54,16.547,0,0
32,56,16.129,0,0
32,58,11.013,0,0
32,60,5.258,0,0
32,62,1.763,0,0
32,64,0.46,0,0
32,66,0.235,0,0
32,68,0.369,0,0
32,70,0.538,0,0
32,72,0.557,0,0
32,74,0.403,0,0
32,76,0.203,0,0
32,78,0.071,0,0
32,80,0.017,0,0
34,6,0.03,0,0.005
34,8,0.194,0,0.005
34,10,0.86,0,0.004
34,12,2.807,0,0.004
34,14,6.849,0,0.004
34,16,12.879,0,0.003
34,18,18.831,0,0.002
34,20,21.144,0,0.001
34,22,17.768,0,0.001
34,24,10.915,0,0
34,26,5.022,0,0
34,28,2.637,0,0.002
34,30,4.256,0,0.004
34,32,9.426,0,0.004
34,34,15.787,0,0.004
34,36,18.905,0,0.003
34,38,16.352,0,0.003
34,40,10.474,0,0.003
34,42,5.298,0,0.003
34,44,2.623,0,0.004
34,46,2.142,0,0.006
34,48,3.193,0,0.006
34,50,5.758,0,0.003
34,52,9.607,0,0.002
34,54,12.634,0,0.001
34,56,12.115,0,0
34,58,8.238,0,0
34,60,3.927,0,0
34,62,1.356,0,0
34,64,0.525,0,0
34,66,0.727,0,0
34,68,1.45,0,0
34,70,2.156,0,0
34,72,2.235,0,0
34,74,1.616,0,0
34,76,0.814,0,0
34,78,0.286,0,0
34,80,0.07,0,0
36,6,0.011,0,0.005
36,8,0.085,0,0.011
36,10,0.401,0,0.01
36,12,1.44,0,0.008
36,14,3.991,0,0.006
36,16,8.584,0,0.004
36,18,14.09,0,0.002
36,20,17.209,0,0.001
36,22,15.257,0,0.001
36,24,9.691,0,0
36,26,4.502,0,0
36,28,2.121,0,0.001
36,30,2.841,0,0.001
36,32,6.387,0,0.002
36,34,11.643,0,0.003
36,36,15.955,0,0.004
36,38,16.64,0,0.004
36,40,13.441,0,0.005
36,42,8.745,0,0.006
36,44,5.584,0,0.008
36,46,5.144,0,0.012
36,48,6.36,0,0.013
36,50,7.755,0,0.012
36,52,8.867,0,0.008
36,54,9.312,0,0.004
36,56,8.107,0,0.002
36,58,5.317,0,0.001
36,60,2.531,0,0
36,62,0.973,0,0
36,64,0.815,0,0
36,66,1.932,0,0
36,68,4.053,0,0
36,70,6.027,0,0
