Count,WeightedCount,Goals,WeightedGoals,GoalProbability,WeightedExpectedGoals,y,x,event
1,0.00151475737706129,0,0,0.0064481664,0.000000308208338429397,26,80,Shot
1,0.00528702274328923,0,0,0.0064481664,0.00000107575280346806,28,80,Shot
1,0.00678867158098953,0,0,0.0064481664,0.00000138129394172608,30,80,Shot
2,0.00455021066678663,0,0,0.00656539818352534,0.000000942665572984699,32,80,Shot
3,0.00379122721820916,0,0,0.00635208764476748,0.00000075990861319679,34,80,Shot
2,0.00307872554730936,0,0,0.00581965823879024,0.000000565371000464052,36,80,Shot
2,0.00136172433387306,0,0,0.00521126335835449,0.000000223922271689984,38,80,Shot
1,0.00225975246603433,0,0,0.0064481664,0.000000459792811287952,24,82,Shot
1,0.0214399344532935,0,0,0.0064481664,0.00000436239273295674,26,82,Shot
2,0.0751810055523575,0,0,0.00645000577888078,0.0000153014752995295,28,82,Shot
2,0.101016707239635,0,0,0.00646754250569568,0.0000206156755843879,30,82,Shot
3,0.0740167987834351,0,0,0.00650193496088898,0.0000151858110055849,32,82,Shot
3,0.0724695922989008,0,0,0.00627122788898437,0.0000143408030863622,34,82,Shot
4,0.0654380432362516,0,0,0.00574318796484076,0.0000118590092077339,36,82,Shot
3,0.0330275520639388,0,0,0.00550122468060992,0.00000573324947901346,38,82,Shot
4,0.0118662448869686,0,0,0.00686474683341236,0.00000257041296940059,40,82,Shot
3,0.00432897209623982,0,0,0.00883817398781178,0.00000120729222820371,42,82,Shot
2,0.00115811158393096,0,0,0.00971509513533508,0.000000355027942115711,44,82,Shot
1,0.000456236154422167,0,0,0.0064481664,0.0000000928305675980112,22,84,Shot
1,0.0117664855050607,0,0,0.0064481664,0.00000239413189305868,24,84,Shot
2,0.112325630814298,0,0,0.00645882250976112,0.0000228927142874354,26,84,Shot
3,0.395185303014118,0,0,0.00646420026642592,0.0000806084665056006,28,84,Shot
4,0.541853742766513,0,0,0.00648292481670836,0.000110845517237903,30,84,Shot
4,0.445248087184029,0,0,0.00650132824159115,0.0000913417288750104,32,84,Shot
6,0.522628418665652,0,0,0.00619111486222775,0.000102100285040156,34,84,Shot
5,0.517925704726528,0,0,0.00568400585396513,0.0000928938695090711,36,84,Shot
6,0.304146878374401,0,0,0.00582816757089511,0.0000559345907870906,38,84,Shot
6,0.150407213789795,0,0,0.0076674403805524,0.0000363901751319549,40,84,Shot
5,0.0743735286813338,0,0,0.00923658113164079,0.0000216767769208524,42,84,Shot
2,0.0235557722317686,0,0,0.00986083998086158,0.00000732953341742115,44,84,Shot
2,0.00384462297680546,0,0,0.010114004013733,0.00000122699261957788,46,84,Shot
1,0.000873938981467949,0,0,0.0064481664,0.000000177820742414525,22,86,Shot
2,0.0234230097058789,0,0,0.00651378220685505,0.000004814387064921,24,86,Shot
2,0.224613026702964,0,0,0.00653152538858838,0.0000462929259292454,26,86,Shot
3,0.800980241772647,0,0,0.00655606694874357,0.000165702955538648,28,86,Shot
4,1.13321138616069,0,0,0.00659114272393108,0.000235687590827332,30,86,Shot
5,1.05060421098773,0,0,0.00654705543574137,0.000217045220655194,32,86,Shot
7,1.43321734102293,0,0,0.00612896353279686,0.000277181450558863,34,86,Shot
8,1.59768392308259,0,0,0.00574497029517183,0.000289630120010919,36,86,Shot
6,1.1726047104397,0,0,0.00641845650226946,0.000237491083280603,38,86,Shot
6,0.827423562053357,0,0,0.00838411570637022,0.000218902246613031,40,86,Shot
6,0.519609474952565,0,0,0.00951803640758749,0.000156059242695713,42,86,Shot
5,0.191783344765158,0,0,0.00996661262195852,0.000060314750950654,44,86,Shot
2,0.0336404593560654,0,0,0.0101934926487887,0.0000108205666173797,46,86,Shot
1,0.00240248898965561,0,0,0.010346202,0.000000784345539409374,48,86,Shot
1,0.000615854391381366,0,0,0.0064481664,0.000000125308159284455,22,88,Shot
2,0.0209691633242342,0,0,0.00686994584686323,0.00000454568657376048,24,88,Shot
2,0.212655608711044,0,0,0.00695483720271731,0.0000466690415511061,26,88,Shot
3,0.809686821916596,0,0,0.00704750488557965,0.000180060117100537,28,88,Shot
5,1.22559081610267,0,0,0.00711461892777674,0.000275145372474585,30,88,Shot
6,1.14836593681221,0,0,0.00686633633654902,0.000248811498219375,32,88,Shot
7,1.59748482780948,0,0,0.00620576343861336,0.00031282181408431,34,88,Shot
8,2.15657079862935,0,0,0.00612998595584926,0.000417146180559452,36,88,Shot
6,2.21537627515343,0,0,0.00728542584501121,0.00050929277387328,38,88,Shot
6,2.10116301307899,0,0,0.00889179416327322,0.000589541279401272,40,88,Shot
6,1.51654835524958,0,0,0.00970364209946244,0.000464361391657268,42,88,Shot
6,0.61199505573274,0,0,0.0100664521091396,0.000194396936648794,44,88,Shot
4,0.11643370752872,0,0,0.0102635209249534,0.0000377085793070278,46,88,Shot
