x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
60,8,Pass,68,20,23,0.566,0,0,0.001
60,8,Pass,68,22,22,0.346,0,0,0.001
60,8,Pass,68,24,20,0.161,0,0,0.002
60,8,Pass,68,26,18,0.057,0,0,0.002
60,8,Pass,68,28,14,0.016,0,0,0.004
60,8,Pass,68,30,11,0.004,0,0,0.006
60,8,Pass,66,16,31,1.104,0,0,0.001
60,8,Pass,66,18,28,1.168,0,0,0.001
60,8,Pass,66,20,28,0.996,0,0,0.001
60,8,Pass,66,22,23,0.658,0,0,0.001
60,8,Pass,66,24,21,0.329,0,0,0.002
60,8,Pass,66,26,20,0.124,0,0,0.003
60,8,Pass,66,28,16,0.036,0,0,0.005
60,8,Pass,66,30,12,0.009,0,0,0.009
60,8,Pass,66,32,9,0.002,0,0,0.015
60,8,Pass,64,14,34,0.932,1,0,0.002
60,8,Pass,64,16,35,1.315,1,0,0.002
60,8,Pass,64,18,29,1.533,0,0,0.001
60,8,Pass,64,20,26,1.417,0,0,0.001
60,8,Pass,64,22,26,1.004,0,0,0.002
60,8,Pass,64,24,23,0.54,0,0,0.003
60,8,Pass,64,26,20,0.221,0,0,0.005
60,8,Pass,64,28,17,0.071,0,0,0.009
60,8,Pass,64,30,14,0.019,0,0,0.015
60,8,Pass,64,32,11,0.005,0,0,0.018
60,8,Pass,64,34,8,0.004,0,0,0.006
60,8,Pass,62,14,33,0.906,1,0,0.006
60,8,Pass,62,16,32,1.365,1,0,0.004
60,8,Pass,62,18,31,1.7,0,0,0.003
60,8,Pass,62,20,28,1.669,0,0,0.003
60,8,Pass,62,22,27,1.263,0,0,0.003
60,8,Pass,62,24,24,0.735,0,0,0.005
60,8,Pass,62,26,23,0.332,0,0,0.009
60,8,Pass,62,28,20,0.118,0,0,0.016
60,8,Pass,62,30,16,0.035,0,0,0.024
60,8,Pass,62,32,12,0.012,0,0,0.021
60,8,Pass,62,34,7,0.014,0,0,0.004
60,8,Pass,62,36,5,0.022,0,0,0
60,8,Pass,60,12,32,0.548,1,0,0.018
60,8,Pass,60,14,31,0.902,1,0,0.015
60,8,Pass,60,16,30,1.352,1,0,0.01
60,8,Pass,60,18,29,1.703,0,0,0.007
60,8,Pass,60,20,28,1.719,0,0,0.006
60,8,Pass,60,22,26,1.371,0,0,0.006
60,8,Pass,60,24,23,0.863,0,0,0.01
60,8,Pass,60,26,22,0.43,0,0,0.016
60,8,Pass,60,28,21,0.17,0,0,0.025
60,8,Pass,60,30,17,0.056,0,0,0.034
60,8,Pass,60,32,13,0.027,0,0,0.022
60,8,Pass,60,34,7,0.04,0,0,0.003
60,8,Pass,60,36,5,0.068,0,0,0
60,8,Pass,58,12,32,0.609,1,0,0.026
60,8,Pass,58,14,31,0.95,1,0.001,0.024
60,8,Pass,58,16,32,1.356,1,0.001,0.018
60,8,Pass,58,18,29,1.639,0,0.001,0.013
60,8,Pass,58,20,29,1.628,0,0.001,0.011
60,8,Pass,58,22,28,1.328,0,0,0.011
60,8,Pass,58,24,25,0.889,0,0,0.016
60,8,Pass,58,26,23,0.483,0,0,0.024
60,8,Pass,58,28,20,0.208,0,0,0.034
60,8,Pass,58,30,17,0.076,0,0,0.041
60,8,Pass,58,32,12,0.048,0,0,0.02
60,8,Pass,58,34,7,0.083,0,0,0.003
60,8,Pass,58,36,4,0.146,0,0,0
60,8,Pass,56,12,33,0.658,1,0.001,0.029
60,8,Pass,56,14,32,0.988,1,0.001,0.03
60,8,Pass,56,16,29,1.347,0,0.001,0.026
60,8,Pass,56,18,30,1.534,0,0.001,0.021
60,8,Pass,56,20,29,1.444,0,0.001,0.017
60,8,Pass,56,22,27,1.154,0,0.001,0.017
60,8,Pass,56,24,23,0.79,0,0.001,0.021
60,8,Pass,56,26,24,0.451,0,0,0.03
60,8,Pass,56,28,19,0.206,0,0,0.04
60,8,Pass,56,30,16,0.082,0,0,0.044
60,8,Pass,56,32,9,0.064,0,0,0.017
60,8,Pass,56,34,7,0.122,0,0,0.002
60,8,Pass,56,36,4,0.216,0,0,0
60,8,Pass,54,12,31,0.66,1,0.001,0.028
60,8,Pass,54,14,32,0.93,1,0.001,0.032
60,8,Pass,54,16,30,1.218,0,0.001,0.03
60,8,Pass,54,18,29,1.314,0,0.001,0.026
60,8,Pass,54,20,28,1.155,0,0.001,0.022
60,8,Pass,54,22,26,0.869,0,0.001,0.022
60,8,Pass,54,24,23,0.579,0,0,0.025
60,8,Pass,54,26,23,0.333,0,0,0.033
60,8,Pass,54,28,18,0.156,0,0,0.043
60,8,Pass,54,30,14,0.066,0,0,0.043
60,8,Pass,54,32,9,0.061,0,0,0.015
60,8,Pass,54,34,6,0.126,0,0,0.002
60,8,Pass,54,36,5,0.224,0,0,0
60,8,Pass,52,12,27,0.604,1,0,0.021
60,8,Pass,52,14,28,0.743,0,0.001,0.029
60,8,Pass,52,16,28,0.916,0,0.001,0.031
60,8,Pass,52,18,28,0.942,0,0.001,0.028
60,8,Pass,52,20,28,0.776,0,0.001,0.026
60,8,Pass,52,22,24,0.538,0,0,0.025
60,8,Pass,52,24,22,0.336,0,0,0.027
60,8,Pass,52,26,20,0.187,0,0,0.034
60,8,Pass,52,28,15,0.088,0,0,0.043
60,8,Pass,52,30,14,0.039,0,0,0.041
60,8,Pass,52,32,9,0.042,0,0,0.012
60,8,Pass,52,34,7,0.091,0,0,0.001
60,8,Pass,52,36,5,0.162,0,0,0
60,8,Pass,50,14,24,0.491,0,0,0.024
60,8,Pass,50,16,23,0.544,0,0,0.029
60,8,Pass,50,18,23,0.529,0,0,0.029
60,8,Pass,50,20,23,0.41,0,0,0.027
60,8,Pass,50,22,16,0.263,0,0,0.026
60,8,Pass,50,24,17,0.151,0,0,0.028
60,8,Pass,50,26,17,0.08,0,0,0.033
60,8,Pass,50,28,16,0.037,0,0,0.04
60,8,Pass,50,30,9,0.017,0,0,0.036
60,8,Pass,50,32,7,0.021,0,0,0.009
60,8,Pass,50,34,5,0.046,0,0,0.001
60,8,Pass,50,36,4,0.082,0,0,0
60,8,Pass,48,16,22,0.253,0,0,0.025
60,8,Pass,48,18,21,0.227,0,0,0.027
60,8,Pass,48,20,18,0.166,0,0,0.027
60,8,Pass,48,22,17,0.099,0,0,0.026
60,8,Pass,48,24,14,0.053,0,0,0.026
60,8,Pass,48,26,13,0.027,0,0,0.029
60,8,Pass,48,28,9,0.013,0,0,0.031
60,8,Pass,48,30,8,0.008,0,0,0.021
60,8,Pass,48,32,5,0.011,0,0,0.005
60,8,Pass,48,34,4,0.019,0,0,0.001
