x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
28,14,Pass,86,34,1,0,0,0,0
28,16,Pass,86,34,1,0,0,0,0
28,18,Pass,86,34,1,0,0,0,0
28,20,Pass,86,34,1,0,0,0,0
28,22,Pass,86,34,1,0,0,0,0
28,24,Pass,86,34,1,0,0,0,0
30,12,Pass,86,34,1,0,0,0,0
30,14,Pass,86,34,1,0,0,0,0
30,16,Pass,86,34,1,0,0,0,0
30,18,Pass,86,34,1,0,0,0,0
30,20,Pass,86,34,1,0,0,0,0
30,22,Pass,86,34,1,0,0,0,0
30,24,Pass,86,34,1,0,0,0,0
30,26,Pass,86,34,1,0,0,0,0
32,10,Pass,86,34,1,0,0,0,0
32,12,Pass,86,34,1,0,0,0,0
32,14,Pass,86,34,1,0,0,0,0
32,16,Pass,86,34,1,0,0,0,0
32,18,Pass,86,34,1,0,0,0,0
32,20,Pass,86,34,1,0,0,0,0
32,22,Pass,86,34,1,0,0,0,0
32,24,Pass,86,34,1,0,0,0,0
32,26,Pass,86,34,1,0,0,0,0
32,28,Pass,86,34,1,0,0,0,0
34,8,Pass,86,34,1,0,0,0,0
34,10,Pass,86,34,1,0,0,0,0
34,12,Pass,86,34,1,0,0,0,0
34,14,Pass,86,34,1,0,0,0,0
34,16,Pass,86,34,1,0,0,0,0
34,18,Pass,86,34,1,0,0,0,0
34,20,Pass,86,34,1,0,0,0,0
34,22,Pass,86,34,1,0,0,0,0
34,24,Pass,86,34,1,0,0,0,0
34,26,Pass,86,34,1,0,0,0,0
34,28,Pass,86,34,1,0,0,0,0
34,30,Pass,86,34,1,0,0,0,0
36,8,Pass,86,34,1,0,0,0,0
36,10,Pass,86,34,1,0,0,0,0
36,12,Pass,86,34,1,0,0,0,0
36,14,Pass,86,34,1,0,0,0,0
36,16,Pass,86,34,1,0,0,0,0
36,18,Pass,86,34,1,0,0,0,0
36,20,Pass,86,34,1,0.001,0,0,0
36,22,Pass,86,34,1,0,0,0,0
36,24,Pass,86,34,1,0,0,0,0
36,26,Pass,86,34,1,0,0,0,0
36,28,Pass,86,34,1,0,0,0,0
36,30,Pass,86,34,1,0,0,0,0
38,8,Pass,86,34,1,0,0,0,0
38,10,Pass,86,34,1,0,0,0,0
38,12,Pass,86,34,1,0,0,0,0
38,14,Pass,86,34,1,0,0,0,0
38,16,Pass,86,34,1,0.001,0,0,0
38,18,Pass,86,34,1,0.001,0,0,0
38,20,Pass,86,34,1,0.001,0,0,0
38,22,Pass,86,34,1,0.001,0,0,0
38,24,Pass,86,34,1,0,0,0,0
38,26,Pass,86,34,1,0,0,0,0
38,28,Pass,86,34,1,0,0,0,0
38,30,Pass,86,34,1,0,0,0,0
38,32,Pass,86,34,1,0,0,0,0
40,6,Pass,86,34,1,0,0,0,0
40,8,Pass,86,34,1,0,0,0,0
40,10,Pass,86,34,1,0,0,0,0
40,12,Pass,86,34,1,0,0,0,0
40,14,Pass,86,34,2,0.001,0,0,0
40,16,Pass,86,34,2,0.001,0,0,0
40,18,Pass,86,34,2,0.002,0,0,0
40,20,Pass,86,34,2,0.002,0,0,0
40,22,Pass,86,34,2,0.001,0,0,0
40,24,Pass,86,34,1,0,0,0,0
40,26,Pass,86,34,1,0,0,0,0
40,28,Pass,86,34,1,0,0,0,0
40,30,Pass,86,34,1,0,0,0,0
40,32,Pass,86,34,1,0,0,0,0
40,40,Run,86,34,1,0,0,0,0
40,42,Run,86,34,1,0.001,0,0,0
40,44,Run,86,34,1,0.001,0,0,0
40,46,Run,86,34,1,0.001,0,0,0
40,48,Run,86,34,1,0.001,0,0,0
40,50,Run,86,34,1,0.001,0,0,0
40,52,Run,86,34,1,0,0,0,0
42,8,Pass,86,34,1,0,0,0,0
42,10,Pass,86,34,1,0,0,0,0
42,12,Pass,86,34,2,0.001,0,0,0
42,14,Pass,86,34,2,0.003,0,0,0
42,16,Pass,86,34,2,0.006,0,0,0
42,18,Pass,86,34,2,0.008,0,0,0
42,20,Pass,86,34,2,0.007,0,0,0
42,22,Pass,86,34,2,0.005,0,0,0
42,24,Pass,86,34,2,0.002,0,0,0
42,26,Pass,86,34,2,0.001,0,0,0
42,28,Pass,86,34,1,0,0,0,0
42,30,Pass,86,34,1,0,0,0,0
42,32,Pass,86,34,1,0,0,0,0
42,38,Run,86,34,1,0.001,0,0,0
42,40,Run,86,34,1,0.002,0,0,0
42,42,Run,86,34,1,0.005,0,0,0
42,44,Run,86,34,1,0.007,0,0,0
42,46,Run,86,34,1,0.008,0,0,0
42,48,Run,86,34,1,0.006,0,0,0
42,50,Run,86,34,1,0.003,0,0,0
42,52,Run,86,34,1,0.001,0,0,0
42,54,Run,86,34,1,0,0,0,0
44,8,Pass,86,34,1,0,0,0,0
44,10,Pass,86,34,2,0.001,0,0,0
44,12,Pass,86,34,2,0.005,0,0,0
44,14,Pass,86,34,2,0.014,0,0,0
44,16,Pass,86,34,2,0.027,0,0,0
44,18,Pass,86,34,2,0.037,0,0,0
44,20,Pass,86,34,2,0.035,0,0,0
44,22,Pass,86,34,2,0.023,0,0,0
44,24,Pass,86,34,2,0.011,0,0,0
44,26,Pass,86,34,2,0.003,0,0,0
44,28,Pass,86,34,2,0.001,0,0,0
44,30,Pass,86,34,1,0,0,0,0
44,36,Run,86,34,1,0.001,0,0,0
44,38,Run,86,34,1,0.003,0,0,0
44,40,Run,86,34,1,0.009,0,0,0
44,42,Run,86,34,1,0.021,0,0,0
44,44,Run,86,34,1,0.033,0,0,0
44,46,Run,86,34,1,0.037,0,0,0
44,48,Run,86,34,1,0.029,0,0,0
44,50,Run,86,34,1,0.016,0,0,0
44,52,Run,86,34,1,0.006,0,0,0
44,54,Run,86,34,1,0.002,0,0,0
44,54,Pass,86,34,1,0,0,0,0
44,56,Run,86,34,1,0,0,0,0
44,56,Pass,86,34,1,0,0,0,0
44,58,Pass,86,34,1,0,0,0,0
44,60,Pass,86,34,1,0,0,0,0
46,8,Pass,86,34,2,0.001,0,0,0
46,10,Pass,86,34,2,0.005,0,0,0
46,12,Pass,86,34,2,0.019,0,0,0
46,14,Pass,86,34,2,0.053,0,0,0
46,16,Pass,86,34,2,0.103,0,0,0
46,18,Pass,86,34,2,0.14,0,0,0
46,20,Pass,86,34,2,0.132,0,0,0
46,22,Pass,86,34,2,0.087,0,0,0
46,24,Pass,86,34,2,0.04,0,0,0
46,26,Pass,86,34,2,0.013,0,0,0
46,28,Pass,86,34,2,0.003,0,0,0
46,30,Pass,86,34,2,0,0,0,0
46,34,Run,86,34,1,0,0,0,0
46,36,Run,86,34,1,0.002,0,0,0
46,38,Run,86,34,1,0.009,0,0,0
46,40,Run,86,34,1,0.029,0,0,0
46,42,Run,86,34,1,0.066,0,0,0
46,44,Run,86,34,1,0.105,0,0,0
46,46,Run,86,34,1,0.117,0,0,0
46,48,Run,86,34,1,0.091,0,0,0
46,50,Run,86,34,1,0.049,0,0,0
46,50,Pass,86,34,1,0,0,0,0
46,52,Run,86,34,1,0.019,0,0,0
46,52,Pass,86,34,1,0,0,0,0
46,54,Run,86,34,1,0.005,0,0,0
46,54,Pass,86,34,1,0,0,0,0
46,56,Run,86,34,1,0.001,0,0,0
46,56,Pass,86,34,1,0,0,0,0
46,58,Pass,86,34,1,0,0,0,0
46,60,Pass,86,34,1,0,0,0,0
46,62,Pass,86,34,1,0,0,0,0
46,64,Pass,86,34,1,0,0,0,0
48,8,Pass,86,34,1,0.002,0,0,0
48,10,Pass,86,34,2,0.012,0,0,0
48,12,Pass,86,34,2,0.05,0,0,0
48,14,Pass,86,34,2,0.139,0,0,0
48,16,Pass,86,34,2,0.272,0,0,0
48,18,Pass,86,34,2,0.369,0,0,0
48,20,Pass,86,34,2,0.35,0,0,0
48,22,Pass,86,34,2,0.231,0,0,0
48,24,Pass,86,34,2,0.106,0,0,0
48,26,Pass,86,34,2,0.034,0,0,0
48,28,Pass,86,34,2,0.008,0,0,0
48,30,Pass,86,34,1,0.001,0,0,0
48,34,Run,86,34,1,0.001,0,0,0
48,36,Run,86,34,1,0.004,0,0,0
48,38,Run,86,34,1,0.019,0,0,0
48,40,Run,86,34,1,0.063,0,0,0
48,42,Run,86,34,1,0.145,0,0,0
48,44,Run,86,34,1,0.232,0,0,0
48,46,Run,86,34,1,0.259,0,0,0
48,48,Run,86,34,1,0.201,0,0,0
48,48,Pass,86,34,1,0,0,0,0
48,50,Run,86,34,1,0.109,0,0,0
48,50,Pass,86,34,1,0,0,0,0
48,52,Run,86,34,1,0.041,0,0,0
48,52,Pass,86,34,1,0,0,0,0
48,54,Run,86,34,1,0.011,0,0,0
48,54,Pass,86,34,1,0,0,0,0
48,56,Run,86,34,1,0.002,0,0,0
48,56,Pass,86,34,1,0,0,0,0
48,58,Run,86,34,1,0,0,0,0
48,58,Pass,86,34,1,0,0,0,0
48,60,Pass,86,34,1,0,0,0,0
48,62,Pass,86,34,1,0,0,0,0
48,64,Pass,86,34,1,0,0,0,0
48,66,Pass,86,34,1,0,0,0,0
50,6,Pass,86,34,1,0,0,0,0
50,8,Pass,86,34,1,0.004,0,0,0
50,10,Pass,86,34,1,0.023,0,0,0
50,12,Pass,86,34,2,0.092,0,0,0
50,14,Pass,86,34,2,0.257,0,0,0
50,16,Pass,86,34,2,0.502,0,0,0
50,18,Pass,86,34,2,0.682,0,0,0
50,20,Pass,86,34,2,0.646,0,0,0
50,22,Pass,86,34,2,0.426,0,0,0
50,24,Pass,86,34,2,0.196,0,0,0
50,26,Pass,86,34,2,0.063,0,0,0
50,28,Pass,86,34,1,0.014,0,0,0
50,30,Pass,86,34,1,0.002,0,0,0
50,34,Run,86,34,1,0.001,0,0,0
50,36,Run,86,34,1,0.006,0,0,0
50,38,Run,86,34,1,0.03,0,0,0
50,40,Run,86,34,1,0.098,0,0,0
50,42,Run,86,34,1,0.224,0,0,0
50,44,Run,86,34,1,0.358,0,0,0
50,46,Run,86,34,1,0.399,0,0,0
50,46,Pass,86,34,1,0,0,0,0
50,48,Run,86,34,1,0.31,0,0,0
50,48,Pass,86,34,1,0,0,0,0
50,50,Run,86,34,1,0.168,0,0,0
50,50,Pass,86,34,1,0,0,0,0
50,52,Run,86,34,1,0.063,0,0,0
50,52,Pass,86,34,1,0,0,0,0
50,54,Run,86,34,1,0.017,0,0,0
50,54,Pass,86,34,2,0.001,0,0,0
50,56,Run,86,34,1,0.003,0,0,0
50,56,Pass,86,34,2,0.001,0,0,0
50,58,Run,86,34,1,0,0,0,0
50,58,Pass,86,34,1,0.001,0,0,0
50,60,Pass,86,34,1,0,0,0,0
50,62,Pass,86,34,1,0,0,0,0
50,64,Pass,86,34,1,0,0,0,0
50,66,Pass,86,34,1,0,0,0,0
50,68,Pass,86,34,1,0,0,0,0
50,72,Run,86,34,1,0,0,0,0
50,74,Run,86,34,1,0,0,0,0
50,76,Run,86,34,1,0,0,0,0
52,6,Pass,86,34,1,0.001,0,0,0
52,8,Pass,86,34,1,0.005,0,0,0
52,10,Pass,86,34,1,0.03,0,0,0
52,12,Pass,86,34,1,0.119,0,0,0
52,14,Pass,86,34,2,0.331,0,0,0
52,16,Pass,86,34,2,0.646,0,0,0
