endX,endY,WeightedCount,WeightedExpectedGoals,GoalProbability
66,62,3.499,0,0.027
66,64,4.059,0,0.023
66,66,3.59,0,0.018
66,68,2.737,0,0.011
66,70,2.646,0,0.004
64,60,6.064,0.001,0.029
64,62,9.65,0.002,0.026
64,64,11.35,0.002,0.022
64,66,10.012,0.001,0.017
64,68,6.744,0,0.012
64,70,3.763,0,0.007
64,72,2.398,0,0.003
64,74,2.321,0,0
62,58,5.23,0.001,0.031
62,60,11.571,0.003,0.029
62,62,18.743,0.007,0.025
62,64,22.56,0.008,0.02
62,66,20.38,0.005,0.015
62,68,13.839,0.001,0.011
62,70,7.075,0,0.007
62,72,2.862,0,0.004
62,74,1.178,0,0.002
62,76,0.702,0,0
60,56,2.233,0,0.033
60,58,6.928,0.001,0.03
60,60,15.605,0.006,0.027
60,62,25.929,0.012,0.023
60,64,32.24,0.014,0.018
60,66,30.2,0.009,0.013
60,68,21.231,0.003,0.009
60,70,11.072,0,0.006
60,72,4.247,0,0.003
60,74,1.232,0,0.002
60,76,0.322,0,0.001
60,78,0.11,0,0
58,56,2.062,0,0.032
58,58,6.525,0.001,0.029
58,60,15.151,0.005,0.025
58,62,26.266,0.01,0.02
58,64,34.409,0.012,0.015
58,66,34.104,0.008,0.011
58,68,25.311,0.002,0.007
58,70,13.836,0,0.004
58,72,5.487,0,0.002
58,74,1.563,0,0.001
58,76,0.324,0,0.001
58,78,0.053,0,0
56,54,0.304,0,0.032
56,56,1.366,0,0.03
56,58,4.497,0,0.026
56,60,11.067,0.002,0.022
56,62,20.68,0.004,0.016
56,64,29.47,0.005,0.011
56,66,31.715,0.003,0.007
56,68,25.31,0.001,0.004
56,70,14.699,0,0.002
56,72,6.12,0,0.001
56,74,1.809,0,0.001
56,76,0.373,0,0
56,78,0.055,0,0
54,54,0.143,0,0.03
54,56,0.678,0,0.026
54,58,2.418,0,0.021
54,60,6.603,0,0.016
54,62,13.839,0.001,0.011
54,64,21.984,0.001,0.007
54,66,25.906,0.001,0.004
54,68,22.181,0,0.002
54,70,13.586,0,0.001
54,72,5.893,0,0.001
54,74,1.799,0,0
54,76,0.384,0,0
54,78,0.058,0,0
52,54,0.048,0,0.027
52,56,0.274,0,0.02
52,58,1.118,0,0.014
52,60,3.507,0,0.009
52,62,8.306,0,0.005
52,64,14.495,0,0.003
52,66,18.261,0,0.002
52,68,16.373,0,0.001
52,70,10.358,0,0
52,72,4.601,0,0
52,74,1.426,0,0
52,76,0.31,0,0
52,78,0.044,0,0
50,54,0.015,0,0.018
50,56,0.099,0,0.012
50,58,0.47,0,0.007
50,60,1.659,0,0.004
50,62,4.269,0,0.002
50,64,7.865,0,0.001
50,66,10.257,0,0.001
50,68,9.405,0,0
50,70,6.04,0,0
50,72,2.712,0,0
50,74,0.849,0,0
50,76,0.181,0,0
50,78,0.028,0,0
48,56,0.027,0,0
48,58,0.164,0,0.003
48,60,0.64,0,0.002
48,62,1.715,0,0.001
48,64,3.237,0,0
48,66,4.283,0,0
48,68,3.963,0,0
48,70,2.557,0,0
