"","x","y","endX","endY","event","GoalProbability","WeightedExpectedGoals","WeightedCount"
"1",108,40,0,0,"Shot",0.376387359523258,0.135463824114599,11.4057337661286
"2",114,40,0,0,"Shot",0.367296125848083,0.111078992143339,9.58408179180482
"3",98,22,98,28,"Pass",0.468840795001768,0.0333253050869232,2.25259786739459
"4",98,44,96,48,"Pass",0.465671966446698,0.0295120308794861,2.0084171947518
"5",106,54,106,44,"Pass",0.588534526036355,0.0284228949802945,1.53049280810629
"6",112,34,116,42,"Pass",0.666955871717271,0.0278217937312978,1.32197412400728
"7",72,6,98,22,"Run",0.925720124401669,0.0275811599429604,0.944208161476906
"8",86,50,90,48,"Pass",0.256990008811999,0.0271749994736872,3.35110652487548
"9",36,74,26,66,"Pass",0.900621500249252,0.0269505088853814,0.9483302147642
"10",88,28,98,32,"Pass",0.184410272377114,0.0192739574927194,3.31223175004116
"11",102,34,0,0,"Shot",0.179252743370478,0.0179019236522179,3.16496431645383
"12",74,32,70,34,"Pass",0.260406975370298,0.0176624343825643,2.14947736670043
"13",76,76,58,34,"Pass",0.58951990728146,0.0170325951142172,0.915624228162378
"14",102,36,108,40,"Pass",0.38996685365844,0.0168814175881173,1.37188006952568
"15",98,38,0,0,"Shot",0.0809428385722579,0.0163333278930823,6.394862022555
"16",50,6,54,14,"Pass",0.406377353326995,0.0162401285375979,1.26646996024506
"17",70,38,64,38,"Pass",0.406277827330432,0.0153553619780841,1.19776568219526
"18",96,8,78,6,"Pass",0.281494360536224,0.0150320558874454,1.69232438168901
"19",60,18,62,4,"Pass",0.427686086061267,0.0147246019001845,1.09107189435349
"20",66,6,72,28,"Run",0.417078791565315,0.0143064300699686,1.08704644009887
"21",72,28,90,34,"Pass",0.440985384051247,0.0140654870808445,1.01080064172674
"22",96,40,102,30,"Pass",0.211519124981318,0.0139204920096309,2.08564252130213
"23",68,68,54,76,"Pass",0.476622428620546,0.0138645415584943,0.921862113788543
"24",88,38,84,40,"Pass",0.118201549940711,0.0123388576271072,3.30816155344274
