x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
0,2,Pass,32,58,1,0.001,0,0,0
0,4,Pass,32,58,1,0.003,0,0,0
0,6,Pass,32,58,1,0.011,0,0,0
0,8,Pass,32,58,1,0.027,0,0,0
0,10,Pass,32,58,1,0.049,0,0,0
0,12,Pass,32,58,2,0.061,0,0,0
0,14,Pass,32,58,2,0.052,0,0,0
0,16,Pass,32,58,3,0.032,0,0,0
0,18,Pass,32,58,4,0.014,0,0,0
0,20,Pass,32,58,6,0.004,0,0,0
0,22,Pass,32,58,9,0.002,0,0,0
0,24,Pass,32,58,13,0.004,1,0,0.017
0,26,Pass,32,58,18,0.011,2,0,0.064
0,28,Pass,32,58,22,0.028,2,0,0.123
0,30,Pass,32,58,29,0.068,3,0,0.189
0,32,Pass,32,58,37,0.145,3,0.001,0.24
0,34,Pass,32,58,44,0.25,3,0.002,0.271
0,36,Pass,32,58,44,0.342,3,0.003,0.278
0,38,Pass,32,58,44,0.399,3,0.003,0.243
0,40,Pass,32,58,46,0.445,3,0.002,0.168
0,42,Pass,32,58,44,0.485,3,0.001,0.095
0,44,Pass,32,58,44,0.458,2,0.001,0.053
0,46,Pass,32,58,42,0.335,2,0,0.033
0,48,Pass,32,58,35,0.18,2,0,0.024
0,50,Pass,32,58,31,0.074,1,0,0.018
0,52,Pass,32,58,30,0.033,1,0,0.014
0,54,Pass,32,58,26,0.036,0,0,0.007
0,56,Pass,32,58,10,0.059,0,0,0.004
0,58,Pass,32,58,7,0.077,0,0,0.002
0,60,Pass,32,58,6,0.073,0,0,0.001
0,62,Pass,32,58,5,0.049,0,0,0.001
0,64,Pass,32,58,5,0.023,0,0,0
0,66,Pass,32,58,3,0.007,0,0,0
0,68,Pass,32,58,2,0.002,0,0,0
0,70,Pass,32,58,1,0,0,0,0
2,0,Pass,32,58,1,0,0,0,0
2,2,Pass,32,58,1,0.002,0,0,0
2,4,Pass,32,58,1,0.009,0,0,0
2,6,Pass,32,58,1,0.032,0,0,0
2,8,Pass,32,58,1,0.082,0,0,0
2,10,Pass,32,58,2,0.147,0,0,0
2,12,Pass,32,58,2,0.182,0,0,0
2,14,Pass,32,58,3,0.158,0,0,0
2,16,Pass,32,58,3,0.096,0,0,0
2,18,Pass,32,58,7,0.041,0,0,0
2,20,Pass,32,58,11,0.014,0,0,0
2,22,Pass,32,58,17,0.009,1,0,0.006
2,24,Pass,32,58,23,0.016,2,0,0.024
2,26,Pass,32,58,28,0.037,2,0,0.052
2,28,Pass,32,58,38,0.084,2,0,0.092
2,30,Pass,32,58,49,0.186,3,0.001,0.136
2,32,Pass,32,58,58,0.364,3,0.002,0.174
2,34,Pass,32,58,57,0.588,3,0.004,0.202
2,36,Pass,32,58,61,0.774,3,0.005,0.212
2,38,Pass,32,58,61,0.902,3,0.005,0.185
2,40,Pass,32,58,61,1.052,3,0.004,0.124
2,42,Pass,32,58,62,1.21,3,0.003,0.069
2,44,Pass,32,58,60,1.188,3,0.002,0.041
2,46,Pass,32,58,56,0.89,2,0.001,0.029
2,48,Pass,32,58,51,0.488,2,0,0.024
2,50,Pass,32,58,44,0.201,1,0,0.021
2,52,Pass,32,58,36,0.083,1,0,0.018
2,54,Pass,32,58,30,0.075,1,0,0.01
2,56,Pass,32,58,19,0.113,0,0,0.005
2,58,Pass,32,58,10,0.144,0,0,0.003
2,60,Pass,32,58,7,0.134,0,0,0.002
2,62,Pass,32,58,6,0.089,0,0,0.001
2,64,Pass,32,58,5,0.041,0,0,0
2,66,Pass,32,58,5,0.013,0,0,0
2,68,Pass,32,58,3,0.003,0,0,0
2,70,Pass,32,58,2,0,0,0,0
4,0,Pass,32,58,1,0,0,0,0
4,2,Pass,32,58,1,0.004,0,0,0
4,4,Pass,32,58,1,0.018,0,0,0
4,6,Pass,32,58,1,0.068,0,0,0
4,8,Pass,32,58,1,0.173,0,0,0
4,10,Pass,32,58,2,0.307,0,0,0
4,12,Pass,32,58,3,0.382,0,0,0
4,14,Pass,32,58,3,0.331,0,0,0
4,16,Pass,32,58,5,0.201,0,0,0
4,18,Pass,32,58,13,0.089,0,0,0
4,20,Pass,32,58,19,0.037,0,0,0
4,22,Pass,32,58,22,0.031,1,0,0.006
4,24,Pass,32,58,32,0.054,2,0,0.019
4,26,Pass,32,58,43,0.104,2,0,0.042
4,28,Pass,32,58,49,0.208,2,0,0.07
4,30,Pass,32,58,56,0.411,3,0.001,0.098
4,32,Pass,32,58,71,0.736,4,0.003,0.12
4,34,Pass,32,58,78,1.1,4,0.005,0.14
4,36,Pass,32,58,83,1.367,4,0.006,0.148
4,38,Pass,32,58,83,1.558,4,0.006,0.131
4,40,Pass,32,58,82,1.86,4,0.005,0.088
4,42,Pass,32,58,77,2.225,3,0.004,0.053
4,44,Pass,32,58,74,2.251,3,0.003,0.037
4,46,Pass,32,58,68,1.727,2,0.002,0.031
4,48,Pass,32,58,62,0.969,2,0.001,0.03
4,50,Pass,32,58,52,0.408,2,0,0.031
4,52,Pass,32,58,47,0.161,1,0,0.026
4,54,Pass,32,58,38,0.118,1,0,0.013
4,56,Pass,32,58,26,0.155,0,0,0.006
4,58,Pass,32,58,13,0.189,0,0,0.003
4,60,Pass,32,58,9,0.173,0,0,0.002
4,62,Pass,32,58,7,0.113,0,0,0.001
4,64,Pass,32,58,6,0.053,0,0,0.001
4,66,Pass,32,58,5,0.017,0,0,0
4,68,Pass,32,58,3,0.004,0,0,0
4,70,Pass,32,58,2,0.001,0,0,0
4,72,Pass,32,58,1,0,0,0,0
6,0,Pass,32,58,1,0.001,0,0,0
6,2,Pass,32,58,1,0.005,0,0,0
6,4,Pass,32,58,1,0.027,0,0,0
6,6,Pass,32,58,1,0.099,0,0,0
6,8,Pass,32,58,1,0.252,0,0,0
6,10,Pass,32,58,2,0.449,0,0,0
6,12,Pass,32,58,3,0.557,0,0,0
6,14,Pass,32,58,5,0.483,0,0,0
6,16,Pass,32,58,11,0.296,0,0,0
6,18,Pass,32,58,19,0.138,0,0,0
6,20,Pass,32,58,22,0.077,1,0,0.001
6,22,Pass,32,58,26,0.095,1,0,0.005
6,24,Pass,32,58,40,0.165,2,0,0.013
6,26,Pass,32,58,46,0.276,2,0,0.03
6,28,Pass,32,58,58,0.457,2,0.001,0.052
6,30,Pass,32,58,70,0.771,4,0.002,0.071
6,32,Pass,32,58,81,1.226,4,0.003,0.083
6,34,Pass,32,58,89,1.679,4,0.005,0.091
6,36,Pass,32,58,98,1.946,4,0.006,0.096
6,38,Pass,32,58,100,2.121,4,0.006,0.087
6,40,Pass,32,58,93,2.515,4,0.005,0.064
6,42,Pass,32,58,93,3.063,4,0.005,0.047
6,44,Pass,32,58,88,3.174,4,0.004,0.042
6,46,Pass,32,58,80,2.499,2,0.003,0.042
6,48,Pass,32,58,73,1.448,2,0.002,0.045
6,50,Pass,32,58,57,0.631,1,0.001,0.047
6,52,Pass,32,58,50,0.246,1,0,0.04
6,54,Pass,32,58,43,0.147,1,0,0.02
6,56,Pass,32,58,37,0.16,0,0,0.008
6,58,Pass,32,58,16,0.179,0,0,0.004
6,60,Pass,32,58,12,0.158,0,0,0.002
6,62,Pass,32,58,8,0.102,0,0,0.001
6,64,Pass,32,58,6,0.047,0,0,0.001
6,66,Pass,32,58,5,0.015,0,0,0
6,68,Pass,32,58,3,0.003,0,0,0
6,70,Pass,32,58,2,0.001,0,0,0
6,72,Pass,32,58,2,0,0,0,0
8,0,Pass,32,58,1,0.001,0,0,0
8,2,Pass,32,58,1,0.005,0,0,0
8,4,Pass,32,58,1,0.027,0,0,0
8,6,Pass,32,58,1,0.1,0,0,0
8,8,Pass,32,58,2,0.257,0,0,0
8,10,Pass,32,58,3,0.457,0,0,0
8,12,Pass,32,58,3,0.568,0,0,0
8,14,Pass,32,58,7,0.493,0,0,0
8,16,Pass,32,58,14,0.307,0,0,0
8,18,Pass,32,58,21,0.162,0,0,0
8,20,Pass,32,58,24,0.142,1,0,0.001
8,22,Pass,32,58,31,0.247,1,0,0.003
8,24,Pass,32,58,41,0.44,1,0,0.008
8,26,Pass,32,58,54,0.671,2,0,0.018
8,28,Pass,32,58,62,0.931,3,0.001,0.034
8,30,Pass,32,58,75,1.288,4,0.002,0.05
8,32,Pass,32,58,92,1.763,4,0.003,0.057
8,34,Pass,32,58,101,2.188,4,0.004,0.058
8,36,Pass,32,58,103,2.373,4,0.004,0.058
8,38,Pass,32,58,105,2.448,4,0.004,0.055
8,40,Pass,32,58,101,2.774,4,0.004,0.051
8,42,Pass,32,58,95,3.323,4,0.005,0.051
8,44,Pass,32,58,95,3.48,4,0.006,0.056
8,46,Pass,32,58,87,2.822,4,0.006,0.062
8,48,Pass,32,58,80,1.712,2,0.004,0.067
8,50,Pass,32,58,64,0.794,1,0.002,0.067
8,52,Pass,32,58,55,0.318,1,0.001,0.055
8,54,Pass,32,58,46,0.159,1,0,0.028
8,56,Pass,32,58,41,0.13,0,0,0.01
8,58,Pass,32,58,23,0.126,0,0,0.004
8,60,Pass,32,58,13,0.105,0,0,0.003
8,62,Pass,32,58,9,0.066,0,0,0.002
8,64,Pass,32,58,7,0.03,0,0,0.001
8,66,Pass,32,58,6,0.01,0,0,0
8,68,Pass,32,58,3,0.002,0,0,0
8,70,Pass,32,58,2,0,0,0,0
8,72,Pass,32,58,1,0,0,0,0
10,0,Pass,32,58,1,0,0,0,0
10,2,Pass,32,58,1,0.004,0,0,0
10,4,Pass,32,58,1,0.019,0,0,0
10,6,Pass,32,58,1,0.071,0,0,0
10,8,Pass,32,58,2,0.182,0,0,0
10,10,Pass,32,58,3,0.324,0,0,0
10,12,Pass,32,58,4,0.403,0,0,0
10,14,Pass,32,58,9,0.352,0,0,0
10,16,Pass,32,58,17,0.228,0,0,0
10,18,Pass,32,58,22,0.157,0,0,0
10,20,Pass,32,58,28,0.237,1,0,0.001
10,22,Pass,32,58,34,0.508,1,0,0.002
10,24,Pass,32,58,48,0.931,1,0,0.004
10,26,Pass,32,58,60,1.364,3,0,0.01
10,28,Pass,32,58,68,1.696,3,0.001,0.019
10,30,Pass,32,58,76,1.986,4,0.002,0.03
10,32,Pass,32,58,96,2.325,4,0.003,0.036
10,34,Pass,32,58,102,2.629,4,0.003,0.035
10,36,Pass,32,58,109,2.748,4,0.003,0.031
10,38,Pass,32,58,110,2.752,4,0.003,0.032
10,40,Pass,32,58,106,2.902,4,0.004,0.042
10,42,Pass,32,58,103,3.221,4,0.006,0.058
10,44,Pass,32,58,99,3.286,4,0.008,0.073
10,46,Pass,32,58,95,2.736,4,0.007,0.082
10,48,Pass,32,58,87,1.781,3,0.005,0.084
10,50,Pass,32,58,69,0.92,1,0.002,0.076
10,52,Pass,32,58,60,0.407,1,0.001,0.056
10,54,Pass,32,58,49,0.183,0,0,0.03
10,56,Pass,32,58,37,0.103,0,0,0.012
10,58,Pass,32,58,25,0.074,0,0,0.005
10,60,Pass,32,58,14,0.053,0,0,0.003
10,62,Pass,32,58,10,0.032,0,0,0.002
10,64,Pass,32,58,9,0.014,0,0,0.001
10,66,Pass,32,58,7,0.005,0,0,0.001
10,68,Pass,32,58,4,0.001,0,0,0
10,70,Pass,32,58,3,0,0,0,0
10,72,Pass,32,58,2,0,0,0,0
12,0,Pass,32,58,1,0,0,0,0
12,2,Pass,32,58,1,0.002,0,0,0
12,4,Pass,32,58,1,0.01,0,0,0
12,6,Pass,32,58,1,0.035,0,0,0
12,8,Pass,32,58,2,0.09,0,0,0
12,10,Pass,32,58,3,0.161,0,0,0
12,12,Pass,32,58,4,0.2,0,0,0
12,14,Pass,32,58,10,0.177,0,0,0
12,16,Pass,32,58,18,0.127,0,0,0
12,18,Pass,32,58,24,0.143,0,0,0
12,20,Pass,32,58,29,0.335,1,0,0.001
12,22,Pass,32,58,35,0.797,1,0,0.001
12,24,Pass,32,58,51,1.486,2,0,0.002
12,26,Pass,32,58,62,2.153,2,0,0.005
12,28,Pass,32,58,71,2.556,3,0.001,0.01
12,30,Pass,32,58,81,2.728,3,0.001,0.016
12,32,Pass,32,58,99,2.871,4,0.002,0.02
12,34,Pass,32,58,112,3.071,4,0.002,0.018
12,36,Pass,32,58,114,3.255,4,0.002,0.015
12,38,Pass,32,58,113,3.344,4,0.002,0.017
12,40,Pass,32,58,109,3.354,4,0.003,0.03
12,42,Pass,32,58,105,3.328,4,0.005,0.052
12,44,Pass,32,58,100,3.153,4,0.007,0.072
12,46,Pass,32,58,96,2.658,3,0.007,0.081
12,48,Pass,32,58,89,1.896,2,0.005,0.076
12,50,Pass,32,58,74,1.131,1,0.002,0.06
12,52,Pass,32,58,61,0.573,1,0.001,0.039
12,54,Pass,32,58,51,0.258,0,0,0.021
12,56,Pass,32,58,33,0.11,0,0,0.009
12,58,Pass,32,58,27,0.049,0,0,0.004
12,60,Pass,32,58,20,0.025,0,0,0.002
12,62,Pass,32,58,10,0.012,0,0,0.002
12,64,Pass,32,58,9,0.005,0,0,0.001
12,66,Pass,32,58,8,0.002,0,0,0.001
12,68,Pass,32,58,3,0,0,0,0
12,70,Pass,32,58,2,0,0,0,0
12,72,Pass,32,58,2,0,0,0,0
12,74,Pass,32,58,1,0,0,0,0
12,76,Pass,32,58,1,0,0,0,0
14,2,Pass,32,58,1,0.001,0,0,0
14,4,Pass,32,58,1,0.003,0,0,0
14,6,Pass,32,58,1,0.012,0,0,0
14,8,Pass,32,58,1,0.031,0,0,0
14,10,Pass,32,58,3,0.055,0,0,0
14,12,Pass,32,58,4,0.069,0,0,0
14,14,Pass,32,58,11,0.064,0,0,0
14,16,Pass,32,58,21,0.061,0,0,0
14,18,Pass,32,58,24,0.127,0,0,0
14,20,Pass,32,58,29,0.38,0,0,0
14,22,Pass,32,58,37,0.943,1,0,0.001
14,24,Pass,32,58,53,1.776,2,0,0.001
14,26,Pass,32,58,63,2.573,2,0,0.003
