x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
8,44,Pass,84,22,15,0.486,0,0,0
8,44,Pass,84,24,16,0.546,0,0,0
8,44,Pass,84,26,16,0.464,0,0,0
8,44,Pass,84,28,18,0.301,0,0,0
8,44,Pass,84,30,19,0.171,0,0,0
8,44,Pass,84,32,17,0.141,0,0,0.001
8,44,Pass,82,18,17,0.174,0,0,0.001
8,44,Pass,82,20,17,0.359,0,0,0
8,44,Pass,82,22,16,0.618,0,0,0
8,44,Pass,82,24,17,0.809,0,0,0
8,44,Pass,82,26,18,0.779,0,0,0
8,44,Pass,82,28,20,0.553,0,0,0
8,44,Pass,82,30,19,0.318,0,0,0
8,44,Pass,82,32,21,0.236,0,0,0.001
8,44,Pass,82,34,19,0.36,0,0,0.003
8,44,Pass,82,36,22,0.661,0,0,0.005
8,44,Pass,80,18,18,0.201,0,0,0.001
8,44,Pass,80,20,19,0.455,0,0,0
8,44,Pass,80,22,19,0.852,0,0,0
8,44,Pass,80,24,19,1.193,0,0,0
8,44,Pass,80,26,22,1.211,0,0,0
8,44,Pass,80,28,23,0.897,0,0,0
8,44,Pass,80,30,24,0.534,0,0,0
8,44,Pass,80,32,20,0.393,0,0,0.001
8,44,Pass,80,34,21,0.579,0,0,0.002
8,44,Pass,80,36,26,1.06,0,0,0.004
8,44,Pass,78,16,20,0.102,0,0,0.002
8,44,Pass,78,18,20,0.242,0,0,0.001
8,44,Pass,78,20,20,0.551,0,0,0
8,44,Pass,78,22,19,1.034,0,0,0
8,44,Pass,78,24,20,1.463,0,0,0
8,44,Pass,78,26,23,1.516,0,0,0
8,44,Pass,78,28,25,1.161,0,0,0
8,44,Pass,78,30,26,0.724,0,0,0
8,44,Pass,78,32,23,0.537,0,0,0
8,44,Pass,78,34,26,0.741,0,0,0.002
8,44,Pass,78,36,27,1.3,0,0,0.003
8,44,Pass,78,38,32,1.962,0,0,0.005
8,44,Pass,76,16,21,0.13,0,0,0.001
8,44,Pass,76,18,21,0.307,0,0,0.001
8,44,Pass,76,20,20,0.639,0,0,0
8,44,Pass,76,22,20,1.107,0,0,0
8,44,Pass,76,24,20,1.514,0,0,0
8,44,Pass,76,26,21,1.584,0,0,0
8,44,Pass,76,28,23,1.262,0,0,0
8,44,Pass,76,30,24,0.825,0,0,0
8,44,Pass,76,32,26,0.596,0,0,0
8,44,Pass,76,34,27,0.724,0,0,0.001
8,44,Pass,76,36,28,1.184,0,0,0.002
8,44,Pass,76,38,32,1.775,0,0,0.003
8,44,Pass,74,14,20,0.077,0,0,0.001
8,44,Pass,74,16,19,0.198,0,0,0.001
8,44,Pass,74,18,18,0.444,0,0,0.001
8,44,Pass,74,20,20,0.806,0,0,0
8,44,Pass,74,22,21,1.206,0,0,0
8,44,Pass,74,24,19,1.505,0,0,0
8,44,Pass,74,26,20,1.541,0,0,0
8,44,Pass,74,28,21,1.262,0,0,0
8,44,Pass,74,30,22,0.845,0,0,0
8,44,Pass,74,32,24,0.564,0,0,0
8,44,Pass,74,34,29,0.558,0,0,0.001
8,44,Pass,74,36,32,0.819,0,0,0.001
8,44,Pass,74,38,33,1.243,0,0,0.002
8,44,Pass,74,40,35,1.698,0,0,0.003
8,44,Pass,72,14,21,0.135,0,0,0.001
8,44,Pass,72,16,18,0.307,0,0,0
8,44,Pass,72,18,18,0.63,0,0,0
8,44,Pass,72,20,19,1.032,0,0,0
8,44,Pass,72,22,20,1.357,0,0,0
8,44,Pass,72,24,18,1.508,0,0,0
8,44,Pass,72,26,17,1.447,0,0,0
8,44,Pass,72,28,21,1.166,0,0,0
8,44,Pass,72,30,22,0.774,0,0,0
8,44,Pass,72,32,24,0.467,0,0,0
8,44,Pass,72,34,29,0.361,0,0,0
8,44,Pass,72,36,32,0.457,0,0,0.001
8,44,Pass,72,38,33,0.732,0,0,0.001
8,44,Pass,72,40,36,1.226,0,0,0.002
8,44,Pass,70,14,19,0.257,0,0,0
8,44,Pass,70,16,19,0.424,0,0,0
8,44,Pass,70,18,19,0.74,0,0,0
8,44,Pass,70,20,18,1.116,0,0,0
8,44,Pass,70,22,19,1.353,0,0,0
8,44,Pass,70,24,19,1.366,0,0,0
8,44,Pass,70,26,18,1.204,0,0,0
8,44,Pass,70,28,19,0.921,0,0,0
8,44,Pass,70,30,23,0.589,0,0,0
8,44,Pass,70,32,24,0.328,0,0,0
8,44,Pass,70,34,30,0.207,0,0,0
8,44,Pass,70,36,31,0.227,0,0,0.001
8,44,Pass,70,38,33,0.41,0,0,0.001
8,44,Pass,70,40,33,0.879,0,0,0.002
8,44,Pass,68,16,18,0.546,0,0,0
8,44,Pass,68,18,20,0.708,0,0,0
8,44,Pass,68,20,20,0.935,0,0,0
8,44,Pass,68,22,22,1.062,0,0,0
8,44,Pass,68,24,22,1.002,0,0,0
8,44,Pass,68,26,20,0.818,0,0,0
8,44,Pass,68,28,20,0.584,0,0,0
8,44,Pass,68,30,24,0.356,0,0,0
8,44,Pass,68,32,24,0.19,0,0,0
