x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
10,72,Pass,42,60,13,0.045,1,0,0.033
10,72,Pass,42,62,16,0.106,1,0,0.047
10,72,Pass,42,64,23,0.186,1,0,0.063
10,72,Pass,40,54,10,0.011,1,0,0.001
10,72,Pass,40,56,14,0.008,1,0,0.016
10,72,Pass,40,58,14,0.017,1,0,0.039
10,72,Pass,40,60,15,0.055,1,0,0.053
10,72,Pass,40,62,19,0.141,1,0,0.067
10,72,Pass,40,64,26,0.262,1,0.001,0.082
10,72,Pass,40,66,31,0.357,1,0.001,0.098
10,72,Pass,40,68,36,0.37,1,0.001,0.107
10,72,Pass,38,52,6,0.011,1,0,0.002
10,72,Pass,38,54,10,0.007,1,0,0.012
10,72,Pass,38,56,11,0.01,1,0,0.04
10,72,Pass,38,58,17,0.031,1,0,0.044
10,72,Pass,38,60,18,0.1,1,0,0.046
10,72,Pass,38,62,22,0.249,1,0,0.052
10,72,Pass,38,64,29,0.457,1,0.001,0.062
10,72,Pass,38,66,34,0.612,1,0.001,0.074
10,72,Pass,38,68,39,0.613,1,0.002,0.083
10,72,Pass,38,70,39,0.519,1,0.001,0.078
10,72,Pass,36,52,6,0.006,1,0,0.012
10,72,Pass,36,54,8,0.007,1,0,0.05
10,72,Pass,36,56,11,0.02,1,0,0.064
10,72,Pass,36,58,17,0.065,1,0,0.052
10,72,Pass,36,60,21,0.185,1,0,0.04
10,72,Pass,36,62,25,0.422,1,0,0.037
10,72,Pass,36,64,28,0.734,1,0.001,0.039
10,72,Pass,36,66,33,0.952,1,0.001,0.045
10,72,Pass,36,68,36,0.934,1,0.001,0.05
10,72,Pass,36,70,37,0.779,1,0.001,0.047
10,72,Pass,36,72,35,0.729,1,0.001,0.027
10,72,Pass,34,50,7,0.005,1,0,0.006
10,72,Pass,34,52,7,0.005,1,0,0.043
10,72,Pass,34,54,11,0.013,2,0,0.081
10,72,Pass,34,56,15,0.043,2,0,0.08
10,72,Pass,34,58,19,0.125,2,0,0.066
10,72,Pass,34,60,22,0.302,2,0,0.048
10,72,Pass,34,62,23,0.608,2,0.001,0.034
10,72,Pass,34,64,29,0.983,2,0.001,0.027
10,72,Pass,34,66,30,1.238,2,0.001,0.025
10,72,Pass,34,68,35,1.228,1,0.001,0.025
10,72,Pass,34,70,35,1.072,1,0.001,0.022
10,72,Pass,34,72,36,1.024,1,0,0.012
10,72,Pass,32,50,7,0.004,1,0,0.017
10,72,Pass,32,52,8,0.007,2,0,0.065
10,72,Pass,32,54,13,0.024,2,0,0.089
10,72,Pass,32,56,17,0.078,2,0,0.089
10,72,Pass,32,58,20,0.206,2,0.001,0.078
10,72,Pass,32,60,23,0.432,2,0.001,0.061
10,72,Pass,32,62,25,0.757,2,0.001,0.041
10,72,Pass,32,64,29,1.117,2,0.001,0.026
10,72,Pass,32,66,33,1.371,2,0.001,0.017
10,72,Pass,32,68,32,1.419,2,0.001,0.012
10,72,Pass,32,70,34,1.355,1,0,0.008
10,72,Pass,32,72,34,1.357,1,0,0.004
10,72,Pass,32,74,32,1.451,1,0,0.001
10,72,Pass,30,50,8,0.006,2,0,0.016
10,72,Pass,30,52,12,0.013,2,0,0.052
10,72,Pass,30,54,13,0.037,2,0,0.083
10,72,Pass,30,56,16,0.111,2,0,0.09
10,72,Pass,30,58,18,0.273,2,0.001,0.083
10,72,Pass,30,60,22,0.528,2,0.001,0.069
10,72,Pass,30,62,26,0.835,2,0.001,0.049
10,72,Pass,30,64,27,1.13,2,0.001,0.029
10,72,Pass,30,66,31,1.354,2,0.001,0.015
10,72,Pass,30,68,32,1.479,2,0,0.007
10,72,Pass,30,70,33,1.557,2,0,0.003
10,72,Pass,30,72,32,1.642,1,0,0.001
10,72,Pass,30,74,32,1.662,1,0,0
10,72,Pass,28,50,9,0.016,2,0,0.007
10,72,Pass,28,52,12,0.025,2,0,0.029
10,72,Pass,28,54,14,0.05,2,0,0.065
10,72,Pass,28,56,18,0.126,2,0,0.083
10,72,Pass,28,58,18,0.288,2,0.001,0.081
10,72,Pass,28,60,22,0.53,2,0.001,0.069
10,72,Pass,28,62,26,0.793,2,0.001,0.051
10,72,Pass,28,64,27,1.018,2,0.001,0.031
10,72,Pass,28,66,33,1.197,2,0.001,0.015
10,72,Pass,28,68,32,1.361,2,0,0.005
10,72,Pass,28,70,34,1.541,2,0,0.001
10,72,Pass,28,72,35,1.691,1,0,0
10,72,Pass,28,74,38,1.671,1,0,0
10,72,Pass,26,50,12,0.037,2,0,0.004
10,72,Pass,26,52,14,0.052,2,0,0.014
10,72,Pass,26,54,14,0.077,2,0,0.038
10,72,Pass,26,56,18,0.139,2,0,0.063
10,72,Pass,26,58,19,0.263,2,0.001,0.071
10,72,Pass,26,60,24,0.443,2,0.001,0.064
10,72,Pass,26,62,30,0.632,2,0.001,0.048
10,72,Pass,26,64,31,0.785,2,0.001,0.029
10,72,Pass,26,66,29,0.914,2,0,0.013
10,72,Pass,26,68,35,1.07,2,0,0.004
10,72,Pass,26,70,37,1.271,2,0,0.001
10,72,Pass,26,72,37,1.433,2,0,0
10,72,Pass,26,74,35,1.401,1,0,0
10,72,Pass,24,50,10,0.07,2,0,0.004
10,72,Pass,24,52,13,0.099,2,0,0.008
10,72,Pass,24,54,14,0.137,2,0,0.019
10,72,Pass,24,56,17,0.198,2,0,0.034
10,72,Pass,24,58,22,0.276,2,0,0.047
10,72,Pass,24,60,26,0.361,2,0.001,0.05
10,72,Pass,24,62,30,0.446,2,0.001,0.041
10,72,Pass,24,64,32,0.531,2,0,0.025
10,72,Pass,24,66,32,0.635,2,0,0.011
10,72,Pass,24,68,34,0.798,2,0,0.003
10,72,Pass,24,70,35,1.007,2,0,0.001
10,72,Pass,24,72,36,1.152,2,0,0
10,72,Pass,22,52,13,0.179,2,0,0.008
10,72,Pass,22,54,14,0.25,2,0,0.011
10,72,Pass,22,56,17,0.333,2,0,0.017
10,72,Pass,22,58,20,0.381,2,0,0.024
10,72,Pass,22,60,23,0.372,2,0,0.031
10,72,Pass,22,62,30,0.358,2,0,0.029
10,72,Pass,22,64,34,0.407,2,0,0.017
10,72,Pass,22,66,35,0.562,2,0,0.006
10,72,Pass,22,68,35,0.825,2,0,0.001
10,72,Pass,22,70,36,1.116,2,0,0
10,72,Pass,22,72,36,1.273,2,0,0
10,72,Pass,20,52,12,0.324,2,0,0.01
10,72,Pass,20,54,13,0.415,2,0,0.009
10,72,Pass,20,56,16,0.515,2,0,0.01
10,72,Pass,20,58,20,0.541,2,0,0.013
10,72,Pass,20,60,24,0.464,2,0,0.016
10,72,Pass,20,62,27,0.397,2,0,0.015
10,72,Pass,20,64,35,0.482,2,0,0.007
10,72,Pass,20,66,37,0.776,2,0,0.002
10,72,Pass,20,68,35,1.227,2,0,0
10,72,Pass,20,70,36,1.669,2,0,0
10,72,Pass,18,56,18,0.666,2,0,0.009
10,72,Pass,18,58,20,0.655,2,0,0.009
10,72,Pass,18,60,24,0.549,2,0,0.009
10,72,Pass,18,62,27,0.495,2,0,0.007
10,72,Pass,18,64,31,0.673,2,0,0.003
10,72,Pass,18,66,34,1.134,2,0,0.001
10,72,Pass,18,68,35,1.765,2,0,0
10,72,Pass,16,60,25,0.558,2,0,0.007
10,72,Pass,16,62,24,0.557,2,0,0.005
10,72,Pass,16,64,27,0.817,2,0,0.002
10,72,Pass,26,46,5,0.01,0,0,0.001
10,72,Pass,26,48,9,0.022,1,0,0.001
10,72,Pass,24,44,4,0.006,0,0,0.004
10,72,Pass,24,46,5,0.02,0,0,0.003
10,72,Pass,24,48,8,0.043,1,0,0.003
10,72,Pass,22,44,5,0.014,0,0,0.009
10,72,Pass,22,46,6,0.039,0,0,0.008
10,72,Pass,22,48,8,0.08,1,0,0.008
10,72,Pass,22,50,9,0.127,1,0,0.007
10,72,Pass,20,42,4,0.009,0,0,0.014
10,72,Pass,20,44,5,0.034,0,0,0.014
10,72,Pass,20,46,7,0.09,0,0,0.013
10,72,Pass,20,48,9,0.173,1,0,0.012
10,72,Pass,20,50,9,0.253,1,0,0.011
10,72,Pass,18,42,4,0.021,0,0,0.015
10,72,Pass,18,44,5,0.076,0,0,0.015
10,72,Pass,18,46,7,0.198,0,0,0.015
10,72,Pass,18,48,10,0.365,1,0,0.015
10,72,Pass,18,50,10,0.498,1,0,0.014
10,72,Pass,18,52,11,0.559,1,0,0.012
10,72,Pass,18,54,15,0.607,1,0,0.01
10,72,Pass,16,42,4,0.035,0,0,0.015
10,72,Pass,16,44,5,0.13,0,0,0.015
10,72,Pass,16,46,7,0.334,0,0,0.015
10,72,Pass,16,48,10,0.607,0,0,0.015
10,72,Pass,16,50,11,0.797,1,0,0.015
10,72,Pass,16,52,11,0.815,1,0,0.014
10,72,Pass,16,54,13,0.753,1,0,0.012
10,72,Pass,16,56,18,0.711,1,0,0.01
10,72,Pass,16,58,20,0.652,1,0,0.008
10,72,Pass,16,66,28,1.365,1,0,0.001
10,72,Pass,14,42,4,0.043,0,0,0.015
10,72,Pass,14,44,6,0.158,0,0,0.015
10,72,Pass,14,46,7,0.404,0,0,0.015
10,72,Pass,14,48,8,0.728,0,0,0.015
10,72,Pass,14,50,10,0.938,1,0,0.015
10,72,Pass,14,52,11,0.909,1,0,0.015
10,72,Pass,14,54,14,0.749,1,0,0.013
10,72,Pass,14,56,18,0.62,1,0,0.011
10,72,Pass,14,58,17,0.542,1,0,0.009
10,72,Pass,14,60,21,0.495,1,0,0.008
10,72,Pass,14,62,22,0.553,1,0,0.007
10,72,Pass,14,64,24,0.82,1,0,0.005
10,72,Pass,14,66,25,1.312,1,0,0.002
10,72,Pass,12,42,4,0.037,0,0,0.015
10,72,Pass,12,44,6,0.134,0,0,0.016
10,72,Pass,12,46,6,0.342,0,0,0.016
10,72,Pass,12,48,8,0.615,0,0,0.015
10,72,Pass,12,50,9,0.784,0,0,0.015
10,72,Pass,12,52,11,0.737,1,0,0.015
10,72,Pass,12,54,13,0.567,1,0,0.014
10,72,Pass,12,56,16,0.436,1,0,0.013
10,72,Pass,12,58,17,0.395,1,0,0.012
10,72,Pass,12,60,17,0.428,1,0,0.014
10,72,Pass,12,62,20,0.543,1,0,0.016
10,72,Pass,12,64,22,0.761,1,0,0.014
10,72,Pass,12,66,23,1.086,1,0,0.009
10,72,Pass,10,42,4,0.022,0,0,0.015
10,72,Pass,10,44,4,0.079,0,0,0.015
10,72,Pass,10,46,5,0.203,0,0,0.016
10,72,Pass,10,48,8,0.363,0,0,0.015
10,72,Pass,10,50,9,0.46,0,0,0.015
