"","x","y","endX","endY","event","GoalProbability","WeightedExpectedGoals","WeightedCount"
"1",62,68,52,46,"Pass",0.345751431850279,0.0336229959490673,3.08182056782057
"2",84,76,78,76,"Pass",0.246982541264119,0.0293498797170282,3.76595389814423
"3",44,76,62,68,"Run",0.605264956303928,0.0281827129795194,1.4756120606743
"4",84,78,84,68,"Pass",0.142600135224679,0.0272437532934545,6.05455083339671
"5",26,64,34,56,"Pass",0.43182764813593,0.0264937510264019,1.94432085324313
"6",98,68,90,54,"Pass",0.335550938099592,0.0245798052649508,2.32142634539155
"7",58,50,82,76,"Pass",0.604929388909542,0.0242375145940017,1.26975031087788
"8",70,22,60,24,"Pass",0.772749,0.0235837330159778,0.967183828210926
"9",64,70,56,56,"Pass",0.10962260865144,0.0217658852064292,6.29232477017957
"10",46,74,48,54,"Pass",0.106204866607562,0.0195515059252782,5.83405775846221
"11",54,68,30,34,"Pass",0.621858752106748,0.0188291228657442,0.959562498665332
"12",72,64,80,76,"Pass",0.0704098294842993,0.0182043572528752,8.19364201639781
"13",98,78,80,76,"Pass",0.149232821487025,0.017493068339541,3.71480970098627
"14",102,78,92,62,"Pass",0.147877730128974,0.0172517890639568,3.69714336863786
"15",46,78,44,68,"Pass",0.149137483808348,0.01629452779084,3.46250090876581
"16",48,62,50,70,"Pass",0.364023173116633,0.0162206228756115,1.41212591940866
"17",10,64,48,62,"Run",0.53936654,0.0158421113601906,0.930816319503377
"18",68,62,86,54,"Pass",0.433819585799477,0.0156143130021709,1.14064014842508
"19",42,64,50,54,"Pass",0.088414120211306,0.0155154563786543,5.56131959044242
"20",46,62,44,50,"Pass",0.113098487354819,0.0155025628022955,4.34391812764264
"21",50,60,56,48,"Pass",0.111612095242111,0.0153512644535711,4.35880881558676
"22",56,76,48,68,"Pass",0.051865350813342,0.0151910137266059,9.2820598569199
"23",56,74,94,70,"Pass",0.415814679554982,0.0151360719010288,1.15358152804599
"24",70,62,90,46,"Pass",0.39841025806127,0.0136993949445504,1.08969711907113
