x,y,WeightedCount,WeightedExpectedGoals,GoalProbability
0,30,0.0153611635470606,0,0
0,32,0.042176428753664,0,0
0,34,0.080733971839134,0,0
0,36,0.123262243118933,0,0.001
0,38,0.194432392230702,0,0.003
0,40,0.351992779020363,0,0.006
0,42,0.657722626403804,0,0.006
0,44,0.981354571819956,0,0.006
0,46,1.0778796932831,0,0.005
0,48,0.870176283109546,0,0.006
0,50,0.513678420228466,0,0.007
0,52,0.268111243551975,0,0.011
0,54,0.262497047565062,0,0.008
0,56,0.701955621600366,0,0.014
0,58,1.97194542533544,0,0.011
0,60,5.19211082116689,0,0.008
0,62,12.7376642231667,0,0.004
0,64,26.7667274106641,0,0.002
0,66,44.0298933632952,0,0.001
0,68,54.6564979605235,0,0
0,70,52.3683153525606,0,0.001
0,72,42.9514780900879,0,0.003
0,74,36.4205557992826,0.001,0.011
0,76,34.5242619878504,0.003,0.023
0,78,31.7606808186777,0.006,0.036
0,80,24.1854101944023,0.006,0.047
2,28,0.0220334897675706,0,0
2,30,0.0867737075641239,0,0
2,32,0.238250512961296,0,0
2,34,0.465769008687784,0,0
2,36,0.705437831484464,0,0.001
2,38,0.978724212114946,0,0.003
2,40,1.63259418885423,0,0.005
2,42,2.9157612300798,0,0.005
2,44,4.33832161046777,0,0.005
2,46,4.81895575622661,0,0.005
2,48,3.92995850565293,0,0.006
2,50,2.40972722269946,0,0.008
2,52,1.27469641585696,0,0.017
2,54,1.14269782661291,0,0.028
2,56,2.48579254937817,0,0.026
2,58,5.93502763527985,0,0.023
2,60,12.6275576588374,0,0.019
2,62,24.8832055008587,0,0.013
2,64,45.2195915272507,0,0.007
2,66,70.0640453957055,0,0.003
2,68,87.5949212606852,0,0.001
2,70,89.8248059625325,0,0.001
2,72,83.4827445871851,0.001,0.004
2,74,80.0900112502458,0.003,0.01
2,76,80.5243741313554,0.012,0.021
2,78,75.3378571375159,0.024,0.031
2,80,58.1524943722588,0.024,0.04
4,26,0.0153611635470606,0,0
4,28,0.0867737075641239,0,0
4,30,0.350105693400657,0,0
4,32,0.962112735833501,0,0
4,34,1.88555947791496,0,0
4,36,2.77189349486867,0,0.001
4,38,3.6205467222387,0,0.002
4,40,5.50624619709666,0,0.004
4,42,9.40418298133093,0,0.005
4,44,13.8716880491253,0.001,0.005
4,46,15.5231932943946,0.001,0.005
4,48,12.8825355457437,0,0.006
4,50,8.14730994021887,0,0.011
4,52,4.53149434548825,0,0.024
4,54,3.72947314519603,0,0.042
4,56,6.74021338351196,0,0.044
4,58,14.3689441322323,0,0.042
4,60,26.5932984567863,0.001,0.039
4,62,43.5289245329369,0.003,0.031
4,64,66.7811147198709,0.003,0.019
4,66,94.7574921396531,0.001,0.009
4,68,118.94730649896,0,0.004
4,70,132.705533198299,0.001,0.002
4,72,140.331633944816,0.002,0.004
4,74,148.997134508426,0.008,0.009
4,76,155.557480667572,0.027,0.016
4,78,146.869853998738,0.052,0.023
4,80,114.447624725625,0.051,0.03
6,26,0.0421764287536639,0,0
6,28,0.25092044189406,0,0.001
6,30,0.990023800713848,0,0.001
6,32,2.73493898478119,0,0.001
6,34,5.35556117409778,0,0.001
6,36,7.76985565477304,0,0.001
6,38,9.69819984451426,0,0.002
6,40,13.6738572884923,0,0.003
6,42,22.2479489581044,0.001,0.004
6,44,32.38480447071,0.003,0.004
6,46,36.4088847229186,0.003,0.004
6,48,30.7486986989904,0.002,0.007
6,50,20.298398252964,0.001,0.014
6,52,12.1256430990972,0.001,0.031
6,54,9.71115663747362,0.001,0.056
6,56,14.5534874087991,0.001,0.067
6,58,27.3686666773515,0.004,0.069
6,60,45.866810171139,0.011,0.068
6,62,66.1825548024058,0.02,0.06
6,64,88.4225307540925,0.02,0.042
6,66,115.460971271018,0.01,0.022
6,68,146.456449897481,0.003,0.009
6,70,178.294171557125,0.003,0.004
6,72,209.693125205288,0.006,0.004
6,74,237.895089804102,0.016,0.007
6,76,253.829892741037,0.037,0.011
6,78,241.151013703119,0.061,0.016
6,80,189.350544950317,0.057,0.019
8,24,0.00996398586589833,0,0
8,26,0.0900582212111997,0,0.001
8,28,0.510664732168265,0,0.001
8,30,2.01903180061264,0,0.001
8,32,5.62150731492664,0,0.001
8,34,11.0291994331938,0,0.002
8,36,15.9357084029838,0,0.002
8,38,19.3567351418434,0,0.002
8,40,25.5513589557821,0,0.002
8,42,39.2372872635375,0.002,0.003
8,44,55.8125175869106,0.005,0.003
8,46,62.6767036354117,0.006,0.004
8,48,54.0010873720109,0.005,0.008
8,50,37.7725231845984,0.005,0.018
8,52,25.1429181979621,0.006,0.037
8,54,20.8570843774644,0.005,0.064
8,56,26.5118023144862,0.007,0.086
8,58,42.5934879893855,0.02,0.099
8,60,64.4237951645983,0.048,0.103
8,62,84.6294419790737,0.081,0.096
8,64,103.364404981031,0.077,0.072
8,66,129.023778239605,0.039,0.039
8,68,168.449186821725,0.012,0.016
8,70,220.859597168272,0.008,0.007
8,72,278.237447521774,0.02,0.006
8,74,327.679615316169,0.039,0.007
8,76,354.682242630839,0.058,0.009
8,78,339.701422979447,0.065,0.011
8,80,269.05337148005,0.048,0.011
10,24,0.0132972074103641,0,0
10,26,0.13575883550106,0,0.003
10,28,0.772701573741232,0,0.003
10,30,3.10002025181436,0,0.003
10,32,8.6631827052359,0,0.003
10,34,17.1564485630553,0,0.003
10,36,24.9642773989219,0,0.003
10,38,29.9573882053935,0,0.003
10,40,37.1970050673543,0.001,0.002
10,42,52.9446256912484,0.002,0.002
10,44,72.1249973457365,0.005,0.003
10,46,80.12360337448,0.007,0.004
10,48,70.6327492981612,0.007,0.009
10,50,53.5330758960377,0.012,0.021
10,52,41.1651508555496,0.018,0.039
10,54,37.3674023075283,0.017,0.061
10,56,42.9737147880265,0.023,0.089
10,58,58.4475675935166,0.055,0.114
10,60,77.8683431882788,0.112,0.129
10,62,93.2107996106465,0.164,0.127
10,64,107.127323906385,0.149,0.099
10,66,132.890050474637,0.075,0.053
10,68,180.977745716766,0.024,0.021
10,70,250.015945294747,0.022,0.01
10,72,326.741443506496,0.054,0.009
10,74,392.742326704208,0.101,0.01
10,76,430.30216381237,0.132,0.01
10,78,415.920381269357,0.117,0.009
10,80,331.870064189341,0.067,0.008
12,24,0.0193586103722716,0,0.005
12,26,0.158934047678968,0,0.005
12,28,0.929225410261921,0,0.005
12,30,3.75133414588121,0,0.005
12,32,10.6300968784087,0,0.005
12,34,21.4332549240553,0.001,0.005
12,36,31.7932438273269,0.001,0.005
12,38,38.1506023715572,0.001,0.004
12,40,44.4923906307323,0.001,0.003
12,42,56.9133935974258,0.001,0.002
12,44,71.7122660719907,0.003,0.002
12,46,77.3183100142685,0.004,0.004
12,48,69.9510842669725,0.007,0.011
12,50,59.1082859269297,0.017,0.023
12,52,54.18865398163,0.027,0.036
12,54,55.5892484917891,0.028,0.05
12,56,62.5985005237861,0.039,0.072
12,58,75.7428246720528,0.083,0.099
12,60,89.3017908390829,0.14,0.121
12,62,96.995070601963,0.174,0.127
12,64,105.658642221026,0.147,0.101
12,66,131.553066265785,0.074,0.054
12,68,184.320514274777,0.03,0.022
12,70,260.047864500144,0.044,0.013
12,72,343.999285790445,0.112,0.014
12,74,417.018784003446,0.206,0.015
12,76,459.501070268681,0.258,0.014
12,78,445.108125560921,0.217,0.011
12,80,355.13346254708,0.115,0.009
14,24,0.0182290556862759,0,0.007
14,26,0.15774842091179,0,0.007
14,28,0.923097597298863,0,0.007
14,30,3.80463626977456,0,0.007
14,32,11.052267516102,0,0.007
14,34,22.9216041875072,0.002,0.007
14,36,34.9964298810077,0.003,0.006
14,38,42.2835962875229,0.003,0.005
14,40,46.1669558380089,0.001,0.003
14,42,51.3838306601969,0.001,0.002
14,44,57.0636063589584,0.001,0.002
14,46,57.8380629592674,0.001,0.005
14,48,53.7764654939094,0.004,0.012
14,50,52.4277761626429,0.012,0.022
14,52,58.4194053349483,0.02,0.029
14,54,68.6484604687946,0.023,0.034
14,56,80.8563485929439,0.036,0.047
14,58,94.9101416913292,0.068,0.064
14,60,105.199971285927,0.098,0.08
14,62,107.65730478928,0.103,0.085
14,64,112.525226000979,0.08,0.068
14,66,136.56074806362,0.043,0.037
14,68,186.616370920833,0.029,0.018
14,70,256.941974437155,0.068,0.015
14,72,334.547997764211,0.171,0.018
14,74,401.893065331657,0.301,0.02
