x,y,WeightedCount,WeightedExpectedGoals,GoalProbability
0,38,0.014,0,0
0,40,0.038,0,0
0,42,0.07,0,0
0,44,0.09,0,0
0,46,0.081,0,0
0,48,0.06,0,0.015
0,50,0.04,0,0.042
0,52,0.057,0,0.038
0,54,0.135,0,0.014
0,56,0.355,0,0.019
0,58,0.703,0,0.024
0,60,1.011,0,0.034
0,62,1.024,0,0.05
0,64,0.733,0,0.071
0,66,0.372,0,0.099
0,68,0.135,0,0.135
0,70,0.035,0,0.179
2,36,0.022,0,0
2,38,0.084,0,0
2,40,0.221,0,0
2,42,0.409,0,0
2,44,0.534,0,0.001
2,46,0.501,0,0.005
2,48,0.369,0,0.019
2,50,0.278,0,0.045
2,52,0.303,0,0.052
2,54,0.568,0,0.038
2,56,1.304,0,0.031
2,58,2.548,0,0.039
2,60,3.669,0,0.055
2,62,3.769,0,0.078
2,64,2.762,0,0.108
2,66,1.447,0,0.146
2,68,0.545,0,0.192
2,70,0.148,0,0.244
2,72,0.029,0,0.297
4,34,0.016,0,0
4,36,0.09,0,0
4,38,0.341,0,0
4,40,0.904,0,0
4,42,1.677,0,0
4,44,2.188,0,0.002
4,46,2.074,0,0.007
4,48,1.585,0,0.023
4,50,1.252,0,0.052
4,52,1.269,0,0.068
4,54,1.817,0,0.056
4,56,3.5,0,0.049
4,58,6.556,0,0.061
4,60,9.501,0.001,0.085
4,62,9.998,0.002,0.118
4,64,7.564,0.002,0.158
4,66,4.126,0.001,0.206
4,68,1.628,0,0.258
4,70,0.466,0,0.311
4,72,0.097,0,0.361
4,74,0.011,0,0.539
6,32,0.006,0,0
6,34,0.047,0,0
6,36,0.256,0,0
6,38,0.972,0,0
6,40,2.574,0,0
6,42,4.778,0,0.001
6,44,6.257,0,0.002
6,46,6.013,0,0.008
6,48,4.805,0,0.027
6,50,4.034,0.001,0.058
6,52,3.994,0.001,0.077
6,54,4.629,0.001,0.074
6,56,7.08,0,0.073
6,58,12.236,0.002,0.093
6,60,17.798,0.009,0.128
6,62,19.307,0.018,0.17
6,64,15.226,0.019,0.22
6,66,8.707,0.009,0.273
6,68,3.611,0.002,0.325
6,70,1.084,0,0.374
6,72,0.235,0,0.416
6,74,0.036,0,0.449
8,32,0.012,0,0
8,34,0.093,0,0
8,36,0.508,0,0
8,38,1.929,0,0
8,40,5.116,0,0
8,42,9.496,0,0.001
8,44,12.492,0,0.003
8,46,12.208,0,0.01
8,48,10.243,0.001,0.031
8,50,9.248,0.004,0.063
8,52,9.248,0.006,0.083
8,54,9.309,0.004,0.087
8,56,11.105,0.002,0.099
8,58,16.896,0.008,0.134
8,60,24.446,0.032,0.181
8,62,27.476,0.069,0.233
8,64,22.71,0.071,0.287
8,66,13.643,0.036,0.339
8,68,5.931,0.009,0.386
8,70,1.856,0.001,0.426
8,72,0.416,0,0.457
8,74,0.066,0,0.481
8,76,0.007,0,0.539
10,32,0.016,0,0
10,34,0.129,0,0
10,36,0.702,0,0
10,38,2.668,0,0
10,40,7.082,0,0
10,42,13.163,0,0.001
10,44,17.411,0,0.003
10,46,17.371,0,0.012
10,48,15.416,0.003,0.037
10,50,15.024,0.011,0.068
10,52,15.398,0.017,0.086
10,54,14.319,0.013,0.095
10,56,13.761,0.007,0.12
10,58,17.635,0.015,0.178
10,60,24.936,0.06,0.242
10,62,29.031,0.127,0.3
10,64,25.15,0.132,0.352
10,66,15.81,0.066,0.398
10,68,7.151,0.016,0.435
10,70,2.311,0.002,0.465
10,72,0.531,0,0.487
10,74,0.086,0,0.503
10,76,0.009,0,0.539
12,32,0.016,0,0
12,34,0.124,0,0
12,36,0.678,0,0
12,38,2.574,0,0
12,40,6.834,0,0
12,42,12.726,0,0.001
12,44,16.952,0,0.004
12,46,17.341,0.001,0.015
12,48,16.394,0.005,0.042
12,50,17.244,0.016,0.073
12,52,18.213,0.026,0.088
12,54,16.292,0.02,0.098
