x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
120,40,Pass,120,32,3,0.034,1,0.001,0.467
120,40,Pass,120,34,3,0.081,1,0.001,0.468
120,40,Pass,120,36,3,0.134,1,0.002,0.468
120,40,Pass,120,38,3,0.155,1,0.002,0.467
120,40,Pass,120,40,3,0.125,1,0.002,0.464
120,40,Pass,120,42,2,0.071,1,0.001,0.458
120,40,Pass,120,44,2,0.029,1,0,0.442
120,40,Pass,120,46,2,0.009,1,0,0.405
120,40,Pass,120,48,2,0.002,1,0,0.335
120,40,Pass,120,50,2,0,1,0,0.231
120,40,Pass,120,52,1,0,0,0,0
120,40,Pass,120,54,1,0,0,0,0
120,40,Pass,118,32,3,0.034,1,0.001,0.462
120,40,Pass,118,34,3,0.081,1,0.001,0.466
120,40,Pass,118,36,3,0.134,1,0.002,0.466
120,40,Pass,118,38,3,0.156,1,0.002,0.464
120,40,Pass,118,40,3,0.127,1,0.002,0.457
120,40,Pass,118,42,3,0.074,1,0.001,0.441
120,40,Pass,118,44,2,0.032,1,0,0.404
120,40,Pass,118,46,2,0.011,1,0,0.333
120,40,Pass,118,48,2,0.003,1,0,0.229
120,40,Pass,118,50,2,0.001,1,0,0.128
120,40,Pass,118,52,1,0,0,0,0
120,40,Pass,118,54,1,0,0,0,0
120,40,Pass,116,30,3,0.008,1,0,0.402
120,40,Pass,116,32,3,0.025,1,0,0.446
120,40,Pass,116,34,3,0.057,1,0.001,0.46
120,40,Pass,116,36,3,0.094,1,0.001,0.462
120,40,Pass,116,38,3,0.11,1,0.002,0.457
120,40,Pass,116,40,3,0.092,1,0.001,0.44
120,40,Pass,116,42,3,0.057,1,0.001,0.403
120,40,Pass,116,44,2,0.027,1,0,0.331
120,40,Pass,116,46,2,0.011,1,0,0.227
120,40,Pass,116,48,2,0.004,1,0,0.126
120,40,Pass,116,50,2,0.001,1,0,0.059
120,40,Pass,116,52,1,0,0,0,0
120,40,Pass,116,54,1,0,0,0,0
120,40,Pass,116,56,1,0,0,0,0
120,40,Pass,114,30,3,0.005,1,0,0.29
120,40,Pass,114,32,3,0.014,1,0,0.395
120,40,Pass,114,34,3,0.029,1,0,0.44
120,40,Pass,114,36,3,0.047,1,0.001,0.45
120,40,Pass,114,38,3,0.056,1,0.001,0.438
120,40,Pass,114,40,3,0.049,1,0.001,0.402
120,40,Pass,114,42,3,0.034,1,0,0.329
120,40,Pass,114,44,3,0.019,1,0,0.225
120,40,Pass,114,46,2,0.01,1,0,0.125
120,40,Pass,114,48,2,0.004,1,0,0.058
120,40,Pass,114,50,2,0.001,1,0,0.025
