endX,endY,WeightedCount,WeightedExpectedGoals,GoalProbability
26,4,56.0961862493386,0.001,0.008
26,6,73.5283245114386,0.004,0.012
26,8,91.2620822696218,0.011,0.016
24,0,16.0069915398218,0,0.004
24,2,31.8094266197764,0,0.009
24,4,50.1799507288068,0.003,0.017
24,6,67.5553263543188,0.013,0.028
24,8,81.9237287769647,0.03,0.034
24,10,90.4905255001737,0.038,0.033
24,12,91.9386873830427,0.029,0.025
22,0,13.421741924128,0,0.007
22,2,27.6891540525101,0.001,0.016
22,4,44.7829925346413,0.006,0.029
22,6,60.4566731954783,0.027,0.046
22,8,71.0112121984144,0.06,0.059
22,10,72.6756784966674,0.068,0.06
22,12,65.5413822592628,0.041,0.049
22,14,56.8169630897281,0.015,0.029
20,0,13.1176347628175,0,0.008
20,2,26.9949836913971,0.001,0.017
20,4,42.9203587716755,0.006,0.032
20,6,55.9207321846721,0.029,0.053
20,8,62.1252650139929,0.065,0.071
20,10,58.9262814304941,0.071,0.078
20,12,48.2325486203758,0.039,0.069
20,14,38.5560856429806,0.012,0.044
20,16,38.1559712541642,0.002,0.016
18,0,14.489081035821,0,0.005
18,2,29.3490499626539,0,0.011
18,4,44.8394218000879,0.003,0.023
18,6,54.3792159724773,0.016,0.04
18,8,54.9100860997768,0.035,0.059
18,10,47.2074860690439,0.037,0.071
18,12,35.8267935015398,0.02,0.068
18,14,28.6061996741672,0.005,0.043
18,16,30.7798634861616,0.001,0.015
16,0,15.7265378408166,0,0.002
16,2,31.8771896063086,0,0.005
16,4,47.3354486389601,0.001,0.011
16,6,53.3548223234079,0.004,0.021
16,8,47.8702921213444,0.009,0.035
16,10,36.049174332826,0.01,0.048
16,12,25.10809221601,0.005,0.05
16,14,20.8053260034789,0.001,0.03
16,16,24.9341106721105,0,0.01
16,18,36.2472529527997,0,0.004
14,0,14.8809995836975,0,0.001
14,2,30.5612849764285,0,0.002
14,4,45.008131641339,0,0.004
14,6,48.4377081081515,0.001,0.008
14,8,39.355822119826,0.001,0.015
14,10,25.680637534768,0.001,0.024
14,12,15.7532320099009,0.001,0.028
14,14,13.1028057055518,0,0.018
14,16,17.13753737971,0,0.006
14,18,26.3918714253707,0.001,0.004
12,0,11.3576168630718,0,0
12,2,23.6949169686723,0,0.001
12,4,34.982886147706,0,0.001
12,6,36.8533107171999,0,0.003
12,8,28.2032871238304,0,0.005
12,10,16.4207764151302,0,0.009
12,12,8.61698120682032,0,0.013
12,14,6.63914985979436,0,0.009
12,16,9.1899234403481,0,0.005
12,18,15.4160890938302,0,0.005
10,0,6.63069174363775,0,0
10,2,14.017373229175,0,0
10,4,20.7912257187932,0,0
10,6,21.7306542297956,0,0.001
10,8,16.1521202602779,0,0.002
10,10,8.76865283199491,0,0.003
10,12,3.9875261540614,0,0.005
10,14,2.63227746747725,0,0.005
10,16,3.7921338680082,0,0.004
10,18,7.32861577197335,0,0.005
8,0,2.86072714546625,0,0
8,2,6.09392322054059,0,0
8,4,9.07002983362173,0,0
8,6,9.46351693698553,0,0
8,8,6.94478309805737,0,0
8,10,3.6370713602543,0,0.001
8,12,1.49250646944898,0,0.002
8,14,0.839188240860579,0,0.002
8,16,1.3773531050378,0,0.004
6,0,0.891653893834191,0,0
6,2,1.90341721426248,0,0
6,4,2.84267316265706,0,0
6,6,2.96282035040464,0,0
6,8,2.16019538321358,0,0
6,10,1.11215963677865,0,0
6,12,0.434669358551078,0,0
6,14,0.300085673613694,0,0.001
6,16,0.808489142617681,0,0.002
4,0,0.194629634309115,0,0
4,2,0.417560544950803,0,0
4,4,0.630935537500011,0,0
4,6,0.651412371536447,0,0
4,8,0.473677161508589,0,0
4,10,0.240149260464037,0,0
4,12,0.112294062869668,0,0
4,14,0.223261206020495,0,0
2,0,0.0306756507307245,0,0
2,2,0.0657754609016416,0,0
2,4,0.0983340996997036,0,0
2,6,0.102497846096938,0,0
2,8,0.0744896432083415,0,0
2,10,0.0377439912298309,0,0
2,12,0.0450829348797488,0,0
0,4,0.00793284735854444,0,0
0,6,0.00822422560582017,0,0
0,8,0.00594431420955791,0,0
42,0,113.844033585614,0.01,0.007
42,2,197.584812040157,0.034,0.008
42,4,277.982025809822,0.075,0.01
42,6,333.627569290475,0.129,0.015
40,0,87.0053070999901,0.004,0.005
40,2,158.1131281028,0.015,0.006
40,4,231.169134342525,0.037,0.008
40,6,285.258529226522,0.082,0.014
40,8,314.945157059068,0.195,0.027
40,10,327.87345083726,0.427,0.044
38,0,57.1656783539363,0.001,0.004
38,2,108.348675271019,0.005,0.005
38,4,164.338685077067,0.013,0.007
38,6,210.061484914008,0.04,0.013
38,8,241.490544562366,0.122,0.026
38,10,263.672772322556,0.31,0.044
38,12,285.329904346864,0.571,0.056
36,0,35.9902538674991,0.001,0.004
36,2,69.2375186558645,0.003,0.004
36,4,106.986284279333,0.006,0.006
36,6,141.601613983319,0.017,0.012
36,8,172.541642157031,0.055,0.023
36,10,203.06606731439,0.153,0.037
36,12,236.834332451219,0.298,0.045
36,14,282.431922301749,0.419,0.039
34,0,26.4282644026021,0.001,0.005
34,2,48.9646556747907,0.003,0.005
34,4,73.4867023801474,0.005,0.005
34,6,97.5552361799031,0.008,0.009
34,8,124.480448738933,0.019,0.017
34,10,158.361887892954,0.051,0.026
34,12,200.977647132198,0.103,0.029
34,14,256.658069037933,0.146,0.023
32,0,24.2336272989506,0.001,0.005
32,2,42.5855305758857,0.002,0.004
32,4,60.2069458179003,0.003,0.004
32,6,76.96102654587,0.004,0.006
32,8,99.3925433088812,0.009,0.01
32,10,133.826588951452,0.022,0.014
32,12,181.621209571911,0.045,0.015
32,14,243.10714243506,0.062,0.011
32,16,319.385496096568,0.063,0.006
30,0,24.347954751231,0,0.003
30,2,42.1558715671962,0.001,0.003
30,4,58.1141530778241,0.001,0.003
30,6,72.4335796087748,0.003,0.004
30,8,92.79926004016,0.007,0.006
30,10,125.904244389934,0.022,0.008
30,12,171.617075119046,0.044,0.008
30,14,227.334976743997,0.057,0.006
30,16,292.00401198982,0.049,0.004
28,0,23.3013456064131,0,0.002
28,2,41.4553269278699,0,0.002
28,4,58.7149487839683,0,0.003
28,6,74.3682532642353,0.002,0.005
28,8,93.9893540889871,0.007,0.007
28,10,121.506329346534,0.021,0.008
28,12,155.179376577866,0.04,0.007
28,14,192.105567806612,0.047,0.005
28,16,232.910960241059,0.036,0.003
26,0,20.0215849369756,0,0.002
26,2,37.5021636657183,0,0.004
26,10,109.312088981075,0.021,0.015
26,12,125.561487614577,0.028,0.011
26,14,140.124252075144,0.027,0.007
26,16,157.090427252533,0.018,0.004
24,14,90.4629042836662,0.017,0.014
42,12,378.60785868437,0.673,0.052
42,14,400.149846624691,0.917,0.055
42,16,450.629496985512,1.146,0.05
40,12,337.818431538222,0.729,0.058
40,14,363.310859603351,1.019,0.059
40,16,417.822849135007,1.223,0.046
40,18,497.454452379974,1.169,0.031
40,20,585.959770052409,0.953,0.021
38,14,320.301322706395,0.805,0.053
38,16,380.770444340446,0.92,0.037
38,18,462.085067523122,0.833,0.022
38,20,547.087245056501,0.681,0.014
38,22,616.754436234463,0.81,0.013
38,24,645.967801224152,1.245,0.016
36,16,349.529435062108,0.46,0.025
36,18,432.833918236265,0.411,0.013
36,20,512.738030102768,0.376,0.008
36,22,569.046358819882,0.539,0.009
36,24,583.281576167028,0.882,0.014
34,16,330.869233229945,0.159,0.013
34,18,416.718134251396,0.155,0.007
34,20,492.269846538064,0.202,0.005
34,22,534.863847093084,0.389,0.007
34,24,531.771641389004,0.653,0.012
34,26,488.024556690678,0.747,0.017
32,18,402.869993652576,0.066,0.003
32,20,472.747322747774,0.128,0.003
32,22,506.135316782096,0.305,0.005
32,24,493.415057224113,0.523,0.01
32,26,446.712729233398,0.585,0.014
30,18,361.071289925415,0.042,0.002
30,20,419.800912286318,0.084,0.003
30,22,449.453647805076,0.222,0.005
30,24,441.346333417467,0.412,0.01
30,26,405.497758152743,0.495,0.015
28,18,278.051588157644,0.026,0.002
28,20,321.480013000679,0.049,0.003
28,22,351.122795187455,0.15,0.007
28,24,358.821955523093,0.323,0.014
28,26,345.977021917543,0.447,0.022
26,18,180.901637538102,0.012,0.002
26,20,211.345137946622,0.024,0.005
26,22,242.714990432489,0.087,0.011
26,24,267.179224108436,0.223,0.021
26,26,276.758306773371,0.358,0.03
24,16,93.5056741535215,0.008,0.006
24,18,106.460770547357,0.004,0.003
24,20,130.954167803438,0.009,0.006
24,22,164.867579949683,0.038,0.014
24,24,200.406376371924,0.114,0.025
24,26,222.347971436463,0.21,0.033
22,16,55.5155139828022,0.004,0.011
22,18,66.2486877910912,0.002,0.004
22,20,90.1727428217799,0.002,0.006
22,22,126.677050783807,0.012,0.012
22,24,167.853773320792,0.041,0.018
20,18,49.5817905299937,0.001,0.004
20,20,73.6517819608323,0.001,0.004
20,22,111.24863510969,0.003,0.006
20,24,155.574211938501,0.011,0.009
18,18,42.7166109766395,0,0.004
18,20,65.3580309860433,0.001,0.003
18,22,101.735107002101,0.002,0.003
48,14,394.614390179695,0.355,0.031
48,16,443.750951599907,0.615,0.042
48,18,499.864639253949,0.834,0.045
48,20,555.592301059625,0.795,0.038
48,22,604.925440660229,0.562,0.025
48,24,645.898891970576,0.378,0.013
46,10,353.144312114913,0.184,0.021
46,12,378.004875743823,0.281,0.028
46,14,412.295303131992,0.424,0.036
46,16,463.210029771789,0.649,0.043
46,18,533.302009647295,0.852,0.044
46,20,610.330592831203,0.838,0.036
46,22,675.497988736972,0.662,0.024
46,24,715.534294637927,0.527,0.014
46,26,716.063221455839,0.433,0.008
44,8,362.849422728553,0.2,0.021
44,10,377.746372129102,0.319,0.031
44,12,391.8717409047,0.472,0.04
44,14,417.870674805278,0.643,0.046
44,16,468.003427569342,0.857,0.047
44,18,544.130398276689,0.992,0.043
44,20,631.497088946178,0.927,0.033
44,22,707.019483397739,0.812,0.022
44,24,747.598268518593,0.81,0.015
44,26,731.047772570943,0.755,0.011
44,28,652.83075445065,0.518,0.008
