x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
54,24,Pass,76,0,40,1.244,2,0,0.008
54,24,Pass,76,2,44,1.747,2,0.001,0.01
54,24,Pass,76,4,45,1.801,2,0.001,0.011
54,24,Pass,76,6,48,1.394,2,0.001,0.012
54,24,Pass,76,8,52,0.831,2,0,0.012
54,24,Pass,76,10,50,0.392,2,0,0.01
54,24,Pass,76,12,50,0.155,3,0,0.009
54,24,Pass,74,0,44,1.201,2,0,0.006
54,24,Pass,74,2,45,1.666,2,0,0.008
54,24,Pass,74,4,48,1.703,2,0,0.009
54,24,Pass,74,6,52,1.313,3,0,0.01
54,24,Pass,74,8,54,0.792,3,0,0.01
54,24,Pass,74,10,56,0.399,3,0,0.008
54,24,Pass,74,12,59,0.195,4,0,0.008
54,24,Pass,74,14,52,0.134,3,0,0.019
54,24,Pass,72,0,44,1.074,2,0,0.005
54,24,Pass,72,2,50,1.49,3,0,0.006
54,24,Pass,72,4,51,1.541,3,0,0.007
54,24,Pass,72,6,50,1.221,3,0,0.008
54,24,Pass,72,8,54,0.783,3,0,0.007
54,24,Pass,72,10,52,0.458,3,0,0.007
54,24,Pass,72,12,57,0.3,3,0,0.012
54,24,Pass,72,14,54,0.269,3,0,0.029
54,24,Pass,72,16,43,0.369,3,0.001,0.047
54,24,Pass,70,0,44,0.99,3,0,0.004
54,24,Pass,70,2,52,1.41,3,0,0.006
54,24,Pass,70,4,54,1.524,3,0,0.006
54,24,Pass,70,6,58,1.287,3,0,0.007
54,24,Pass,70,8,55,0.905,2,0,0.007
54,24,Pass,70,10,54,0.614,2,0,0.008
54,24,Pass,70,12,56,0.481,3,0,0.02
54,24,Pass,70,14,58,0.473,3,0.001,0.045
54,24,Pass,70,16,45,0.602,3,0.001,0.064
54,24,Pass,68,0,49,0.915,2,0,0.006
54,24,Pass,68,2,54,1.367,2,0,0.007
54,24,Pass,68,4,55,1.566,2,0,0.007
54,24,Pass,68,6,58,1.408,2,0,0.007
54,24,Pass,68,8,59,1.063,2,0,0.007
54,24,Pass,68,10,63,0.782,2,0,0.012
54,24,Pass,68,12,61,0.663,3,0.001,0.033
54,24,Pass,68,14,56,0.684,3,0.001,0.068
54,24,Pass,68,16,51,0.825,3,0.002,0.091
54,24,Pass,68,18,39,1.059,3,0.003,0.09
54,24,Pass,66,0,49,0.769,2,0,0.007
54,24,Pass,66,2,54,1.21,2,0,0.008
54,24,Pass,66,4,56,1.46,2,0,0.008
54,24,Pass,66,6,60,1.385,2,0,0.008
54,24,Pass,66,8,60,1.107,2,0,0.009
54,24,Pass,66,10,64,0.857,2,0,0.017
54,24,Pass,66,12,65,0.758,3,0.001,0.046
54,24,Pass,66,14,59,0.814,3,0.002,0.091
54,24,Pass,66,16,54,0.96,3,0.004,0.119
54,24,Pass,66,18,44,1.094,2,0.004,0.118
54,24,Pass,64,0,50,0.599,2,0,0.007
54,24,Pass,64,2,56,0.991,2,0,0.008
54,24,Pass,64,4,60,1.258,2,0,0.009
54,24,Pass,64,6,59,1.271,2,0,0.009
54,24,Pass,64,8,60,1.092,2,0,0.01
54,24,Pass,64,10,61,0.884,2,0.001,0.019
54,24,Pass,64,12,64,0.773,3,0.001,0.052
54,24,Pass,64,14,61,0.809,3,0.003,0.103
54,24,Pass,64,16,54,0.931,2,0.004,0.136
54,24,Pass,64,18,45,0.99,2,0.004,0.138
54,24,Pass,62,0,52,0.534,2,0,0.006
54,24,Pass,62,2,55,0.931,2,0,0.008
54,24,Pass,62,4,56,1.264,2,0,0.009
54,24,Pass,62,6,56,1.393,2,0,0.01
54,24,Pass,62,8,58,1.3,2,0,0.011
54,24,Pass,62,10,59,1.068,2,0.001,0.017
54,24,Pass,62,12,64,0.835,2,0.001,0.041
54,24,Pass,62,14,59,0.733,2,0.002,0.091
54,24,Pass,62,16,55,0.762,2,0.003,0.131
54,24,Pass,62,18,49,0.786,2,0.003,0.134
54,24,Pass,60,0,48,0.61,1,0,0.006
54,24,Pass,60,2,52,1.134,1,0,0.008
54,24,Pass,60,4,56,1.66,2,0.001,0.01
54,24,Pass,60,6,56,1.976,2,0.001,0.011
54,24,Pass,60,8,58,1.949,2,0.001,0.012
54,24,Pass,60,10,59,1.592,1,0.001,0.013
54,24,Pass,60,12,62,1.097,1,0.001,0.022
54,24,Pass,60,14,60,0.73,1,0.001,0.053
54,24,Pass,60,16,59,0.609,2,0.002,0.091
54,24,Pass,60,18,51,0.627,2,0.002,0.092
54,24,Pass,58,0,47,0.723,1,0,0.005
54,24,Pass,58,2,51,1.425,1,0,0.008
54,24,Pass,58,4,54,2.22,1,0.001,0.01
54,24,Pass,58,6,57,2.792,1,0.001,0.011
54,24,Pass,58,8,58,2.852,1,0.001,0.011
54,24,Pass,58,10,56,2.341,1,0.001,0.01
54,24,Pass,58,12,60,1.533,1,0.001,0.011
54,24,Pass,58,14,63,0.862,1,0.001,0.021
54,24,Pass,58,16,60,0.578,1,0.001,0.038
54,24,Pass,56,0,44,0.754,1,0,0.005
54,24,Pass,56,2,48,1.553,1,0,0.007
54,24,Pass,56,4,49,2.538,1,0.001,0.009
54,24,Pass,56,6,52,3.324,1,0.001,0.01
54,24,Pass,56,8,55,3.487,1,0.001,0.009
54,24,Pass,56,10,58,2.893,1,0.001,0.008
54,24,Pass,56,12,58,1.875,1,0,0.007
54,24,Pass,56,14,59,0.997,1,0,0.008
54,24,Pass,54,0,42,0.725,1,0,0.004
54,24,Pass,54,2,43,1.493,1,0,0.005
54,24,Pass,54,4,47,2.494,1,0.001,0.007
54,24,Pass,54,6,50,3.338,1,0.001,0.007
54,24,Pass,54,8,53,3.544,1,0.001,0.007
54,24,Pass,54,10,57,2.952,1,0.001,0.006
54,24,Pass,54,12,56,1.91,1,0,0.005
54,24,Pass,52,2,40,1.434,1,0,0.003
54,24,Pass,52,4,45,2.316,1,0,0.004
54,24,Pass,52,6,46,3.073,1,0,0.004
54,24,Pass,52,8,50,3.262,1,0,0.004
54,24,Pass,52,10,52,2.725,1,0,0.003
54,24,Pass,72,22,33,1.312,1,0.003,0.079
54,24,Pass,72,24,37,1.292,1,0.004,0.087
54,24,Pass,72,26,36,0.989,1,0.003,0.088
54,24,Pass,72,28,38,0.701,1,0.002,0.07
54,24,Pass,70,18,37,0.899,3,0.002,0.068
54,24,Pass,70,20,33,1.302,2,0.003,0.071
54,24,Pass,70,22,34,1.59,1,0.004,0.076
54,24,Pass,70,24,37,1.521,1,0.004,0.082
54,24,Pass,70,26,36,1.123,1,0.003,0.084
54,24,Pass,70,28,38,0.721,1,0.002,0.07
54,24,Pass,70,30,39,0.603,1,0.001,0.034
54,24,Pass,70,32,43,0.771,2,0,0.011
54,24,Pass,68,20,32,1.321,2,0.003,0.08
54,24,Pass,68,22,37,1.474,2,0.003,0.075
54,24,Pass,68,24,39,1.364,1,0.003,0.074
54,24,Pass,68,26,42,1.02,1,0.002,0.071
54,24,Pass,68,28,43,0.705,1,0.001,0.055
54,24,Pass,68,30,46,0.645,2,0,0.024
54,24,Pass,68,32,48,0.823,2,0,0.01
54,24,Pass,68,34,46,1.09,2,0,0.011
54,24,Pass,66,20,36,1.152,2,0.004,0.099
54,24,Pass,66,22,40,1.127,2,0.003,0.078
54,24,Pass,66,24,41,0.997,1,0.002,0.065
54,24,Pass,66,26,41,0.799,1,0.001,0.052
54,24,Pass,66,28,49,0.697,2,0.001,0.03
54,24,Pass,66,30,47,0.815,2,0,0.011
54,24,Pass,66,32,48,1.069,2,0,0.006
54,24,Pass,66,34,51,1.313,2,0,0.011
54,24,Pass,64,20,40,0.917,2,0.003,0.117
54,24,Pass,64,22,42,0.784,2,0.002,0.084
54,24,Pass,64,24,43,0.66,1,0.001,0.054
54,24,Pass,64,26,47,0.595,2,0.001,0.031
54,24,Pass,64,28,50,0.69,2,0,0.012
54,24,Pass,64,30,48,0.982,2,0,0.004
54,24,Pass,64,32,49,1.309,2,0,0.004
54,24,Pass,64,34,50,1.478,2,0,0.008
54,24,Pass,64,36,50,1.545,1,0.001,0.015
54,24,Pass,62,20,45,0.707,2,0.003,0.112
54,24,Pass,62,22,47,0.567,2,0.001,0.077
54,24,Pass,62,24,46,0.454,1,0.001,0.041
54,24,Pass,62,26,46,0.444,2,0,0.016
54,24,Pass,62,28,53,0.614,2,0,0.004
54,24,Pass,62,30,52,0.959,2,0,0.001
54,24,Pass,62,32,51,1.281,2,0,0.002
54,24,Pass,62,34,51,1.366,1,0,0.005
54,24,Pass,62,36,45,1.273,1,0,0.011
54,24,Pass,60,20,51,0.619,2,0.001,0.069
54,24,Pass,60,22,53,0.522,2,0.001,0.043
54,24,Pass,60,24,52,0.398,1,0,0.022
54,24,Pass,60,26,51,0.356,2,0,0.007
54,24,Pass,60,28,50,0.478,2,0,0.002
54,24,Pass,60,30,50,0.744,2,0,0.001
54,24,Pass,60,32,53,0.983,1,0,0.001
54,24,Pass,60,34,51,1.018,1,0,0.003
54,24,Pass,60,36,49,0.892,2,0,0.007
54,24,Pass,58,18,51,0.595,1,0.001,0.037
54,24,Pass,58,20,50,0.661,2,0.001,0.025
54,24,Pass,58,22,51,0.602,2,0,0.014
54,24,Pass,58,24,47,0.448,1,0,0.007
54,24,Pass,58,26,51,0.343,2,0,0.003
54,24,Pass,58,28,51,0.383,2,0,0.001
54,24,Pass,58,30,52,0.539,1,0,0
54,24,Pass,58,32,52,0.683,1,0,0.001
54,24,Pass,58,34,46,0.694,1,0,0.002
54,24,Pass,58,36,47,0.613,2,0,0.004
54,24,Pass,56,16,56,0.596,1,0,0.011
54,24,Pass,56,18,51,0.597,1,0,0.01
54,24,Pass,56,20,50,0.696,1,0,0.006
54,24,Pass,56,22,50,0.659,0,0,0.004
54,24,Pass,56,24,44,0.499,0,0,0.002
54,24,Pass,56,26,52,0.379,1,0,0.001
54,24,Pass,56,28,53,0.398,1,0,0
54,24,Pass,56,30,51,0.519,1,0,0
54,24,Pass,56,32,53,0.62,1,0,0.001
54,24,Pass,56,34,46,0.611,1,0,0.001
54,24,Pass,56,36,45,0.544,2,0,0.003
54,24,Pass,54,14,52,1,1,0,0.004
54,24,Pass,54,16,50,0.568,1,0,0.003
54,24,Pass,54,18,52,0.545,1,0,0.003
54,24,Pass,54,20,52,0.633,1,0,0.002
54,24,Pass,54,22,48,0.611,0,0,0.002
