x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
28,70,Pass,76,80,1,0,0,0,0
28,72,Pass,76,80,1,0,0,0,0
28,74,Pass,76,80,1,0,0,0,0
30,54,Pass,76,80,1,0,0,0,0
30,56,Pass,76,80,1,0,0,0,0
30,58,Pass,76,80,1,0,0,0,0
30,60,Pass,76,80,1,0,0,0,0
30,62,Pass,76,80,1,0,0,0,0
30,64,Pass,76,80,1,0,0,0,0
30,66,Pass,76,80,1,0,0,0,0
30,68,Pass,76,80,1,0.001,0,0,0
30,70,Pass,76,80,1,0.001,0,0,0
30,72,Pass,76,80,1,0.001,0,0,0
30,74,Pass,76,80,1,0.001,0,0,0
30,76,Pass,76,80,1,0.001,0,0,0
30,78,Pass,76,80,1,0,0,0,0
32,52,Pass,76,80,1,0,0,0,0
32,54,Pass,76,80,1,0,0,0,0
32,56,Pass,76,80,1,0,0,0,0
32,58,Pass,76,80,1,0,0,0,0
32,60,Pass,76,80,1,0,0,0,0
32,60,Run,76,80,1,0,0,0,0
32,62,Pass,76,80,3,0,0,0,0
32,62,Run,76,80,1,0,0,0,0
32,64,Pass,76,80,3,0.001,0,0,0
32,64,Run,76,80,1,0,0,0,0
32,66,Pass,76,80,3,0.002,0,0,0
32,66,Run,76,80,1,0,0,0,0
32,68,Pass,76,80,3,0.004,0,0,0
32,70,Pass,76,80,2,0.007,0,0,0
32,72,Pass,76,80,1,0.008,0,0,0
32,74,Pass,76,80,1,0.007,0,0,0
32,76,Pass,76,80,1,0.004,0,0,0
32,78,Pass,76,80,1,0.002,0,0,0
32,80,Pass,76,80,1,0,0,0,0
34,50,Pass,76,80,1,0,0,0,0
34,52,Pass,76,80,1,0,0,0,0
34,54,Pass,76,80,1,0,0,0,0
34,56,Pass,76,80,2,0,0,0,0
34,56,Run,76,80,1,0,0,0,0
34,58,Pass,76,80,2,0,0,0,0
34,58,Run,76,80,1,0,0,0,0
34,60,Pass,76,80,4,0.001,0,0,0
34,60,Run,76,80,1,0,0,0,0
34,62,Pass,76,80,5,0.002,0,0,0
34,62,Run,76,80,1,0,0,0,0
34,64,Pass,76,80,4,0.004,0,0,0
34,64,Run,76,80,1,0,0,0,0
34,66,Pass,76,80,4,0.01,0,0,0
34,66,Run,76,80,1,0,0,0,0
34,68,Pass,76,80,4,0.019,0,0,0
34,68,Run,76,80,1,0,0,0,0
34,70,Pass,76,80,4,0.029,0,0,0
34,70,Run,76,80,1,0,0,0,0
34,72,Pass,76,80,3,0.033,0,0,0
34,74,Pass,76,80,2,0.027,0,0,0
34,76,Pass,76,80,1,0.015,0,0,0
34,78,Pass,76,80,1,0.006,0,0,0
