endX,endY,WeightedCount,WeightedExpectedGoals,GoalProbability
70,34,18.485,0,0
70,36,20.216,0,0
70,38,24.655,0,0
70,40,28.022,0,0
70,42,29.773,0,0
70,44,32.89,0,0
70,46,38.09,0,0
68,30,30.238,0,0
68,32,29.385,0,0
68,34,27.647,0,0.001
68,36,28.152,0,0.002
68,38,31.334,0,0.002
68,40,33.749,0,0.002
68,42,34.334,0,0.002
68,44,36.338,0,0.001
68,46,42.386,0,0
68,48,51.604,0,0
66,30,34.945,0,0
66,32,36.862,0,0.001
66,34,36.174,0,0.003
66,36,35.468,0,0.006
66,38,37.029,0,0.009
66,40,39.279,0,0.009
66,42,41.321,0,0.007
66,44,45.396,0,0.003
66,46,53.62,0,0.001
66,48,65.288,0,0
66,50,76.265,0,0
64,28,29.81,0,0
64,30,34.883,0,0.001
64,32,39.936,0,0.003
64,34,40.789,0,0.008
64,36,39.4,0.002,0.018
64,38,39.628,0.004,0.027
64,40,41.466,0.005,0.028
64,42,44.112,0.003,0.02
64,44,48.783,0.001,0.009
64,46,56.554,0,0.003
64,48,66.494,0,0.001
64,50,74.769,0,0
62,28,23.705,0,0
62,30,30.576,0,0.002
62,32,37.123,0,0.006
62,34,38.696,0.002,0.018
62,36,37.403,0.009,0.042
62,38,37.297,0.021,0.064
62,40,38.169,0.024,0.068
62,42,38.846,0.013,0.05
62,44,40.569,0.004,0.025
62,46,44.523,0,0.008
62,48,50.023,0,0.002
62,50,54.317,0,0
62,52,53.537,0,0
60,28,16.938,0,0.001
60,30,23.435,0,0.003
60,32,28.945,0,0.012
60,34,30.408,0.004,0.036
60,36,30.291,0.021,0.079
60,38,31.229,0.049,0.119
60,40,31.358,0.057,0.127
60,42,29.062,0.032,0.103
60,44,26.491,0.009,0.059
60,46,26.04,0.001,0.022
60,48,27.795,0,0.005
60,50,30.056,0,0.001
60,52,30.137,0,0
58,28,12.428,0,0.001
58,30,16.766,0,0.005
58,32,19.472,0,0.019
58,34,20.067,0.005,0.058
58,36,21.077,0.024,0.123
58,38,23.193,0.057,0.172
58,40,23.207,0.065,0.185
58,42,19.44,0.037,0.165
58,44,14.654,0.01,0.114
58,46,12.079,0.001,0.051
58,48,12.613,0,0.012
58,50,15.392,0,0.002
58,52,18.207,0,0
56,28,12.493,0,0.001
56,30,14.456,0,0.004
56,32,13.705,0,0.02
56,34,12.209,0.003,0.072
56,36,12.606,0.013,0.154
56,38,14.452,0.032,0.207
56,40,14.514,0.037,0.221
56,42,11.369,0.021,0.211
56,44,7.294,0.006,0.172
56,46,5.166,0.001,0.089
56,48,6.271,0,0.019
56,50,10.552,0,0.002
56,52,15.928,0,0
54,28,15.769,0,0.002
54,30,16.213,0,0.004
54,32,12.493,0,0.014
54,34,8.305,0.001,0.057
54,36,6.708,0.004,0.152
54,38,7.131,0.009,0.219
54,40,7.051,0.01,0.238
54,42,5.34,0.006,0.235
54,44,3.184,0.002,0.206
54,46,2.358,0,0.101
54,48,4.085,0,0.015
54,50,8.867,0,0.001
52,28,17.434,0,0.011
52,30,17.319,0,0.013
52,32,12.26,0,0.017
52,34,6.601,0,0.038
52,36,3.546,0,0.112
52,38,2.781,0.001,0.207
52,40,2.524,0.001,0.242
52,42,1.871,0.001,0.244
52,44,1.129,0,0.212
52,46,1.094,0,0.08
52,48,2.649,0,0.008
52,50,6.351,0,0.001
50,30,15.094,0.002,0.06
50,32,10.525,0.001,0.066
50,34,5.251,0,0.075
50,36,2.097,0,0.106
50,38,0.98,0,0.181
50,40,0.676,0,0.238
50,42,0.473,0,0.246
50,44,0.31,0,0.196
50,46,0.446,0,0.05
50,48,1.339,0,0.004
48,32,9.087,0.007,0.224
48,34,4.545,0.002,0.236
48,36,1.631,0,0.248
48,38,0.48,0,0.258
48,40,0.172,0,0.26
48,42,0.081,0,0.254
48,44,0.068,0,0.159
48,46,0.144,0,0.027
46,36,1.909,0.001,0.426
46,38,0.488,0,0.429
46,40,0.096,0,0.413
46,42,0.019,0,0.375
60,60,10.233,0,0
58,54,18.088,0,0
58,56,14.186,0,0
58,58,8.967,0,0
58,60,5.234,0,0
58,62,3.652,0,0
58,64,3.52,0,0
58,66,3.948,0,0
56,54,18.29,0,0
56,56,15.51,0,0
56,58,10.021,0,0
56,60,5.438,0,0
56,62,2.899,0,0
56,64,1.801,0,0
56,66,1.411,0,0
56,68,1.235,0,0
54,52,15.002,0,0
54,54,18.578,0,0
54,56,17.398,0,0
54,58,13.389,0,0
54,60,9.302,0,0
54,62,5.889,0,0
54,64,3.238,0,0
54,66,1.569,0,0
54,68,0.765,0,0
54,70,0.396,0,0
52,52,11.429,0,0
52,54,15.716,0,0
52,56,18.029,0,0
52,58,18.71,0,0
52,60,17.292,0,0
52,62,13.127,0,0
52,64,7.919,0,0
52,66,4.048,0,0
52,68,1.959,0,0
52,70,0.902,0,0
50,50,3.466,0,0
50,52,7.036,0,0
50,54,12.123,0,0
50,56,18.969,0,0
50,58,25.863,0,0
50,60,28.132,0,0
50,62,23.404,0,0
50,64,15.477,0,0
50,66,9.121,0,0
50,68,5.19,0,0
50,70,2.646,0,0
50,72,1.061,0,0
48,48,0.517,0,0
48,50,1.558,0,0
48,52,4.071,0,0
48,54,9.638,0,0
48,56,19.415,0,0
48,58,30.421,0,0
48,60,35.477,0,0
48,62,31.363,0,0
48,64,23.032,0,0
48,66,15.906,0,0
48,68,10.418,0,0
48,70,5.715,0,0
48,72,2.357,0,0
46,48,0.171,0,0
46,50,0.685,0,0
46,52,2.46,0,0
46,54,7.322,0,0
46,56,16.562,0,0
46,58,27.346,0,0
46,60,33.127,0,0
46,62,31.292,0,0
46,64,26.093,0,0
46,66,21.022,0,0
46,68,15.27,0,0
46,70,8.764,0,0
46,72,3.672,0,0
44,48,0.058,0,0
44,50,0.316,0,0
44,52,1.384,0,0
44,54,4.529,0,0
44,56,10.652,0,0
44,58,18.003,0,0
44,60,22.649,0,0
44,62,23.316,0,0
44,64,22.417,0,0
44,66,20.6,0,0
44,68,16.052,0,0
44,70,9.465,0,0
44,72,4.002,0,0
42,48,0.013,0,0
42,50,0.131,0,0
42,52,0.619,0,0
42,54,2.084,0,0
42,56,4.972,0,0
42,58,8.573,0,0
42,60,11.344,0,0
42,62,13.024,0,0
42,64,14.429,0,0
42,66,14.67,0,0
42,68,11.962,0,0
42,70,7.167,0,0
42,72,3.043,0,0
40,50,0.042,0,0
40,52,0.202,0,0
40,54,0.69,0,0
40,56,1.663,0,0
40,58,2.947,0,0
40,60,4.181,0,0
40,62,5.44,0,0
40,64,6.843,0,0
40,66,7.478,0,0
40,68,6.274,0,0
40,70,3.796,0,0
38,50,0.008,0,0
38,52,0.048,0,0
38,54,0.16,0,0
38,56,0.398,0,0
38,58,0.732,0,0
38,60,1.137,0,0
38,62,1.686,0,0
38,64,2.353,0,0
38,66,2.701,0,0
38,68,2.307,0,0
36,52,0.007,0,0
36,54,0.023,0,0
36,56,0.062,0,0
36,58,0.132,0,0
36,60,0.228,0,0
36,62,0.384,0,0
36,64,0.579,0,0
36,66,0.684,0,0
34,56,0.007,0,0
34,58,0.011,0,0
34,60,0.032,0,0
34,62,0.062,0,0
102,46,1.792,0,0.03
102,48,3.874,0,0.015
102,50,8.617,0.001,0.018
100,42,2.986,0.001,0.204
100,44,2.454,0,0.076
100,46,4.387,0,0.017
100,48,8.203,0,0.01
100,50,14.196,0,0.009
100,52,23.334,0.001,0.01
100,54,34.139,0.003,0.01
98,40,3.864,0.003,0.223
98,42,2.761,0,0.138
98,44,4.464,0,0.047
98,46,9.232,0,0.025
98,48,16.057,0,0.017
98,50,23.852,0,0.011
98,52,33.177,0,0.007
98,54,44.159,0.001,0.005
98,56,52.992,0.001,0.003
98,58,53.539,0,0.002
96,38,3.375,0.001,0.176
96,40,2.928,0,0.13
96,42,3.785,0,0.086
96,44,7.866,0,0.067
96,46,16.03,0.001,0.054
96,48,26.333,0.002,0.04
96,50,35.639,0.001,0.026
96,52,43.681,0.001,0.013
96,54,52.788,0,0.005
96,56,62.326,0,0.002
96,58,65.872,0,0.001
94,36,3.711,0,0.055
94,38,5.046,0,0.039
94,40,6.136,0,0.041
94,42,8.316,0.001,0.072
94,44,14.192,0.004,0.1
94,46,25.055,0.011,0.098
94,48,37.801,0.017,0.08
94,50,47.037,0.012,0.055
94,52,51.717,0.004,0.03
94,54,56.491,0.001,0.012
94,56,64.476,0,0.003
94,58,69.898,0,0.001
94,60,62.89,0,0
92,36,9.37,0,0.007
92,38,13.803,0,0.009
92,40,17.066,0,0.02
92,42,20.191,0.002,0.056
92,44,26.821,0.015,0.104
92,46,38.801,0.044,0.126
92,48,51.853,0.066,0.116
92,50,58.805,0.048,0.088
92,52,58.37,0.017,0.054
92,54,57.145,0.003,0.024
92,56,61.132,0,0.007
92,58,66.089,0,0.002
92,60,61.202,0,0
90,36,20.722,0,0.003
90,38,30.197,0.001,0.005
90,40,37.029,0.001,0.013
90,42,41.11,0.005,0.038
90,44,46.931,0.028,0.083
90,46,57.523,0.085,0.119
90,48,68.397,0.127,0.123
