x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
66,10,Pass,120,42,1,0,0,0,0
66,12,Pass,120,42,1,0,0,0,0
66,14,Pass,120,42,1,0,0,0,0
66,16,Pass,120,42,1,0,0,0,0
66,18,Pass,120,42,1,0,0,0,0
66,20,Pass,120,42,1,0,0,0,0
68,8,Pass,120,42,1,0,0,0,0
68,10,Pass,120,42,1,0,0,0,0
68,12,Pass,120,42,1,0,0,0,0
68,14,Pass,120,42,1,0,0,0,0
68,16,Pass,120,42,1,0,0,0,0
68,18,Pass,120,42,1,0,0,0,0
68,20,Pass,120,42,1,0,0,0,0
68,22,Pass,120,42,1,0,0,0,0
68,24,Pass,120,42,1,0,0,0,0
70,6,Pass,120,42,1,0,0,0,0
70,8,Pass,120,42,1,0,0,0,0
70,10,Pass,120,42,1,0,0,0,0
70,12,Pass,120,42,1,0,0,0,0
70,14,Pass,120,42,1,0,0,0,0
70,16,Pass,120,42,1,0,0,0,0
70,18,Pass,120,42,1,0,0,0,0
70,20,Pass,120,42,1,0,0,0,0
70,22,Pass,120,42,1,0,0,0,0
70,24,Pass,120,42,1,0,0,0,0
70,26,Pass,120,42,1,0,0,0,0
72,4,Pass,120,42,1,0,0,0,0
72,6,Pass,120,42,1,0,0,0,0
72,8,Pass,120,42,1,0,0,0,0
72,10,Pass,120,42,1,0,0,0,0
72,12,Pass,120,42,1,0.001,0,0,0
72,14,Pass,120,42,1,0.001,0,0,0
72,16,Pass,120,42,1,0.001,0,0,0
72,18,Pass,120,42,1,0.001,0,0,0
72,20,Pass,120,42,1,0.001,0,0,0
72,22,Pass,120,42,1,0,0,0,0
72,24,Pass,120,42,1,0,0,0,0
72,26,Pass,120,42,1,0,0,0,0
72,70,Pass,120,42,1,0,0,0,0
72,72,Pass,120,42,1,0,0,0,0
72,74,Pass,120,42,1,0,0,0,0
72,76,Pass,120,42,1,0,0,0,0
72,78,Pass,120,42,1,0,0,0,0
72,80,Pass,120,42,1,0,0,0,0
74,4,Pass,120,42,1,0,0,0,0
74,6,Pass,120,42,1,0,0,0,0
74,8,Pass,120,42,1,0,0,0,0
74,10,Pass,120,42,1,0.001,0,0,0
74,12,Pass,120,42,1,0.002,0,0,0
74,14,Pass,120,42,1,0.003,0,0,0
74,16,Pass,120,42,1,0.004,0,0,0
74,18,Pass,120,42,1,0.003,0,0,0
74,20,Pass,120,42,1,0.001,0,0,0
74,22,Pass,120,42,1,0.001,0,0,0
74,24,Pass,120,42,1,0,0,0,0
74,26,Pass,120,42,1,0,0,0,0
74,28,Pass,120,42,1,0,0,0,0
74,42,Pass,120,42,1,0,0,0,0
74,44,Pass,120,42,1,0,0,0,0
74,46,Pass,120,42,1,0,0,0,0
74,48,Pass,120,42,1,0,0,0,0
74,50,Pass,120,42,1,0,0,0,0
74,52,Pass,120,42,1,0,0,0,0
74,56,Pass,120,42,1,0,0,0,0.34
74,58,Pass,120,42,1,0,0,0,0.34
74,60,Pass,120,42,1,0,0,0,0.34
74,68,Pass,120,42,1,0,0,0,0
74,70,Pass,120,42,1,0,0,0,0
74,72,Pass,120,42,1,0,0,0,0
74,74,Pass,120,42,1,0,0,0,0
74,76,Pass,120,42,1,0,0,0,0
74,78,Pass,120,42,1,0,0,0,0
74,80,Pass,120,42,1,0,0,0,0
76,4,Pass,120,42,1,0,0,0,0
76,6,Pass,120,42,1,0,0,0,0
76,8,Pass,120,42,1,0.001,0,0,0
76,10,Pass,120,42,2,0.002,0,0,0
76,12,Pass,120,42,2,0.004,0,0,0
76,14,Pass,120,42,2,0.006,0,0,0
76,16,Pass,120,42,1,0.006,0,0,0
76,18,Pass,120,42,1,0.005,0,0,0
76,20,Pass,120,42,1,0.003,0,0,0
76,22,Pass,120,42,1,0.001,0,0,0
76,24,Pass,120,42,1,0,0,0,0
76,26,Pass,120,42,1,0,0,0,0
76,28,Pass,120,42,1,0,0,0,0
76,40,Pass,120,42,1,0,0,0,0
76,42,Pass,120,42,1,0,0,0,0
76,44,Pass,120,42,1,0,0,0,0
76,46,Pass,120,42,1,0,0,0,0
76,48,Pass,120,42,1,0,0,0,0
76,50,Pass,120,42,1,0,0,0,0
76,52,Pass,120,42,2,0,0,0,0.284
76,54,Pass,120,42,2,0,0,0,0.331
76,56,Pass,120,42,2,0,0,0,0.339
76,58,Pass,120,42,1,0,0,0,0.34
76,60,Pass,120,42,1,0,0,0,0.34
76,62,Pass,120,42,2,0,0,0,0.188
76,64,Pass,120,42,2,0,0,0,0.098
76,66,Pass,120,42,3,0,0,0,0.036
76,68,Pass,120,42,2,0,0,0,0
76,70,Pass,120,42,1,0,0,0,0
76,72,Pass,120,42,1,0,0,0,0
76,74,Pass,120,42,1,0,0,0,0
76,76,Pass,120,42,1,0.001,0,0,0
76,78,Pass,120,42,1,0.001,0,0,0
76,80,Pass,120,42,1,0,0,0,0
78,4,Pass,120,42,1,0,0,0,0
78,6,Pass,120,42,2,0.001,0,0,0
78,8,Pass,120,42,2,0.002,0,0,0
78,10,Pass,120,42,2,0.005,0,0,0
78,12,Pass,120,42,2,0.008,0,0,0
78,14,Pass,120,42,2,0.01,0,0,0
78,16,Pass,120,42,2,0.009,0,0,0
78,18,Pass,120,42,2,0.006,0,0,0
78,20,Pass,120,42,1,0.003,0,0,0
78,22,Pass,120,42,1,0.001,0,0,0
78,24,Pass,120,42,1,0,0,0,0
78,26,Pass,120,42,1,0,0,0,0
78,28,Pass,120,42,1,0,0,0,0
78,38,Pass,120,42,1,0,0,0,0
78,40,Pass,120,42,1,0,0,0,0
78,42,Pass,120,42,1,0,0,0,0
78,44,Pass,120,42,1,0,0,0,0
78,46,Pass,120,42,1,0,0,0,0
78,48,Pass,120,42,1,0,0,0,0
78,50,Pass,120,42,2,0,0,0,0.151
78,52,Pass,120,42,2,0,0,0,0.292
78,54,Pass,120,42,2,0,0,0,0.333
78,56,Pass,120,42,2,0,0,0,0.339
78,58,Pass,120,42,2,0,0,0,0.303
78,60,Pass,120,42,2,0.001,0,0,0.248
78,62,Pass,120,42,2,0.001,0,0,0.159
78,64,Pass,120,42,2,0,0,0,0.076
78,66,Pass,120,42,3,0,0,0,0.028
78,68,Pass,120,42,3,0,0,0,0.008
78,70,Pass,120,42,2,0,0,0,0
78,72,Pass,120,42,2,0.001,0,0,0
78,74,Pass,120,42,1,0.002,0,0,0
78,76,Pass,120,42,1,0.002,0,0,0
78,78,Pass,120,42,1,0.002,0,0,0
78,80,Pass,120,42,1,0.001,0,0,0
80,4,Pass,120,42,2,0.001,0,0,0
80,6,Pass,120,42,2,0.004,0,0,0
80,8,Pass,120,42,2,0.01,0,0,0
80,10,Pass,120,42,2,0.018,0,0,0
80,12,Pass,120,42,2,0.023,0,0,0
80,14,Pass,120,42,2,0.022,0,0,0
80,16,Pass,120,42,2,0.016,0,0,0
80,18,Pass,120,42,3,0.009,1,0,0
80,20,Pass,120,42,3,0.004,1,0,0
80,22,Pass,120,42,2,0.001,1,0,0
80,24,Pass,120,42,2,0,1,0,0.001
80,26,Pass,120,42,2,0,1,0,0.004
80,28,Pass,120,42,2,0,1,0,0.015
80,36,Pass,120,42,1,0,0,0,0
80,38,Pass,120,42,1,0,0,0,0
80,40,Pass,120,42,1,0,0,0,0
80,42,Pass,120,42,1,0,0,0,0
80,44,Pass,120,42,1,0,0,0,0
80,46,Pass,120,42,1,0,0,0,0
80,48,Pass,120,42,2,0,0,0,0.038
