x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
16,48,Run,54,48,1,0,0,0,0
16,48,Run,54,50,1,0,0,0,0
16,48,Run,54,52,1,0,0,0,0
16,48,Run,52,44,1,0,0,0,0
16,48,Run,52,46,1,0,0,0,0
16,48,Run,52,48,1,0,0,0,0
16,48,Run,52,50,1,0,0,0,0
16,48,Run,52,52,1,0,0,0,0
16,48,Run,52,54,1,0,0,0,0
16,48,Run,52,56,1,0,0,0,0
16,48,Run,50,42,1,0,0,0,0
16,48,Run,50,44,1,0,0,0,0
16,48,Run,50,46,1,0,0,0,0
16,48,Run,50,48,1,0,0,0,0
16,48,Run,50,50,1,0,0,0,0
16,48,Run,50,52,1,0,0,0,0
16,48,Run,50,54,1,0,0,0,0
16,48,Run,50,56,1,0,0,0,0
16,48,Run,50,58,1,0,0,0,0
16,48,Run,48,40,1,0,0,0,0
16,48,Run,48,42,1,0,0,0,0
16,48,Run,48,44,1,0,0,0,0
16,48,Run,48,46,1,0,0,0,0
16,48,Run,48,48,1,0,0,0,0
16,48,Run,48,50,1,0,0,0,0
16,48,Run,48,52,1,0,0,0,0
16,48,Run,48,54,1,0,0,0,0
16,48,Run,48,56,1,0,0,0,0
16,48,Run,48,58,1,0,0,0,0
16,48,Run,48,60,1,0,0,0,0
16,48,Run,46,38,1,0,0,0,0
16,48,Run,46,40,1,0,0,0,0
16,48,Run,46,42,1,0,0,0,0
16,48,Run,46,44,1,0,0,0,0
16,48,Run,46,46,1,0,0,0,0
16,48,Run,46,48,1,0,0,0,0
16,48,Run,46,50,1,0,0,0,0
16,48,Run,46,52,1,0,0,0,0
16,48,Run,46,54,1,0,0,0,0
16,48,Run,46,56,1,0,0,0,0
16,48,Run,46,58,1,0,0,0,0
16,48,Run,46,60,1,0,0,0,0
16,48,Run,46,62,1,0,0,0,0
16,48,Run,44,38,1,0,0,0,0
16,48,Run,44,40,1,0,0,0,0
16,48,Run,44,42,1,0,0,0,0
16,48,Run,44,44,1,0,0,0,0
16,48,Run,44,46,1,0,0,0,0
16,48,Run,44,48,1,0,0,0,0
16,48,Run,44,50,1,0,0,0,0
16,48,Run,44,52,1,0,0,0,0
16,48,Run,44,54,1,0,0,0,0
16,48,Run,44,56,1,0,0,0,0
16,48,Run,44,58,1,0,0,0,0
16,48,Run,44,60,1,0,0,0,0
16,48,Run,44,62,1,0,0,0,0
16,48,Run,42,38,1,0,0,0,0
16,48,Run,42,40,1,0,0,0,0
16,48,Run,42,42,1,0,0,0,0
16,48,Run,42,44,1,0,0,0,0
16,48,Run,42,46,1,0,0,0,0
16,48,Run,42,48,1,0,0,0,0
16,48,Run,42,50,1,0,0,0,0
16,48,Run,42,52,1,0,0,0,0
16,48,Run,42,54,1,0,0,0,0
16,48,Run,42,56,1,0,0,0,0
16,48,Run,42,58,1,0,0,0,0
16,48,Run,42,60,1,0,0,0,0
16,48,Run,42,62,1,0,0,0,0
16,48,Run,40,38,1,0,0,0,0
16,48,Run,40,40,1,0,0,0,0
16,48,Run,40,42,1,0,0,0,0
16,48,Run,40,44,1,0,0,0,0
16,48,Run,40,46,1,0,0,0,0
16,48,Run,40,48,1,0,0,0,0
16,48,Run,40,50,1,0,0,0,0
16,48,Run,40,52,1,0,0,0,0
16,48,Run,40,54,1,0,0,0,0
16,48,Run,40,56,1,0,0,0,0
16,48,Run,40,58,1,0,0,0,0
16,48,Run,40,60,1,0,0,0,0
16,48,Run,40,62,1,0,0,0,0
16,48,Run,38,38,1,0,0,0,0
16,48,Run,38,40,1,0,0,0,0
16,48,Run,38,42,1,0,0,0,0
16,48,Run,38,44,1,0,0,0,0
16,48,Run,38,46,1,0,0,0,0
16,48,Run,38,48,1,0,0,0,0
16,48,Run,38,50,1,0,0,0,0
16,48,Run,38,52,1,0,0,0,0
16,48,Run,38,54,1,0,0,0,0
16,48,Run,38,56,1,0,0,0,0
16,48,Run,38,58,1,0,0,0,0
16,48,Run,38,60,1,0,0,0,0
16,48,Run,38,62,1,0,0,0,0
16,48,Run,36,38,1,0,0,0,0
16,48,Run,36,40,1,0,0,0,0
16,48,Run,36,42,1,0,0,0,0
16,48,Run,36,44,1,0,0,0,0
16,48,Run,36,46,1,0,0,0,0
16,48,Run,36,48,1,0,0,0,0
16,48,Run,36,50,1,0,0,0,0
16,48,Run,36,52,1,0,0,0,0
16,48,Run,36,54,1,0,0,0,0
16,48,Run,36,56,1,0,0,0,0
16,48,Run,36,58,1,0,0,0,0
16,48,Run,36,60,1,0,0,0,0
16,48,Run,36,62,1,0,0,0,0
16,48,Run,34,40,1,0,0,0,0
16,48,Run,34,42,1,0,0,0,0
16,48,Run,34,44,1,0,0,0,0
16,48,Run,34,46,1,0,0,0,0
16,48,Run,34,48,1,0,0,0,0
16,48,Run,34,50,1,0,0,0,0
16,48,Run,34,52,1,0,0,0,0
16,48,Run,34,54,1,0,0,0,0
16,48,Run,34,56,1,0,0,0,0
16,48,Run,34,58,1,0,0,0,0
16,48,Run,34,60,1,0,0,0,0
16,48,Run,32,42,1,0,0,0,0
16,48,Run,32,44,1,0,0,0,0
16,48,Run,32,46,1,0,0,0,0
16,48,Run,32,48,1,0,0,0,0
16,48,Run,32,50,1,0,0,0,0
16,48,Run,32,52,1,0,0,0,0
16,48,Run,32,54,1,0,0,0,0
16,48,Run,32,56,1,0,0,0,0
16,48,Run,32,58,1,0,0,0,0
16,48,Run,30,44,1,0,0,0,0
16,48,Run,30,46,1,0,0,0,0
16,48,Run,30,48,1,0,0,0,0
16,48,Run,30,50,1,0,0,0,0
16,48,Run,30,52,1,0,0,0,0
16,48,Run,30,54,1,0,0,0,0
16,48,Run,30,56,1,0,0,0,0
16,48,Run,28,48,1,0,0,0,0
16,48,Run,28,50,1,0,0,0,0
16,48,Run,28,52,1,0,0,0,0
16,48,Pass,36,56,1,0,0,0,0
16,48,Pass,36,58,1,0,0,0,0
16,48,Pass,36,60,1,0,0,0,0
16,48,Pass,36,62,1,0,0,0,0
