endX,endY,WeightedCount,WeightedExpectedGoals,GoalProbability
64,48,259.137261960068,0.121,0.017
64,50,272.417265987215,0.207,0.024
64,52,296.055408216028,0.341,0.03
64,54,341.338182485608,0.453,0.031
64,56,404.508388112515,0.524,0.027
64,58,462.450715650779,0.566,0.024
64,60,494.032742637758,0.611,0.022
62,46,230.182003056908,0.075,0.015
62,48,244.184114446362,0.131,0.019
62,50,263.041012205037,0.254,0.025
62,52,288.396135076288,0.399,0.031
62,54,323.887846160637,0.468,0.031
62,56,364.260496636223,0.476,0.028
62,58,393.795923171304,0.494,0.026
62,60,402.903463066222,0.537,0.027
62,62,400.33849367639,0.565,0.029
60,44,200.677565042248,0.056,0.016
60,46,207.347408089098,0.072,0.017
60,48,230.19074477954,0.129,0.018
60,50,263.543242345693,0.242,0.02
60,52,298.062571720139,0.344,0.022
60,54,329.199224701907,0.361,0.022
60,56,352.400668372574,0.354,0.021
60,58,356.393243475396,0.41,0.022
60,60,337.959003583138,0.495,0.027
60,62,314.083551468325,0.492,0.032
60,64,305.34126740017,0.363,0.03
58,42,199.605513010558,0.066,0.02
58,44,184.043974244191,0.077,0.024
58,46,190.437383576387,0.086,0.022
58,48,222.143249167952,0.117,0.017
58,50,270.228972110432,0.173,0.014
58,52,316.572893770703,0.207,0.012
58,54,350.521219230583,0.202,0.011
58,56,367.974630316106,0.22,0.011
58,58,358.776991873484,0.312,0.014
58,60,321.154726732678,0.407,0.019
58,62,278.355493313726,0.382,0.026
58,64,258.670519196232,0.247,0.024
56,42,191.818104633864,0.103,0.031
56,44,173.975327975311,0.116,0.036
56,46,180.304363203475,0.108,0.029
56,48,215.849026627062,0.101,0.017
56,50,270.606307949907,0.098,0.009
56,52,322.824706412471,0.089,0.006
56,54,358.063469868103,0.08,0.005
56,56,372.463278059459,0.104,0.005
56,58,359.307649312844,0.172,0.006
56,60,318.402587459028,0.23,0.01
56,62,272.59227992889,0.209,0.014
56,64,249.849555885306,0.132,0.013
56,66,258.398139969034,0.085,0.009
54,42,176.004933574308,0.163,0.048
54,44,160.457407931121,0.165,0.051
54,46,167.453225430135,0.125,0.037
54,48,203.007493292493,0.084,0.018
54,50,256.610167736781,0.054,0.007
54,52,305.100783278423,0.034,0.003
54,54,331.952617203098,0.027,0.002
54,56,336.557184447669,0.037,0.002
54,58,321.658403584741,0.061,0.003
54,60,291.593887641091,0.079,0.004
54,62,260.805813192937,0.073,0.006
54,64,246.120797354119,0.051,0.005
54,66,252.63463133121,0.047,0.004
52,42,150.718502740242,0.193,0.065
52,44,140.624987559426,0.185,0.064
52,46,149.790459288646,0.126,0.041
52,48,184.171157146689,0.072,0.017
52,50,232.450468915544,0.037,0.006
52,52,270.501073196704,0.023,0.003
52,54,281.777055745811,0.027,0.002
52,56,272.058443304864,0.032,0.003
52,58,255.926038921837,0.031,0.003
52,60,241.349484112473,0.026,0.003
52,62,231.416966421932,0.02,0.002
52,64,229.025363933524,0.016,0.002
52,66,235.717455359798,0.022,0.002
50,42,129.482547936977,0.145,0.064
50,44,125.312704160773,0.135,0.06
50,46,134.823346287748,0.093,0.037
50,48,164.062726280416,0.055,0.016
50,50,202.874843902417,0.032,0.007
50,52,229.002856495735,0.038,0.006
50,54,228.665487494896,0.069,0.008
50,56,211.969227617603,0.091,0.011
50,58,198.496352389892,0.081,0.011
50,60,195.492213067899,0.05,0.007
50,62,198.377664267802,0.022,0.004
50,64,203.096374198882,0.01,0.002
50,66,210.188669786901,0.014,0.002
48,42,125.831536011682,0.072,0.042
48,44,125.0864882222,0.069,0.04
48,46,129.103151252315,0.056,0.029
48,48,145.7133248068,0.041,0.018
48,50,170.323617554558,0.036,0.013
48,52,187.761776016796,0.074,0.015
48,54,187.992420822885,0.169,0.022
48,56,178.498124847723,0.256,0.03
48,58,173.288226243482,0.251,0.029
48,60,175.70050974076,0.159,0.018
48,62,180.063939854739,0.063,0.008
48,64,183.049755427522,0.019,0.003
48,66,186.707404672978,0.02,0.003
46,42,138.282608128773,0.036,0.02
46,44,138.100513461412,0.047,0.023
46,46,132.677215747237,0.06,0.026
46,48,133.316255288587,0.062,0.027
46,50,143.358476230885,0.063,0.026
46,52,156.917133706107,0.136,0.031
46,54,166.854274909929,0.332,0.042
46,56,172.359219739623,0.532,0.051
46,58,176.629337348748,0.531,0.046
46,60,179.677921937922,0.334,0.03
46,62,178.839783930073,0.132,0.014
46,64,174.289674886032,0.037,0.006
44,44,153.13702590752,0.054,0.018
44,46,140.5819715966,0.094,0.03
44,48,129.667369685855,0.113,0.039
44,50,129.720036211742,0.111,0.041
44,52,141.649846386965,0.189,0.044
44,54,159.591928367991,0.432,0.052
44,56,175.623258057259,0.679,0.058
44,58,184.878698766614,0.664,0.051
44,60,185.75943735883,0.414,0.033
44,62,178.346126824757,0.165,0.016
42,46,144.931927972686,0.103,0.031
42,48,130.468460283413,0.136,0.044
42,50,125.862424505021,0.132,0.046
42,52,134.306669301277,0.172,0.044
42,54,150.888843835934,0.328,0.047
42,56,166.857915516049,0.486,0.05
42,58,176.230631404058,0.47,0.043
42,60,176.133763579041,0.298,0.028
40,50,124.332578946502,0.106,0.036
40,52,127.503349465953,0.11,0.033
40,54,135.136369557183,0.152,0.033
40,56,143.821103392773,0.201,0.034
40,58,152.459107161874,0.197,0.029
36,56,100.86701233302,0.021,0.012
36,58,114.804763520751,0.015,0.007
36,60,137.312411550731,0.011,0.003
36,62,147.953462375477,0.005,0.001
34,52,89.4308670740718,0.039,0.014
34,54,80.7222782226246,0.029,0.015
34,56,80.2585367624256,0.013,0.01
34,58,97.0094355544614,0.005,0.005
34,60,124.370760201366,0.002,0.001
34,62,142.460164500188,0.001,0
34,64,137.650415234408,0.001,0
34,66,113.145662047666,0.001,0
32,50,73.0655378607941,0.018,0.01
32,52,63.4848359314491,0.022,0.015
32,54,55.9063908804689,0.016,0.016
32,56,57.9646025586103,0.007,0.011
32,58,74.0328369602644,0.002,0.004
32,60,98.7789111712259,0,0.001
32,62,118.778019589641,0,0
32,64,122.320564605237,0,0
32,66,106.573760171353,0,0
32,68,80.6247997465902,0,0
30,48,63.2141697590132,0.008,0.008
30,50,52.1752440479361,0.006,0.008
30,52,40.9745263182287,0.007,0.013
30,54,35.9222468387499,0.005,0.014
30,56,40.2681262209622,0.002,0.008
30,58,52.8558615004868,0.001,0.003
30,60,69.974724215554,0,0.001
30,62,86.9405917680143,0,0
30,64,97.2138597258194,0,0
30,66,93.4605916376028,0,0
30,68,75.9568860710926,0,0
28,46,54.8172221011776,0.014,0.013
28,48,46.2322123992111,0.004,0.007
28,50,34.465982092895,0.001,0.006
28,52,25.2864275993872,0.001,0.008
28,54,23.8788608861962,0.001,0.008
28,56,30.0753922771385,0,0.005
28,58,39.1929943980322,0,0.002
28,60,48.6648727642437,0,0
28,62,60.3786501515378,0,0
28,64,73.1444189530273,0,0
28,66,78.1880584275227,0,0
28,68,69.4416085769503,0,0
28,70,53.1530695318726,0,0
26,46,34.7765023172523,0.006,0.011
26,48,27.8078039999774,0.001,0.005
26,50,19.6399356887186,0,0.004
26,52,15.1640521760895,0,0.004
