Count,WeightedCount,Goals,WeightedGoals,GoalProbability,WeightedExpectedGoals,y,x,event
1,0.00116795607769076,0,0,0.0074339374,0.000000273974714017416,48,76,Shot
1,0.00183171974875973,0,0,0.0074339374,0.000000429677882509698,50,76,Shot
1,0.00105681036171712,0,0,0.0074339374,0.000000247902572838659,52,76,Shot
1,0.000499201867465299,0,0,0.0074339374,0.000000117100883747426,44,78,Shot
1,0.00578492432307168,0,0,0.0074339374,0.00000135700564199264,46,78,Shot
1,0.02466179485084,0,0,0.0074339374,0.00000578507044954479,48,78,Shot
1,0.038677393380631,0,0,0.0074339374,0.00000907279647994017,50,78,Shot
1,0.0223149147769666,0,0,0.0074339374,0.00000523454820872223,52,78,Shot
1,0.0047362954475276,0,0,0.0074339374,0.0000011110222511997,54,78,Shot
1,0.000369817839216632,0,0,0.0074339374,0.0000000867504683380242,56,78,Shot
1,0.00387775073855409,0,0,0.0074339374,0.000000909628084411125,44,80,Shot
1,0.0449367200490893,0,0,0.0074339374,0.0000105410856276991,46,80,Shot
1,0.19157038350535,0,0,0.0074339374,0.0000449378551450814,48,80,Shot
1,0.300442166830465,0,0,0.0074339374,0.0000704765858138233,50,80,Shot
1,0.173340051183139,0,0,0.0074339374,0.0000406614528215494,52,80,Shot
1,0.0367910746466452,0,0,0.0074339374,0.00000863031097422556,54,80,Shot
1,0.00287270840238285,0,0,0.0074339374,0.000000673869058975566,56,80,Shot
1,0.001326780431027,0,0,0.01057015,0.000000442532610306187,36,82,Shot
1,0.00295280415237346,0,0,0.01057015,0.000000984874436429028,38,82,Shot
1,0.00241755156736452,0,0,0.01057015,0.000000806346989024791,40,82,Shot
2,0.0010799341494576,0,0,0.00954854889641517,0.000000325386643959445,42,82,Shot
1,0.0110812587335993,0,0,0.0074339374,0.0000025993997124391,44,82,Shot
1,0.128413468290371,0,0,0.0074339374,0.0000301227451295938,46,82,Shot
1,0.547441320611851,0,0,0.0074339374,0.000128416711998702,48,82,Shot
1,0.858558893956396,0,0,0.0074339374,0.000201397494248146,50,82,Shot
1,0.495345391068623,0,0,0.0074339374,0.000116196246117573,52,82,Shot
