x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
52,28,Pass,86,4,4,0.003,0,0,0
52,28,Pass,86,6,4,0.003,0,0,0
52,28,Pass,86,8,4,0.003,0,0,0
52,28,Pass,86,10,4,0.003,0,0,0
52,28,Pass,84,0,4,0.001,0,0,0
52,28,Pass,84,2,4,0.001,0,0,0
52,28,Pass,84,4,5,0.002,0,0,0
52,28,Pass,84,6,5,0.003,0,0,0
52,28,Pass,84,8,5,0.007,0,0,0
52,28,Pass,84,10,5,0.013,0,0,0
52,28,Pass,84,12,5,0.021,0,0,0
52,28,Pass,84,14,6,0.024,0,0,0
52,28,Pass,82,0,5,0.001,0,0,0
52,28,Pass,82,2,6,0.001,0,0,0
52,28,Pass,82,4,6,0.002,0,0,0
52,28,Pass,82,6,7,0.007,0,0,0
52,28,Pass,82,8,7,0.019,0,0,0
52,28,Pass,82,10,7,0.042,0,0,0
52,28,Pass,82,12,7,0.067,0,0,0
52,28,Pass,82,14,7,0.082,0,0,0
52,28,Pass,82,16,8,0.081,0,0,0
52,28,Pass,80,0,5,0.002,0,0,0
52,28,Pass,80,2,6,0.003,0,0,0
52,28,Pass,80,4,8,0.006,0,0,0
52,28,Pass,80,6,9,0.016,0,0,0
52,28,Pass,80,8,8,0.044,0,0,0
52,28,Pass,80,10,8,0.095,0,0,0
52,28,Pass,80,12,9,0.155,0,0,0
52,28,Pass,80,14,7,0.197,0,0,0
52,28,Pass,80,16,8,0.205,0,0,0
52,28,Pass,80,18,9,0.178,0,0,0
52,28,Pass,78,0,7,0.009,0,0,0
52,28,Pass,78,2,8,0.014,0,0,0
52,28,Pass,78,4,9,0.019,0,0,0
52,28,Pass,78,6,10,0.033,0,0,0
52,28,Pass,78,8,9,0.076,0,0,0
52,28,Pass,78,10,9,0.16,0,0,0
52,28,Pass,78,12,11,0.262,0,0,0
52,28,Pass,78,14,10,0.343,0,0,0
52,28,Pass,78,16,11,0.374,0,0,0
52,28,Pass,78,18,12,0.342,0,0,0
52,28,Pass,76,0,8,0.031,0,0,0
52,28,Pass,76,2,8,0.046,0,0,0
52,28,Pass,76,4,9,0.053,0,0,0
52,28,Pass,76,6,10,0.066,0,0,0
52,28,Pass,76,8,11,0.115,0,0,0
52,28,Pass,76,10,12,0.217,0,0,0
52,28,Pass,76,12,12,0.343,0,0,0
52,28,Pass,76,14,15,0.449,0,0,0
52,28,Pass,76,16,12,0.499,0,0,0
52,28,Pass,76,18,13,0.471,0,0,0
52,28,Pass,76,20,13,0.377,0,0,0.001
52,28,Pass,74,0,8,0.077,0,0,0
52,28,Pass,74,2,9,0.113,0,0,0
52,28,Pass,74,4,9,0.124,0,0,0
52,28,Pass,74,6,11,0.127,0,0,0
52,28,Pass,74,8,11,0.167,0,0,0
52,28,Pass,74,10,12,0.266,0,0,0
52,28,Pass,74,12,15,0.385,0,0,0
52,28,Pass,74,14,18,0.474,0,0,0
52,28,Pass,74,16,15,0.508,0,0,0
52,28,Pass,74,18,14,0.479,0,0,0
52,28,Pass,74,20,13,0.411,0,0,0.001
52,28,Pass,72,0,8,0.136,0,0,0
52,28,Pass,72,2,9,0.202,0,0,0
52,28,Pass,72,4,10,0.222,0,0,0
52,28,Pass,72,6,11,0.209,0,0,0
52,28,Pass,72,8,13,0.229,0,0,0
52,28,Pass,72,10,16,0.313,0,0,0
52,28,Pass,72,12,16,0.407,0,0,0
52,28,Pass,72,14,20,0.45,0,0,0
52,28,Pass,72,16,20,0.433,0,0,0
52,28,Pass,72,18,15,0.383,0,0,0
52,28,Pass,72,20,17,0.349,0,0,0.001
52,28,Pass,70,0,9,0.176,0,0,0
52,28,Pass,70,2,10,0.265,0,0,0
52,28,Pass,70,4,11,0.295,0,0,0
52,28,Pass,70,6,14,0.272,0,0,0
52,28,Pass,70,8,14,0.27,0,0,0
52,28,Pass,70,10,16,0.333,0,0,0
52,28,Pass,70,12,16,0.407,0,0,0
52,28,Pass,70,14,18,0.419,0,0,0
52,28,Pass,70,16,20,0.36,0,0,0
52,28,Pass,70,18,22,0.282,0,0,0
52,28,Pass,70,20,23,0.253,0,0,0.001
52,28,Pass,68,0,8,0.166,0,0,0
52,28,Pass,68,2,9,0.257,0,0,0
52,28,Pass,68,4,12,0.295,0,0,0
52,28,Pass,68,6,12,0.273,0,0,0
52,28,Pass,68,8,15,0.257,0,0,0
52,28,Pass,68,10,17,0.299,0,0,0
52,28,Pass,68,12,19,0.366,0,0,0
52,28,Pass,68,14,24,0.382,1,0,0
52,28,Pass,68,16,25,0.32,1,0,0
52,28,Pass,68,18,30,0.227,1,0,0
52,28,Pass,66,0,8,0.116,0,0,0
52,28,Pass,66,2,10,0.188,0,0,0
52,28,Pass,66,4,12,0.226,0,0,0
52,28,Pass,66,6,13,0.216,0,0,0
52,28,Pass,66,8,15,0.198,0,0,0
52,28,Pass,66,10,19,0.225,0,0,0
52,28,Pass,66,12,24,0.288,1,0,0
52,28,Pass,66,14,27,0.323,1,0,0
52,28,Pass,66,16,32,0.285,1,0,0
52,28,Pass,66,18,33,0.203,1,0,0
52,28,Pass,64,0,7,0.062,0,0,0
52,28,Pass,64,2,12,0.107,0,0,0
52,28,Pass,64,4,12,0.137,0,0,0
52,28,Pass,64,6,13,0.138,0,0,0
52,28,Pass,64,8,15,0.129,0,0,0
52,28,Pass,64,10,21,0.148,1,0,0
52,28,Pass,64,12,28,0.201,1,0,0
52,28,Pass,64,14,29,0.243,1,0,0
52,28,Pass,64,16,32,0.232,1,0,0
52,28,Pass,62,2,11,0.049,0,0,0
52,28,Pass,62,4,13,0.068,0,0,0
52,28,Pass,62,6,13,0.073,0,0,0
52,28,Pass,62,8,16,0.072,1,0,0
52,28,Pass,62,10,20,0.089,1,0,0
52,28,Pass,62,12,26,0.129,1,0,0
52,28,Pass,64,18,33,0.186,1,0,0.001
52,28,Pass,64,20,34,0.19,1,0,0.001
