x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
2,12,Pass,8,36,1,0,0,0,0
2,14,Pass,8,36,1,0,0,0,0
2,16,Pass,8,36,1,0,0,0,0
2,18,Pass,8,36,1,0,0,0,0
2,20,Pass,8,36,1,0,0,0,0
2,22,Pass,8,36,1,0,0,0,0
4,8,Pass,8,36,1,0,0,0,0
4,10,Pass,8,36,1,0,0,0,0
4,12,Pass,8,36,1,0.001,0,0,0
4,14,Pass,8,36,1,0.001,0,0,0
4,16,Pass,8,36,1,0.001,0,0,0
4,18,Pass,8,36,1,0.001,0,0,0
4,20,Pass,8,36,1,0.001,0,0,0
4,22,Pass,8,36,1,0,0,0,0
4,24,Pass,8,36,1,0,0,0,0
6,6,Pass,8,36,1,0,0,0,0
6,8,Pass,8,36,2,0,0,0,0.031
6,10,Pass,8,36,2,0.002,0,0,0.023
6,12,Pass,8,36,2,0.003,0,0,0.015
6,14,Pass,8,36,2,0.006,0,0,0.01
6,16,Pass,8,36,2,0.007,0,0,0.006
6,18,Pass,8,36,2,0.006,0,0,0.004
6,20,Pass,8,36,1,0.004,0,0,0
6,22,Pass,8,36,1,0.002,0,0,0
6,24,Pass,8,36,1,0,0,0,0
6,26,Pass,8,36,1,0,0,0,0
8,6,Pass,8,36,2,0.001,0,0,0.05
8,8,Pass,8,36,2,0.003,0,0,0.043
8,10,Pass,8,36,2,0.007,0,0,0.034
8,12,Pass,8,36,2,0.015,0,0,0.025
8,14,Pass,8,36,2,0.024,0,0,0.018
8,16,Pass,8,36,2,0.027,0,0,0.012
8,18,Pass,8,36,2,0.022,0,0,0.007
8,20,Pass,8,36,2,0.013,0,0,0.004
8,22,Pass,8,36,2,0.006,0,0,0.003
8,24,Pass,8,36,1,0.002,0,0,0
8,26,Pass,8,36,1,0,0,0,0
8,28,Pass,8,36,1,0,0,0,0
10,4,Pass,8,36,2,0.001,0,0,0.061
10,6,Pass,8,36,2,0.003,0,0,0.058
10,8,Pass,8,36,2,0.011,0,0,0.053
10,10,Pass,8,36,2,0.028,0,0,0.046
10,12,Pass,8,36,2,0.052,0,0,0.037
10,14,Pass,8,36,2,0.074,0,0,0.028
10,16,Pass,8,36,2,0.078,0,0,0.02
10,18,Pass,8,36,2,0.062,0,0,0.013
10,20,Pass,8,36,2,0.035,0,0,0.008
10,22,Pass,8,36,2,0.015,0,0,0.005
10,24,Pass,8,36,2,0.004,0,0,0.003
10,26,Pass,8,36,1,0.001,0,0,0
10,28,Pass,8,36,1,0,0,0,0
12,2,Pass,8,36,1,0,0,0,0.067
12,4,Pass,8,36,2,0.002,0,0,0.064
12,6,Pass,8,36,2,0.01,0,0,0.062
12,8,Pass,8,36,2,0.034,0,0,0.059
12,10,Pass,8,36,2,0.082,0,0,0.054
12,12,Pass,8,36,2,0.143,0,0,0.048
12,14,Pass,8,36,2,0.185,0,0,0.04
12,16,Pass,8,36,2,0.178,0,0,0.031
12,18,Pass,8,36,2,0.128,0,0,0.023
12,20,Pass,8,36,2,0.069,0,0,0.015
12,22,Pass,8,36,2,0.027,0,0,0.01
12,24,Pass,8,36,2,0.008,0,0,0.006
12,26,Pass,8,36,1,0.001,0,0,0
12,28,Pass,8,36,1,0,0,0,0
12,38,Pass,8,36,1,0,0,0,0
12,40,Pass,8,36,1,0.001,0,0,0
12,42,Pass,8,36,1,0.001,0,0,0
12,44,Pass,8,36,1,0.002,0,0,0
12,46,Pass,8,36,1,0.001,0,0,0
12,48,Pass,8,36,1,0.001,0,0,0
12,50,Pass,8,36,1,0,0,0,0
14,2,Pass,8,36,1,0.001,0,0,0.067
