endX,endY,WeightedCount,WeightedExpectedGoals,GoalProbability
52,0,274.295973941359,0.053,0.011
52,2,429.916876700282,0.196,0.013
52,4,566.705889077956,0.462,0.014
52,6,660.083979357717,0.819,0.015
52,8,717.097152333482,1.206,0.015
50,0,249.861690724081,0.031,0.007
50,2,385.344276465477,0.117,0.009
50,4,504.470047326702,0.306,0.011
50,6,593.131350885311,0.662,0.014
50,8,659.628703234476,1.19,0.016
50,10,718.452650172158,1.626,0.016
48,0,234.917880584177,0.016,0.004
48,2,365.560617995074,0.07,0.006
48,4,480.569553662416,0.229,0.009
48,6,565.035274142307,0.609,0.013
48,8,626.55340109442,1.251,0.018
48,10,682.604315992934,1.846,0.019
48,12,738.340395750334,1.935,0.015
46,0,231.240062678936,0.009,0.002
46,2,363.491692791815,0.048,0.004
46,4,475.986719281734,0.188,0.007
46,6,550.888058664721,0.552,0.013
46,8,597.672811382635,1.193,0.019
46,10,638.95237558555,1.843,0.021
46,12,691.959416425259,2.03,0.018
46,14,752.495766099192,1.669,0.013
44,0,240.650199396979,0.008,0.002
44,2,372.489688350241,0.045,0.003
44,4,474.707395154797,0.182,0.007
44,6,532.805475000452,0.517,0.013
44,8,563.499730187756,1.078,0.019
44,10,591.252273453419,1.647,0.022
44,12,636.253514337127,1.858,0.02
44,14,704.399579137376,1.623,0.015
42,0,257.260830119523,0.011,0.002
42,2,382.907265544022,0.062,0.004
42,4,467.553468733213,0.228,0.008
42,6,505.917846934733,0.569,0.014
42,8,524.371875000314,1.036,0.02
42,10,545.902538157606,1.432,0.022
42,12,583.421364269929,1.558,0.02
42,14,642.783966804883,1.398,0.016
42,16,709.27663724476,1.088,0.012
40,0,265.484065616329,0.017,0.003
40,2,380.019412956694,0.093,0.006
40,4,448.569176339791,0.312,0.011
40,6,474.012451304303,0.675,0.017
40,8,487.459330493795,1.026,0.02
40,10,508.807114024772,1.199,0.02
40,12,540.866831843943,1.17,0.017
40,14,582.096266231065,1.006,0.014
40,16,625.694023991365,0.78,0.012
38,0,249.696520787074,0.022,0.004
38,2,350.270025533126,0.118,0.008
38,4,411.100892616382,0.368,0.014
38,6,437.855370492215,0.706,0.018
38,8,457.529839344879,0.907,0.019
38,10,485.04687349807,0.883,0.016
38,12,515.630983629949,0.736,0.012
38,14,540.007349779324,0.568,0.01
38,16,558.043863646226,0.423,0.009
36,0,210.111797927539,0.021,0.005
36,2,295.382426325189,0.106,0.009
36,4,354.614820961053,0.313,0.014
36,6,392.255813232724,0.556,0.017
36,8,426.698218454169,0.64,0.015
36,10,466.859702158896,0.543,0.011
36,12,503.123171043702,0.389,0.007
36,14,521.349869486361,0.271,0.006
34,0,164.763180918248,0.012,0.004
34,2,235.724587626733,0.061,0.008
34,4,292.590031624214,0.176,0.012
34,6,337.77808942067,0.303,0.013
34,8,383.313227285379,0.333,0.011
34,10,434.060304763481,0.27,0.007
34,12,479.089594219225,0.198,0.005
34,14,501.702766003645,0.167,0.004
32,0,131.01659992172,0.004,0.003
32,2,190.982785510631,0.023,0.005
32,4,241.599799846011,0.069,0.008
32,6,283.7057098198,0.117,0.009
32,8,326.914855645258,0.13,0.007
32,10,376.549716040442,0.125,0.005
32,12,423.674658970567,0.157,0.005
30,0,109.282869819643,0.002,0.002
30,2,161.004071476732,0.009,0.004
30,4,203.257335194945,0.03,0.007
30,6,235.487131974468,0.055,0.008
30,8,266.920396420607,0.067,0.008
30,10,305.303506972175,0.098,0.007
30,12,346.006880115403,0.211,0.008
28,0,88.1647615300199,0.001,0.004
28,2,131.25443039306,0.01,0.007
28,4,165.518828255781,0.038,0.012
28,6,189.338222697226,0.075,0.016
28,8,210.64658602549,0.091,0.017
14,2,71.5495769467979,0.003,0.002
14,4,91.8080693395364,0.011,0.004
14,6,98.5951437965421,0.019,0.006
14,8,92.379932784003,0.02,0.007
14,10,81.2231448195999,0.013,0.007
14,12,76.6185880132275,0.01,0.01
12,0,47.8473892012909,0,0.001
12,2,69.4418436114524,0.001,0.002
12,4,81.4159121098988,0.005,0.003
12,6,81.0299479791009,0.01,0.005
12,8,72.2554373205994,0.011,0.007
12,10,63.3340636919027,0.009,0.009
12,12,63.2678381522988,0.01,0.014
12,14,75.9598407884587,0.029,0.022
10,0,43.339127881288,0,0.001
10,2,59.984349335138,0,0.001
10,4,66.6231702651902,0.001,0.002
10,6,62.659483815293,0.003,0.004
10,8,53.3432142475986,0.004,0.006
10,10,46.5395820245019,0.004,0.008
10,12,48.8108445144762,0.008,0.015
10,14,61.3030892528617,0.025,0.026
10,16,78.186789140703,0.064,0.033
8,0,30.5568457730132,0,0
8,2,42.3955628506505,0,0.001
8,4,47.5886912156318,0,0.001
8,6,45.3375074275553,0.001,0.002
8,8,39.0624455727527,0.001,0.003
8,10,34.9265562928086,0.002,0.006
8,12,37.7847377847361,0.004,0.013
8,14,47.3337021681113,0.014,0.022
8,16,58.5793084363608,0.033,0.029
8,18,65.3883163006803,0.044,0.031
6,0,16.6551661212029,0,0
6,2,24.7531761773434,0,0
6,4,30.5255046390313,0,0.001
6,6,31.9433140734328,0,0.001
6,8,29.631173152909,0,0.001
6,10,28.0340202514214,0.001,0.003
6,12,31.0973624565773,0.002,0.007
6,14,37.727137721442,0.006,0.013
6,16,43.7666587722837,0.012,0.018
6,18,46.3097876610422,0.013,0.02
4,0,7.8920446162142,0,0
4,2,13.9762804899783,0,0
4,4,20.5087363527321,0,0
4,6,24.3427362223971,0,0
4,8,24.2546221593668,0,0
4,10,23.7635467833062,0,0.001
4,12,26.5374046713544,0.001,0.003
4,14,30.9352734525439,0.002,0.005
4,16,33.1626181662135,0.003,0.008
4,18,32.6674128863395,0.003,0.009
