endX,endY,WeightedCount,WeightedExpectedGoals,GoalProbability
52,0,17.74,0,0
52,2,22.298,0,0
52,4,24.67,0,0
52,6,24.999,0,0
52,8,22.069,0,0
50,0,21.892,0,0
50,2,29.416,0,0
50,4,34.851,0,0
50,6,36.53,0,0
50,8,31.597,0,0
50,10,21.393,0,0
48,0,23.065,0,0
48,2,33.504,0,0
48,4,41.929,0,0
48,6,44.456,0,0
48,8,37.561,0,0
48,10,24.039,0,0
48,12,11.545,0,0
46,0,26.06,0,0
46,2,38.574,0,0
46,4,47.064,0,0
46,6,47.204,0,0
46,8,37.533,0,0
46,10,22.679,0,0
46,12,10.144,0,0
46,14,3.373,0,0
44,0,33.838,0,0
44,2,47.148,0,0
44,4,51.581,0,0
44,6,45.396,0,0
44,8,32.058,0,0
44,10,17.693,0,0
44,12,7.386,0,0
44,14,2.28,0,0
42,0,41.271,0,0
42,2,54.079,0,0
42,4,53.082,0,0
42,6,40.252,0,0
42,8,24.201,0,0
42,10,11.606,0,0
42,12,4.359,0,0
42,14,1.247,0,0
42,16,0.285,0,0
40,0,39.762,0,0
40,2,50.58,0,0
40,4,46.689,0,0
40,6,31.899,0,0
40,8,16.568,0,0
40,10,6.726,0,0
40,12,2.169,0,0
40,14,0.551,0,0
40,16,0.108,0,0
38,0,28.267,0,0
38,2,35.731,0,0
38,4,32.245,0,0
38,6,20.962,0,0
38,8,9.97,0,0
38,10,3.547,0,0
38,12,0.968,0,0
38,14,0.206,0,0
38,16,0.032,0,0
36,0,14.814,0,0
36,2,18.853,0,0
36,4,17.003,0,0
36,6,10.902,0,0
36,8,4.998,0,0
36,10,1.655,0,0
36,12,0.403,0,0
36,14,0.068,0,0
34,0,6.975,0,0
34,2,9.079,0,0
34,4,8.332,0,0
34,6,5.387,0,0
34,8,2.457,0,0
34,10,0.793,0,0
34,12,0.177,0,0
34,14,0.022,0,0
32,0,6.171,0,0
32,2,8.302,0,0
32,4,7.807,0,0
32,6,5.137,0,0
32,8,2.355,0,0
32,10,0.755,0,0
32,12,0.167,0,0
30,0,9.486,0,0
30,2,12.879,0,0
30,4,12.194,0,0
30,6,8.051,0,0
30,8,3.707,0,0
30,10,1.183,0,0
30,12,0.265,0,0
28,0,12.36,0,0
28,2,16.795,0,0
28,4,15.911,0,0
28,6,10.503,0,0
28,8,4.837,0,0
32,14,0.021,0,0
30,14,0.041,0,0
