x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
38,22,Pass,120,28,1,0,0,0,0
38,22,Pass,120,30,1,0,0,0,0
38,22,Pass,120,32,1,0,0,0,0
38,22,Pass,120,34,2,0.001,0,0,0
38,22,Pass,120,36,2,0.003,0,0,0
38,22,Pass,120,38,2,0.009,0,0,0
38,22,Pass,120,40,2,0.02,0,0,0
38,22,Pass,120,42,2,0.032,0,0,0
38,22,Pass,120,44,3,0.036,0,0,0
38,22,Pass,120,46,3,0.028,0,0,0
38,22,Pass,118,26,2,0,0,0,0.204
38,22,Pass,118,28,2,0,0,0,0.096
38,22,Pass,118,30,2,0,0,0,0.038
38,22,Pass,118,32,4,0,0,0,0.001
38,22,Pass,118,34,4,0.002,0,0,0
38,22,Pass,118,36,4,0.008,0,0,0
38,22,Pass,118,38,3,0.025,0,0,0
38,22,Pass,118,40,4,0.057,0,0,0
38,22,Pass,118,42,3,0.092,0,0,0
38,22,Pass,118,44,4,0.103,0,0,0
38,22,Pass,118,46,4,0.08,0,0,0
38,22,Pass,118,48,4,0.044,0,0,0.001
38,22,Pass,116,26,2,0,0,0,0.315
38,22,Pass,116,28,2,0,0,0,0.189
38,22,Pass,116,30,3,0,0,0,0.015
38,22,Pass,116,32,5,0.001,0,0,0.003
38,22,Pass,116,34,5,0.004,0,0,0.001
38,22,Pass,116,36,6,0.017,0,0,0
38,22,Pass,116,38,6,0.052,0,0,0
38,22,Pass,116,40,6,0.116,0,0,0.001
38,22,Pass,116,42,5,0.185,0,0,0.001
38,22,Pass,116,44,5,0.208,0,0,0.001
38,22,Pass,116,46,5,0.164,0,0,0.001
38,22,Pass,116,48,5,0.093,0,0,0.002
38,22,Pass,114,26,2,0,0,0,0.397
38,22,Pass,114,28,4,0,0,0,0.039
38,22,Pass,114,30,4,0.001,0,0,0.016
38,22,Pass,114,32,5,0.004,0,0,0.005
38,22,Pass,114,34,5,0.011,0,0,0.001
38,22,Pass,114,36,6,0.03,0,0,0.001
38,22,Pass,114,38,6,0.079,0,0,0.001
38,22,Pass,114,40,6,0.17,0,0,0.001
38,22,Pass,114,42,9,0.27,0,0,0.002
38,22,Pass,114,44,8,0.307,0,0,0.003
38,22,Pass,114,46,8,0.25,0,0,0.004
38,22,Pass,114,48,6,0.15,0,0,0.005
38,22,Pass,114,50,6,0.076,0,0,0.005
38,22,Pass,112,26,4,0,0,0,0.09
38,22,Pass,112,28,4,0.001,0,0,0.038
38,22,Pass,112,30,4,0.004,0,0,0.015
38,22,Pass,112,32,5,0.012,0,0,0.006
38,22,Pass,112,34,6,0.027,0,0,0.002
38,22,Pass,112,36,6,0.052,0,0,0.001
38,22,Pass,112,38,7,0.102,0,0,0.002
38,22,Pass,112,40,10,0.193,0,0,0.004
38,22,Pass,112,42,10,0.302,0,0,0.006
38,22,Pass,112,44,9,0.354,0,0,0.008
38,22,Pass,112,46,9,0.307,0,0,0.01
38,22,Pass,112,48,8,0.207,0,0,0.011
38,22,Pass,112,50,7,0.127,0,0,0.009
38,22,Pass,110,26,6,0.001,0,0,0.063
38,22,Pass,110,28,4,0.003,0,0,0.037
38,22,Pass,110,30,4,0.01,0,0,0.015
38,22,Pass,110,32,5,0.029,0,0,0.006
38,22,Pass,110,34,6,0.06,0,0,0.002
38,22,Pass,110,36,7,0.095,0,0,0.002
38,22,Pass,110,38,9,0.134,0,0,0.004
38,22,Pass,110,40,10,0.2,0,0,0.008
38,22,Pass,110,42,10,0.293,0,0,0.012
38,22,Pass,110,44,10,0.36,0,0,0.016
38,22,Pass,110,46,9,0.342,0,0,0.018
38,22,Pass,110,48,8,0.261,0,0,0.018
38,22,Pass,110,50,7,0.186,0,0,0.013
38,22,Pass,108,26,8,0.002,0,0,0.039
38,22,Pass,108,28,6,0.005,0,0,0.033
38,22,Pass,108,30,5,0.019,0,0,0.014
38,22,Pass,108,32,6,0.053,0,0,0.005
38,22,Pass,108,34,8,0.105,0,0,0.002
38,22,Pass,108,36,8,0.153,0,0,0.002
38,22,Pass,108,38,9,0.178,0,0,0.004
38,22,Pass,108,40,10,0.208,0,0,0.011
38,22,Pass,108,42,10,0.276,0,0,0.019
38,22,Pass,108,44,10,0.349,0,0,0.024
38,22,Pass,108,46,9,0.357,0,0,0.025
38,22,Pass,108,48,9,0.294,0,0,0.023
38,22,Pass,108,50,7,0.22,0,0,0.017
38,22,Pass,106,26,9,0.005,0,0,0.019
38,22,Pass,106,28,11,0.007,0,0,0.028
38,22,Pass,106,30,8,0.024,0,0,0.013
38,22,Pass,106,32,8,0.067,0,0,0.005
38,22,Pass,106,34,9,0.132,0,0,0.002
38,22,Pass,106,36,11,0.187,0,0,0.002
38,22,Pass,106,38,11,0.201,0,0,0.004
38,22,Pass,106,40,11,0.202,0,0,0.012
38,22,Pass,106,42,11,0.239,0,0,0.022
38,22,Pass,106,44,11,0.301,0,0,0.028
38,22,Pass,106,46,10,0.317,0,0,0.029
38,22,Pass,106,48,11,0.267,0,0,0.026
38,22,Pass,104,28,11,0.008,0,0,0.02
38,22,Pass,104,30,8,0.022,0,0,0.012
38,22,Pass,104,32,8,0.06,0,0,0.005
38,22,Pass,104,34,10,0.118,0,0,0.002
38,22,Pass,104,36,12,0.164,0,0,0.001
38,22,Pass,104,38,12,0.171,0,0,0.003
38,22,Pass,104,40,13,0.158,0,0,0.011
38,22,Pass,104,42,13,0.17,0,0,0.022
38,22,Pass,104,44,12,0.207,0,0,0.029
38,22,Pass,104,46,12,0.218,0,0,0.03
38,22,Pass,104,48,12,0.183,0,0,0.027
38,22,Pass,102,28,11,0.01,0,0,0.01
