x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
0,62,Pass,56,72,1,0,0,0,0
0,64,Pass,56,72,1,0,0,0,0
0,66,Pass,56,72,1,0,0,0,0
0,68,Pass,56,72,1,0,0,0,0
2,36,Pass,56,72,1,0,0,0,0
2,38,Pass,56,72,1,0,0,0,0
2,40,Pass,56,72,1,0.001,0,0,0
2,42,Pass,56,72,1,0.001,0,0,0
2,44,Pass,56,72,1,0.001,0,0,0
2,46,Pass,56,72,1,0,0,0,0
2,48,Pass,56,72,1,0,0,0,0
2,58,Pass,56,72,1,0,0,0,0
2,60,Pass,56,72,1,0,0,0,0
2,62,Pass,56,72,1,0,0,0,0
2,64,Pass,56,72,1,0,0,0,0
2,66,Pass,56,72,1,0,0,0,0
2,68,Pass,56,72,1,0,0,0,0
2,70,Pass,56,72,1,0,0,0,0
2,72,Pass,56,72,1,0,0,0,0
4,34,Pass,56,72,1,0,0,0,0
4,36,Pass,56,72,1,0.001,0,0,0
4,38,Pass,56,72,1,0.002,0,0,0
4,40,Pass,56,72,1,0.004,0,0,0
4,42,Pass,56,72,1,0.005,0,0,0
4,44,Pass,56,72,1,0.005,0,0,0
4,46,Pass,56,72,1,0.003,0,0,0
4,48,Pass,56,72,1,0.001,0,0,0
4,50,Pass,56,72,1,0,0,0,0
4,56,Pass,56,72,1,0,0,0,0
4,58,Pass,56,72,1,0,0,0,0
4,60,Pass,56,72,1,0,0,0,0
4,62,Pass,56,72,1,0.001,0,0,0
4,64,Pass,56,72,1,0.001,0,0,0
4,66,Pass,56,72,1,0.001,0,0,0
4,68,Pass,56,72,1,0,0,0,0
4,70,Pass,56,72,1,0,0,0,0
4,72,Pass,56,72,1,0,0,0,0
4,74,Pass,56,72,1,0,0,0,0
6,32,Pass,56,72,1,0,0,0,0
6,34,Pass,56,72,1,0.001,0,0,0
6,36,Pass,56,72,1,0.004,0,0,0
6,38,Pass,56,72,1,0.01,0,0,0
6,40,Pass,56,72,1,0.018,0,0,0
6,42,Pass,56,72,1,0.024,0,0,0
6,44,Pass,56,72,1,0.021,0,0,0
6,46,Pass,56,72,1,0.013,0,0,0
6,48,Pass,56,72,1,0.006,0,0,0
6,50,Pass,56,72,1,0.002,0,0,0
6,52,Pass,56,72,1,0,0,0,0
6,54,Pass,56,72,1,0,0,0,0
6,56,Pass,56,72,1,0,0,0,0
6,58,Pass,56,72,1,0,0,0,0
6,60,Pass,56,72,1,0.001,0,0,0
6,62,Pass,56,72,1,0.002,0,0,0
6,64,Pass,56,72,1,0.003,0,0,0
6,66,Pass,56,72,1,0.003,0,0,0
6,68,Pass,56,72,1,0.002,0,0,0
6,70,Pass,56,72,1,0.001,0,0,0
6,72,Pass,56,72,1,0,0,0,0
6,74,Pass,56,72,1,0,0,0,0
6,76,Pass,56,72,1,0,0,0,0
8,32,Pass,56,72,1,0.001,0,0,0
8,34,Pass,56,72,1,0.003,0,0,0
