endX,endY,WeightedCount,WeightedExpectedGoals,GoalProbability
28,8,68.4167037230805,0.002,0.003
28,10,62.1770349360363,0.003,0.004
28,12,64.2543416142005,0.003,0.006
28,14,73.1750221626062,0.004,0.006
28,16,82.817669596291,0.005,0.009
28,18,89.3835327130485,0.009,0.017
26,6,68.0420332057843,0,0
26,8,61.2974750863441,0,0.001
26,10,56.2559902810456,0,0.001
26,12,57.5265643513953,0.001,0.002
26,14,63.0106534918074,0.001,0.002
26,16,69.2787581735601,0.001,0.004
26,18,74.5700961655176,0.002,0.009
26,20,77.8799747114256,0.006,0.021
26,22,79.7924853664873,0.017,0.038
24,4,72.795808060338,0,0
24,6,72.637405279904,0,0
24,8,63.7945782095852,0,0
24,10,56.0784805569508,0,0
24,12,52.9508382271339,0,0
24,14,52.9911147911497,0,0.001
24,16,55.4046365104383,0,0.001
24,18,60.1892037395297,0,0.004
24,20,66.4011866876588,0.001,0.01
24,22,74.443374791343,0.004,0.019
24,24,86.717980670482,0.013,0.032
22,2,57.965547354753,0,0
22,4,72.3670866262212,0,0
22,6,71.6802740410783,0,0
22,8,61.8099146192328,0,0
22,10,51.9803999239024,0,0
22,12,45.2553559569028,0,0
22,14,40.9780293550745,0,0
22,16,40.0329512966025,0,0
22,18,44.0476522815859,0,0.002
22,20,53.8192766682921,0,0.005
22,22,70.7524479832111,0.002,0.011
22,24,96.2043663305479,0.009,0.02
20,2,49.0938562773743,0,0
20,4,60.9372875704782,0,0
20,6,60.3316961919369,0,0
20,8,51.9680491545636,0,0
20,10,43.2928305210156,0,0
20,12,36.5775815825268,0,0
20,14,31.0253994538915,0,0
20,16,27.8829391740833,0,0
20,18,30.6864688725352,0,0.001
20,20,43.1155259190501,0,0.003
20,22,68.5806131469964,0.001,0.007
20,24,107.678341449681,0.008,0.013
18,0,25.3789320616425,0,0
18,2,39.0859326641048,0,0
18,4,47.4543487998207,0,0
18,6,47.3505567434962,0,0
18,8,41.9087241713615,0,0
18,10,36.111157597794,0,0
18,12,31.3697085325761,0,0
18,14,26.4024273013202,0,0
18,16,22.3956208130682,0,0
18,18,24.4699380712335,0,0.001
18,20,38.7097050127397,0,0.002
18,22,69.863240132583,0.001,0.005
18,24,118.881009765642,0.007,0.009
18,26,179.01252004865,0.03,0.013
16,0,23.2340863997556,0,0
16,2,32.370265343056,0,0
16,4,37.5462509605291,0,0
16,6,38.0683662873268,0,0
16,8,35.4675080672562,0,0
16,10,32.0443966409094,0,0
16,12,28.5945223220596,0,0
16,14,24.2941174031643,0,0
16,16,20.7375081863498,0,0
16,18,23.6728224436752,0,0.001
16,20,39.6485694837739,0,0.002
16,22,73.6021334119561,0.001,0.003
16,24,127.842120631202,0.006,0.005
16,26,199.516814152485,0.026,0.008
14,2,26.3233443070655,0,0
14,4,28.9698154390182,0,0
14,6,29.8848339562653,0,0
14,8,29.4760682409604,0,0
14,10,27.7063075768445,0,0
14,12,24.7351583023923,0,0
14,14,20.8000640681588,0,0
14,16,18.3392339111197,0,0
14,18,22.729247693248,0,0.001
14,20,39.43546306913,0,0.002
14,22,73.1162902858466,0.001,0.003
14,24,128.449076218082,0.007,0.004
14,26,207.711057164824,0.028,0.006
12,2,18.2938935784163,0,0
12,4,19.4353559288125,0,0
12,6,20.7714245081836,0,0
12,8,22.4254915629057,0,0
12,10,22.8449638579263,0,0
12,12,20.8511495091446,0,0
12,14,16.9919677632706,0,0
12,16,14.5505136911223,0,0
12,18,18.4323534378037,0,0.001
12,20,32.7506326169454,0,0.002
12,22,61.8801029265327,0.002,0.003
12,24,112.620359282503,0.008,0.005
10,2,9.88983928514683,0,0
10,4,10.6471740759437,0,0
10,6,12.8120505317715,0,0
10,8,16.7136484640544,0,0
10,10,20.0012704081864,0,0
10,12,19.622491915035,0,0
10,14,15.4422186494415,0,0
10,16,11.3773709313943,0,0
10,18,12.3073868394871,0,0.001
10,20,21.3012178788439,0,0.002
10,22,42.0255487731279,0.001,0.004
10,24,81.831123399027,0.007,0.006
8,4,4.94061905238083,0,0
8,6,7.7667470953036,0,0
8,8,13.0270655996669,0,0
8,10,18.1678711548042,0,0
8,12,19.019559597948,0,0
8,14,14.6699652759523,0,0
8,16,9.16013759794303,0,0
8,18,7.12248352592032,0,0.001
8,20,10.8599588867566,0,0.003
8,22,22.9156936118135,0.001,0.005
6,6,4.69921467512498,0,0
6,8,9.4060968432966,0,0
6,10,14.1655086320136,0,0
6,12,15.2795810044087,0,0
6,14,11.7104158358878,0,0
6,16,6.65956565510638,0,0
6,18,3.81289224231655,0,0.001
6,20,4.8258114474614,0,0.003
4,10,8.28950390012595,0,0
4,12,9.0356675547743,0,0
4,14,6.90284523975694,0,0
4,16,3.78823422418804,0,0
4,18,1.89761877493037,0,0.001
98,18,81.4654945966532,0.033,0.028
98,20,86.324606926539,0.015,0.017
98,22,85.4596010227745,0.003,0.008
98,24,78.05210491878,0.001,0.003
98,26,67.3073131997039,0,0.003
98,28,61.2873987659039,0.001,0.005
98,30,63.8806701178797,0.001,0.009
96,16,63.2473088592097,0.015,0.028
96,18,71.2423536554613,0.013,0.021
96,20,82.6025743902739,0.006,0.012
96,22,88.4596234840257,0.002,0.005
96,24,83.5681757087644,0.001,0.002
96,26,72.1964221151719,0.001,0.002
96,28,65.2225651853877,0.001,0.002
96,30,67.8068418142105,0.001,0.003
96,32,73.7074854952668,0.001,0.006
94,14,74.2981571892819,0.007,0.016
94,16,69.5651475360964,0.005,0.013
94,18,79.436534926777,0.005,0.01
94,20,94.5486114013737,0.005,0.006
94,22,101.777549302247,0.004,0.004
94,24,95.6290624124176,0.003,0.003
94,26,84.1438332004371,0.003,0.003
94,28,78.9585072360134,0.004,0.004
94,30,81.6807854795742,0.003,0.004
94,32,84.1750921669356,0.003,0.004
94,34,79.6364524337231,0.003,0.006
92,12,102.755580452124,0.02,0.016
92,14,91.8808710274193,0.009,0.009
92,16,94.5757175059349,0.006,0.006
92,18,109.252428531119,0.007,0.005
92,20,125.992442836525,0.011,0.004
92,22,131.960643169224,0.012,0.003
92,24,124.264996650121,0.011,0.004
92,26,113.462507530162,0.014,0.006
92,28,108.113822962369,0.017,0.008
92,30,104.598484817443,0.016,0.009
92,32,95.7981995675305,0.01,0.008
92,34,82.1508840850355,0.005,0.007
92,36,71.0224087483402,0.005,0.008
90,12,110.849110470195,0.034,0.019
90,14,112.328221280378,0.015,0.009
90,16,125.607376639722,0.01,0.005
90,18,144.844344717708,0.013,0.004
90,20,161.639635904486,0.019,0.004
90,22,167.884745387428,0.021,0.004
90,24,163.726224271761,0.025,0.005
90,26,157.306856582505,0.038,0.009
90,28,150.530892206602,0.053,0.012
90,30,135.316355370009,0.052,0.014
90,32,109.545579727655,0.032,0.013
90,34,84.3473494251759,0.013,0.011
90,36,72.874032941711,0.005,0.011
88,12,117.556367691741,0.047,0.023
88,14,126.921417301971,0.022,0.01
