x,y,WeightedCount,WeightedExpectedGoals,GoalProbability
0,0,0.026,0,0
0,2,0.16,0,0
0,4,0.689,0,0
0,6,2.07,0,0
0,8,4.417,0,0
0,10,6.787,0,0
0,12,7.682,0,0
0,14,6.639,0,0
0,16,4.612,0,0.002
0,18,2.878,0,0.007
0,20,2.02,0,0.02
0,22,1.732,0,0.031
0,24,1.416,0,0.036
0,26,0.895,0,0.037
0,28,0.404,0,0.038
0,30,0.125,0,0.04
0,32,0.028,0,0.04
0,42,0.015,0,0
0,44,0.076,0,0
0,46,0.272,0,0
0,48,0.682,0,0
0,50,1.193,0,0
0,52,1.455,0,0
0,54,1.237,0,0
0,56,0.733,0,0
0,58,0.303,0,0
0,60,0.087,0,0
0,62,0.018,0,0
2,0,0.052,0,0
2,2,0.317,0,0
2,4,1.377,0,0
2,6,4.179,0,0
2,8,9.066,0,0
2,10,14.29,0,0
2,12,16.905,0,0
2,14,15.561,0,0
2,16,11.754,0,0.002
2,18,8.175,0,0.008
2,20,6.411,0,0.02
2,22,5.825,0.001,0.03
2,24,4.808,0.001,0.034
2,26,3.035,0,0.036
2,28,1.391,0,0.036
2,30,0.477,0,0.034
2,32,0.141,0,0.025
2,34,0.051,0,0.011
2,36,0.012,0,0
2,40,0.006,0,0
2,42,0.046,0,0
2,44,0.24,0,0
2,46,0.863,0,0
2,48,2.164,0,0
2,50,3.785,0,0
2,52,4.616,0,0
2,54,3.924,0,0
2,56,2.326,0,0
2,58,0.961,0,0
2,60,0.277,0,0
2,62,0.056,0,0
2,64,0.008,0,0
4,0,0.072,0,0
4,2,0.447,0,0
4,4,1.944,0,0
4,6,5.982,0,0
4,8,13.282,0,0
4,10,21.828,0,0
4,12,27.473,0,0
4,14,27.472,0,0
4,16,22.903,0,0.002
4,18,17.795,0.001,0.008
4,20,15.333,0.002,0.019
4,22,14.422,0.004,0.027
4,24,11.949,0.003,0.031
4,26,7.571,0.001,0.032
4,28,3.605,0,0.031
4,30,1.447,0,0.025
4,32,0.63,0,0.013
4,34,0.321,0,0.004
4,36,0.147,0,0
4,38,0.051,0,0
4,40,0.025,0,0
4,42,0.103,0,0
4,44,0.53,0,0
4,46,1.907,0,0
4,48,4.785,0,0
4,50,8.37,0,0
4,52,10.207,0,0
4,54,8.678,0,0
4,56,5.143,0,0
4,58,2.125,0,0
4,60,0.612,0,0
4,62,0.123,0,0
4,64,0.017,0,0
6,0,0.07,0,0
6,2,0.446,0,0
6,4,1.971,0,0
6,6,6.235,0,0
6,8,14.49,0,0
6,10,25.515,0,0
6,12,35.17,0,0
6,14,39.028,0,0.001
6,16,36.265,0,0.002
6,18,31.287,0.002,0.007
6,20,28.828,0.005,0.016
6,22,27.483,0.009,0.022
6,24,22.651,0.008,0.026
6,26,14.638,0.004,0.026
6,28,7.782,0.001,0.023
6,30,4.194,0,0.013
6,32,2.643,0,0.005
6,34,1.639,0,0.001
6,36,0.81,0,0
6,38,0.299,0,0
6,40,0.096,0,0
6,42,0.17,0,0
6,44,0.817,0,0
6,46,2.941,0,0
6,48,7.377,0,0
6,50,12.904,0,0
6,52,15.736,0,0
6,54,13.378,0,0
6,56,7.929,0,0
6,58,3.277,0,0
6,60,0.944,0,0
6,62,0.19,0,0
6,64,0.027,0,0
8,0,0.047,0,0
8,2,0.345,0,0
8,4,1.57,0,0
8,6,5.256,0,0
8,8,13.245,0,0
8,10,25.861,0,0
8,12,39.868,0,0
8,14,49.197,0,0
8,16,50.28,0.001,0.002
8,18,46.87,0.003,0.005
8,20,44.855,0.007,0.011
8,22,42.734,0.011,0.016
8,24,35.371,0.01,0.018
8,26,24.401,0.005,0.017
8,28,15.983,0.001,0.012
8,30,11.89,0,0.005
8,32,9.272,0,0.001
8,34,6.138,0,0
8,36,3.082,0,0
8,38,1.145,0,0
8,40,0.331,0,0
8,42,0.223,0,0
8,44,0.884,0,0
8,46,3.16,0,0
8,48,7.929,0,0
8,50,13.869,0,0
8,52,16.913,0,0
8,54,14.379,0,0
8,56,8.522,0,0
8,58,3.522,0,0
8,60,1.015,0,0
8,62,0.204,0,0
8,64,0.029,0,0
10,0,0.047,0,0
10,2,0.296,0,0
10,4,1.359,0,0
10,6,4.717,0,0
10,8,12.738,0,0
10,10,26.949,0,0
10,12,44.685,0,0
10,14,58.588,0,0
10,16,63.079,0.001,0.001
10,18,61.43,0.002,0.003
10,20,60.106,0.005,0.006
10,22,57.756,0.007,0.009
10,24,49.613,0.006,0.01
10,26,38.835,0.004,0.008
10,28,32.216,0.002,0.005
10,30,29.387,0.001,0.002
10,32,24.758,0,0
10,34,16.602,0,0
10,36,8.354,0,0
10,38,3.13,0,0
10,40,0.917,0,0
10,42,0.331,0,0
10,44,0.702,0,0
10,46,2.368,0,0
10,48,5.942,0,0
10,50,10.393,0,0
10,52,12.673,0,0
10,54,10.774,0,0
10,56,6.386,0,0
10,58,2.639,0,0
10,60,0.76,0,0
10,62,0.153,0,0
10,64,0.021,0,0
12,0,0.093,0,0.001
12,2,0.476,0,0.001
12,4,1.882,0,0
12,6,5.854,0,0
12,8,14.74,0,0
12,10,29.981,0,0
12,12,48.79,0,0
12,14,63.706,0,0
12,16,69.362,0,0.001
12,18,69.305,0.001,0.001
12,20,69.899,0.002,0.003
12,22,69.776,0.002,0.004
12,24,64.784,0.002,0.004
12,26,58.849,0.002,0.003
12,28,57.681,0.001,0.001
12,30,57.247,0.001,0
12,32,48.991,0,0
12,34,32.74,0,0
12,36,16.605,0,0
12,38,6.555,0,0
12,40,2.193,0,0
12,42,0.756,0,0
12,44,0.543,0,0
12,46,1.287,0,0
12,48,3.112,0,0
12,50,5.429,0,0
12,52,6.621,0,0
12,54,5.629,0,0
12,56,3.336,0,0
12,58,1.379,0,0
12,60,0.397,0,0
12,62,0.08,0,0
12,64,0.011,0,0
14,0,0.236,0,0.003
14,2,1.045,0,0.002
14,4,3.447,0,0.001
14,6,8.88,0,0.001
14,8,18.574,0,0
14,10,32.468,0,0
14,12,47.717,0,0
14,14,59.125,0,0
14,16,63.95,0,0
14,18,66.11,0,0.001
14,20,70.665,0,0.001
14,22,75.715,0,0.001
14,24,77.676,0.001,0.001
14,26,79.76,0.001,0.001
14,28,85.042,0.001,0
14,30,86.115,0,0
14,32,73.138,0,0
14,34,48.848,0,0
14,36,25.784,0,0
14,38,11.664,0,0
14,40,5.075,0,0
14,42,2.17,0,0
14,44,0.9,0,0
14,46,0.664,0,0
14,48,1.174,0,0
14,50,1.977,0,0
14,52,2.411,0,0
14,54,2.05,0,0
14,56,1.215,0,0
14,58,0.502,0,0
14,60,0.145,0,0
14,62,0.029,0,0
16,0,0.569,0,0.005
16,2,2.167,0,0.004
16,4,6.218,0,0.003
16,6,13.544,0,0.002
16,8,23.253,0,0.001
16,10,33.183,0,0.001
16,12,41.428,0,0
16,14,47.102,0,0
16,16,51.153,0,0
16,18,57.201,0,0
16,20,67.487,0,0
16,22,78.943,0,0
16,24,88.083,0,0
16,26,96.623,0,0
16,28,104.954,0,0
16,30,104.637,0,0
16,32,87.561,0,0
16,34,59.543,0,0
16,36,34.793,0,0
16,38,19.739,0,0
16,40,11.243,0,0
16,42,5.68,0,0
16,44,2.253,0,0
16,46,0.75,0,0
16,48,0.418,0,0
16,50,0.517,0,0
16,52,0.612,0,0
16,54,0.521,0,0
16,56,0.309,0,0
16,58,0.127,0,0
16,60,0.037,0,0
16,62,0.007,0,0
18,0,1.275,0,0.006
18,2,4.26,0,0.006
18,4,10.634,0,0.005
18,6,20.01,0,0.004
18,8,29.084,0,0.003
18,10,34.456,0,0.002
18,12,36.411,0,0.001
18,14,38.436,0,0
18,16,44.39,0,0
18,18,56.763,0,0
18,20,74.161,0,0
18,22,91.117,0,0
18,24,103.762,0,0
18,26,112.967,0,0
18,28,118.276,0.001,0.001
18,30,113.099,0.001,0.001
18,32,93.045,0,0.001
18,34,66.01,0,0
18,36,44.577,0,0
18,38,31.245,0,0
18,40,20.836,0,0
18,42,11.334,0,0
18,44,4.612,0,0
18,46,1.416,0,0
18,48,0.406,0,0
18,50,0.197,0,0
18,52,0.158,0,0
18,54,0.118,0,0
18,56,0.07,0,0
18,58,0.029,0,0
18,60,0.007,0,0
20,0,2.653,0,0.006
