x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
46,40,Pass,62,58,30,0.192,1,0,0
46,40,Pass,62,60,25,0.071,1,0,0
46,40,Pass,62,62,23,0.025,1,0,0
46,40,Pass,62,64,21,0.014,1,0,0.001
46,40,Pass,62,66,21,0.015,1,0,0.001
46,40,Pass,60,54,36,0.614,1,0,0
46,40,Pass,60,56,33,0.405,1,0,0
46,40,Pass,60,58,32,0.213,1,0,0
46,40,Pass,60,60,29,0.095,1,0,0
46,40,Pass,60,62,25,0.043,1,0,0.001
46,40,Pass,60,64,22,0.029,1,0,0.002
46,40,Pass,60,66,21,0.032,1,0,0.002
46,40,Pass,60,68,21,0.039,1,0,0.002
46,40,Pass,60,70,19,0.041,1,0,0.002
46,40,Pass,58,52,45,0.918,1,0,0
46,40,Pass,58,54,43,0.748,1,0,0
46,40,Pass,58,56,39,0.503,1,0,0
46,40,Pass,58,58,37,0.283,1,0,0
46,40,Pass,58,60,31,0.141,1,0,0.001
46,40,Pass,58,62,30,0.071,1,0,0.003
46,40,Pass,58,64,27,0.052,1,0,0.004
46,40,Pass,58,66,24,0.056,1,0,0.003
46,40,Pass,58,68,24,0.062,1,0,0.002
46,40,Pass,58,70,20,0.059,1,0,0.003
46,40,Pass,58,72,18,0.048,1,0,0.003
46,40,Pass,56,52,47,1.167,1,0,0
46,40,Pass,56,54,43,0.915,1,0,0
46,40,Pass,56,56,37,0.616,1,0,0
46,40,Pass,56,58,41,0.358,1,0,0.001
46,40,Pass,56,60,39,0.188,1,0,0.003
46,40,Pass,56,62,29,0.104,1,0,0.007
46,40,Pass,56,64,27,0.078,1,0,0.009
46,40,Pass,56,66,27,0.078,1,0,0.006
46,40,Pass,56,68,25,0.08,1,0,0.004
46,40,Pass,56,70,22,0.07,1,0,0.003
46,40,Pass,56,72,19,0.051,1,0,0.003
46,40,Pass,56,74,17,0.032,1,0,0.003
46,40,Pass,54,50,47,1.538,1,0,0
46,40,Pass,54,52,45,1.348,1,0,0
46,40,Pass,54,54,41,1.047,1,0,0
46,40,Pass,54,56,44,0.712,1,0,0.001
46,40,Pass,54,58,42,0.424,1,0,0.002
46,40,Pass,54,60,38,0.242,1,0,0.006
46,40,Pass,54,62,36,0.155,1,0,0.012
46,40,Pass,54,64,32,0.118,1,0,0.015
46,40,Pass,54,66,27,0.101,1,0,0.011
46,40,Pass,54,68,24,0.089,1,0,0.006
46,40,Pass,54,70,21,0.075,1,0,0.004
46,40,Pass,54,72,19,0.056,1,0,0.003
46,40,Pass,54,74,19,0.036,1,0,0.002
46,40,Pass,52,50,44,1.686,1,0,0
46,40,Pass,52,52,45,1.482,1,0,0
46,40,Pass,52,54,44,1.163,1,0,0
46,40,Pass,52,56,46,0.806,1,0,0.001
46,40,Pass,52,58,44,0.512,1,0,0.003
46,40,Pass,52,60,47,0.347,1,0,0.008
46,40,Pass,52,62,39,0.271,1,0,0.013
46,40,Pass,52,64,29,0.214,1,0,0.014
46,40,Pass,52,66,25,0.155,1,0,0.013
46,40,Pass,52,68,23,0.11,1,0,0.008
46,40,Pass,52,70,21,0.087,1,0,0.004
46,40,Pass,52,72,21,0.072,1,0,0.002
46,40,Pass,52,74,19,0.054,1,0,0.001
46,40,Pass,50,50,47,1.866,1,0,0.001
