x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
32,30,Pass,86,46,1,0,0,0,0
32,32,Pass,86,46,1,0,0,0,0
32,34,Pass,86,46,1,0,0,0,0
32,36,Pass,86,46,1,0,0,0,0
34,26,Pass,86,46,1,0,0,0,0
34,28,Pass,86,46,1,0,0,0,0
34,30,Pass,86,46,1,0,0,0,0
34,32,Pass,86,46,1,0,0,0,0
34,34,Pass,86,46,1,0,0,0,0
34,36,Pass,86,46,1,0,0,0,0
34,38,Pass,86,46,1,0,0,0,0
34,40,Pass,86,46,1,0,0,0,0
34,50,Run,86,46,1,0,0,0,0.055
36,24,Pass,86,46,1,0,0,0,0
36,26,Pass,86,46,1,0,0,0,0
36,28,Pass,86,46,1,0,0,0,0
36,30,Pass,86,46,1,0.001,0,0,0
36,32,Pass,86,46,1,0.001,0,0,0
36,34,Pass,86,46,1,0.001,0,0,0
36,36,Pass,86,46,1,0,0,0,0
36,38,Pass,86,46,1,0,0,0,0
36,40,Pass,86,46,1,0,0,0,0
36,42,Pass,86,46,1,0,0,0,0
36,44,Run,86,46,1,0,0,0,0.055
36,46,Run,86,46,1,0,0,0,0.055
36,48,Run,86,46,1,0,0,0,0.055
36,50,Run,86,46,1,0,0,0,0.055
36,52,Run,86,46,1,0,0,0,0.055
36,54,Run,86,46,1,0,0,0,0.055
36,56,Run,86,46,1,0,0,0,0.055
38,22,Pass,86,46,1,0,0,0,0
38,24,Pass,86,46,1,0,0,0,0
38,26,Pass,86,46,1,0,0,0,0
38,28,Pass,86,46,1,0.001,0,0,0
38,30,Pass,86,46,1,0.002,0,0,0
38,32,Pass,86,46,1,0.003,0,0,0
38,34,Pass,86,46,1,0.003,0,0,0
38,36,Pass,86,46,1,0.002,0,0,0
38,38,Pass,86,46,1,0.001,0,0,0
38,40,Run,86,46,1,0,0,0,0.055
38,40,Pass,86,46,1,0,0,0,0
38,42,Run,86,46,1,0,0,0,0.055
38,42,Pass,86,46,1,0,0,0,0
38,44,Run,86,46,1,0,0,0,0.055
38,46,Run,86,46,1,0.001,0,0,0.055
38,48,Run,86,46,1,0.001,0,0,0.055
38,50,Run,86,46,2,0.001,0,0,0.054
38,52,Run,86,46,2,0.001,0,0,0.054
38,54,Run,86,46,1,0,0,0,0.055
38,56,Run,86,46,1,0,0,0,0.055
38,58,Run,86,46,1,0,0,0,0.055
40,22,Pass,86,46,1,0,0,0,0
40,24,Pass,86,46,1,0,0,0,0
40,26,Pass,86,46,1,0.001,0,0,0
40,28,Pass,86,46,1,0.003,0,0,0
40,30,Pass,86,46,1,0.006,0,0,0
40,32,Pass,86,46,1,0.008,0,0,0
40,34,Pass,86,46,1,0.007,0,0,0
40,36,Pass,86,46,1,0.005,0,0,0
40,38,Pass,86,46,2,0.002,0,0,0
40,40,Run,86,46,1,0,0,0,0.055
