"","x","y","endX","endY","event","GoalProbability","WeightedExpectedGoals","WeightedCount"
"1",120,0,114,36,"Pass",0.112805517152418,0.0433447198394627,12.1770135041927
"2",116,40,0,0,"Shot",0.549454757815276,0.0377455373241298,2.17705099529855
"3",54,26,56,42,"Pass",0.254735618151742,0.0290433664511726,3.61320172468131
"4",110,44,114,36,"Pass",0.889953389521236,0.0282865694458246,1.00727474894886
"5",64,24,56,14,"Pass",0.325766874312461,0.0275004215714186,2.67526839489409
"6",52,44,72,6,"Pass",0.798574392335168,0.0268329446469131,1.06484864696599
"7",70,24,64,26,"Pass",0.1401903763938,0.0255278038384711,5.77072236559268
"8",86,40,86,72,"Pass",0.492516238403948,0.0241761476358405,1.55561267661856
"9",70,34,80,46,"Pass",0.228433460532448,0.0235373581875459,3.26537396524512
"10",120,78,114,42,"Pass",0.0431279581560054,0.0218200688521299,16.033640711441
"11",72,24,82,30,"Pass",0.352705182388597,0.0216794013651168,1.94791666549254
"12",62,24,108,46,"Pass",0.657321390348193,0.0208755798292632,1.00645812496607
"13",92,52,106,36,"Pass",0.459870960990206,0.0184083763497866,1.26856997028364
"14",88,14,84,22,"Pass",0.230660923168826,0.0179010577799264,2.45945905490089
"15",120,78,106,72,"Pass",0.263451643641601,0.0177125255610488,2.13066173267036
"16",116,50,118,46,"Pass",0.559596824862789,0.0171208998252782,0.969585859035435
"17",76,14,96,14,"Pass",0.301245445244406,0.0170462949160997,1.79326485437586
"18",96,34,110,30,"Pass",0.423239726495232,0.016941792830665,1.26855081892941
"19",108,20,90,34,"Pass",0.526547152691919,0.0165060912661377,0.993440593055118
"20",76,24,110,18,"Pass",0.376095164314037,0.0164682577133449,1.38766563583597
"21",58,56,50,54,"Pass",0.30487537241337,0.0163526614674112,1.69981254685544
"22",82,18,90,22,"Pass",0.330825228910369,0.0162732367090718,1.55887125302035
"23",74,68,70,56,"Pass",0.218218715396644,0.0162510263608461,2.36006371720106
"24",70,50,74,32,"Pass",0.2631308141904,0.0159842461824666,1.92510924008988
