x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
62,68,Pass,118,60,1,0,0,0,0
62,70,Pass,118,60,1,0.001,0,0,0
62,72,Pass,118,60,1,0.001,0,0,0
62,74,Pass,118,60,1,0.001,0,0,0
62,76,Pass,118,60,1,0,0,0,0
62,78,Pass,118,60,1,0,0,0,0
64,66,Pass,118,60,1,0.001,0,0,0
64,68,Pass,118,60,1,0.002,0,0,0
64,70,Pass,118,60,1,0.004,0,0,0
64,72,Pass,118,60,1,0.005,0,0,0
64,74,Pass,118,60,1,0.005,0,0,0
64,76,Pass,118,60,1,0.003,0,0,0
64,78,Pass,118,60,1,0.002,0,0,0
64,80,Pass,118,60,1,0.001,0,0,0
66,48,Pass,118,60,1,0,1,0,0.129
66,50,Pass,118,60,1,0,1,0,0.129
66,52,Pass,118,60,1,0,1,0,0.129
66,54,Pass,118,60,1,0,1,0,0.129
66,56,Pass,118,60,1,0,1,0,0.129
66,58,Pass,118,60,1,0,1,0,0.129
66,64,Pass,118,60,1,0.001,0,0,0
66,66,Pass,118,60,1,0.004,0,0,0
66,68,Pass,118,60,2,0.011,0,0,0
66,70,Pass,118,60,2,0.021,0,0,0
66,72,Pass,118,60,2,0.029,0,0,0
66,74,Pass,118,60,2,0.027,0,0,0
66,76,Pass,118,60,2,0.018,0,0,0
66,78,Pass,118,60,1,0.008,0,0,0
66,80,Pass,118,60,1,0.003,0,0,0
68,46,Pass,118,60,1,0,1,0,0.129
68,48,Pass,118,60,1,0,1,0,0.129
68,50,Pass,118,60,1,0,1,0,0.129
68,52,Pass,118,60,1,0,1,0,0.129
68,54,Pass,118,60,1,0,1,0,0.129
68,56,Pass,118,60,1,0,1,0,0.129
68,58,Pass,118,60,1,0,1,0,0.129
68,60,Pass,118,60,1,0,1,0,0.129
68,62,Pass,118,60,1,0.001,0,0,0
68,64,Pass,118,60,2,0.004,0,0,0
68,66,Pass,118,60,2,0.015,0,0,0
68,68,Pass,118,60,2,0.04,0,0,0
68,70,Pass,118,60,2,0.078,0,0,0
68,72,Pass,118,60,2,0.106,0,0,0
68,74,Pass,118,60,2,0.1,0,0,0
68,76,Pass,118,60,2,0.065,0,0,0
68,78,Pass,118,60,2,0.03,0,0,0
68,80,Pass,118,60,2,0.01,0,0,0
70,44,Pass,118,60,1,0,1,0,0.129
70,46,Pass,118,60,2,0,1,0,0.116
70,48,Pass,118,60,1,0,1,0,0.129
70,50,Pass,118,60,1,0,1,0,0.129
70,52,Pass,118,60,1,0,1,0,0.129
70,54,Pass,118,60,1,0,1,0,0.129
70,56,Pass,118,60,1,0,1,0,0.129
70,58,Pass,118,60,1,0,1,0,0.129
70,60,Pass,118,60,1,0,1,0,0.129
70,62,Pass,118,60,3,0.002,1,0,0
70,64,Pass,118,60,2,0.01,0,0,0
70,66,Pass,118,60,2,0.039,0,0,0
70,68,Pass,118,60,2,0.107,0,0,0
70,70,Pass,118,60,2,0.206,0,0,0
70,72,Pass,118,60,2,0.277,0,0,0
70,74,Pass,118,60,2,0.259,0,0,0
70,76,Pass,118,60,2,0.17,0,0,0
70,78,Pass,118,60,2,0.077,0,0,0
70,80,Pass,118,60,2,0.025,0,0,0
72,10,Pass,118,60,1,0,0,0,0
72,12,Pass,118,60,1,0,0,0,0
72,14,Pass,118,60,1,0,0,0,0
72,16,Pass,118,60,1,0,0,0,0
72,18,Pass,118,60,1,0,0,0,0
72,20,Pass,118,60,1,0,0,0,0
72,22,Pass,118,60,1,0,0,0,0
72,40,Pass,118,60,2,0,0,0,0
72,42,Pass,118,60,4,0.001,1,0,0.001
72,44,Pass,118,60,5,0.001,1,0,0.005
72,46,Pass,118,60,4,0.001,1,0,0.023
72,48,Pass,118,60,3,0.001,1,0,0.081
72,50,Pass,118,60,3,0.001,1,0,0.109
72,52,Pass,118,60,2,0.001,1,0,0.128
72,54,Pass,118,60,1,0.001,1,0,0.129
72,56,Pass,118,60,1,0.001,1,0,0.129
72,58,Pass,118,60,1,0,1,0,0.129
72,60,Pass,118,60,2,0,1,0,0.029
72,62,Pass,118,60,3,0.004,1,0,0.001
72,64,Pass,118,60,3,0.02,1,0,0
72,66,Pass,118,60,2,0.077,0,0,0
72,68,Pass,118,60,2,0.209,0,0,0
72,70,Pass,118,60,2,0.396,0,0,0
72,72,Pass,118,60,2,0.526,0,0,0
72,74,Pass,118,60,2,0.488,0,0,0
72,76,Pass,118,60,2,0.317,0,0,0
72,78,Pass,118,60,2,0.143,0,0,0
72,80,Pass,118,60,2,0.045,0,0,0
74,8,Pass,118,60,1,0,0,0,0
74,10,Pass,118,60,1,0,0,0,0
74,12,Pass,118,60,1,0,0,0,0
74,14,Pass,118,60,1,0,0,0,0
74,16,Pass,118,60,1,0,0,0,0
74,18,Pass,118,60,1,0,0,0,0
74,20,Pass,118,60,1,0,0,0,0
74,22,Pass,118,60,1,0,0,0,0
74,24,Pass,118,60,2,0,0,0,0
74,26,Pass,118,60,1,0.001,0,0,0
74,28,Pass,118,60,2,0.001,0,0,0
74,30,Pass,118,60,1,0,0,0,0
74,32,Pass,118,60,1,0.001,0,0,0
74,34,Pass,118,60,1,0.001,0,0,0
74,36,Pass,118,60,3,0.001,0,0,0
74,38,Pass,118,60,3,0.001,0,0,0
74,40,Pass,118,60,4,0.003,0,0,0
74,42,Pass,118,60,6,0.005,1,0,0.001
74,44,Pass,118,60,7,0.006,1,0,0.002
74,46,Pass,118,60,6,0.005,1,0,0.007
74,48,Pass,118,60,6,0.004,1,0,0.026
74,50,Pass,118,60,5,0.003,1,0,0.065
74,52,Pass,118,60,3,0.003,1,0,0.108
74,54,Pass,118,60,3,0.002,1,0,0.122
74,56,Pass,118,60,1,0.001,1,0,0.129
74,58,Pass,118,60,1,0.001,1,0,0.129
74,60,Pass,118,60,3,0.001,1,0,0.03
74,60,Run,118,60,1,0,0,0,0
74,62,Pass,118,60,3,0.006,1,0,0.001
74,62,Run,118,60,1,0,0,0,0
74,64,Pass,118,60,3,0.031,1,0,0
74,64,Run,118,60,1,0,0,0,0
74,66,Pass,118,60,2,0.117,0,0,0
74,66,Run,118,60,1,0,0,0,0
74,68,Pass,118,60,2,0.31,0,0,0
74,68,Run,118,60,1,0,0,0,0
74,70,Pass,118,60,2,0.577,0,0,0
74,70,Run,118,60,1,0,0,0,0
74,72,Pass,118,60,2,0.752,0,0,0
74,74,Pass,118,60,2,0.686,0,0,0
74,76,Pass,118,60,2,0.438,0,0,0
74,78,Pass,118,60,2,0.196,0,0,0
74,80,Pass,118,60,2,0.061,0,0,0
76,6,Pass,118,60,1,0,0,0,0
76,8,Pass,118,60,1,0,0,0,0
76,10,Pass,118,60,1,0,0,0,0
76,12,Pass,118,60,1,0,0,0,0
76,14,Pass,118,60,1,0,0,0,0
76,16,Pass,118,60,2,0,0,0,0
76,18,Pass,118,60,3,0,0,0,0
76,20,Pass,118,60,4,0.001,0,0,0
76,22,Pass,118,60,4,0.002,0,0,0
76,24,Pass,118,60,5,0.004,0,0,0
76,26,Pass,118,60,5,0.005,0,0,0
76,28,Pass,118,60,4,0.006,0,0,0
76,30,Pass,118,60,2,0.006,0,0,0
76,32,Pass,118,60,3,0.006,0,0,0
76,34,Pass,118,60,4,0.005,0,0,0
76,36,Pass,118,60,5,0.005,0,0,0
76,38,Pass,118,60,8,0.009,0,0,0
76,40,Pass,118,60,9,0.019,1,0,0
76,42,Pass,118,60,8,0.03,1,0,0
76,44,Pass,118,60,7,0.036,1,0,0.001
76,46,Pass,118,60,7,0.032,1,0,0.002
76,48,Pass,118,60,7,0.022,1,0,0.009
76,50,Pass,118,60,7,0.013,1,0,0.029
76,52,Pass,118,60,6,0.007,1,0,0.068
76,54,Pass,118,60,3,0.005,1,0,0.107
76,56,Pass,118,60,3,0.003,1,0,0.121
76,56,Run,118,60,1,0,0,0,0
76,58,Run,118,60,1,0,0,0,0
76,58,Pass,118,60,1,0.001,1,0,0.129
76,60,Pass,118,60,3,0.001,1,0,0.037
76,60,Run,118,60,1,0,0,0,0
76,62,Pass,118,60,3,0.007,1,0,0.002
76,62,Run,118,60,1,0,0,0,0
76,64,Pass,118,60,3,0.038,1,0,0
76,64,Run,118,60,1,0,0,0,0
76,66,Pass,118,60,2,0.141,0,0,0
76,66,Run,118,60,1,0,0,0,0
76,68,Pass,118,60,2,0.365,0,0,0
76,68,Run,118,60,1,0,0,0,0
76,70,Pass,118,60,2,0.662,0,0,0
76,70,Run,118,60,1,0,0,0,0
76,72,Pass,118,60,2,0.84,0,0,0
76,72,Run,118,60,1,0,0,0,0
76,74,Pass,118,60,2,0.748,0,0,0
76,76,Pass,118,60,2,0.466,0,0,0
76,78,Pass,118,60,2,0.204,0,0,0
76,80,Pass,118,60,2,0.062,0,0,0
78,6,Pass,118,60,1,0,0,0,0
78,8,Pass,118,60,1,0,0,0,0
78,10,Pass,118,60,1,0,0,0,0
78,12,Pass,118,60,1,0,0,0,0
78,14,Pass,118,60,2,0.001,0,0,0
78,16,Pass,118,60,3,0.001,0,0,0
78,18,Pass,118,60,4,0.003,0,0,0
78,20,Pass,118,60,4,0.007,0,0,0
78,22,Pass,118,60,7,0.014,0,0,0
78,24,Pass,118,60,7,0.024,0,0,0
78,26,Pass,118,60,7,0.032,0,0,0
78,28,Pass,118,60,7,0.034,0,0,0
78,30,Pass,118,60,7,0.034,0,0,0
78,32,Pass,118,60,5,0.032,0,0,0
78,34,Pass,118,60,6,0.029,0,0,0
78,36,Pass,118,60,9,0.029,0,0,0
78,38,Pass,118,60,8,0.043,0,0,0
78,40,Pass,118,60,9,0.08,1,0,0
78,42,Pass,118,60,10,0.126,1,0,0
78,44,Pass,118,60,8,0.149,1,0,0.001
78,46,Pass,118,60,7,0.131,1,0,0.001
78,48,Pass,118,60,7,0.086,1,0,0.003
78,50,Pass,118,60,7,0.045,1,0,0.01
78,52,Pass,118,60,7,0.02,1,0,0.031
78,54,Pass,118,60,7,0.009,1,0,0.069
78,54,Run,118,60,1,0,0,0,0
78,56,Pass,118,60,4,0.004,1,0,0.106
78,56,Run,118,60,2,0,0,0,0
78,58,Run,118,60,2,0,0,0,0
78,58,Pass,118,60,2,0.001,1,0,0.129
78,60,Pass,118,60,3,0.001,1,0,0.041
78,60,Run,118,60,2,0.001,0,0,0
78,62,Pass,118,60,3,0.007,1,0,0.002
78,62,Run,118,60,1,0.002,0,0,0
78,64,Pass,118,60,3,0.038,1,0,0
78,64,Run,118,60,1,0.002,0,0,0
78,66,Pass,118,60,3,0.136,1,0,0
78,66,Run,118,60,1,0.002,0,0,0
78,68,Pass,118,60,2,0.344,0,0,0
78,68,Run,118,60,1,0.001,0,0,0
78,70,Pass,118,60,2,0.608,0,0,0
78,70,Run,118,60,1,0.001,0,0,0
78,72,Pass,118,60,2,0.752,0,0,0
78,72,Run,118,60,1,0,0,0,0
78,74,Pass,118,60,2,0.651,0,0,0
78,74,Run,118,60,1,0,0,0,0
78,76,Pass,118,60,2,0.395,0,0,0
78,78,Pass,118,60,2,0.168,0,0,0
78,80,Pass,118,60,2,0.05,0,0,0
80,4,Pass,118,60,1,0,0,0,0
80,6,Pass,118,60,1,0,0,0,0
80,8,Pass,118,60,1,0,0,0,0
80,10,Pass,118,60,1,0,0,0,0
80,12,Pass,118,60,2,0.001,0,0,0
80,14,Pass,118,60,3,0.002,0,0,0
80,16,Pass,118,60,4,0.004,0,0,0
80,18,Pass,118,60,7,0.011,0,0,0
80,20,Pass,118,60,7,0.028,0,0,0
80,22,Pass,118,60,8,0.061,0,0,0
80,24,Pass,118,60,8,0.102,0,0,0
80,26,Pass,118,60,8,0.131,0,0,0
80,28,Pass,118,60,9,0.138,0,0,0
80,30,Pass,118,60,7,0.134,0,0,0
80,32,Pass,118,60,9,0.126,0,0,0
80,34,Pass,118,60,11,0.113,0,0,0
80,36,Pass,118,60,11,0.106,0,0,0
80,38,Pass,118,60,13,0.142,0,0,0
80,40,Pass,118,60,14,0.244,1,0,0
80,42,Pass,118,60,14,0.375,1,0,0
80,44,Pass,118,60,16,0.44,2,0,0.001
80,46,Pass,118,60,15,0.385,2,0,0.001
80,48,Pass,118,60,12,0.251,2,0,0.001
80,50,Pass,118,60,11,0.124,2,0,0.004
80,52,Pass,118,60,12,0.048,2,0,0.011
80,52,Run,118,60,1,0,0,0,0
80,54,Pass,118,60,10,0.016,2,0,0.032
80,54,Run,118,60,2,0,0,0,0
80,56,Pass,118,60,7,0.005,2,0,0.073
80,56,Run,118,60,2,0,0,0,0
80,58,Pass,118,60,4,0.002,1,0,0.102
80,58,Run,118,60,2,0.001,0,0,0
80,60,Pass,118,60,3,0.001,1,0,0.046
80,60,Run,118,60,2,0.003,0,0,0
80,62,Pass,118,60,4,0.006,1,0,0.002
80,62,Run,118,60,2,0.006,0,0,0
80,64,Pass,118,60,4,0.029,1,0,0
80,64,Run,118,60,2,0.008,0,0,0
80,66,Pass,118,60,2,0.103,0,0,0
80,66,Run,118,60,2,0.007,0,0,0
80,68,Pass,118,60,2,0.255,0,0,0
80,68,Run,118,60,1,0.005,0,0,0
80,70,Pass,118,60,2,0.441,0,0,0
80,70,Run,118,60,1,0.002,0,0,0
80,72,Pass,118,60,2,0.534,0,0,0
80,72,Run,118,60,1,0.001,0,0,0
80,74,Pass,118,60,2,0.453,0,0,0
80,74,Run,118,60,1,0,0,0,0
80,76,Pass,118,60,2,0.268,0,0,0
80,76,Run,118,60,1,0,0,0,0
80,78,Pass,118,60,2,0.111,0,0,0
80,80,Pass,118,60,2,0.032,0,0,0
82,4,Pass,118,60,1,0,0,0,0
82,6,Pass,118,60,1,0,0,0,0
82,8,Pass,118,60,1,0,0,0,0
82,10,Pass,118,60,1,0,0,0,0
82,12,Pass,118,60,3,0.001,0,0,0
82,14,Pass,118,60,4,0.004,0,0,0
82,16,Pass,118,60,7,0.011,0,0,0
82,18,Pass,118,60,7,0.031,0,0,0
82,20,Pass,118,60,8,0.083,0,0,0
82,22,Pass,118,60,8,0.18,0,0,0
82,24,Pass,118,60,8,0.299,0,0,0
82,26,Pass,118,60,9,0.38,0,0,0
82,28,Pass,118,60,9,0.392,0,0,0
82,30,Pass,118,60,8,0.368,0,0,0
82,32,Pass,118,60,13,0.343,0,0,0
82,34,Pass,118,60,17,0.31,0,0,0
82,36,Pass,118,60,16,0.288,0,0,0
82,38,Pass,118,60,14,0.347,0,0,0
82,40,Pass,118,60,14,0.54,0,0,0
82,42,Pass,118,60,18,0.797,2,0,0.001
82,44,Pass,118,60,18,0.926,2,0,0.001
82,46,Pass,118,60,17,0.805,2,0,0.001
82,48,Pass,118,60,17,0.522,2,0,0.001
82,50,Pass,118,60,15,0.253,2,0,0.002
82,50,Run,118,60,1,0,0,0,0
82,52,Pass,118,60,13,0.093,2,0,0.004
82,52,Run,118,60,2,0,0,0,0
82,54,Pass,118,60,13,0.027,2,0,0.012
82,54,Run,118,60,2,0,0,0,0
82,56,Pass,118,60,13,0.007,2,0,0.033
82,56,Run,118,60,2,0.001,0,0,0
82,58,Pass,118,60,7,0.002,2,0,0.065
82,58,Run,118,60,2,0.002,0,0,0
82,60,Pass,118,60,3,0.001,1,0,0.047
82,60,Run,118,60,2,0.007,0,0,0
82,62,Pass,118,60,5,0.004,1,0,0.004
82,62,Run,118,60,2,0.013,0,0,0
82,64,Pass,118,60,5,0.017,1,0,0
82,64,Run,118,60,2,0.018,0,0,0
82,66,Pass,118,60,4,0.059,0,0,0
82,66,Run,118,60,2,0.017,0,0,0
82,68,Pass,118,60,3,0.143,0,0,0
82,68,Run,118,60,2,0.011,0,0,0
82,70,Pass,118,60,3,0.244,0,0,0
82,70,Run,118,60,1,0.005,0,0,0
82,72,Pass,118,60,2,0.291,0,0,0
82,72,Run,118,60,1,0.002,0,0,0
82,74,Pass,118,60,2,0.243,0,0,0
82,74,Run,118,60,1,0,0,0,0
82,76,Pass,118,60,2,0.142,0,0,0
82,76,Run,118,60,1,0,0,0,0
82,78,Pass,118,60,2,0.058,0,0,0
82,80,Pass,118,60,2,0.016,0,0,0
84,4,Pass,118,60,1,0,0,0,0
84,6,Pass,118,60,1,0,0,0,0
84,8,Pass,118,60,1,0,0,0,0
84,10,Pass,118,60,3,0.001,0,0,0
84,12,Pass,118,60,3,0.002,0,0,0
84,14,Pass,118,60,5,0.006,0,0,0
84,16,Pass,118,60,7,0.021,0,0,0
84,18,Pass,118,60,7,0.066,0,0,0
84,20,Pass,118,60,8,0.177,0,0,0
84,22,Pass,118,60,8,0.379,0,0,0
84,24,Pass,118,60,8,0.621,0,0,0
