x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
24,16,Pass,76,26,2,0,0,0,0
24,16,Pass,76,28,2,0,0,0,0
24,16,Pass,76,30,2,0,0,0,0
24,16,Pass,76,32,2,0,0,0,0
24,16,Pass,76,34,2,0,0,0,0
24,16,Pass,76,36,2,0,0,0,0
24,16,Pass,76,38,2,0,0,0,0
24,16,Pass,74,24,2,0,0,0,0
24,16,Pass,74,26,2,0,0,0,0
24,16,Pass,74,28,2,0,0,0,0
24,16,Pass,74,30,2,0,0,0,0
24,16,Pass,74,32,2,0.001,0,0,0
24,16,Pass,74,34,2,0.001,0,0,0
24,16,Pass,74,36,2,0,0,0,0
24,16,Pass,74,38,2,0,0,0,0
24,16,Pass,74,40,1,0,0,0,0
24,16,Pass,74,42,1,0,0,0,0
24,16,Pass,72,22,1,0,0,0,0
24,16,Pass,72,24,1,0,0,0,0
24,16,Pass,72,26,1,0,0,0,0
24,16,Pass,72,28,2,0.001,0,0,0
24,16,Pass,72,30,2,0.002,0,0,0
24,16,Pass,72,32,2,0.003,0,0,0
24,16,Pass,72,34,2,0.003,0,0,0
24,16,Pass,72,36,1,0.002,0,0,0
24,16,Pass,72,38,1,0.001,0,0,0
24,16,Pass,72,40,1,0,0,0,0
24,16,Pass,72,42,1,0,0,0,0
24,16,Pass,70,22,1,0,0,0,0
24,16,Pass,70,24,1,0,0,0,0
24,16,Pass,70,26,1,0.001,0,0,0
24,16,Pass,70,28,1,0.003,0,0,0
24,16,Pass,70,30,1,0.007,0,0,0
24,16,Pass,70,32,1,0.009,0,0,0
24,16,Pass,70,34,1,0.008,0,0,0
24,16,Pass,70,36,1,0.005,0,0,0
24,16,Pass,70,38,1,0.002,0,0,0
24,16,Pass,70,40,1,0.001,0,0,0
24,16,Pass,70,42,1,0,0,0,0
24,16,Pass,70,44,1,0,0,0,0
24,16,Pass,68,20,1,0,0,0,0
24,16,Pass,68,22,1,0,0,0,0
24,16,Pass,68,24,1,0.001,0,0,0
24,16,Pass,68,26,1,0.003,0,0,0
24,16,Pass,68,28,1,0.008,0,0,0
24,16,Pass,68,30,1,0.015,0,0,0
24,16,Pass,68,32,1,0.02,0,0,0
