endX,endY,WeightedCount,WeightedExpectedGoals,GoalProbability
72,30,37.506,0.033,0.065
72,32,27.254,0.018,0.067
70,26,39.983,0.005,0.024
70,28,40.247,0.012,0.036
70,30,35.881,0.012,0.042
70,32,27.737,0.007,0.04
70,34,20.58,0.002,0.029
70,36,18.07,0,0.017
70,38,19.495,0,0.012
68,22,30.761,0,0.002
68,24,28.073,0,0.007
68,26,29.366,0.001,0.014
68,28,31.187,0.002,0.02
68,30,30.767,0.002,0.021
68,32,27.651,0.001,0.017
68,34,23.621,0,0.01
68,36,21.505,0,0.005
68,38,22.662,0,0.002
68,40,25.763,0,0.002
66,22,16.596,0,0.001
66,24,16.059,0,0.004
66,26,18.938,0,0.007
66,28,23.443,0,0.008
66,30,27.158,0,0.007
66,32,27.889,0,0.005
66,34,25.216,0,0.003
66,36,21.801,0,0.001
66,38,21.13,0,0
66,40,24.285,0,0
66,42,30.615,0,0
64,20,7.792,0,0
64,22,7.228,0,0.001
64,24,9.164,0,0.001
64,26,14.631,0,0.002
64,28,22.186,0,0.002
64,30,28.21,0,0.001
64,32,29.135,0,0.001
64,34,24.621,0,0.001
64,36,18.449,0,0
64,38,15.304,0,0
64,40,17.324,0,0
64,42,23.979,0,0
62,20,2.43,0,0
62,22,3.4,0,0
62,24,7.245,0,0
62,26,15.249,0,0
62,28,25.454,0,0
62,30,32.362,0,0
62,32,31.37,0,0
62,34,23.545,0,0
62,36,14.522,0,0
62,38,9.331,0,0
62,40,9.484,0,0
62,42,13.946,0,0
62,44,19.362,0,0
60,20,0.801,0,0
60,22,2.228,0,0
60,24,6.625,0,0
60,26,15.437,0,0
60,28,26.587,0,0
60,30,33.744,0,0
60,32,31.677,0,0
60,34,22.127,0,0
60,36,11.809,0,0
60,38,5.625,0,0
60,40,4.217,0,0
60,42,5.976,0,0
60,44,8.52,0,0
58,20,0.365,0,0
58,22,1.505,0,0
58,24,4.994,0,0
58,26,12.168,0,0
58,28,21.558,0,0
58,30,27.885,0,0
58,32,26.367,0,0
58,34,18.179,0,0
58,36,9.19,0,0
58,38,3.62,0,0
58,40,1.717,0,0
58,42,1.906,0,0
58,44,2.669,0,0
56,20,0.167,0,0
56,22,0.804,0,0
56,24,2.788,0,0
56,26,7.032,0,0
56,28,12.881,0,0
56,30,17.179,0,0
56,32,16.629,0,0
56,34,11.62,0,0
56,36,5.845,0,0
56,38,2.151,0,0
56,40,0.711,0,0
56,42,0.472,0,0
56,44,0.596,0,0
54,20,0.063,0,0
54,22,0.314,0,0
54,24,1.127,0,0
54,26,2.939,0,0
54,28,5.585,0,0
54,30,7.691,0,0
54,32,7.643,0,0
54,34,5.445,0,0
54,36,2.763,0,0
54,38,1,0,0
54,40,0.268,0,0
54,42,0.1,0,0
52,22,0.088,0,0
52,24,0.328,0,0
52,26,0.887,0,0
52,28,1.743,0,0
52,30,2.471,0,0
52,32,2.513,0,0
52,34,1.821,0,0
52,36,0.935,0,0
52,38,0.338,0,0
52,40,0.083,0,0
52,42,0.015,0,0
50,22,0.018,0,0
50,24,0.069,0,0
50,26,0.193,0,0
50,28,0.39,0,0
50,30,0.567,0,0
50,32,0.588,0,0
50,34,0.432,0,0
50,36,0.224,0,0
50,38,0.079,0,0
50,40,0.02,0,0
48,24,0.007,0,0
48,26,0.03,0,0
48,28,0.062,0,0
48,30,0.092,0,0
48,32,0.097,0,0
48,34,0.068,0,0
48,36,0.036,0,0
48,38,0.013,0,0
46,28,0.006,0,0
46,30,0.01,0,0
46,32,0.011,0,0
46,34,0.008,0,0
84,64,6.306,0,0.004
84,66,2.345,0,0.004
84,68,0.626,0,0.003
84,70,0.136,0,0.003
84,72,0.032,0,0
84,74,0.009,0,0
82,62,6.389,0,0.003
82,64,3.37,0,0.002
82,66,1.342,0,0.001
82,68,0.499,0,0.001
82,70,0.244,0,0
82,72,0.142,0,0
82,74,0.068,0,0
82,76,0.024,0,0
80,60,4.714,0,0.002
80,62,2.906,0,0.001
80,64,1.679,0,0.001
80,66,1.121,0,0
80,68,1.045,0,0
80,70,0.966,0,0
80,72,0.682,0,0
80,74,0.344,0,0
80,76,0.121,0,0
80,78,0.03,0,0
78,58,9.728,0,0
78,60,4.711,0,0
78,62,2.477,0,0
78,64,1.98,0,0
78,66,2.527,0,0
78,68,3.322,0,0
78,70,3.368,0,0
78,72,2.427,0,0
78,74,1.232,0,0
78,76,0.44,0,0
78,78,0.111,0,0
78,80,0.018,0,0
76,58,15.184,0,0
76,60,8.064,0,0
76,62,4.965,0,0
76,64,4.609,0,0
76,66,6.222,0,0
76,68,8.232,0,0
76,70,8.356,0,0
76,72,6.072,0,0
76,74,3.126,0,0
76,76,1.152,0,0
76,78,0.311,0,0
76,80,0.064,0,0
74,58,20.552,0,0
74,60,13.484,0,0
74,62,10.027,0,0
74,64,9.255,0,0
74,66,11.375,0,0
74,68,14.482,0,0
74,70,14.688,0,0
74,72,10.885,0,0
74,74,5.86,0,0
74,76,2.353,0,0
74,78,0.733,0,0
74,80,0.183,0,0
72,56,31.135,0,0
72,58,23.55,0,0
72,60,19.007,0,0
72,62,15.851,0,0
72,64,13.863,0,0
72,66,15.078,0,0
72,68,18.259,0,0
72,70,18.778,0,0
72,72,14.749,0,0
72,74,8.877,0,0
72,76,4.236,0,0
72,78,1.632,0,0
72,80,0.499,0,0
70,58,23.362,0,0
70,60,21.535,0,0
70,62,18.957,0,0
70,64,15.657,0,0
70,66,14.983,0,0
70,68,17.243,0,0
70,70,18.738,0,0
70,72,16.856,0,0
70,74,12.336,0,0
70,76,7.294,0,0
70,78,3.361,0,0
70,80,1.158,0,0
68,58,19.952,0,0
68,60,19.523,0,0
68,62,17.975,0,0
68,64,14.608,0,0
68,66,12.529,0,0
68,68,13.707,0,0
68,70,16.623,0,0
68,72,18.227,0,0
68,74,16.302,0,0
68,76,11.191,0,0
68,78,5.647,0,0
68,80,2.042,0,0
66,58,14.784,0,0
66,60,15.635,0,0
66,62,16.146,0,0
66,64,14.142,0,0
66,66,11.41,0,0
66,68,11.22,0,0
66,70,14.517,0,0
66,72,18.4,0,0
66,74,18.447,0,0
66,76,13.535,0,0
66,78,7.074,0,0
66,80,2.601,0,0
64,60,13.354,0,0
64,62,16.568,0,0
64,64,16.237,0,0
64,66,12.758,0,0
64,68,10.429,0,0
64,70,12.131,0,0
64,72,15.716,0,0
64,74,16.325,0,0
64,76,12.235,0,0
64,78,6.458,0,0
62,62,17.202,0,0
62,64,17.853,0,0
62,66,13.869,0,0
62,68,9.876,0,0
62,70,9.629,0,0
62,72,11.731,0,0
62,74,12.073,0,0
62,76,9.036,0,0
60,64,15.272,0,0
60,66,12.071,0,0
60,68,8.859,0,0
60,70,8.875,0,0
60,72,10.806,0,0
60,74,11.018,0,0
74,28,39.324,0.039,0.068
74,30,33.942,0.043,0.082
72,22,48.423,0,0.006
72,24,43.924,0.003,0.017
72,26,43.697,0.014,0.036
72,28,43.299,0.031,0.054
72,34,18.895,0.005,0.057
72,36,16.345,0.002,0.047
70,20,50.591,0,0.001
70,22,43.236,0,0.004
70,24,39.326,0.001,0.012
68,18,39.15,0,0
68,20,36.806,0,0
66,18,21.315,0,0
66,20,19.788,0,0
64,18,8.304,0,0
62,16,1.91,0,0
62,18,2.316,0,0
60,16,0.373,0,0
60,18,0.496,0,0
58,18,0.1,0,0
56,18,0.022,0,0
54,18,0.008,0,0
52,20,0.012,0,0
78,44,28.638,0.019,0.093
78,46,30.194,0.003,0.034
78,48,34.878,0,0.008
76,38,35.847,0.05,0.113
76,40,32.627,0.059,0.139
76,42,25.226,0.035,0.142
76,44,21.393,0.011,0.092
76,46,24.325,0.002,0.031
76,48,30.878,0,0.007
76,50,36.894,0,0.001
76,52,39.493,0,0
74,36,20.999,0.008,0.078
74,38,22.741,0.014,0.095
74,40,21.269,0.017,0.111
74,42,18.065,0.01,0.103
74,44,18.157,0.003,0.057
74,46,23.378,0,0.017
74,48,31.134,0,0.003
74,50,38.633,0,0.001
74,52,43.277,0,0
74,54,41.011,0,0
72,38,17.288,0.002,0.048
72,40,17.734,0.002,0.049
72,42,17.483,0.001,0.039
72,44,19.521,0,0.019
72,46,24.742,0,0.006
72,48,31.016,0,0.001
72,50,36.791,0,0
72,52,40.463,0,0
72,54,38.574,0,0
70,40,21.543,0,0.01
70,42,23.085,0,0.007
70,44,25.566,0,0.004
70,46,28.758,0,0.001
70,48,31.105,0,0
70,50,33.004,0,0
70,52,34.386,0,0
70,54,32.474,0,0
70,56,27.372,0,0
68,42,29.639,0,0.001
68,44,33.829,0,0
68,46,35.67,0,0
68,48,33.626,0,0
68,50,30.821,0,0
68,52,29.326,0,0
68,54,26.724,0,0
68,56,22.503,0,0
66,44,37.503,0,0
66,46,39.486,0,0
66,48,34.574,0,0
66,50,27.944,0,0
66,52,23.791,0,0
66,54,20.4,0,0
66,56,16.596,0,0
64,44,31.552,0,0
64,46,33.753,0,0
64,48,28.475,0,0
64,50,20.945,0,0
64,52,15.931,0,0
64,54,12.765,0,0
64,56,10.337,0,0
64,58,10.282,0,0
62,46,20.982,0,0
62,48,17.293,0,0
62,50,11.82,0,0
62,52,8.068,0,0
62,54,6.11,0,0
62,56,5.457,0,0
62,58,7.315,0,0
60,46,9.296,0,0
60,48,7.529,0,0
60,50,4.839,0,0
60,52,2.995,0,0
60,54,2.225,0,0
60,56,2.584,0,0
58,46,2.917,0,0
58,48,2.327,0,0
58,50,1.427,0,0
58,52,0.816,0,0
58,54,0.645,0,0
58,56,1.115,0,0
56,46,0.642,0,0
56,48,0.508,0,0
56,50,0.3,0,0
56,52,0.164,0,0
56,54,0.16,0,0
54,44,0.09,0,0
54,46,0.1,0,0
54,48,0.076,0,0
54,50,0.041,0,0
54,52,0.01,0,0
52,44,0.008,0,0
52,46,0.008,0,0
52,48,0.006,0,0
82,12,23.825,0.056,0.146
82,14,25.84,0.046,0.119
82,16,28.509,0.02,0.067
82,18,38.361,0.006,0.022
82,20,55.588,0.001,0.005
82,22,73.102,0.001,0.002
82,24,84.714,0.003,0.004
80,10,22.157,0.054,0.156
80,12,30.095,0.091,0.146
80,14,32.773,0.078,0.119
80,16,33.87,0.037,0.073
80,18,40.846,0.012,0.028
80,20,54.359,0.004,0.008
80,22,67.161,0.001,0.003
80,24,73.037,0.001,0.003
80,26,71.338,0.003,0.007
78,8,10.483,0.013,0.16
78,10,19.767,0.043,0.155
78,12,28.288,0.074,0.137
78,14,32.639,0.066,0.106
78,16,35.678,0.035,0.062
78,18,42.483,0.015,0.025
78,20,52.049,0.005,0.008
78,22,58.065,0.002,0.004
78,24,57.153,0.001,0.007
78,26,51.553,0.004,0.016
78,28,43.853,0.008,0.029
76,8,6.512,0.005,0.159
76,10,13.135,0.017,0.143
76,12,20.569,0.03,0.117
76,14,27.533,0.029,0.078
76,16,35.211,0.019,0.04
76,18,44.021,0.01,0.016
76,20,50.513,0.004,0.007
76,22,50.936,0.002,0.006
76,24,46.293,0.003,0.015
76,26,40.932,0.011,0.035
76,28,36.213,0.025,0.059
76,30,30.428,0.027,0.075
74,6,1.067,0,0.16
74,8,3.118,0.001,0.142
