x,y,WeightedCount,WeightedExpectedGoals,GoalProbability
14,8,0.006,0,0
14,10,0.013,0,0
14,12,0.018,0,0
14,14,0.018,0,0
14,16,0.012,0,0
14,18,0.006,0,0
16,6,0.017,0,0
16,8,0.049,0,0
16,10,0.1,0,0
16,12,0.14,0,0
16,14,0.138,0,0
16,16,0.094,0,0
16,18,0.045,0,0
16,20,0.015,0,0
16,48,0.009,0,0
16,50,0.015,0,0
16,52,0.017,0,0
16,54,0.013,0,0
16,56,0.007,0,0
18,4,0.022,0,0
18,6,0.091,0,0
18,8,0.264,0,0
18,10,0.534,0,0
18,12,0.752,0,0
18,14,0.738,0,0
18,16,0.505,0,0
18,18,0.241,0,0
18,20,0.08,0,0
18,22,0.019,0,0
18,26,0.011,0,0
18,28,0.017,0,0
18,30,0.019,0,0
18,32,0.014,0,0
18,34,0.007,0,0
18,44,0.009,0,0
18,46,0.031,0,0
18,48,0.072,0,0
18,50,0.116,0,0
18,52,0.132,0,0
18,54,0.105,0,0
18,56,0.058,0,0
18,58,0.022,0,0
18,60,0.006,0,0
20,2,0.014,0,0
20,4,0.082,0,0
20,6,0.34,0,0
20,8,0.985,0,0
20,10,1.99,0,0
20,12,2.804,0,0
20,14,2.754,0,0
20,16,1.886,0,0
20,18,0.9,0,0
20,20,0.3,0,0
20,22,0.082,0,0
20,24,0.05,0,0
20,26,0.087,0,0
20,28,0.133,0,0
20,30,0.143,0,0
20,32,0.107,0,0
20,34,0.056,0,0
20,36,0.02,0,0
20,42,0.01,0,0
20,44,0.05,0,0
20,46,0.167,0,0
20,48,0.39,0,0
20,50,0.635,0,0
20,52,0.72,0,0
20,54,0.569,0,0
20,56,0.314,0,0
20,58,0.121,0,0
20,60,0.032,0,0
20,62,0.006,0,0
22,2,0.036,0,0
22,4,0.213,0,0
22,6,0.884,0,0
22,8,2.562,0,0
22,10,5.177,0,0
22,12,7.293,0,0
22,14,7.163,0,0
22,16,4.904,0,0
22,18,2.341,0,0
22,20,0.794,0,0
22,22,0.247,0,0
22,24,0.239,0,0
22,26,0.463,0,0
22,28,0.714,0,0
22,30,0.767,0,0
22,32,0.575,0,0
22,34,0.3,0,0
22,36,0.109,0,0
22,38,0.028,0,0
22,42,0.039,0,0
22,44,0.19,0,0
22,46,0.643,0,0
22,48,1.501,0,0
22,50,2.442,0,0
22,52,2.771,0,0
22,54,2.192,0,0
22,56,1.209,0,0
22,58,0.465,0,0
22,60,0.123,0,0
22,62,0.023,0,0
24,0,0.008,0,0
24,2,0.065,0,0
24,4,0.386,0,0
24,6,1.603,0,0
24,8,4.646,0,0
24,10,9.388,0,0
24,12,13.225,0,0
24,14,12.989,0,0
24,16,8.894,0,0
24,18,4.254,0,0
24,20,1.467,0,0
24,22,0.574,0,0
24,24,0.834,0,0
24,26,1.733,0,0
24,28,2.662,0,0
24,30,2.862,0,0
24,32,2.144,0,0
24,34,1.12,0,0
24,36,0.408,0,0
24,38,0.104,0,0
24,40,0.034,0,0
24,42,0.105,0,0
24,44,0.519,0,0
24,46,1.738,0,0
24,48,4.058,0,0
24,50,6.604,0,0
24,52,7.492,0,0
24,54,5.926,0,0
24,56,3.268,0,0
24,58,1.256,0,0
24,60,0.337,0,0
24,62,0.061,0,0
24,64,0.008,0,0
26,0,0.01,0,0
26,2,0.082,0,0
26,4,0.487,0,0
26,6,2.027,0,0
26,8,5.874,0,0
26,10,11.869,0,0
26,12,16.72,0,0
26,14,16.421,0,0
26,16,11.244,0,0
26,18,5.389,0,0
26,20,1.927,0,0
26,22,1.055,0,0
26,24,2.098,0,0
26,26,4.5,0,0
26,28,6.925,0,0
26,30,7.443,0,0
26,32,5.577,0,0
26,34,2.914,0,0
26,36,1.061,0,0
26,38,0.269,0,0
26,40,0.076,0,0
26,42,0.216,0,0
26,44,1.01,0,0
26,46,3.381,0,0
26,48,7.891,0,0
26,50,12.842,0,0
26,52,14.57,0,0
26,54,11.525,0,0
26,56,6.355,0,0
26,58,2.443,0,0
26,60,0.655,0,0
26,62,0.122,0,0
26,64,0.015,0,0
28,0,0.008,0,0
28,2,0.078,0,0
28,4,0.437,0,0
28,6,1.799,0,0
28,8,5.185,0,0
28,10,10.467,0,0
28,12,14.737,0,0
28,14,14.473,0,0
28,16,9.91,0,0
28,18,4.77,0,0
28,20,1.83,0,0
28,22,1.527,0,0
28,24,3.743,0,0
28,26,8.152,0,0
28,28,12.558,0,0
28,30,13.497,0,0
28,32,10.114,0,0
28,34,5.284,0,0
28,36,1.924,0,0
28,38,0.489,0,0
28,40,0.131,0,0
28,42,0.317,0,0
28,44,1.471,0,0
28,46,4.924,0,0
28,48,11.494,0,0
28,50,18.705,0,0
28,52,21.222,0,0
28,54,16.786,0,0
28,56,9.257,0,0
28,58,3.559,0,0
28,60,0.954,0,0
28,62,0.178,0,0
28,64,0.019,0,0
30,0,0.03,0,0
30,2,0.114,0,0
30,4,0.368,0,0
30,6,1.215,0,0
30,8,3.283,0,0
30,10,6.496,0,0
30,12,9.085,0,0
30,14,8.905,0,0
30,16,6.09,0,0
30,18,2.956,0,0
30,20,1.29,0,0
30,22,1.693,0,0
30,24,4.693,0,0
30,26,10.298,0,0
30,28,15.876,0,0
30,30,17.064,0,0
30,32,12.787,0,0
30,34,6.68,0,0
30,36,2.433,0,0
30,38,0.618,0,0
30,40,0.161,0,0
30,42,0.371,0,0
30,44,1.719,0,0
30,46,5.755,0,0
30,48,13.434,0,0
30,50,21.862,0,0
30,52,24.803,0,0
30,54,19.619,0,0
30,56,10.819,0,0
30,58,4.16,0,0
30,60,1.115,0,0
30,62,0.208,0,0
30,64,0.027,0,0
32,0,0.217,0,0
32,2,0.45,0,0
32,4,0.753,0,0
32,6,1.195,0,0
32,8,1.994,0,0
32,10,3.173,0,0
32,12,4.087,0,0
32,14,3.88,0,0
32,16,2.627,0,0
32,18,1.289,0,0
32,20,0.709,0,0
32,22,1.414,0,0.001
32,24,4.162,0,0
32,26,9.126,0,0
32,28,14.035,0,0
32,30,15.064,0,0
32,32,11.28,0,0
32,34,5.898,0,0
32,36,2.164,0,0
32,38,0.571,0,0
32,40,0.172,0,0
32,42,0.386,0,0
32,44,1.732,0,0
32,46,5.775,0,0
32,48,13.48,0,0
32,50,21.937,0,0
32,52,24.889,0,0
32,54,19.687,0,0
32,56,10.857,0,0
32,58,4.174,0,0
32,60,1.119,0,0
32,62,0.209,0,0
32,64,0.027,0,0
34,0,0.933,0,0
34,2,1.856,0,0
34,4,2.792,0,0
34,6,3.265,0,0
34,8,3.129,0,0
34,10,2.629,0,0
34,12,2.053,0,0
34,14,1.461,0,0
34,16,0.859,0,0
34,18,0.432,0,0.001
34,20,0.362,0,0.005
34,22,0.981,0,0.005
34,24,2.793,0,0.003
34,26,5.901,0,0.002
34,28,8.869,0,0.001
34,30,9.407,0,0.001
34,32,7.018,0,0
34,34,3.713,0,0
34,36,1.462,0,0
34,38,0.524,0,0
34,40,0.277,0,0
34,42,0.428,0,0
34,44,1.538,0,0
34,46,5.001,0,0
34,48,11.638,0,0
34,50,18.939,0,0
34,52,21.488,0,0
34,54,16.997,0,0
34,56,9.373,0,0
34,58,3.604,0,0
34,60,0.966,0,0
34,62,0.18,0,0
34,64,0.019,0,0
36,0,2.842,0,0
36,2,5.617,0,0
36,4,8.322,0,0
36,6,9.431,0,0
36,8,8.262,0,0
36,10,5.599,0,0
36,12,2.929,0,0
36,14,1.208,0,0
36,16,0.43,0,0.001
36,18,0.216,0,0.012
36,20,0.397,0,0.023
36,22,1.063,0,0.021
36,24,2.311,0,0.016
36,26,3.863,0,0.012
36,28,4.921,0,0.008
36,30,4.713,0,0.005
36,32,3.402,0,0.003
36,34,2.022,0,0.001
36,36,1.314,0,0
36,38,1.104,0,0
36,40,0.932,0,0
36,42,0.775,0,0
36,44,1.284,0,0
36,46,3.544,0,0
36,48,8.11,0,0
36,50,13.172,0,0
36,52,14.944,0,0
36,54,11.821,0,0
36,56,6.519,0,0
36,58,2.506,0,0
36,60,0.672,0,0
36,62,0.126,0,0
36,64,0.015,0,0
38,0,6.131,0,0
38,2,11.95,0,0
38,4,17.55,0,0
38,6,19.762,0,0
38,8,17.177,0,0
38,10,11.404,0,0
38,12,5.666,0,0
38,14,2.076,0,0
38,16,0.602,0,0.003
38,18,0.367,0,0.022
38,20,0.957,0,0.03
38,22,2.374,0,0.029
38,24,4.227,0,0.028
38,26,5.389,0.001,0.027
38,28,5.028,0,0.024
38,30,3.587,0,0.019
38,32,2.319,0,0.012
38,34,2.102,0,0.004
38,36,2.811,0,0.001
38,38,3.446,0,0
38,40,3.127,0,0
38,42,2.086,0,0
38,44,1.419,0,0
38,46,2.083,0,0
38,48,4.286,0,0
38,50,6.889,0,0
38,52,7.806,0,0
38,54,6.174,0,0
38,56,3.405,0,0
38,58,1.309,0,0
38,60,0.351,0,0
38,62,0.063,0,0
38,64,0.008,0,0
40,0,9.787,0,0
40,2,18.316,0,0
40,4,26.256,0,0
40,6,29.176,0,0
40,8,25.179,0,0
40,10,16.646,0,0
40,12,8.231,0,0
40,14,3.002,0,0
40,16,0.911,0,0.004
40,18,0.751,0,0.024
40,20,2.09,0,0.03
40,22,5.077,0.001,0.03
40,24,8.722,0.002,0.03
40,26,10.507,0.003,0.03
40,28,8.928,0.002,0.03
40,30,5.597,0.001,0.028
40,32,3.483,0,0.018
40,34,4.07,0,0.004
40,36,6.534,0,0.001
40,38,8.393,0,0
40,40,7.653,0,0
40,42,4.913,0,0
40,44,2.364,0,0
40,46,1.351,0,0
40,48,1.735,0,0
40,50,2.61,0,0
40,52,2.937,0,0
40,54,2.323,0,0
40,56,1.281,0,0
40,58,0.492,0,0
40,60,0.13,0,0
40,62,0.024,0,0
42,0,12.711,0,0
42,2,21.5,0,0
42,4,28.8,0,0
42,6,30.753,0,0
42,8,26.008,0,0
42,10,17.048,0,0
42,12,8.435,0,0
42,14,3.154,0,0
42,16,1.152,0,0.005
42,18,1.296,0,0.021
42,20,3.438,0,0.028
42,22,7.989,0.002,0.03
42,24,13.522,0.005,0.031
42,26,16.134,0.007,0.031
42,28,13.545,0.005,0.031
42,30,8.395,0.002,0.029
42,32,5.354,0,0.018
42,34,6.738,0,0.004
42,36,11.166,0,0.001
42,38,14.444,0,0
42,40,13.198,0,0.001
42,42,8.44,0,0.001
42,44,3.811,0,0.001
42,46,1.358,0,0.002
42,48,0.678,0,0
42,50,0.73,0,0
42,52,0.787,0,0
42,54,0.631,0,0
42,56,0.358,0,0
42,58,0.145,0,0
42,60,0.043,0,0
42,62,0.007,0,0
44,0,15.346,0,0.001
44,2,21.852,0,0.001
44,4,25.249,0,0.001
44,6,24.289,0,0.001
44,8,19.365,0,0.001
44,10,12.382,0,0.001
44,12,6.199,0,0
44,14,2.681,0,0
44,16,1.697,0,0.003
44,18,2.358,0,0.013
44,20,4.766,0,0.023
44,22,9.595,0.002,0.029
44,24,15.437,0.006,0.031
