x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
114,18,Pass,118,10,42,0.429,0,0,0.004
114,18,Pass,116,4,31,0.288,0,0,0.008
114,18,Pass,116,6,34,0.526,0,0,0.007
114,18,Pass,116,8,39,0.769,0,0,0.006
114,18,Pass,116,10,46,0.916,0,0,0.004
114,18,Pass,116,12,54,0.965,2,0,0.002
114,18,Pass,116,14,61,1.1,2,0,0.001
114,18,Pass,116,16,66,1.581,3,0,0
114,18,Pass,114,2,29,0.241,0,0,0.007
114,18,Pass,114,4,33,0.501,0,0,0.008
114,18,Pass,114,6,38,0.882,0,0,0.007
114,18,Pass,114,8,41,1.262,0,0,0.006
114,18,Pass,114,10,53,1.456,0,0,0.004
114,18,Pass,114,12,61,1.418,2,0,0.003
114,18,Pass,114,14,65,1.383,2,0,0.001
114,18,Pass,114,16,74,1.701,4,0,0.001
114,18,Pass,114,18,86,2.477,4,0,0.001
114,18,Pass,114,20,103,3.389,5,0,0.002
114,18,Pass,112,0,26,0.172,0,0,0.005
114,18,Pass,112,2,28,0.354,0,0,0.007
114,18,Pass,112,4,35,0.66,0,0,0.008
114,18,Pass,112,6,39,1.088,0,0,0.008
114,18,Pass,112,8,43,1.504,0,0,0.007
114,18,Pass,112,10,53,1.694,1,0,0.005
114,18,Pass,112,12,62,1.591,2,0,0.003
114,18,Pass,112,14,77,1.443,4,0,0.002
114,18,Pass,112,16,85,1.628,4,0,0.002
114,18,Pass,112,18,94,2.261,4,0,0.004
114,18,Pass,112,20,112,3.055,6,0.001,0.008
114,18,Pass,110,0,25,0.224,0,0,0.005
114,18,Pass,110,2,29,0.417,0,0,0.008
114,18,Pass,110,4,35,0.689,0,0,0.01
114,18,Pass,110,6,40,1.032,0,0,0.009
114,18,Pass,110,8,47,1.347,0,0,0.007
114,18,Pass,110,10,60,1.474,2,0,0.005
114,18,Pass,110,12,71,1.376,3,0,0.003
114,18,Pass,110,14,83,1.278,4,0,0.002
114,18,Pass,110,16,93,1.488,4,0,0.004
114,18,Pass,110,18,109,2.075,4,0.001,0.011
114,18,Pass,110,20,120,2.803,5,0.002,0.023
114,18,Pass,110,22,143,3.43,7,0.004,0.037
114,18,Pass,108,0,24,0.225,0,0,0.006
114,18,Pass,108,2,30,0.396,0,0,0.009
114,18,Pass,108,4,37,0.599,0,0,0.012
114,18,Pass,108,6,44,0.815,0,0,0.011
114,18,Pass,108,8,53,0.987,0,0,0.009
114,18,Pass,108,10,63,1.043,2,0,0.006
114,18,Pass,108,12,78,1.001,3,0,0.003
114,18,Pass,108,14,89,1.043,4,0,0.003
114,18,Pass,108,16,101,1.368,4,0,0.009
114,18,Pass,108,18,113,1.977,4,0.001,0.022
114,18,Pass,108,20,124,2.705,5,0.004,0.043
114,18,Pass,108,22,143,3.43,7,0.007,0.065
114,18,Pass,106,0,27,0.171,0,0,0.008
114,18,Pass,106,2,30,0.301,0,0,0.012
114,18,Pass,106,4,38,0.446,0,0,0.014
114,18,Pass,106,6,44,0.581,0,0,0.014
114,18,Pass,106,8,50,0.674,0,0,0.01
114,18,Pass,106,10,62,0.704,1,0,0.006
114,18,Pass,106,12,77,0.721,3,0,0.003
114,18,Pass,106,14,95,0.863,4,0,0.004
114,18,Pass,106,16,102,1.239,4,0,0.012
114,18,Pass,106,18,112,1.821,4,0.002,0.03
114,18,Pass,106,20,122,2.527,5,0.005,0.059
114,18,Pass,106,22,141,3.31,6,0.009,0.085
114,18,Pass,104,0,26,0.099,0,0,0.01
114,18,Pass,104,2,30,0.182,0,0,0.014
114,18,Pass,104,4,34,0.282,0,0,0.016
114,18,Pass,104,6,42,0.38,0,0,0.014
114,18,Pass,104,8,50,0.457,0,0,0.01
114,18,Pass,104,10,60,0.507,0,0,0.006
114,18,Pass,104,12,78,0.576,3,0,0.003
114,18,Pass,104,14,93,0.748,3,0,0.004
