x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
0,0,Pass,26,36,1,0,0,0,0
0,2,Pass,26,36,2,0,0,0,0
0,4,Pass,26,36,2,0,0,0,0
0,6,Pass,26,36,2,0,0,0,0
0,8,Pass,26,36,2,0,0,0,0
0,8,Run,26,36,1,0,0,0,0
0,10,Pass,26,36,2,0,0,0,0
0,10,Run,26,36,2,0.002,0,0,0
0,12,Pass,26,36,3,0,0,0,0
0,12,Run,26,36,2,0.012,0,0,0
0,14,Pass,26,36,3,0,0,0,0
0,14,Run,26,36,2,0.042,0,0,0
0,16,Run,26,36,2,0.105,0,0,0
0,16,Pass,26,36,2,0,0,0,0
0,18,Pass,26,36,3,0,0,0,0
0,18,Run,26,36,2,0.184,0,0,0
0,20,Pass,26,36,3,0,0,0,0
0,20,Run,26,36,2,0.224,0,0,0
0,22,Pass,26,36,5,0.002,0,0,0
0,22,Run,26,36,2,0.19,0,0,0
0,24,Pass,26,36,16,0.008,0,0,0
0,24,Run,26,36,2,0.113,0,0,0
0,26,Pass,26,36,23,0.025,0,0,0
0,26,Run,26,36,1,0.047,0,0,0
0,28,Pass,26,36,28,0.059,0,0,0
0,28,Run,26,36,1,0.013,0,0,0
0,30,Pass,26,36,30,0.105,0,0,0
0,30,Run,26,36,1,0.003,0,0,0
0,32,Pass,26,36,34,0.145,0,0,0
0,32,Run,26,36,1,0,0,0,0
0,34,Pass,26,36,40,0.163,0,0,0
0,36,Pass,26,36,38,0.15,0,0,0
0,38,Pass,26,36,37,0.111,0,0,0
0,40,Pass,26,36,38,0.069,0,0,0
0,42,Pass,26,36,38,0.041,0,0,0
0,44,Pass,26,36,40,0.027,0,0,0.001
0,46,Pass,26,36,40,0.018,0,0,0.004
0,48,Pass,26,36,25,0.01,0,0,0.019
0,48,Run,26,36,1,0,0,0,0
0,50,Pass,26,36,23,0.005,0,0,0.071
0,50,Run,26,36,1,0,0,0,0
0,52,Pass,26,36,19,0.002,0,0,0.201
0,52,Run,26,36,1,0.002,0,0,0
0,54,Pass,26,36,15,0.001,0,0,0.333
0,54,Run,26,36,1,0.005,0,0,0
0,56,Pass,26,36,6,0.001,0,0,0.336
0,56,Run,26,36,1,0.012,0,0,0
0,58,Pass,26,36,5,0,0,0,0.232
0,58,Run,26,36,1,0.019,0,0,0
0,60,Pass,26,36,4,0,0,0,0.128
0,60,Run,26,36,1,0.021,0,0,0
0,62,Pass,26,36,3,0,0,0,0.061
0,62,Run,26,36,1,0.016,0,0,0
0,64,Pass,26,36,2,0,0,0,0
0,64,Run,26,36,1,0.009,0,0,0
0,66,Pass,26,36,1,0,0,0,0
0,66,Run,26,36,1,0.003,0,0,0
0,68,Run,26,36,1,0.001,0,0,0
0,70,Run,26,36,1,0,0,0,0
0,72,Run,26,36,1,0,0,0,0
2,0,Pass,26,36,2,0,0,0,0
2,2,Pass,26,36,2,0,0,0,0
2,4,Pass,26,36,2,0,0,0,0
2,6,Pass,26,36,2,0,0,0,0
2,8,Pass,26,36,3,0,0,0,0
2,8,Run,26,36,2,0,0,0,0
2,10,Pass,26,36,4,0,0,0,0
2,10,Run,26,36,2,0.004,0,0,0
2,12,Pass,26,36,4,0,0,0,0
2,12,Run,26,36,2,0.019,0,0,0
2,14,Pass,26,36,5,0,0,0,0.003
2,14,Run,26,36,2,0.068,0,0,0
2,16,Pass,26,36,5,0,0,0,0.004
2,16,Run,26,36,2,0.171,0,0,0
