endX,endY,WeightedCount,WeightedExpectedGoals,GoalProbability
28,8,913.179247999175,0.35,0.006
28,10,1012.62874248613,0.435,0.006
28,12,1132.88004487076,0.669,0.007
28,14,1266.83796918524,1.08,0.008
28,16,1392.65607117635,1.438,0.009
28,18,1501.65179982027,1.481,0.009
26,6,666.767575478937,0.304,0.01
26,8,762.610935243754,0.395,0.011
26,10,855.820429681814,0.417,0.01
26,12,965.182508822035,0.549,0.008
26,14,1084.34513447085,0.876,0.009
26,16,1195.12617807313,1.201,0.009
26,18,1291.03645472895,1.235,0.009
26,20,1369.26758226553,1.008,0.008
26,22,1413.14305468544,0.909,0.01
24,4,456.29687496759,0.136,0.013
24,6,556.014831475483,0.295,0.018
24,8,632.710902425737,0.397,0.019
24,10,706.115980121124,0.383,0.016
24,12,793.711441728804,0.397,0.012
24,14,894.631801380098,0.559,0.009
24,16,997.162839149313,0.764,0.009
24,18,1096.00569004859,0.812,0.008
24,20,1187.17329836183,0.715,0.007
24,22,1254.33354399687,0.709,0.009
24,24,1274.9314135825,0.874,0.013
22,2,291.646644099112,0.025,0.009
22,4,396.756747124279,0.098,0.017
22,6,474.361436611146,0.247,0.025
22,8,528.347986054982,0.38,0.029
22,10,578.821645285076,0.376,0.025
22,12,644.266926868336,0.313,0.017
22,14,727.133085392081,0.336,0.011
22,16,818.6527434785,0.425,0.008
22,18,915.741830426558,0.477,0.007
22,20,1019.34903304068,0.501,0.007
22,22,1117.15450535449,0.587,0.008
22,24,1177.5068282391,0.69,0.01
20,2,264.232901233906,0.014,0.009
20,4,355.744791655603,0.069,0.018
20,6,415.988607067082,0.206,0.028
20,8,450.61604192488,0.361,0.034
20,10,482.649576711577,0.378,0.031
20,12,531.172416540385,0.303,0.022
20,14,596.74769430166,0.298,0.014
20,16,668.218713434749,0.369,0.01
20,18,745.13286246059,0.424,0.008
20,20,841.165452207865,0.451,0.007
20,22,955.677691341258,0.502,0.007
20,24,1051.57199631934,0.529,0.008
18,0,146.444552370993,0.001,0.003
18,2,241.144909891417,0.01,0.007
18,4,324.581988921932,0.05,0.015
18,6,375.107351767798,0.154,0.024
18,8,397.778716738523,0.277,0.031
18,10,417.831191477175,0.307,0.03
18,12,454.818030786498,0.296,0.023
18,14,504.368986953686,0.376,0.018
18,16,550.592683533623,0.513,0.016
18,18,596.547265940267,0.558,0.014
18,20,668.555041917334,0.494,0.011
18,22,778.768088332502,0.426,0.008
18,24,894.738646340256,0.377,0.007
18,26,963.884247592452,0.32,0.007
16,0,129.387765172175,0.001,0.002
16,2,214.04980916291,0.008,0.005
16,4,290.415252111347,0.034,0.01
16,6,336.863032100577,0.092,0.017
16,8,355.704200747737,0.156,0.022
16,10,371.864188832369,0.19,0.022
16,12,404.234481833232,0.259,0.02
16,14,442.628208053467,0.441,0.021
16,16,466.737908899597,0.64,0.023
16,18,483.715672305513,0.653,0.022
16,20,527.889372681078,0.499,0.017
16,22,619.475881154627,0.342,0.01
16,24,738.373126111727,0.249,0.006
16,26,846.359935868341,0.212,0.005
14,2,179.017043670349,0.005,0.003
14,4,242.923244769781,0.019,0.006
14,6,284.420663089253,0.045,0.009
14,8,304.984772281841,0.07,0.012
14,10,326.396145208368,0.102,0.014
14,12,362.639143867253,0.202,0.015
14,14,396.579793778555,0.416,0.02
14,16,404.85114194866,0.614,0.027
14,18,398.516906968646,0.599,0.029
14,20,416.460489269556,0.425,0.022
14,22,483.250950128484,0.256,0.012
14,24,592.513765749395,0.159,0.006
14,26,724.75002867631,0.144,0.005
12,2,138.087714383664,0.002,0.002
12,4,184.372295206665,0.008,0.003
12,6,217.909889903685,0.017,0.005
12,8,242.44367677542,0.027,0.006
12,10,273.811459521111,0.051,0.007
12,12,316.684428881391,0.132,0.011
12,14,348.070106860084,0.299,0.017
12,16,344.817023681484,0.442,0.025
12,18,320.852973700907,0.424,0.029
12,20,316.422770622243,0.293,0.024
12,22,358.789624910517,0.167,0.014
12,24,450.781640590353,0.096,0.007
10,2,95.9259028425991,0,0.001
10,4,126.483085073875,0.002,0.002
10,6,152.93454689307,0.004,0.003
10,8,180.471418043266,0.008,0.003
10,10,217.813439015834,0.021,0.004
10,12,261.138866879117,0.063,0.007
10,14,286.639615459994,0.15,0.012
10,16,275.669603242013,0.227,0.02
10,18,242.887033137374,0.219,0.025
10,20,225.288012666508,0.149,0.023
10,22,249.010223710242,0.083,0.015
10,24,319.194221919835,0.052,0.008
8,4,79.5772750468562,0,0.001
8,6,101.28270277793,0.001,0.001
8,8,127.230196480577,0.002,0.001
8,10,161.074893159129,0.006,0.002
8,12,196.562399372364,0.02,0.004
8,14,214.510018520913,0.049,0.008
8,16,202.014427605357,0.078,0.013
8,18,171.757829903876,0.078,0.019
8,20,153.060174669557,0.055,0.021
8,22,166.136307302928,0.036,0.016
6,6,64.3226285000255,0,0
6,8,83.3138214942729,0,0.001
6,10,106.599186143244,0.001,0.001
