"","x","y","endX","endY","event","GoalProbability","WeightedExpectedGoals","WeightedCount"
"1",108,40,0,0,"Shot",0.294208515642719,0.343760952013343,37.0285096700267
"2",114,42,0,0,"Shot",0.298477833508695,0.227385438824848,24.1426809278368
"3",68,10,64,24,"Pass",0.158488080718479,0.0693096722597656,13.8590087000677
"4",120,0,112,34,"Pass",0.0829619790938693,0.0609059675224089,23.2656757502805
"5",112,34,116,42,"Pass",0.552367356927485,0.0564741600254771,3.24008723479153
"6",96,22,112,32,"Pass",0.313449528477326,0.0471829202803635,4.77037065213524
"7",90,40,98,44,"Pass",0.136650268007507,0.0469467428433596,10.8875435928941
"8",116,26,114,38,"Pass",0.147284185976328,0.0462191183652235,9.94490105481735
"9",98,22,98,28,"Pass",0.115614005701285,0.0403602210117265,11.0631299960434
"10",108,56,106,44,"Pass",0.172721944542841,0.0401263450537236,7.362359381383
"11",72,48,78,34,"Pass",0.125717026651375,0.0399987053697848,10.0829302344379
"12",56,14,56,24,"Pass",0.0935083424139037,0.0389167416179503,13.189278561198
"13",60,70,52,46,"Pass",0.232555254506844,0.0380044654371722,5.17897005413993
"14",70,24,64,26,"Pass",0.108976806136892,0.0377554090837595,10.9794360377331
"15",114,16,112,38,"Pass",0.113970650690395,0.0377150025079316,10.4871152663841
"16",98,42,102,34,"Pass",0.177076456039596,0.0376779605907378,6.74312940763862
"17",66,22,64,10,"Pass",0.131479712408543,0.037356067791732,9.00403838421177
"18",98,30,106,28,"Pass",0.229538582367535,0.0361983099895547,4.9976694492513
"19",82,2,78,12,"Pass",0.0473956395375827,0.0355243445513549,23.7532267256643
"20",64,46,62,32,"Pass",0.101230363938415,0.03463972717743,10.8442268244937
"21",84,68,84,76,"Pass",0.135262514818124,0.034529965848003,8.09009496374669
"22",66,52,76,76,"Pass",0.0614023851212138,0.0343363175642887,17.7216193532358
"23",84,4,72,8,"Pass",0.0557269135806918,0.0340444246703516,19.3604718276143
"24",110,44,114,38,"Pass",0.327279143778966,0.0333940864685864,3.23359902626326
