x,y,WeightedCount,WeightedExpectedGoals,GoalProbability
0,0,26.7747581637602,0,0
0,2,42.4252157537148,0,0
0,4,59.5004078112989,0,0
0,6,75.3986981065152,0,0
0,8,86.9084018352373,0,0.001
0,10,90.3518117734156,0.001,0.002
0,12,84.3181301388263,0.002,0.004
0,14,71.8513525316077,0.002,0.005
0,16,59.7348182937702,0.001,0.006
0,18,55.1940379392009,0.002,0.009
0,20,60.2389690653803,0.004,0.012
0,22,68.4666004126484,0.006,0.012
0,24,72.6810148502736,0.005,0.01
0,26,76.1633343121715,0.002,0.007
0,28,91.6352204796219,0.001,0.006
0,30,134.348381322185,0.003,0.009
0,32,206.969171528727,0.013,0.014
0,34,283.171872259244,0.043,0.019
0,36,321.222833843522,0.089,0.024
0,38,319.812860960927,0.133,0.029
0,40,321.280728866833,0.175,0.031
0,42,336.661801406641,0.224,0.029
0,44,319.947566250985,0.218,0.027
0,46,244.796970864547,0.127,0.025
0,48,150.038491786802,0.041,0.024
0,50,86.3814953766464,0.01,0.026
0,52,63.5750887647159,0.005,0.027
0,54,62.7989491654656,0.006,0.023
0,56,64.3082250632344,0.006,0.021
0,58,61.342711824957,0.005,0.022
0,60,56.5482175468732,0.005,0.024
0,62,56.3560847390719,0.005,0.021
0,64,62.9369087931422,0.004,0.012
0,66,71.6459457782959,0.003,0.005
0,68,74.671529963556,0.001,0.002
0,70,69.4837472043598,0,0.001
0,72,62.6508430193799,0,0.002
0,74,60.869125586185,0.001,0.006
0,76,60.5099141820449,0.003,0.013
0,78,53.1386293552057,0.006,0.021
0,80,37.2394531743659,0.006,0.03
2,0,58.7705914816958,0,0
2,2,89.5329521078511,0,0
2,4,119.206808962459,0,0
2,6,143.198753543172,0,0.001
2,8,158.66060615198,0.002,0.001
2,10,161.548814326155,0.004,0.002
2,12,149.117488361351,0.007,0.004
2,14,126.243304460119,0.007,0.005
2,16,106.673418459648,0.004,0.006
2,18,105.512099266032,0.005,0.009
2,20,125.492073633784,0.012,0.011
2,22,151.106286083086,0.019,0.011
2,24,166.876371029761,0.015,0.009
2,26,179.925145272413,0.007,0.007
2,28,224.181022792779,0.006,0.006
