x,y,WeightedCount,WeightedExpectedGoals,GoalProbability
0,0,26.6748178974101,0,0
0,2,41.8495413309798,0,0
0,4,57.1734781868333,0,0
0,6,68.831339835073,0,0.001
0,8,73.8702038986727,0,0.001
0,10,71.9824119187885,0.001,0.003
0,12,65.4598198163449,0.002,0.005
0,14,56.5141310766315,0.002,0.006
0,16,47.570908179508,0.001,0.007
0,18,43.6049803029885,0.002,0.011
0,20,48.5546180293461,0.004,0.014
0,22,58.5284891342294,0.006,0.014
0,24,65.9793033995475,0.005,0.011
0,26,72.040118873123,0.002,0.007
0,28,88.4607094775033,0.001,0.006
0,30,131.281587040652,0.003,0.009
0,32,204.295852228835,0.013,0.014
0,34,281.426571777622,0.043,0.019
0,36,320.403963924101,0.089,0.024
0,38,319.531670896839,0.133,0.029
0,40,321.180985459985,0.175,0.031
0,42,336.567325425836,0.224,0.029
0,44,319.782125784135,0.218,0.027
0,46,244.444376358682,0.127,0.025
0,48,149.279667448842,0.041,0.025
0,50,85.0317233148232,0.01,0.026
0,52,61.5165766811514,0.005,0.027
0,54,59.6635246609293,0.006,0.024
0,56,59.2250699407353,0.006,0.022
0,58,54.0024664011838,0.005,0.025
0,60,48.4340776507657,0.005,0.028
0,62,49.8821165189402,0.005,0.022
0,64,59.2688794921155,0.004,0.012
0,66,70.1717767606677,0.003,0.004
0,68,74.2465164212182,0.001,0.001
0,70,69.3953863031111,0,0.001
0,72,62.6440301450048,0,0.002
0,74,60.869125586185,0.001,0.006
0,76,60.5099141820449,0.003,0.013
0,78,53.1386293552057,0.006,0.021
0,80,37.2394531743659,0.006,0.03
2,0,58.6218689054563,0,0
2,2,88.670761863249,0,0
2,4,115.670411213437,0,0
2,6,133.106091619775,0,0.001
2,8,138.270746691432,0.002,0.001
2,10,132.019924350886,0.004,0.003
2,12,117.364200234661,0.007,0.005
2,14,98.6601915260073,0.007,0.006
2,16,83.5281114607761,0.004,0.008
2,18,83.358036580863,0.005,0.01
2,20,103.248813142515,0.012,0.012
2,22,131.532834178819,0.019,0.011
2,24,152.469771827562,0.015,0.009
2,26,169.666079528543,0.007,0.006
2,28,215.256673619494,0.006,0.006
2,30,332.698244438307,0.017,0.009
2,32,534.339112290784,0.065,0.012
2,34,745.799860069154,0.191,0.015
2,36,849.362750405939,0.382,0.019
2,38,837.502497238386,0.585,0.023
2,40,829.197668641666,0.877,0.025
2,42,863.018678858072,1.285,0.025
2,44,821.376740909121,1.352,0.025
2,46,631.629976413391,0.818,0.024
2,48,388.939042822017,0.279,0.026
2,50,221.193115096212,0.077,0.031
2,52,154.737479203824,0.044,0.035
2,54,142.292637406333,0.04,0.031
2,56,136.862561746333,0.037,0.028
2,58,123.192997144463,0.034,0.03
2,60,109.232827953083,0.035,0.034
2,62,106.272474389994,0.032,0.029
2,64,114.952839493166,0.023,0.017
