x,y,WeightedCount,WeightedExpectedGoals,GoalProbability
0,0,0.1,0,0
0,2,0.576,0,0
0,4,2.327,0,0
0,6,6.567,0,0
0,8,13.038,0,0
0,10,18.369,0,0
0,12,18.858,0,0
0,14,15.337,0,0
0,16,12.164,0,0.001
0,18,11.589,0,0.002
0,20,11.684,0,0.003
0,22,9.938,0,0.005
0,24,6.702,0,0.008
0,26,4.123,0,0.008
0,28,3.175,0,0.005
0,30,3.067,0,0.002
0,32,2.673,0,0
0,34,1.745,0,0
0,36,0.819,0,0
0,38,0.281,0,0
0,40,0.1,0,0
0,42,0.094,0,0
0,44,0.165,0,0
0,46,0.353,0,0
0,48,0.759,0,0.001
0,50,1.35,0,0.001
0,52,2.059,0,0.001
0,54,3.135,0,0.001
0,56,5.083,0,0.001
0,58,7.34,0,0.002
0,60,8.114,0,0.004
0,62,6.474,0,0.008
0,64,3.668,0,0.014
0,66,1.474,0,0.025
0,68,0.425,0,0.043
0,70,0.088,0,0.071
0,72,0.007,0,0
2,0,0.149,0,0
2,2,0.862,0,0
2,4,3.536,0,0
2,6,10.093,0,0
2,8,20.39,0,0
2,10,29.529,0,0
2,12,31.753,0,0
2,14,27.583,0,0
2,16,23.145,0,0.001
2,18,22.154,0,0.003
2,20,22.243,0,0.006
2,22,19.573,0.001,0.009
2,24,14.407,0.001,0.011
2,26,10.259,0,0.011
2,28,8.924,0,0.006
2,30,8.808,0,0.002
2,32,7.545,0,0
2,34,4.879,0,0
2,36,2.286,0,0
2,38,0.827,0,0
2,40,0.402,0,0.004
2,42,0.498,0,0.008
2,44,0.798,0,0.009
2,46,1.389,0,0.007
2,48,2.604,0,0.005
2,50,4.36,0,0.003
2,52,6.112,0,0.003
2,54,8.132,0,0.003
2,56,11.61,0,0.003
2,58,15.901,0,0.006
2,60,17.51,0,0.012
2,62,14.247,0,0.021
2,64,8.394,0,0.036
2,66,3.587,0,0.059
2,68,1.122,0,0.093
2,70,0.26,0,0.139
2,72,0.042,0,0.207
4,0,0.174,0,0.004
4,2,0.988,0,0.002
4,4,4,0,0.001
4,6,11.514,0,0.001
4,8,23.787,0,0
4,10,35.944,0,0
4,12,41.436,0,0
4,14,39.464,0,0
4,16,35.434,0,0.001
4,18,33.954,0.001,0.004
4,20,33.899,0.002,0.008
4,22,31.208,0.004,0.012
4,24,25.454,0.003,0.015
4,26,20.606,0.001,0.012
4,28,19.08,0,0.006
4,30,18.53,0,0.002
4,32,15.429,0,0.001
4,34,9.835,0,0
4,36,4.657,0,0
4,38,1.889,0,0.002
4,40,1.336,0,0.01
4,42,1.959,0,0.015
4,44,2.893,0,0.017
4,46,4.188,0,0.015
4,48,6.664,0,0.011
4,50,10.38,0.001,0.008
4,52,13.866,0.001,0.007
4,54,16.791,0.001,0.006
4,56,21.2,0,0.008
4,58,27.052,0,0.015
4,60,29.492,0.001,0.027
4,62,24.739,0.002,0.048
4,64,15.482,0.003,0.077
4,66,7.254,0.001,0.117
4,68,2.595,0,0.162
4,70,0.731,0,0.198
4,72,0.177,0,0.197
4,74,0.043,0,0.135
4,76,0.017,0,0
4,78,0.011,0,0
6,0,0.197,0,0.019
6,2,0.989,0,0.012
6,4,3.719,0,0.007
6,6,10.444,0,0.004
6,8,21.958,0,0.002
6,10,35.281,0,0.001
6,12,45.109,0,0
6,14,48.593,0,0.001
6,16,47.517,0,0.002
6,18,45.954,0.002,0.005
6,20,45.472,0.005,0.01
6,22,43.448,0.009,0.014
6,24,38.405,0.008,0.015
6,26,33.645,0.004,0.011
6,28,31.715,0.001,0.006
