x,y,WeightedExpectedGoals,GoalProbability
0,0,0.0466939826894556,0.001
0,2,0.0535539371457725,0.001
0,4,0.0428215827991506,0
0,6,0.0251090639343204,0
0,8,0.0139099567481668,0
0,10,0.0138413014834522,0
0,12,0.0211065159916427,0
0,14,0.0272870599007834,0
0,16,0.0286425242816088,0
0,18,0.0307069440833288,0
0,20,0.0442601699638699,0
0,22,0.0907984863357814,0.001
0,24,0.187132065391011,0.001
0,26,0.344309583015616,0.002
0,28,0.572880979310254,0.002
0,30,0.954848681003176,0.003
0,32,1.61420178248039,0.004
0,34,2.53884029790084,0.004
0,36,3.42489765224191,0.004
0,38,4.05496064837328,0.004
0,40,4.5513455794818,0.004
0,42,4.85474054574754,0.005
0,44,4.45907256251679,0.006
0,46,3.22881583843467,0.006
0,48,1.77774880745854,0.005
0,50,0.745322590003489,0.003
0,52,0.242476716783664,0.001
0,54,0.0642544618274792,0
0,56,0.0182043803935809,0
0,58,0.0142508986764136,0
0,60,0.0239437383606025,0
0,62,0.0414934245930916,0
0,64,0.0620502194351062,0.001
0,66,0.0768251999784551,0.001
0,68,0.0932247268041153,0.001
0,70,0.121145757079585,0.001
0,72,0.149623821097296,0.001
0,74,0.150484970380284,0.001
0,76,0.113366576373837,0.001
0,78,0.0620854787380237,0.001
0,80,0.0241799129110862,0.001
2,0,0.137872199230966,0.002
2,2,0.158432685268772,0.001
2,4,0.128122622510806,0.001
2,6,0.078148725168459,0
2,8,0.0499319305351282,0
2,10,0.0619167431911173,0
2,12,0.101857140033429,0.001
2,14,0.136871825540888,0.001
2,16,0.152581149774496,0.001
2,18,0.165081685112996,0.001
2,20,0.216631809524423,0.001
2,22,0.380464354759714,0.001
2,24,0.715994554146932,0.002
2,26,1.19245855592939,0.003
2,28,1.73666447485773,0.004
2,30,2.44636023186969,0.004
2,32,3.64232245140917,0.004
2,34,5.43148831774879,0.004
2,36,7.22211889584716,0.004
2,38,8.22539674243354,0.004
2,40,8.36276794542387,0.003
2,42,7.88955526761013,0.004
2,44,6.64056333217182,0.004
2,46,4.61859066442204,0.004
2,48,2.53087859441135,0.004
2,50,1.07921718030522,0.002
2,52,0.367817014424983,0.001
2,54,0.118356234065387,0
2,56,0.0659584211595532,0
