Count,WeightedCount,Goals,WeightedGoals,GoalProbability,WeightedProbabiliticGoals,y,x,event
1,0.000143197506862893,0,0,0,0,42,72,Shot
1,0.000193296415861802,0,0,0,0,44,72,Shot
1,0.0000959881593925235,0,0,0,0,46,72,Shot
1,0.0000979272488389539,0,0,0,0,38,74,Shot
1,0.000976744247217771,0,0,0,0,40,74,Shot
1,0.00358396441143244,0,0,0,0,42,74,Shot
1,0.00483784592681102,0,0,0,0,44,74,Shot
1,0.00240240318926149,0,0,0,0,46,74,Shot
1,0.000438879480809817,0,0,0,0,48,74,Shot
1,0.000186014540278783,0,0,0,0,32,76,Shot
1,0.000261340680174471,0,0,0,0,34,76,Shot
1,0.000135074279305144,0,0,0,0,36,76,Shot
2,0.00107905173403896,0,0,0,0,38,76,Shot
2,0.00918926826116506,0,0,0,0,40,76,Shot
2,0.0330784585226607,0,0,0,0,42,76,Shot
1,0.0445436481263098,0,0,0,0,44,76,Shot
1,0.0221197210367812,0,0,0,0,46,76,Shot
1,0.0040409085900626,0,0,0,0,48,76,Shot
1,0.000271571333729617,0,0,0,0,50,76,Shot
1,0.000108399648263612,0,0,0,0,28,78,Shot
1,0.00112532239194148,0,0,0,0,30,78,Shot
1,0.00429765517238742,0,0,0,0,32,78,Shot
2,0.00621538343271201,0,0,0,0,34,78,Shot
3,0.00468208560563788,0,0,0,0,36,78,Shot
4,0.00815174923443557,0,0,0,0,38,78,Shot
4,0.0355578519093054,0,0,0,0,40,78,Shot
5,0.114111633891502,0,0,0,0,42,78,Shot
3,0.151342450321047,0,0,0,0,44,78,Shot
1,0.074923647766911,0,0,0,0,46,78,Shot
1,0.0136873160089451,0,0,0,0,48,78,Shot
1,0.000919863090412143,0,0,0,0,50,78,Shot
3,0.000413878036432467,1,0.000144232249515772,0.348489740501865,0.000144232249515772,26,80,Shot
4,0.0024716482851617,1,0.000228474554255167,0.0924381335430254,0.000228474554255167,28,80,Shot
6,0.0126135260257185,1,0.000133143147204125,0.0105555850864105,0.000133143147204125,30,80,Shot
7,0.039628029347976,0,0,0,0,32,80,Shot
9,0.0550789213323551,0,0,0,0,34,80,Shot
11,0.0423532360256109,0,0,0,0,36,80,Shot
10,0.0540555570910413,0,0,0,0,38,80,Shot
9,0.0914333351561268,0,0,0,0,40,80,Shot
7,0.167246836756014,0,0,0,0,42,80,Shot
9,0.198161907921401,0,0,0,0,44,80,Shot
8,0.0978072663489156,0,0,0,0,46,80,Shot
6,0.0201146923556549,0,0,0,0,48,80,Shot
4,0.00294341134074376,0,0,0,0,50,80,Shot
2,0.000764835393846715,0,0,0,0,52,80,Shot
1,0.000231232765072681,0,0,0,0,54,80,Shot
1,0.0000688152133108765,1,0.0000688152133108765,1,0.0000688152133108765,22,82,Shot
2,0.00105516027537784,1,0.000805469102887392,0.763361852870137,0.000805469102887392,24,82,Shot
5,0.00760614853192527,1,0.00346831735836563,0.455988644424714,0.00346831735836563,26,82,Shot
9,0.0293952323276603,1,0.00549407129909178,0.186903482777442,0.00549407129909178,28,82,Shot
11,0.0784611904233082,1,0.00320166044796384,0.0408056573025526,0.00320166044796384,30,82,Shot
13,0.164821888049439,1,0.000686375493229679,0.00416434674637265,0.000686375493229679,32,82,Shot
17,0.20648540154004,0,0,0,0,34,82,Shot
18,0.169813848109282,0,0,0,0,36,82,Shot
16,0.219209349726753,0,0,0,0,38,82,Shot
14,0.264357275262985,0,0,0,0,40,82,Shot
12,0.227664947973499,0,0,0,0,42,82,Shot
12,0.176594496884083,0,0,0,0,44,82,Shot
11,0.100860119113441,0,0,0,0,46,82,Shot
10,0.0526807848179978,0,0,0,0,48,82,Shot
9,0.0280484312008732,0,0,0,0,50,82,Shot
6,0.0131839836932145,0,0,0,0,52,82,Shot
2,0.00544614508419403,0,0,0,0,54,82,Shot
1,0.00119204410073241,0,0,0,0,56,82,Shot
1,0.000105998489520045,0,0,0,0,58,82,Shot
1,0.000608760452207219,1,0.000608760452207219,1,0.000608760452207219,22,84,Shot
7,0.0097562291813082,1,0.00712542636607902,0.730346349359085,0.00712542636607902,24,84,Shot
14,0.0593465323680918,1,0.0306817975545401,0.516993939329747,0.0306817975545401,26,84,Shot
17,0.181177616478567,1,0.0486022373190144,0.268257405432663,0.0486022373190144,28,84,Shot
23,0.33597813626964,1,0.0283228688591216,0.0842997379936384,0.0283228688591216,30,84,Shot
28,0.458110876588696,1,0.00607188782159034,0.0132541883021953,0.00607188782159034,32,84,Shot
26,0.485630806867489,1,0.000478867932421675,0.000986074041534891,0.000478867932421675,34,84,Shot
24,0.453010763442343,0,0,0,0,36,84,Shot
25,0.555349971846235,0,0,0,0,38,84,Shot
24,0.609746630807908,0,0,0,0,40,84,Shot
18,0.491698297689661,0,0,0,0,42,84,Shot
17,0.382128646996474,0,0,0,0,44,84,Shot
16,0.325419648622909,0,0,0,0,46,84,Shot
17,0.26424403020985,0,0,0,0,48,84,Shot
14,0.164706042809659,0,0,0,0,50,84,Shot
14,0.0925076857399049,0,0,0,0,52,84,Shot
10,0.0440297675072814,0,0,0,0,54,84,Shot
5,0.0116319078999313,0,0,0,0,56,84,Shot
3,0.00184944355525412,0,0,0,0,58,84,Shot
2,0.000266024641335403,0,0,0,0,60,84,Shot
1,0.0000885196750451647,0,0,0,0,62,84,Shot
1,0.0000784000718805469,0,0,0,0,68,84,Shot
1,0.0000759765579134948,0,0,0,0,18,86,Shot
4,0.000496071721734254,0,0,0,0,20,86,Shot
9,0.00367955743971273,1,0.00198113431140262,0.538416465529424,0.00198113431140262,22,86,Shot
14,0.0405878397340619,1,0.0231888037503575,0.571323921211236,0.0231888037503575,24,86,Shot
19,0.219441541411256,1,0.0998500504597788,0.455018907621733,0.0998500504597788,26,86,Shot
23,0.56973432380234,1,0.158169867333722,0.277620393797086,0.158169867333722,28,86,Shot
30,0.850561728736343,1,0.0921732137669524,0.108367459589196,0.0921732137669524,30,86,Shot
35,0.959548819142131,2,0.0199259358433399,0.0207659427491707,0.0199259358433399,32,86,Shot
36,1.01984213668868,2,0.00236307948224906,0.00231710320375832,0.00236307948224906,34,86,Shot
33,1.05894607466463,2,0.00150597610613668,0.00142214617171476,0.00150597610613668,36,86,Shot
30,1.04229553213528,2,0.00103353051475696,0.000991590660126535,0.00103353051475696,38,86,Shot
33,0.887132442951115,1,0.000228246193900118,0.000257285364450024,0.000228246193900118,40,86,Shot
32,0.695829346810882,0,0,0,0,42,86,Shot
28,0.681060454705585,0,0,0,0,44,86,Shot
30,0.760134955950775,0,0,0,0,46,86,Shot
24,0.694926926305919,1,0.000176447758054373,0.000253908362699847,0.000176447758054373,48,86,Shot
24,0.477434036067632,1,0.000219867445475866,0.000460519001298684,0.000219867445475866,50,86,Shot
24,0.300888146086496,1,0.00010078855869646,0.000334970187451276,0.00010078855869646,52,86,Shot
21,0.163998483418158,0,0,0,0,54,86,Shot
19,0.0669676043214902,0,0,0,0,56,86,Shot
12,0.0228255073620823,0,0,0,0,58,86,Shot
9,0.00705681746375748,0,0,0,0,60,86,Shot
3,0.00302581561455446,0,0,0,0,62,86,Shot
2,0.00136118402469575,0,0,0,0,64,86,Shot
2,0.0017121526769602,0,0,0,0,66,86,Shot
1,0.00249445324577162,0,0,0,0,68,86,Shot
1,0.00145363826960204,0,0,0,0,70,86,Shot
1,0.000311632573313692,0,0,0,0,72,86,Shot
2,0.00106464335548581,0,0,0,0,16,88,Shot
5,0.00529695551728561,0,0,0,0,18,88,Shot
8,0.0131020875193064,1,0.000074546630638966,0.00568967582678097,0.000074546630638966,20,88,Shot
17,0.0285448218230699,1,0.00237184839628759,0.0830920722150265,0.00237184839628759,22,88,Shot
23,0.117803247522449,1,0.0277620384799521,0.235664458016419,0.0277620384799521,24,88,Shot
24,0.512672516524638,1,0.119542214119036,0.233174610040348,0.119542214119036,26,88,Shot
34,1.16098376026816,1,0.189363711494605,0.163106253485291,0.189363711494605,28,88,Shot
35,1.41320665751021,2,0.110527361526294,0.0782103317578629,0.110527361526294,30,88,Shot
38,1.37794697245294,2,0.0259798075904607,0.018853996641259,0.0259798075904607,32,88,Shot
41,1.57721651504009,3,0.0137383891960426,0.00871052836756112,0.0137383891960426,34,88,Shot
40,1.6858500796197,2,0.0222428690237025,0.0131938594615247,0.0222428690237025,36,88,Shot
35,1.35634867656675,2,0.0159606909128651,0.011767395204945,0.0159606909128651,38,88,Shot
38,0.88456642619234,2,0.00450015838674618,0.00508741712718776,0.00450015838674618,40,88,Shot
41,0.636954286831676,2,0.000512886825319238,0.000805217636371408,0.000512886825319238,42,88,Shot
36,0.745662611414718,1,0.000136050323659309,0.00018245560602963,0.000136050323659309,44,88,Shot
39,0.975125426967025,2,0.00144919226106634,0.00148615985286511,0.00144919226106634,46,88,Shot
41,1.06289953250848,2,0.00485750553271207,0.00457005143397533,0.00485750553271207,48,88,Shot
42,0.917232154863041,2,0.00599395277451454,0.00653482626261565,0.00599395277451454,50,88,Shot
41,0.659518928072804,2,0.00272275165354864,0.00412839046409912,0.00272275165354864,52,88,Shot
36,0.459013989259579,1,0.000408717759884208,0.00089042549780127,0.000408717759884208,54,88,Shot
30,0.323804074073999,0,0,0,0,56,88,Shot
21,0.168227924667699,0,0,0,0,58,88,Shot
15,0.0703005998901934,0,0,0,0,60,88,Shot
10,0.0351128868836391,0,0,0,0,62,88,Shot
3,0.0155067056251757,0,0,0,0,64,88,Shot
2,0.0199467369726635,0,0,0,0,66,88,Shot
