x,y,WeightedExpectedGoals,GoalProbability
0,0,0.0606427433790311,0.002
0,2,0.22290395189088,0.004
0,4,0.576089159595545,0.008
0,6,1.0514736022071,0.011
0,8,1.35897990787705,0.012
0,10,1.24958798863112,0.01
0,12,0.828465023027548,0.006
0,14,0.405160892085779,0.003
0,16,0.158190505118284,0.001
0,18,0.0692954785470165,0
0,20,0.0720055629961368,0
0,22,0.131525577827402,0.001
0,24,0.249631346153681,0.001
0,26,0.478270679736418,0.002
0,28,0.934064510146903,0.003
0,30,1.71423869471325,0.004
0,32,2.70456611048989,0.005
0,34,3.60640579410608,0.005
0,36,4.23092632669287,0.005
0,38,4.83649651887791,0.005
0,40,5.94347305585117,0.006
0,42,7.60826576923103,0.008
0,44,8.72577640175929,0.011
0,46,7.86466209310949,0.013
0,48,5.21205425905244,0.013
0,50,2.48068116057629,0.01
0,52,0.908800239649636,0.006
0,54,0.580451495502,0.005
0,56,1.2993481509965,0.012
0,58,2.91044994827649,0.024
0,60,4.65136544790056,0.033
0,62,5.19602591263354,0.034
0,64,4.06266622899875,0.024
0,66,2.23195332599947,0.013
0,68,0.867956295623215,0.005
0,70,0.243653399705204,0.002
0,72,0.0507846374553419,0
0,74,0.00819006022438883,0
0,76,0,0
0,78,0,0
0,80,0,0
2,0,0.115455362698456,0.002
2,2,0.403264101765957,0.004
2,4,1.01741106846319,0.007
2,6,1.84705016787589,0.01
2,8,2.42015145369966,0.011
2,10,2.31153408010857,0.01
2,12,1.64056912349926,0.007
2,14,0.900998757780384,0.004
2,16,0.429071278040663,0.002
2,18,0.256391652550029,0.001
2,20,0.304522489880795,0.001
2,22,0.522784750697317,0.002
2,24,0.877565574114106,0.002
2,26,1.41670200547946,0.003
2,28,2.44043924913333,0.004
2,30,4.294379230583,0.005
2,32,6.76487716151776,0.006
2,34,8.948084952219,0.006
2,36,10.1387296015245,0.005
2,38,10.7639671204817,0.005
2,40,12.022334748664,0.005
2,42,14.2175632537228,0.007
2,44,15.5056041560129,0.009
2,46,13.5509416495048,0.011
2,48,8.8042228406188,0.01
2,50,4.1316971920417,0.008
2,52,1.47762896657267,0.004
2,54,0.815097577294925,0.003
2,56,1.65134607220117,0.008
2,58,3.65546573535477,0.016
2,60,5.84897128227769,0.023
2,62,6.58344359583967,0.023
2,64,5.24179988057491,0.017
2,66,2.99692747682558,0.009
2,68,1.26257910290984,0.004
2,70,0.408460748910341,0.001
2,72,0.105208631735648,0
2,74,0.0219781294567879,0
2,76,0.00305963911497377,0
2,78,0,0
2,80,0,0
4,0,0.186335100185685,0.001
4,2,0.592171492408177,0.003
4,4,1.40582605324811,0.006
4,6,2.49340163047639,0.008
4,8,3.32078048728868,0.01
4,10,3.36586136377669,0.009
4,12,2.65593269666819,0.007
4,14,1.71052809624302,0.005
4,16,1.02451179801539,0.003
4,18,0.775606385580989,0.002
4,20,0.952366659810311,0.002
4,22,1.5127698602061,0.003
4,24,2.30482855262194,0.004
4,26,3.22923208973383,0.005
4,28,4.80960477836533,0.005
4,30,7.9246034470633,0.006
4,32,12.3768208467688,0.006
4,34,16.302097293071,0.006
4,36,17.9990024463259,0.005
4,38,18.0400295786955,0.005
4,40,18.5562800515876,0.005
4,42,20.2333966297906,0.006
4,44,20.7265029382682,0.007
4,46,17.3322624645275,0.008
4,48,10.9325689607172,0.008
4,50,5.06600754288911,0.006
4,52,1.81120497527366,0.003
4,54,0.909523767187196,0.002
4,56,1.6107949747695,0.005
4,58,3.4560258396923,0.01
4,60,5.52772885641494,0.014
4,62,6.36530933303539,0.015
4,64,5.38109933870942,0.012
4,66,3.46439580386664,0.007
4,68,1.77036370875329,0.003
4,70,0.733048063862591,0.001
4,72,0.239918070499371,0.001
4,74,0.0605818235672155,0
4,76,0.0107360403235719,0
4,78,0,0
4,80,0,0
6,0,0.2809475153943,0.001
6,2,0.790487850606043,0.003
6,4,1.69425145708381,0.005
6,6,2.83545675949748,0.007
6,8,3.80102998314918,0.008
6,10,4.1452836219593,0.008
6,12,3.71715420169255,0.007
6,14,2.83757140089015,0.006
6,16,2.07517863271298,0.004
6,18,1.82089617262738,0.003
6,20,2.20786742192783,0.004
6,22,3.25012028974681,0.005
6,24,4.58295880586891,0.006
6,26,5.73134055531626,0.006
6,28,7.34219022575763,0.006
6,30,11.0506692653156,0.006
6,32,16.9891669608111,0.007
6,34,22.420995685339,0.006
6,36,24.5036186020869,0.006
6,38,23.8126180002146,0.005
6,40,23.2188628473116,0.005
6,42,23.579144904822,0.005
6,44,22.419496668337,0.006
6,46,17.596998355178,0.007
6,48,10.6561346183611,0.006
6,50,4.93507359690607,0.004
6,52,1.91081697881443,0.002
6,54,1.05129048526385,0.002
6,56,1.61062171230538,0.003
6,58,3.14089447693789,0.006
6,60,4.90287385055128,0.009
6,62,5.87111255235279,0.01
6,64,5.58309595736372,0.009
6,66,4.35769529401466,0.006
6,68,2.77787435456727,0.004
6,70,1.38671313224816,0.002
6,72,0.517267871535591,0.001
6,74,0.139132484387451,0
6,76,0.0262638801818049,0
6,78,0.00356013984690807,0
6,80,0,0
8,0,0.386879386611414,0.002
8,2,0.990304136876696,0.003
8,4,1.91247294318208,0.004
8,6,2.96231903490089,0.006
8,8,3.9214296796623,0.007
8,10,4.56633100484511,0.007
8,12,4.60691585495081,0.007
8,14,4.04992167841276,0.006
8,16,3.41150921605975,0.005
8,18,3.25088804822096,0.005
8,20,3.86329158561982,0.005
8,22,5.3326409366718,0.007
8,24,7.06949940830225,0.008
8,26,8.10801757344574,0.007
8,28,9.00977374208042,0.006
8,30,12.1344608664372,0.006
8,32,18.3185004641935,0.006
8,34,24.6448953898545,0.006
8,36,27.5117034309767,0.006
8,38,27.0674365827521,0.005
8,40,26.1346576139359,0.005
8,42,25.3020541153693,0.005
8,44,22.288880600322,0.006
8,46,16.2268927313096,0.006
8,48,9.47141957708634,0.005
8,50,4.63982502525916,0.003
8,52,2.24763200819373,0.002
8,54,1.64865531757369,0.002
8,56,2.37472303322844,0.003
8,58,4.03557165042429,0.006
8,60,5.81642979490253,0.008
8,62,6.89860072149292,0.009
8,64,6.99187656360837,0.009
8,66,6.05051931040099,0.007
8,68,4.22940321435213,0.005
8,70,2.24247727095657,0.003
8,72,0.864033099506549,0.001
8,74,0.238471669068412,0
8,76,0.0513700368279817,0
8,78,0.0126011883653717,0
8,80,0.00451934322990403,0
10,0,0.450782446020677,0.001
10,2,1.1039661577065,0.002
10,4,2.01671779663683,0.003
10,6,2.95512781314848,0.005
10,8,3.84473348827606,0.005
10,10,4.67548558833903,0.006
10,12,5.11184861516785,0.006
10,14,4.90767511989613,0.006
10,16,4.46320309525044,0.006
10,18,4.4365792088775,0.006
10,20,5.23192238505109,0.006
10,22,6.95812709795293,0.007
10,24,8.84711804474417,0.008
10,26,9.53995227706039,0.007
10,28,9.43175383858411,0.006
10,30,11.3286092006248,0.005
10,32,16.9626510395867,0.006
10,34,24.0811907547629,0.006
10,36,28.7369593100917,0.006
10,38,29.9463029591664,0.006
10,40,29.5502939446902,0.006
