Count,WeightedCount,Goals,WeightedGoals,GoalProbability,WeightedProbabiliticGoals,y,x,event
2,0.000309414249634814,0,0,0,0,34,76,Shot
2,0.000495851110479375,0,0,0,0,36,76,Shot
3,0.000429093413170438,0,0,0,0,38,76,Shot
2,0.000564883729215291,0,0,0,0,40,76,Shot
2,0.00098418899406168,0,0,0,0,42,76,Shot
2,0.000702930305010581,0,0,0,0,44,76,Shot
1,0.000157122356753806,0,0,0,0,46,76,Shot
1,0.000279897886113124,0,0,0,0,50,76,Shot
1,0.000499908381283746,0,0,0,0,52,76,Shot
1,0.000328463212121377,0,0,0,0,54,76,Shot
1,0.0000793941624047613,0,0,0,0,56,76,Shot
1,0.000139438667376599,0,0,0,0,60,76,Shot
1,0.000418896906957146,0,0,0,0,62,76,Shot
1,0.000462952679240879,0,0,0,0,64,76,Shot
1,0.000188222513274963,0,0,0,0,66,76,Shot
1,0.000158606270374776,0,0,0,0,24,78,Shot
1,0.00036011551111755,0,0,0,0,26,78,Shot
1,0.000300793759103635,0,0,0,0,28,78,Shot
3,0.000398565097968904,0,0,0,0,30,78,Shot
3,0.00197497268037474,0,0,0,0,32,78,Shot
2,0.00714866562775417,0,0,0,0,34,78,Shot
3,0.0115701722863246,0,0,0,0,36,78,Shot
4,0.00932478101982599,0,0,0,0,38,78,Shot
5,0.0108388006397602,0,0,0,0,40,78,Shot
4,0.0173466213696487,0,0,0,0,42,78,Shot
3,0.0127387926681469,0,0,0,0,44,78,Shot
4,0.00370320411555805,0,0,0,0,46,78,Shot
3,0.00149562007878396,0,0,0,0,48,78,Shot
1,0.005401461500636,0,0,0,0,50,78,Shot
2,0.00975381156857736,0,0,0,0,52,78,Shot
2,0.00669972681993253,0,0,0,0,54,78,Shot
2,0.00198204608244675,0,0,0,0,56,78,Shot
3,0.000671993668521498,0,0,0,0,58,78,Shot
1,0.00269088346465855,0,0,0,0,60,78,Shot
1,0.00808386067892648,0,0,0,0,62,78,Shot
1,0.00893404772812482,0,0,0,0,64,78,Shot
1,0.00363231274492999,0,0,0,0,66,78,Shot
1,0.000543280001843958,0,0,0,0,68,78,Shot
2,0.000756876901416349,0,0,0,0,22,80,Shot
2,0.00358940053364933,0,0,0,0,24,80,Shot
3,0.00782863395581557,0,0,0,0,26,80,Shot
3,0.00767996837017207,0,0,0,0,28,80,Shot
5,0.00765404050049936,0,0,0,0,30,80,Shot
7,0.0212160487168025,0,0,0,0,32,80,Shot
7,0.0650854728685837,0,0,0,0,34,80,Shot
9,0.101041273692734,0,0,0,0,36,80,Shot
11,0.0779523956881462,0,0,0,0,38,80,Shot
10,0.0782148585933519,0,0,0,0,40,80,Shot
9,0.123163303183511,1,0.000138687727934044,0.00112604748613637,0.000138687727934044,42,80,Shot
9,0.0950738057848064,1,0.000115841727831618,0.00121843999906576,0.000115841727831618,44,80,Shot
7,0.0297004645277253,0,0,0,0,46,80,Shot
5,0.0114566466570008,0,0,0,0,48,80,Shot
3,0.0386685118524893,0,0,0,0,50,80,Shot
2,0.0705873527208378,0,0,0,0,52,80,Shot
2,0.0521086642438715,0,0,0,0,54,80,Shot
3,0.019840137552625,0,0,0,0,56,80,Shot
3,0.00736691218164386,0,0,0,0,58,80,Shot
2,0.0197881919770598,0,0,0,0,60,80,Shot
1,0.0573899709088583,0,0,0,0,62,80,Shot
1,0.0634257268376777,0,0,0,0,64,80,Shot
1,0.0257869761791949,0,0,0,0,66,80,Shot
1,0.00385692242104916,0,0,0,0,68,80,Shot
1,0.000212220291113879,0,0,0,0,70,80,Shot
1,0.000159496957084001,0,0,0,0,18,82,Shot
2,0.0017148103568859,0,0,0,0,20,82,Shot
2,0.00910584485971543,0,0,0,0,22,82,Shot
3,0.0317814707289557,0,0,0,0,24,82,Shot
3,0.062448171025748,0,0,0,0,26,82,Shot
7,0.0632570824570253,0,0,0,0,28,82,Shot
12,0.0649316148710922,0,0,0,0,30,82,Shot
13,0.114994182057745,0,0,0,0,32,82,Shot
15,0.251096071992559,0,0,0,0,34,82,Shot
21,0.357163477605916,0,0,0,0,36,82,Shot
20,0.272725335161477,1,0.000268331952882422,0.000983890817197258,0.000268331952882422,38,82,Shot
20,0.264903209926855,1,0.00165610683077113,0.00625174316018449,0.00165610683077113,40,82,Shot
21,0.404061107893617,1,0.00376019029020217,0.00930599411015861,0.00376019029020217,42,82,Shot
16,0.326747014273637,1,0.00314077493864378,0.00961225290956602,0.00314077493864378,44,82,Shot
12,0.114237843100572,1,0.000965093361376505,0.00844810559428069,0.000965093361376505,46,82,Shot
11,0.0399426758007759,1,0.000109095630780937,0.00273130501634589,0.000109095630780937,48,82,Shot
11,0.105285175792823,0,0,0,0,50,82,Shot
8,0.196697396550087,0,0,0,0,52,82,Shot
6,0.172231712719441,0,0,0,0,54,82,Shot
6,0.095133539974354,0,0,0,0,56,82,Shot
5,0.0388218260964124,0,0,0,0,58,82,Shot
4,0.0550428674615318,0,0,0,0,60,82,Shot
2,0.150192853729261,0,0,0,0,62,82,Shot
1,0.165648747106261,0,0,0,0,64,82,Shot
1,0.0673477547474492,0,0,0,0,66,82,Shot
1,0.0100731106853207,0,0,0,0,68,82,Shot
1,0.000554254985890946,0,0,0,0,70,82,Shot
1,0.00132879107833463,0,0,0,0,18,84,Shot
2,0.0129313678402689,0,0,0,0,20,84,Shot
4,0.0536199089076293,0,0,0,0,22,84,Shot
7,0.126132889838722,0,0,0,0,24,84,Shot
12,0.198833215494987,0,0,0,0,26,84,Shot
15,0.20488681375544,0,0,0,0,28,84,Shot
19,0.2476861177487,0,0,0,0,30,84,Shot
18,0.376400737991448,0,0,0,0,32,84,Shot
21,0.566732091733637,0,0,0,0,34,84,Shot
28,0.681853869024738,1,0.00015952885966557,0.000233963414908454,0.00015952885966557,36,84,Shot
28,0.566394695611338,1,0.00267639185650602,0.00472531236122763,0.00267639185650602,38,84,Shot
29,0.625502422802802,1,0.0165183116947762,0.0264080698852606,0.0165183116947762,40,84,Shot
27,0.828072059084671,1,0.037504824019299,0.045291739538653,0.037504824019299,42,84,Shot
25,0.651840313368174,1,0.0313266622875425,0.0480587985202573,0.0313266622875425,44,84,Shot
25,0.280773430737142,1,0.00962601727229968,0.034283932233287,0.00962601727229968,46,84,Shot
26,0.114139515334925,1,0.00108813972643216,0.00953341814391963,0.00108813972643216,48,84,Shot
21,0.143644079712804,0,0,0,0,50,84,Shot
15,0.254314399149765,0,0,0,0,52,84,Shot
10,0.29857057258621,0,0,0,0,54,84,Shot
9,0.23256498886815,0,0,0,0,56,84,Shot
6,0.0984767547897688,0,0,0,0,58,84,Shot
5,0.0630675628066452,0,0,0,0,60,84,Shot
3,0.144943045116086,0,0,0,0,62,84,Shot
1,0.15915356682851,0,0,0,0,64,84,Shot
1,0.06470701151197,0,0,0,0,66,84,Shot
1,0.00967813836586852,0,0,0,0,68,84,Shot
1,0.000532522337041542,0,0,0,0,70,84,Shot
1,0.000162719009347287,0,0,0,0,16,86,Shot
1,0.00407255092173213,0,0,0,0,18,86,Shot
4,0.0393279089753669,0,0,0,0,20,86,Shot
7,0.148632494985274,0,0,0,0,22,86,Shot
12,0.266402313634969,0,0,0,0,24,86,Shot
17,0.317693366904467,0,0,0,0,26,86,Shot
22,0.347174274483886,0,0,0,0,28,86,Shot
27,0.522514157385246,0,0,0,0,30,86,Shot
30,0.785563340731603,0,0,0,0,32,86,Shot
36,0.971056491198062,1,0.0000920585552042579,0.0000948024713687652,0.0000920585552042579,34,86,Shot
40,1.05688688318822,2,0.000695572813874416,0.000658133642245747,0.000695572813874416,36,86,Shot
37,1.06886157395267,1,0.00982047572032079,0.00918779003721171,0.00982047572032079,38,86,Shot
38,1.2849630547808,1,0.0606105860563381,0.0471691274164126,0.0606105860563381,40,86,Shot
35,1.36423824179237,1,0.13761632579366,0.100874115369216,0.13761632579366,42,86,Shot
36,1.00624152020431,1,0.114946817539313,0.114233824813722,0.114946817539313,44,86,Shot
37,0.601293468320725,1,0.0353207130996944,0.0587412219832306,0.0353207130996944,46,86,Shot
33,0.381373159010932,1,0.00399270747210164,0.0104692933358406,0.00399270747210164,48,86,Shot
28,0.311085198427936,1,0.00016603935593455,0.000533742385602488,0.00016603935593455,50,86,Shot
22,0.374064379774205,0,0,0,0,52,86,Shot
22,0.460232489177282,1,0.000150208577396319,0.000326375431827584,0.000150208577396319,54,86,Shot
14,0.369710909362944,1,0.000508784650841523,0.00137616888751868,0.000508784650841523,56,86,Shot
11,0.147048711451481,1,0.000633984714293647,0.00431139251772928,0.000633984714293647,58,86,Shot
8,0.0407431250713329,1,0.000290622404107832,0.00713304155238489,0.000290622404107832,60,86,Shot
3,0.0523470564989717,0,0,0,0,62,86,Shot
1,0.0562535733459764,0,0,0,0,64,86,Shot
1,0.0228709961744665,0,0,0,0,66,86,Shot
1,0.00342078331806113,0,0,0,0,68,86,Shot
1,0.000188222513274965,0,0,0,0,70,86,Shot
1,0.00018346517073118,0,0,0,0,16,88,Shot
3,0.00497000767809791,0,0,0,0,18,88,Shot
