x,y,WeightedExpectedGoals,GoalProbability
0,0,3.10928817900015,0.005
0,2,2.59615960459944,0.005
0,4,1.51127196287309,0.004
0,6,0.613330677116606,0.002
0,8,0.180655697534742,0.001
0,10,0.0640400043093413,0
0,12,0.0961688486239291,0.001
0,14,0.20091140513839,0.002
0,16,0.338587260110948,0.003
0,18,0.463214221952288,0.004
0,20,0.543467572548384,0.005
0,22,0.539804818283543,0.004
0,24,0.449444778746162,0.003
0,26,0.373448360269437,0.002
0,28,0.515158537677193,0.002
0,30,1.07529816854901,0.003
0,32,2.10571761012599,0.003
0,34,3.47362638184438,0.004
0,36,4.99816149336602,0.006
0,38,6.44955982591693,0.007
0,40,7.41507151338917,0.008
0,42,7.44248825975453,0.009
0,44,6.50639740126159,0.008
0,46,4.94885915036841,0.008
0,48,3.17510879781957,0.006
0,50,1.62576605222657,0.005
0,52,0.631671635046594,0.003
0,54,0.182011773168247,0.001
0,56,0.0353639227894715,0
0,58,0.00369114939936832,0
0,60,0.000741349570386246,0
0,62,0.00311549140470886,0
0,64,0.00912790054418117,0
0,66,0.0186447286135351,0
0,68,0.0265510718502999,0
0,70,0.0263602105281263,0
0,72,0.0241656406773951,0
0,74,0.0297281264882612,0.001
0,76,0.0545187231684528,0.001
0,78,0.0892620707850525,0.002
0,80,0.10607257881994,0.003
2,0,2.59615960459944,0.005
2,2,2.16771309204324,0.004
2,4,1.2618654160376,0.003
2,6,0.518224670311648,0.001
2,8,0.178738039930033,0.001
2,10,0.157884475075806,0.001
2,12,0.382228869423556,0.002
2,14,0.812678815210775,0.004
2,16,1.32582617810738,0.006
2,18,1.74538581244887,0.008
2,20,1.96323537106593,0.008
2,22,1.9098914852241,0.006
2,24,1.57992391321028,0.004
2,26,1.2993023956427,0.003
2,28,1.63605956633282,0.003
2,30,3.0644867852515,0.003
2,32,5.60376962257049,0.004
2,34,8.79570671172425,0.005
2,36,11.9779391567367,0.006
2,38,14.5893306772438,0.007
2,40,16.0373331580093,0.008
2,42,15.9102543160565,0.009
2,44,14.3039271525293,0.009
2,46,11.4529974872579,0.008
2,48,7.73586930802585,0.008
2,50,4.14345595665533,0.006
2,52,1.68433613746953,0.004
2,54,0.511697654633817,0.002
2,56,0.112228643714873,0
2,58,0.01751406091055,0
2,60,0.00366761298430808,0
2,62,0.0143800852325044,0
2,64,0.0421313914141306,0
2,66,0.0860579445651219,0
2,68,0.122551028593623,0.001
2,70,0.126507348292612,0.001
2,72,0.108738001588667,0.001
2,74,0.12730974360212,0.001
2,76,0.227232900447264,0.003
2,78,0.370075431828352,0.005
2,80,0.439379993073667,0.007
4,0,1.51249808077338,0.003
4,2,1.26455725599026,0.002
4,4,0.74278764429778,0.002
4,6,0.329986995835468,0.001
4,8,0.201801766400617,0
4,10,0.421335505733552,0.001
4,12,1.11036129769988,0.003
4,14,2.30710530584471,0.006
4,16,3.6701461277978,0.01
4,18,4.67750175474772,0.012
4,20,5.10273297913321,0.012
4,22,4.88972732247482,0.009
4,24,4.11935999040171,0.006
4,26,3.46429091524006,0.004
4,28,4.10917627622459,0.004
4,30,6.82671341375421,0.005
4,32,11.4101481036642,0.006
4,34,16.8659378419445,0.006
4,36,21.9216995989643,0.007
4,38,25.5453960216104,0.008
4,40,27.1134748536878,0.009
4,42,26.7043062530937,0.009
4,44,24.6938063772569,0.009
4,46,20.7583577832506,0.009
4,48,14.7610523666601,0.009
4,50,8.32818326844477,0.008
4,52,3.60242749115894,0.005
4,54,1.189175774011,0.003
4,56,0.30443743640607,0.001
4,58,0.0665793546227492,0
4,60,0.0280987845964722,0
4,62,0.0606770762195789,0
4,64,0.152162432919776,0.001
4,66,0.291390045473165,0.001
4,68,0.40507206272029,0.002
4,70,0.409220017403483,0.002
4,72,0.341816856328971,0.002
4,74,0.381626754384946,0.002
4,76,0.660732015945987,0.004
4,78,1.06978894175942,0.008
4,80,1.27056063482654,0.011
6,0,0.621274448925676,0.002
6,2,0.533490466955422,0.001
6,4,0.349371798526966,0.001
6,6,0.249141028364434,0
6,8,0.383690815623248,0.001
6,10,0.974332229061224,0.002
6,12,2.37200762516382,0.005
6,14,4.67788067149939,0.009
6,16,7.21243850066313,0.014
6,18,8.97058251546636,0.015
6,20,9.61779800843333,0.014
6,22,9.27311445726886,0.012
6,24,8.13728967040886,0.009
6,26,7.26512039430382,0.006
6,28,8.40948435976321,0.006
6,30,12.4645092711506,0.006
6,32,18.7580146057286,0.007
6,34,25.8133760521733,0.008
6,36,32.1002201146047,0.008
6,38,36.2298123257292,0.009
6,40,37.5361786261966,0.01
6,42,36.7906522485112,0.01
6,44,34.8463702829277,0.011
6,46,30.6255615779912,0.011
6,48,22.9936884033919,0.011
6,50,13.8462656701847,0.01
6,52,6.52876320966075,0.007
6,54,2.42742633965292,0.004
6,56,0.74549155750353,0.001
6,58,0.22201861449768,0
6,60,0.124363592719546,0
6,62,0.203158511521175,0
6,64,0.415588727512771,0.001
6,66,0.715747009522498,0.002
6,68,0.947707479166492,0.004
6,70,0.93405206173668,0.004
6,72,0.76270159979989,0.003
6,74,0.802437786779393,0.003
6,76,1.3440586758681,0.006
6,78,2.15804546266275,0.01
6,80,2.55909679028961,0.015
8,0,0.211249166592094,0.001
8,2,0.243368520421286,0
8,4,0.296162796974552,0.001
8,6,0.469958939691295,0.001
8,8,0.92829337034919,0.002
8,10,1.95606808763857,0.004
8,12,3.95003270913417,0.007
8,14,6.98717618438963,0.011
8,16,10.2127544779966,0.015
8,18,12.4105589959165,0.016
8,20,13.3317432415352,0.015
8,22,13.2960992399489,0.013
8,24,12.5152108214651,0.01
8,26,12.1442256943861,0.008
8,28,14.1963659538275,0.008
8,30,19.4116665428528,0.008
8,32,26.5621573130507,0.009
8,34,34.0540711223262,0.009
8,36,40.5539279087528,0.01
8,38,44.4252700732743,0.011
8,40,44.8056608446833,0.011
8,42,43.190759423313,0.012
8,44,41.269461752173,0.012
8,46,37.5950438091892,0.013
8,48,29.8587080763654,0.013
8,50,19.4341613099526,0.012
8,52,10.2135639882216,0.009
8,54,4.44130915185143,0.005
8,56,1.70942160843065,0.002
8,58,0.698437132345231,0.001
8,60,0.47991999180741,0.001
8,62,0.634352289628513,0.001
8,64,0.991653643260141,0.002
8,66,1.41058863025294,0.004
8,68,1.66115051365759,0.005
8,70,1.54776484618595,0.005
8,72,1.21902018049449,0.004
8,74,1.2098023891929,0.004
8,76,1.92468991561276,0.006
