Count,WeightedCount,Goals,WeightedGoals,GoalProbability,y,x,event,WeightedProbabiliticGoals
1,0.000136814342728559,0,0,0,36,72,Shot,0
1,0.000878859324244351,0,0,0,38,72,Shot,0
1,0.00207688581035108,0,0,0,40,72,Shot,0
1,0.00180555778321164,0,0,0,42,72,Shot,0
1,0.000577451724059559,0,0,0,44,72,Shot,0
1,0.0000679399919468832,0,0,0,46,72,Shot,0
1,0.0000954521279886838,0,0,0,34,74,Shot,0
1,0.00166673990402828,0,0,0,36,74,Shot,0
1,0.0107066984099147,0,0,0,38,74,Shot,0
1,0.0253016488416728,0,0,0,40,74,Shot,0
1,0.0219961967896769,0,0,0,42,74,Shot,0
1,0.00703480214095339,0,0,0,44,74,Shot,0
1,0.000827678541583147,0,0,0,46,74,Shot,0
1,0.000427786758747394,0,0,0,34,76,Shot,0
1,0.00746981001097987,0,0,0,36,76,Shot,0
1,0.0479840932431208,0,0,0,38,76,Shot,0
1,0.113394123075257,0,0,0,40,76,Shot,0
1,0.0985801147413003,0,0,0,42,76,Shot,0
1,0.0315277958671016,0,0,0,44,76,Shot,0
1,0.00370939787356654,0,0,0,46,76,Shot,0
1,0.000160553118499562,0,0,0,48,76,Shot,0
1,0.0000852701834539718,0,0,0,30,78,Shot,0
2,0.00060484938503489,0,0,0,32,78,Shot,0
3,0.00182296204916558,0,0,0,34,78,Shot,0
4,0.0132545594755041,0,0,0,36,78,Shot,0
5,0.0797602837323697,0,0,0,38,78,Shot,0
4,0.187434765137792,0,0,0,40,78,Shot,0
3,0.163438157012848,0,0,0,42,78,Shot,0
3,0.0537431945542566,0,0,0,44,78,Shot,0
3,0.00796659359778265,0,0,0,46,78,Shot,0
3,0.00153458470305856,0,0,0,48,78,Shot,0
2,0.00057566503287657,0,0,0,50,78,Shot,0
2,0.000185006539767562,0,0,0,52,78,Shot,0
1,0.000165740753916308,0,0,0,20,80,Shot,0
1,0.000284412271064076,0,0,0,22,80,Shot,0
1,0.000179544815304234,0,0,0,24,80,Shot,0
2,0.000324978981266829,0,0,0,28,80,Shot,0
2,0.00280002682960654,0,0,0,30,80,Shot,0
5,0.0112605080441484,0,0,0,32,80,Shot,0
9,0.0216233900870231,0,0,0,34,80,Shot,0
9,0.0288888554118751,0,0,0,36,80,Shot,0
10,0.0649892402638063,0,0,0,38,80,Shot,0
8,0.125757494430037,0,0,0,40,80,Shot,0
9,0.113838866555356,0,0,0,42,80,Shot,0
8,0.0575175221674418,0,0,0,44,80,Shot,0
7,0.0315615747545335,0,0,0,46,80,Shot,0
6,0.0209431046435257,0,0,0,48,80,Shot,0
3,0.0106966327658584,0,0,0,50,80,Shot,0
3,0.00439200025928201,0,0,0,52,80,Shot,0
3,0.00128187287728017,0,0,0,54,80,Shot,0
1,0.000133463074516624,0,0,0,56,80,Shot,0
1,0.000804664036384852,0,0,0,18,82,Shot,0
1,0.00375342803553481,0,0,0,20,82,Shot,0
1,0.00644090826569476,0,0,0,22,82,Shot,0
1,0.00406604005034348,0,0,0,24,82,Shot,0
4,0.00143581575078378,0,0,0,26,82,Shot,0
6,0.00441273176805491,0,0,0,28,82,Shot,0
8,0.026027762585737,0,0,0,30,82,Shot,0
13,0.0868311271964751,0,0,0,32,82,Shot,0
14,0.155402365799786,0,0,0,34,82,Shot,0
12,0.178794771449158,0,0,0,36,82,Shot,0
13,0.173332991630214,0,0,0,38,82,Shot,0
14,0.137753192287532,0,0,0,40,82,Shot,0
13,0.12139679399818,0,0,0,42,82,Shot,0
11,0.157008663132294,0,0,0,44,82,Shot,0
8,0.163179474262821,0,0,0,46,82,Shot,0
8,0.127431499572553,1,0.000118536963973428,0.000930201436623127,48,82,Shot,0.000118536963973428
8,0.0791615694411957,1,0.000211711573120979,0.00267442364540595,50,82,Shot,0.000211711573120979
6,0.0435625591036239,1,0.000139104415837182,0.00319321037835011,52,82,Shot,0.000139104415837182
5,0.0165260877731254,0,0,0,54,82,Shot,0
5,0.00364368317845016,0,0,0,56,82,Shot,0
4,0.000570470417987763,0,0,0,58,82,Shot,0
1,0.0000842362072951208,0,0,0,60,82,Shot,0
1,0.000528701946126213,0,0,0,16,84,Shot,0
1,0.00670376671851991,0,0,0,18,84,Shot,0
2,0.0314407720902422,0,0,0,20,84,Shot,0
2,0.0542855131952805,0,0,0,22,84,Shot,0
6,0.0359059048031145,0,0,0,24,84,Shot,0
8,0.0162705621205261,0,0,0,26,84,Shot,0
13,0.0360009234175323,0,0,0,28,84,Shot,0
16,0.120883269066017,0,0,0,30,84,Shot,0
18,0.304087900161173,0,0,0,32,84,Shot,0
18,0.51074849528936,0,0,0,34,84,Shot,0
18,0.653426677152516,0,0,0,36,84,Shot,0
20,0.641019122860286,0,0,0,38,84,Shot,0
20,0.418173273351934,0,0,0,40,84,Shot,0
18,0.305629956361266,0,0,0,42,84,Shot,0
16,0.401602274524055,0,0,0,44,84,Shot,0
16,0.419554573787068,1,0.000598977984809012,0.00142765213927332,46,84,Shot,0.000598977984809012
12,0.332579718423461,1,0.0029080116481518,0.00874380332612205,48,84,Shot,0.0029080116481518
12,0.254127025466265,1,0.00519382056066796,0.0204378914487291,50,84,Shot,0.00519382056066796
14,0.194448824470801,1,0.00341258328207693,0.0175500329784168,52,84,Shot,0.00341258328207693
9,0.102128477814601,1,0.000824869213106486,0.00807677966770361,54,84,Shot,0.000824869213106486
9,0.0351912494358665,1,0.0000733487046218799,0.00208428816247495,56,84,Shot,0.0000733487046218799
7,0.0118171683913197,0,0,0,58,84,Shot,0
5,0.00391277441313168,0,0,0,60,84,Shot,0
2,0.000906475387415762,0,0,0,62,84,Shot,0
1,0.000147116507986941,0,0,0,64,84,Shot,0
1,0.00162039438187411,0,0,0,16,86,Shot,0
2,0.0208270873249807,0,0,0,18,86,Shot,0
3,0.0987155275316853,0,0,0,20,86,Shot,0
4,0.176104331195869,0,0,0,22,86,Shot,0
7,0.130308506441268,0,0,0,24,86,Shot,0
13,0.0944047304367658,0,0,0,26,86,Shot,0
16,0.192154231159775,0,0,0,28,86,Shot,0
19,0.378556687669305,0,0,0,30,86,Shot,0
23,0.61392363011301,0,0,0,32,86,Shot,0
22,0.879195377816884,0,0,0,34,86,Shot,0
23,1.17552572368892,0,0,0,36,86,Shot,0
23,1.12689441125807,0,0,0,38,86,Shot,0
21,0.693592802097831,0,0,0,40,86,Shot,0
21,0.527258129324062,0,0,0,42,86,Shot,0
24,0.632796015372884,1,0.00040961792877867,0.000647314330096243,44,86,Shot,0.00040961792877867
