x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedProbabiliticGoals,GoalProbability
94,8,Pass,120,0,23,0.001,2,0,0.01
94,8,Pass,120,2,34,0.003,2,0,0.009
94,8,Pass,120,4,46,0.006,2,0,0.009
94,8,Pass,120,6,56,0.011,2,0,0.012
94,8,Pass,120,8,63,0.014,2,0,0.018
94,8,Pass,120,10,71,0.017,2,0,0.026
94,8,Pass,120,12,78,0.017,3,0.001,0.032
94,8,Pass,120,14,86,0.016,3,0.001,0.033
94,8,Pass,120,16,87,0.015,3,0,0.027
94,8,Pass,120,18,84,0.013,3,0,0.019
94,8,Pass,120,20,76,0.013,4,0,0.013
94,8,Pass,120,22,69,0.012,4,0,0.01
94,8,Pass,120,24,70,0.011,3,0,0.008
94,8,Pass,120,26,69,0.008,2,0,0.007
94,8,Pass,120,28,69,0.006,2,0,0.006
94,8,Pass,120,30,78,0.004,4,0,0.005
94,8,Pass,120,32,82,0.004,4,0,0.013
94,8,Pass,120,34,83,0.005,4,0,0.047
94,8,Pass,120,36,81,0.007,5,0.001,0.099
94,8,Pass,120,38,82,0.011,5,0.001,0.133
94,8,Pass,120,40,75,0.016,5,0.002,0.144
94,8,Pass,120,42,69,0.018,5,0.003,0.136
94,8,Pass,120,44,68,0.019,5,0.002,0.104
94,8,Pass,120,46,65,0.021,5,0.001,0.06
94,8,Pass,120,48,61,0.022,5,0.001,0.031
94,8,Pass,120,50,52,0.021,4,0,0.019
94,8,Pass,120,52,40,0.016,3,0,0.013
94,8,Pass,120,54,32,0.011,3,0,0.008
94,8,Pass,120,56,23,0.009,1,0,0.003
94,8,Pass,120,58,23,0.01,1,0,0.001
94,8,Pass,120,60,18,0.009,0,0,0
94,8,Pass,120,62,15,0.007,0,0,0
94,8,Pass,120,64,10,0.004,0,0,0
94,8,Pass,120,66,11,0.004,0,0,0
94,8,Pass,120,68,10,0.004,0,0,0.001
94,8,Pass,120,70,10,0.005,0,0,0.001
94,8,Pass,120,72,8,0.004,0,0,0.003
94,8,Pass,120,74,7,0.003,0,0,0.005
94,8,Pass,120,76,6,0.001,0,0,0.008
94,8,Pass,120,78,6,0.001,0,0,0.01
94,8,Pass,120,80,6,0,0,0,0.009
94,8,Pass,118,0,35,0.002,2,0,0.012
94,8,Pass,118,2,52,0.006,2,0,0.011
94,8,Pass,118,4,64,0.013,2,0,0.011
94,8,Pass,118,6,74,0.022,2,0,0.013
94,8,Pass,118,8,80,0.029,2,0.001,0.018
94,8,Pass,118,10,88,0.032,2,0.001,0.026
94,8,Pass,118,12,97,0.033,3,0.001,0.033
94,8,Pass,118,14,102,0.032,3,0.001,0.034
94,8,Pass,118,16,101,0.03,4,0.001,0.027
94,8,Pass,118,18,99,0.03,4,0.001,0.019
94,8,Pass,118,20,93,0.031,4,0,0.014
94,8,Pass,118,22,88,0.03,4,0,0.012
94,8,Pass,118,24,86,0.025,3,0,0.01
94,8,Pass,118,26,94,0.019,3,0,0.009
94,8,Pass,118,28,102,0.013,3,0,0.007
94,8,Pass,118,30,111,0.011,5,0,0.006
94,8,Pass,118,32,108,0.01,4,0,0.011
94,8,Pass,118,34,104,0.011,4,0,0.035
94,8,Pass,118,36,102,0.015,6,0.001,0.075
