x,y,WeightedProbabiliticGoals,GoalProbability
0,6,0,0
0,8,0,0
0,10,0,0
0,12,0,0
0,14,0,0
0,16,0,0
0,18,0,0
0,20,0,0
0,22,0,0
0,24,0,0
0,26,0,0
0,28,0,0
0,30,0,0
0,32,0,0
0,34,0,0
0,36,0,0
0,38,0,0
0,40,0,0
0,42,0,0
0,44,0,0
0,46,0,0
0,48,0,0
0,50,0,0
0,52,0,0
0,54,0,0
0,56,0,0
0,58,0,0
0,60,0,0
0,62,0,0
0,64,0.00000162837750750528,0
0,66,0.00000779212507844928,0
0,68,0.0000259954631974307,0.001
0,70,0.0000604616549103046,0.002
0,72,0.0000980400050427193,0.002
0,74,0.000110832580373864,0.002
0,76,0.0000873519066488977,0.001
0,78,0.0000479974492485406,0.001
0,80,0.0000183867407273583,0
2,6,0,0
2,8,0,0
2,10,0,0
2,12,0,0
2,14,0,0
2,16,0,0
2,18,0,0
2,20,0,0
2,22,0,0
2,24,0,0
2,26,0,0
2,28,0,0
2,30,0,0
2,32,0,0
2,34,0,0
2,36,0,0
2,38,0,0
2,40,0,0
2,42,0,0
2,44,0,0
2,46,0,0
2,48,0,0
2,50,0,0
2,52,0,0
2,54,0,0
2,56,0,0
2,58,0,0
2,60,0,0
2,62,0.000000774528127462984,0
2,64,0.00000531614954753327,0
2,66,0.0000254388813522632,0
2,68,0.0000848671572027911,0.001
2,70,0.00019738862635542,0.002
2,72,0.000320070331385564,0.002
2,74,0.000361834138147203,0.002
2,76,0.000285176991740167,0.002
2,78,0.000156696845129171,0.001
2,80,0.0000600270287128373,0
4,6,0,0
4,8,0,0
4,10,0,0
4,12,0,0
4,14,0,0
4,16,0,0
4,18,0,0
4,20,0,0
4,22,0,0
4,24,0,0
4,26,0,0
4,28,0,0
4,30,0,0
4,32,0,0
4,34,0,0
4,36,0.0000166442877525832,0.001
4,38,0.0000199340160232439,0.001
4,40,0.0000166442877525832,0.001
4,42,0,0
4,44,0,0
4,46,0,0
4,48,0,0
4,50,0,0
4,52,0,0
4,54,0,0
4,56,0,0
4,58,0,0
4,60,0,0
4,62,0.00000176286929499895,0
4,64,0.000012099853410962,0
4,66,0.0000579003153596503,0
4,68,0.000193162391760652,0.001
4,70,0.000449267542708603,0.002
4,72,0.000728497958218716,0.003
4,74,0.000823554715968139,0.003
4,76,0.0006490787675144,0.002
4,78,0.000356650774977341,0.001
4,80,0.000136624871371038,0.001
6,6,0,0
6,8,0,0
6,10,0,0
6,12,0,0
6,14,0,0
6,16,0,0
6,18,0,0
6,20,0,0
6,22,0,0
6,24,0,0
6,26,0,0
6,28,0.0000248767687226227,0
6,30,0.0000493680986701704,0
6,32,0.000101333671282717,0.001
6,34,0.000147272033207195,0.002
6,36,0.000184119769896472,0.004
6,38,0.000188220865021344,0.004
6,40,0.000139815187347224,0.002
6,42,0.0000813889763354169,0.001
6,44,0.000033030690168253,0
6,46,0,0
6,48,0,0
6,50,0,0
6,52,0,0
6,54,0.0000439083069190518,0
6,56,0.0000643584264206687,0
6,58,0.0000657665359689333,0
6,60,0.000046853856467682,0
6,62,0.0000260689470424474,0
6,64,0.0000192001160248859,0
6,66,0.0000918765488328663,0
6,68,0.000306511178894864,0.001
6,70,0.000712900285089882,0.002
6,72,0.00115598469226247,0.003
6,74,0.00130682129463692,0.003
6,76,0.00102996186997406,0.002
6,78,0.000565935472716278,0.001
6,80,0.00021679712085045,0.001
8,8,0,0
8,10,0,0
8,12,0,0
8,14,0,0
8,16,0,0
8,18,0,0
8,20,0,0
8,22,0,0
8,24,0,0
8,26,0.000066360083689526,0
8,28,0.000188894160839776,0
8,30,0.000429593505880432,0.001
8,32,0.000712078457629813,0.003
8,34,0.000976908463131238,0.006
8,36,0.00115522554817326,0.009
8,38,0.00113837047960025,0.009
8,40,0.000870364202716267,0.005
8,42,0.000476645551974433,0.002
8,44,0.000193440589330675,0
8,46,0.0000547318960574197,0
8,48,0,0
8,50,0.0000537372984650959,0
8,52,0.000162051444047104,0
8,54,0.000340698958744612,0.001
