x,y,WeightedExpectedGoals,GoalProbability
0,0,0,0
0,2,0,0
0,4,0.00194137827851518,0
0,6,0.0108878222832529,0
0,8,0.04257088763495,0
0,10,0.11604467394893,0.001
0,12,0.220535518198992,0.001
0,14,0.296351149966577,0.002
0,16,0.29321219536907,0.002
0,18,0.268752004535875,0.002
0,20,0.352557309123905,0.002
0,22,0.623323626291184,0.003
0,24,1.06465030960918,0.005
0,26,1.635471267648,0.007
0,28,2.27522998008606,0.007
0,30,2.8904120035442,0.007
0,32,3.49438417984286,0.006
0,34,4.155081013785,0.005
0,36,4.69488537267094,0.005
0,38,4.99642876003103,0.005
0,40,5.40325143223677,0.005
0,42,6.05459608197322,0.006
0,44,6.2455893451017,0.008
0,46,5.31688397172805,0.008
0,48,3.67332087034658,0.008
0,50,2.20981667024923,0.007
0,52,1.3708014621516,0.006
0,54,1.11766340536564,0.006
0,56,1.19893682807037,0.007
0,58,1.22328497452318,0.009
0,60,0.957983085618735,0.008
0,62,0.536722786301989,0.005
0,64,0.21091371113583,0.002
0,66,0.0574458674467573,0.001
0,68,0.0110093016020064,0
0,70,0.00147096240112889,0
0,72,0,0
0,74,0,0
0,76,0,0
0,78,0,0
0,80,0,0
2,0,0,0
2,2,0,0
2,4,0.00544697531527584,0
2,6,0.0305482449609705,0
2,8,0.11944224196961,0
2,10,0.326888069189968,0.001
2,12,0.624196154768792,0.002
2,14,0.834925937079595,0.003
2,16,0.816953929023402,0.003
2,18,0.712330043856364,0.002
2,20,0.857876490353414,0.003
2,22,1.43689027980195,0.004
2,24,2.36093073447501,0.006
2,26,3.4955580155202,0.008
2,28,4.74541256850956,0.008
2,30,5.94398441484257,0.007
2,32,7.06058073335261,0.006
2,34,8.17394312877393,0.005
2,36,9.07079213875897,0.005
2,38,9.7171282778454,0.004
2,40,10.7882590482031,0.005
2,42,12.4077975866703,0.006
2,44,13.0831774165222,0.007
2,46,11.4664693551048,0.008
2,48,8.29835531139767,0.009
