x,y,WeightedProbabiliticGoals,GoalProbability
0,0,0,0
0,2,0,0
0,4,0.0000552229565299318,0
0,6,0.000252964902032154,0
0,8,0.000849267245810811,0
0,10,0.0020748500131745,0.002
0,12,0.00365546742310167,0.004
0,14,0.00460307072572003,0.005
0,16,0.00411208199850484,0.004
0,18,0.00264592564838747,0.002
0,20,0.00152179660618157,0.001
0,22,0.00216997174437138,0.001
0,24,0.00629934691972098,0.003
0,26,0.0151679700150305,0.006
0,28,0.027335986551556,0.009
0,30,0.0391030889157428,0.009
0,32,0.0492240715520087,0.008
0,34,0.0584845020912151,0.007
0,36,0.0644815546200411,0.006
0,38,0.0661633495412074,0.005
0,40,0.0698905265029947,0.006
0,42,0.0788964329559732,0.007
0,44,0.0825274711011059,0.009
0,46,0.0700664658904628,0.011
0,48,0.0471958402899546,0.011
0,50,0.0275296271174025,0.01
0,52,0.01726647461491,0.01
0,54,0.0150684244915246,0.013
0,56,0.0169744159983959,0.019
0,58,0.0176763295914464,0.024
0,60,0.0141533778030238,0.022
0,62,0.00837150599405685,0.012
0,64,0.00381560447421689,0.005
0,66,0.00153522882407235,0.002
0,68,0.000765494168004664,0.001
0,70,0.000621186049923014,0
0,72,0.0005939298620805,0
0,74,0.000467498462411857,0
0,76,0.000264665772575873,0
0,78,0.000105872574914538,0
0,80,0.0000295263657738514,0
2,0,0,0
2,2,0.0000283639758994643,0
2,4,0.000221970013084473,0
2,6,0.000946654677841062,0
2,8,0.00296655352020002,0.001
2,10,0.00682425045914033,0.003
2,12,0.0114572301978141,0.006
2,14,0.0139177447900531,0.008
2,16,0.0121211173746154,0.006
2,18,0.00761585078200297,0.003
2,20,0.00402930729574416,0.001
2,22,0.00465018355198818,0.001
2,24,0.0126697674329474,0.003
2,26,0.0306729742153157,0.007
2,28,0.0557348506557729,0.01
2,30,0.0800856663628712,0.01
2,32,0.0996193265424537,0.008
2,34,0.114748035305756,0.007
2,36,0.122676306661138,0.005
