Count,WeightedCount,Goals,WeightedGoals,GoalProbability,WeightedExpectedGoals,y,x,event
1,0.000340260179218487,0,0,0,0,30,76,Shot
1,0.00152494032627476,0,0,0,0,32,76,Shot
1,0.0025142015524776,0,0,0,0,34,76,Shot
1,0.00152494032627476,0,0,0,0,36,76,Shot
1,0.000340260179218487,0,0,0,0,38,76,Shot
1,0.000538997298029566,0,0,0,0,28,78,Shot
1,0.00656633132808067,0,0,0,0,30,78,Shot
1,0.0294282553452776,0,0,0,0,32,78,Shot
1,0.0485189905473539,0,0,0,0,34,78,Shot
2,0.0314346818450321,0,0,0,0,36,78,Shot
3,0.0124818673828804,0,0,0,0,38,78,Shot
3,0.00821723013922427,0,0,0,0,40,78,Shot
3,0.0069014129993,0,0,0,0,42,78,Shot
2,0.0046506474646999,0,0,0,0,44,78,Shot
2,0.00219869956677392,0,0,0,0,46,78,Shot
1,0.000426456580685651,0,0,0,0,48,78,Shot
1,0.000750028014098616,0,0,0,0,50,78,Shot
1,0.000626476057900528,0,0,0,0,52,78,Shot
1,0.00382651810594759,0,0,0,0,28,80,Shot
1,0.0466165337162291,0,0,0,0,30,80,Shot
1,0.20892080965307,0,0,0,0,32,80,Shot
2,0.348334201378175,0,0,0,0,34,80,Shot
6,0.243127956353879,0,0,0,0,36,80,Shot
8,0.150804038671152,0,0,0,0,38,80,Shot
10,0.146476684744349,0,0,0,0,40,80,Shot
9,0.130626966303135,0,0,0,0,42,80,Shot
7,0.0987865374581143,0,0,0,0,44,80,Shot
5,0.0502305094037799,0,0,0,0,46,80,Shot
7,0.0251027749165773,0,0,0,0,48,80,Shot
6,0.0312247879037906,0,0,0,0,50,80,Shot
5,0.027699381620458,0,0,0,0,52,80,Shot
4,0.0103850913730272,0,0,0,0,54,80,Shot
2,0.00152437460936544,0,0,0,0,56,80,Shot
2,0.0109262424551036,0,0,0,0,28,82,Shot
2,0.123058404586359,0,0,0,0,30,82,Shot
3,0.547331393569697,0,0,0,0,32,82,Shot
6,0.928166251494942,0,0,0,0,34,82,Shot
8,0.774819179632368,0,0,0,0,36,82,Shot
10,0.841737682506483,0,0,0,0,38,82,Shot
11,1.03534366827647,0,0,0,0,40,82,Shot
10,0.954479889464872,0,0,0,0,42,82,Shot
12,0.757960256295519,0,0,0,0,44,82,Shot
13,0.424799370592671,0,0,0,0,46,82,Shot
9,0.261718686200303,0,0,0,0,48,82,Shot
9,0.37788791682628,0,0,0,0,50,82,Shot
9,0.352446232297165,0,0,0,0,52,82,Shot
8,0.149633493533512,0,0,0,0,54,82,Shot
7,0.0351359378503034,0,0,0,0,56,82,Shot
3,0.0064878698403979,0,0,0,0,58,82,Shot
2,0.00091453400025788,0,0,0,0,60,82,Shot
1,0.000571983736317543,0,0,0,0,20,84,Shot
1,0.00339178143013232,0,0,0,0,22,84,Shot
4,0.00925516410682196,0,0,0,0,24,84,Shot
4,0.0194450670159519,0,0,0,0,26,84,Shot
6,0.0510755899935658,0,0,0,0,28,84,Shot
5,0.162486586442511,0,0,0,0,30,84,Shot
8,0.5512330442496,0,0,0,0,32,84,Shot
11,0.957772957613899,0,0,0,0,34,84,Shot
10,1.22213580921107,0,0,0,0,36,84,Shot
13,2.42412132376982,0,0,0,0,38,84,Shot
12,3.43799300998616,0,0,0,0,40,84,Shot
11,3.1038563763733,0,0,0,0,42,84,Shot
13,2.43555449617689,0,0,0,0,44,84,Shot
17,1.46365139728549,0,0,0,0,46,84,Shot
13,1.12628424926743,0,0,0,0,48,84,Shot
12,1.86810982633025,0,0,0,0,50,84,Shot
9,1.84963169565501,0,0,0,0,52,84,Shot
9,0.893552287715035,0,0,0,0,54,84,Shot
9,0.302680719396556,0,0,0,0,56,84,Shot
7,0.0892754687910123,0,0,0,0,58,84,Shot
2,0.0138218771628843,0,0,0,0,60,84,Shot
2,0.000891641564684675,0,0,0,0,62,84,Shot
1,0.00048741238829268,0,0,0,0,18,86,Shot
2,0.00834558510336855,0,0,0,0,20,86,Shot
6,0.0517674935449442,0,0,0,0,22,86,Shot
8,0.136980098973265,0,0,0,0,24,86,Shot
9,0.255878092585678,0,0,0,0,26,86,Shot
11,0.464147275412412,0,0,0,0,28,86,Shot
11,0.516964622077166,0,0,0,0,30,86,Shot
12,0.444129728886927,0,0,0,0,32,86,Shot
13,0.570045724499528,0,0,0,0,34,86,Shot
13,1.29578300458537,0,0,0,0,36,86,Shot
15,3.67210812546631,0,0,0,0,38,86,Shot
15,5.58953158499853,1,0.000763956276612664,0.000136676260791335,0.000763956276612664,40,86,Shot
15,4.84480881289713,1,0.00386034006362964,0.000796799257248959,0.00386034006362964,42,86,Shot
19,3.6377322520334,1,0.00717609439534404,0.00197268350119303,0.00717609439534404,44,86,Shot
20,2.30199930597925,1,0.00490745402584087,0.00213182254794525,0.00490745402584087,46,86,Shot
21,2.12807156621972,1,0.00123461018302832,0.000580154447165267,0.00123461018302832,48,86,Shot
20,3.95920868281587,0,0,0,0,50,86,Shot
16,4.24073214216463,0,0,0,0,52,86,Shot
11,2.48404960511632,0,0,0,0,54,86,Shot
11,1.26357007940396,0,0,0,0,56,86,Shot
10,0.489466449373991,0,0,0,0,58,86,Shot
6,0.0950163787946713,0,0,0,0,60,86,Shot
4,0.012090204896185,0,0,0,0,62,86,Shot
1,0.00141560256152055,0,0,0,0,64,86,Shot
3,0.00347647172504384,0,0,0,0,18,88,Shot
5,0.0516798347273928,0,0,0,0,20,88,Shot
12,0.31057849244316,0,0,0,0,22,88,Shot
11,0.810333158129412,0,0,0,0,24,88,Shot
12,1.37800471600139,0,0,0,0,26,88,Shot
15,2.1104945392264,0,0,0,0,28,88,Shot
15,1.98730656376266,0,0,0,0,30,88,Shot
17,1.16109781003908,0,0,0,0,32,88,Shot
17,0.967843909305467,0,0,0,0,34,88,Shot
15,1.33396546568856,0,0,0,0,36,88,Shot
16,2.93289556777952,1,0.00077938921712209,0.000265740528126667,0.00077938921712209,38,88,Shot
17,4.4564606369839,1,0.0107054748515793,0.00240223704945024,0.0107054748515793,40,88,Shot
17,3.87233754522243,1,0.0540957313067335,0.0139697871569784,0.0540957313067335,42,88,Shot
21,3.07121816634223,1,0.100560071870272,0.0327427315233803,0.100560071870272,44,88,Shot
26,2.20858351382172,1,0.0687691524597002,0.0311372207703853,0.0687691524597002,46,88,Shot
26,2.13315036619506,1,0.0173008438709572,0.00811046616550386,0.0173008438709572,48,88,Shot
23,3.996929480175,1,0.00160120309167337,0.000400608291843884,0.00160120309167337,50,88,Shot
23,4.65956298231537,0,0,0,0,52,88,Shot
19,3.45163840714438,0,0,0,0,54,88,Shot
16,2.48596945687608,0,0,0,0,56,88,Shot
13,1.22112575806173,0,0,0,0,58,88,Shot
6,0.362416553920699,0,0,0,0,60,88,Shot
6,0.0988357835413819,0,0,0,0,62,88,Shot
1,0.0175939532730662,0,0,0,0,64,88,Shot
1,0.00144419963020857,0,0,0,0,66,88,Shot
1,0.000658464466179021,0,0,0,0,16,90,Shot
7,0.0216075333020613,0,0,0,0,18,90,Shot
10,0.198121093333493,0,0,0,0,20,90,Shot
14,0.94381275897081,0,0,0,0,22,90,Shot
17,2.30490792357587,0,0,0,0,24,90,Shot
20,3.55159203368027,0,0,0,0,26,90,Shot
18,4.48180607529476,0,0,0,0,28,90,Shot
16,3.77005806313966,0,0,0,0,30,90,Shot
18,2.32550749512705,0,0,0,0,32,90,Shot
20,2.0385410465874,0,0,0,0,34,90,Shot
21,1.7910699423891,0,0,0,0,36,90,Shot
19,1.8950994716537,1,0.00401788353027226,0.00212014387126929,0.00401788353027226,38,90,Shot
21,2.36048946286137,1,0.0551885375688568,0.0233801245195807,0.0551885375688568,40,90,Shot
23,2.24264546611304,1,0.278872664774512,0.124349866703566,0.278872664774512,42,90,Shot
30,2.53897589313153,1,0.518404216653756,0.204178471349865,0.518404216653756,44,90,Shot
28,2.66824042679575,1,0.354516638142465,0.132865327495318,0.354516638142465,46,90,Shot
25,2.50224696085308,1,0.0891887828594907,0.035643477344492,0.0891887828594907,48,90,Shot
28,3.16677200438362,1,0.00825447336109048,0.00260658909124628,0.00825447336109048,50,90,Shot
27,3.35762935594319,0,0,0,0,52,90,Shot
26,2.8572783057042,0,0,0,0,54,90,Shot
22,2.76371545150067,0,0,0,0,56,90,Shot
16,2.00008050053089,0,0,0,0,58,90,Shot
9,1.06585980121734,0,0,0,0,60,90,Shot
7,0.422299325133963,0,0,0,0,62,90,Shot
4,0.0839695621862888,0,0,0,0,64,90,Shot
1,0.00660320593605465,0,0,0,0,66,90,Shot
4,0.00770319721628203,0,0,0,0,16,92,Shot
8,0.115888221694414,0,0,0,0,18,92,Shot
11,0.713065340525731,0,0,0,0,20,92,Shot
15,2.18663179312935,0,0,0,0,22,92,Shot
20,4.01636311594068,0,0,0,0,24,92,Shot
22,5.15955047920814,0,0,0,0,26,92,Shot
22,5.41747067475151,0,0,0,0,28,92,Shot
21,4.38649375321099,0,0,0,0,30,92,Shot
18,2.80506995036507,0,0,0,0,32,92,Shot
20,2.2374006888868,0,0,0,0,34,92,Shot
21,2.03412972165171,0,0,0,0,36,92,Shot
22,1.86342557513797,1,0.00761983929043562,0.00408915676166536,0.00761983929043562,38,92,Shot
25,1.74979630387775,1,0.10466400625614,0.0598149659044269,0.10466400625614,40,92,Shot
27,1.78392280199933,1,0.528876676505682,0.296468365062067,0.528876676505682,42,92,Shot
29,2.85019523275204,1,0.983143684634909,0.344939067098791,0.983143684634909,44,92,Shot
30,4.12166076953284,1,0.672334025632658,0.163122115871963,0.672334025632658,46,92,Shot
28,4.75049271642495,1,0.169144821341505,0.0356057426962646,0.169144821341506,48,92,Shot
30,4.83845231186102,1,0.0156544508980402,0.00323542527424829,0.0156544508980402,50,92,Shot
30,3.84456947817415,1,0.000532994208346032,0.00013863560312068,0.000532994208346032,52,92,Shot
30,2.91651136944539,0,0,0,0,54,92,Shot
24,3.09737301297952,0,0,0,0,56,92,Shot
17,2.92657190146702,0,0,0,0,58,92,Shot
11,1.95624170084689,0,0,0,0,60,92,Shot
9,0.794199662984286,0,0,0,0,62,92,Shot
5,0.15181116669098,0,0,0,0,64,92,Shot
2,0.0115470107899392,0,0,0,0,66,92,Shot
5,0.0246345192910849,0,0,0,0,16,94,Shot
8,0.337994073066781,0,0,0,0,18,94,Shot
12,1.81811677538704,0,0,0,0,20,94,Shot
19,4.22236064901205,0,0,0,0,22,94,Shot
22,5.27872919426182,0,0,0,0,24,94,Shot
24,4.95680834005224,0,0,0,0,26,94,Shot
29,4.59922771286142,0,0,0,0,28,94,Shot
28,4.20265848984215,0,0,0,0,30,94,Shot
24,2.77787022334736,0,0,0,0,32,94,Shot
22,1.78348899375653,0,0,0,0,34,94,Shot
19,1.95400128684227,0,0,0,0,36,94,Shot
21,2.21886723634385,1,0.00531618148140282,0.00239589885970942,0.00531618148140282,38,94,Shot
23,2.09805638628677,1,0.0730215993566592,0.0348044027004898,0.0730215993566592,40,94,Shot
27,1.86270917003207,1,0.368984736609142,0.198090363512189,0.368984736609142,42,94,Shot
25,2.50307364070269,1,0.68591607389602,0.274029522241089,0.68591607389602,44,94,Shot
27,4.27967552774467,1,0.469071532895939,0.109604461799732,0.469071532895939,46,94,Shot
29,6.29101746128332,1,0.118008337527483,0.0187582276243452,0.118008337527483,48,94,Shot
31,6.65376860528937,1,0.010921739789204,0.00164143667102007,0.010921739789204,50,94,Shot
32,5.19787856426286,1,0.000371857441095997,0.0000715402325195976,0.000371857441095997,52,94,Shot
31,4.25761430862472,0,0,0,0,54,94,Shot
25,4.03649312983965,0,0,0,0,56,94,Shot
20,3.4767447141892,0,0,0,0,58,94,Shot
14,2.22190000020521,0,0,0,0,60,94,Shot
9,0.789130765412479,0,0,0,0,62,94,Shot
6,0.12897461358626,0,0,0,0,64,94,Shot
3,0.00866115540451455,0,0,0,0,66,94,Shot
1,0.000459670789361519,0,0,0,0,14,96,Shot
5,0.0326180951460754,0,0,0,0,16,96,Shot
8,0.434652510330472,0,0,0,0,18,96,Shot
15,2.25746201788634,0,0,0,0,20,96,Shot
17,4.87236346109928,0,0,0,0,22,96,Shot
25,5.31133765787421,1,0.000538997298029573,0.000101480518232633,0.000538997298029573,24,96,Shot
29,4.30221168269151,1,0.00251420155247763,0.00058439745366149,0.00251420155247763,26,96,Shot
31,3.69070882607981,1,0.00431438711696743,0.00116898604584585,0.00431438711696743,28,96,Shot
33,3.4276199368629,1,0.00272360202732732,0.000794604442002421,0.00272360202732732,30,96,Shot
28,2.35777582830397,1,0.000632519188672914,0.00026826943472735,0.000632519188672914,32,96,Shot
24,1.77874411094226,0,0,0,0,34,96,Shot
21,2.39244388481776,0,0,0,0,36,96,Shot
20,3.23829969913364,1,0.00136445526944295,0.000421349287037266,0.00136445526944295,38,96,Shot
22,3.85810929281085,1,0.0187417804252714,0.00485776296182035,0.0187417804252714,40,96,Shot
26,3.4180122121367,1,0.0947039091821055,0.02770730568072,0.0947039091821055,42,96,Shot
28,2.63367988058627,1,0.176047752451085,0.0668447800922168,0.176047752451085,44,96,Shot
29,3.35236992781064,1,0.120392264079867,0.0359125832388351,0.120392264079867,46,96,Shot
29,5.04500075665592,1,0.0302881115968011,0.00600358910885032,0.0302881115968011,48,96,Shot
29,5.3039021213096,1,0.00280318221998167,0.000528513188190119,0.00280318221998167,50,96,Shot
31,4.99217688688462,0,0,0,0,52,96,Shot
29,5.20847876948367,0,0,0,0,54,96,Shot
25,4.50753994647301,0,0,0,0,56,96,Shot
18,3.29383688944629,0,0,0,0,58,96,Shot
15,2.00370958611994,0,0,0,0,60,96,Shot
10,0.654777459722857,0,0,0,0,62,96,Shot
6,0.0942213761997494,0,0,0,0,64,96,Shot
5,0.00821961146454298,0,0,0,0,66,96,Shot
1,0.00428686320986976,0,0,0,0,68,96,Shot
1,0.00293162031580213,0,0,0,0,70,96,Shot
1,0.000737532797170084,0,0,0,0,72,96,Shot
6,0.0179228055016325,0,0,0,0,16,98,Shot
9,0.234354993061739,0,0,0,0,18,98,Shot
15,1.23150606309071,0,0,0,0,20,98,Shot
21,2.88547938218873,1,0.000699041812446109,0.000242261932890979,0.000699041812446109,22,98,Shot
32,3.98159178088352,1,0.00886362017667202,0.00222614990799112,0.00886362017667202,24,98,Shot
31,4.35796314917028,1,0.0413451564418383,0.00948726618987362,0.0413451564418383,26,98,Shot
33,3.89238642770722,1,0.070948572172301,0.0182275253215526,0.070948572172301,28,98,Shot
32,3.12047812654921,1,0.0447886732844414,0.0143531444439161,0.0447886732844414,30,98,Shot
29,2.26100214400302,2,0.0107849667981269,0.00476999406070114,0.0107849667981269,32,98,Shot
29,2.07895124442411,2,0.00191024124493839,0.000918848505977128,0.00191024124493839,34,98,Shot
28,2.71131308526333,1,0.00100135619778773,0.000369325181673173,0.00100135619778773,36,98,Shot
28,3.4250680198508,1,0.000361083978233208,0.000105423885347812,0.000361083978233208,38,98,Shot
29,4.39233107454858,1,0.00176960309085022,0.000402884723582019,0.00176960309085022,40,98,Shot
35,4.48694253191441,1,0.00894196424253675,0.00199288584129059,0.00894196424253675,42,98,Shot
36,3.29463145695394,1,0.0166224680796389,0.00504531942246652,0.0166224680796389,44,98,Shot
41,2.82156271193168,1,0.0113674644455292,0.00402878319785667,0.0113674644455292,46,98,Shot
40,3.23456402131944,2,0.00381500052881336,0.00117944814314021,0.00381500052881336,48,98,Shot
